#property,latitude,longitude,votingDistrict,name,fullNameInKana,address,smallConstituencies,referenceObject
16,34.312045,134.052128,第16投票区,太田小学校体育館,オオタショウガッコウタイイクカン,香川県高松市伏石町845-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.312045%252C134.052128&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
17,34.31188,134.062834,第17投票区,中央小学校体育館,チュウオウショウガッコウタイイクカン,香川県高松市松縄町1138,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.31188%252C134.062834&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
18,34.320841,134.075544,第18投票区,木太南小学校体育館,キタミナミショウガッコウタイイクカン,香川県高松市木太町1530-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.320841%252C134.075544&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
19,34.325096,134.076823,第19投票区,木太小学校体育館,キタショウガッコウタイイクカン,香川県高松市木太町3480-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.325096%252C134.076823&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
20,34.335848,134.079912,第20投票区,木太北部小学校体育館,キタホクブショウガッコウタイイクカン,香川県高松市木太町2613,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.335848%252C134.079912&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
21,34.325661,134.091286,第21投票区,春日幼稚園,カスガヨウチエン,香川県高松市春日町744,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.325661%252C134.091286&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000fd9
22,34.332405,134.106591,第22投票区,古高松小学校体育館,フルタカマツショウガッコウタイイクカン,香川県高松市高松町398,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.332405%252C134.106591&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
23,34.347316,134.100637,第23投票区,屋島小学校体育館,ヤシマショウガッコウタイイクカン,香川県高松市屋島西町1205-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.347316%252C134.100637&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
24,34.354208,134.116611,第24投票区,屋島東小学校体育館,ヤシマヒガシショウガッコウタイイクカン,香川県高松市屋島東町942-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.354208%252C134.116611&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
25,34.296382,134.113177,第25投票区,前田小学校体育館,マエダショウガッコウタイイクカン,香川県高松市前田東町819-3,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.296382%252C134.113177&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
26,34.306199,134.093043,第26投票区,川添小学校体育館,カワゾエショウガッコウタイイクカン,香川県高松市東山崎町207-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.306199%252C134.093043&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
27,34.301612,134.069787,第27投票区,林小学校体育館,ハヤシショウガッコウタイイクカン,香川県高松市林町1108-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.301612%252C134.069787&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
28,34.27407,134.068506,第28投票区,三渓小学校体育館,サンケイショウガッコウタイイクカン,香川県高松市三谷町2173-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.27407%252C134.068506&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
29,34.291913,134.052581,第29投票区,多肥小学校体育館,タヒショウガッコウタイイクカン,香川県高松市多肥上町902-2,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D18&ll%3D34.291913%252C134.052581&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000001
30,34.274732,134.047781,第30投票区,仏生山小学校体育館,ブッショウザンショウガッコウタイイクカン,香川県高松市仏生山町甲2461,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.274732%252C134.047781&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
31,34.291104,134.024168,第31投票区,一宮小学校体育館,イチノミヤショウガッコウタイイクカン,香川県高松市一宮町672-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.291104%252C134.024168&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
32,34.279858,134.022473,第32投票区,らく楽寺井幼稚園,ラクラクテライヨウチエン,香川県高松市寺井町1369-4,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.279858%252C134.022473&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000fd9
33,34.26759,134.006993,第33投票区,川岡小学校体育館,カワオカショウガッコウタイイクカン,香川県高松市川部町1552,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.26759%252C134.006993&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
34,34.285043,134.00388,第34投票区,円座小学校体育館,エンザショウガッコウタイイクカン,香川県高松市円座町1630-2,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.285043%252C134.00388&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
35,34.300177,133.994422,第35投票区,檀紙小学校体育館,ダンシショウガッコウタイイクカン,香川県高松市御廐町816,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.300177%252C133.994422&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
36,34.328406,134.004553,第36投票区,弦打小学校体育館,ツルウチショウガッコウタイイクカン,香川県高松市鶴市町374-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.328406%252C134.004553&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
37,34.326826,133.990697,第37投票区,鬼無小学校体育館,キナシショウガッコウタイイクカン,香川県高松市鬼無町佐藤607-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.326826%252C133.990697&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
38,34.344806,133.998259,第38投票区,香西小学校体育館,コウザイショウガッコウタイイクカン,香川県高松市香西南町703-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.344806%252C133.998259&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
39,34.358386,133.967994,第39投票区,下笠居小学校体育館,シモカサイショウガッコウタイイクカン,香川県高松市生島町345,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.358386%252C133.967994&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f19
40,34.391681,134.052529,第40投票区,女木コミュニティセンター,メギコミュニティセンター,香川県高松市女木町203-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.391681%252C134.052529&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
41,34.421031,134.0555,第41投票区,男木コミュニティセンター,オギコミュニティセンター,香川県高松市男木町134,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.421031%252C134.0555&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
42,34.275668,134.08907,第42投票区,川島小学校体育館,カワシマショウガッコウタイイクカン,香川県高松市川島東町864-1,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.275668%252C134.08907&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
43,34.274712,134.102236,第43投票区,十河小学校体育館,ソゴウショウガッコウタイイクカン,香川県高松市十川西町366-5,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.274712%252C134.102236&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
44,34.238958,134.097899,第44投票区,東植田小学校体育館,ヒガシウエタショウガッコウタイイクカン,香川県高松市東植田町2008,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.238958%252C134.097899&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
45,34.193567,134.098236,第45投票区,東植田小学校菅沢分校体育館,ヒガシウエタショウガッコウスゲザワブンコウタイイクカン,香川県高松市菅沢町339,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.193567%252C134.098236&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
46,34.239421,134.077851,第46投票区,植田小学校体育館,ウエタショウガッコウタイイクカン,香川県高松市西植田町2337,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.239421%252C134.077851&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
47,34.326985,134.098855,第47投票区,古高松南小学校体育館,フルタカマツミナミショウガッコウタイイクカン,香川県高松市新田町甲2605,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.326985%252C134.098855&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
48,34.351725,134.090476,第48投票区,屋島西小学校体育館,ヤシマニシショウガッコウタイイクカン,香川県高松市屋島西町2469,香川県第１区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.351725%252C134.090476&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-00003f
49,34.196482,134.042363,第49投票区,塩江コミュニティセンター,シオノエコミュニティセンター,香川県高松市塩江町安原下第2号1645,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.196482%252C134.042363&t%3Droadmap&mp%3D10&op%3D70&sa%3D1&vlf%3D-1
50,34.154981,134.025195,第50投票区,旧安原小学校戸石分校,キュウヤスハラショウガッコウトイシブンコウ,香川県高松市塩江町安原下第2号857,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D16&ll%3D34.154981%252C134.025195&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-00003f
51,34.171672,134.082657,第51投票区,旧塩江小学校ランチルーム,キュウシオノエショウガッコウランチルーム,香川県高松市塩江町安原上東365,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D16&ll%3D34.171672%252C134.082657&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-00003f
52,34.151888,134.076605,第52投票区,旧上西小学校職員室,キュウカミニシショウガッコウショクインシツ,香川県高松市塩江町上西乙461,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.151888%252C134.076605&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-00003f
53,34.124467,134.073137,第53投票区,西山ふれあいセンター,ニシヤマフレアイセンター,香川県高松市塩江町上西甲947-3,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D16&ll%3D34.124467%252C134.073137&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
55,34.240305,134.018946,第55投票区,香南町由佐農村環境改善センター,コウナンチョウユサノウソンカンキョウカイゼンセンター,香川県高松市香南町由佐357-2,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.240305%252C134.018946&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
56,34.245059,134.000428,第56投票区,香南町池西農村環境改善センター,コウナンチョウイケニシノウソンカンキョウカイゼンセンター,香川県高松市香南町池内522-1,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.245059%252C134.000428&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
57,34.267021,134.026228,第57投票区,大野小学校南校舎（特別活動室）,オオノショウガッコウミナミコウシャ（トクベツカツドウシツ）,香川県高松市香川町大野1045-1,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.267021%252C134.026228&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
58,34.25899,134.041253,第58投票区,浅野小学校体育館,アサノショウガッコウタイイクカン,香川県高松市香川町浅野3088,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.25899%252C134.041253&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
59,34.241158,134.034113,第59投票区,川東コミュニティセンター,カワヒガシコミュニティセンター,香川県高松市香川町川東上1865-13,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.241158%252C134.034113&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
60,34.204636,134.061702,第60投票区,東谷コミュニティセンター,ヒガシタニコミュニティセンター,香川県高松市香川町東谷873-3,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.204636%252C134.061702&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
61,34.211938,134.031248,第61投票区,香川町多目的研修集会施設,カガワチョウタモクテキケンシュウシュウカイシセツ,香川県高松市香川町安原下第3号194-1,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.211938%252C134.031248&t%3Droadmap&mp%3D10&op%3D70&vlf%3D-1
62,34.306114,133.962785,第62投票区,国分寺北部小学校体育館,コクブンジホクブショウガッコウタイイクカン,香川県高松市国分寺町新居1880,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.306114%252C133.962785&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
63,34.297636,133.963947,第63投票区,国分寺中学校体育館,コクブンジチュウガッコウタイイクカン,香川県高松市国分寺町新居1131-1,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.297636%252C133.963947&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
64,34.28396,133.961275,第64投票区,国分寺南部小学校体育館,コクブンジナンブショウガッコウタイイクカン,香川県高松市国分寺町福家甲3005,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.28396%252C133.961275&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f3f
65,34.384035,134.126592,第65投票区,庵治支所,アジシショ,香川県高松市庵治町6393-5,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.384035%252C134.126592&t%3Droadmap&mp%3D10&op%3D70&vlf%3D10-2-00006c
66,34.391472,134.152642,第66投票区,鎌野自治会館,カマノジチカイカン,香川県高松市庵治町4510-12,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.391472%252C134.152642&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
67,34.365439,134.155871,第67投票区,高尻地区自治連合会会館,コウジリチクジチレンゴウカイカイカン,香川県高松市庵治町3015-3,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.365439%252C134.155871&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
68,34.408761,134.106256,第68投票区,大島青松園大島会館,オオシマセイショウエンオオシマカイカン,香川県高松市庵治町6034-1,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.408761%252C134.106256&t%3Droadmap&mp%3D60&op%3D70&vlf%3D-1
69,34.333754,134.152805,第69投票区,牟礼南小学校体育館,ムレミナミショウガッコウタイイクカン,香川県高松市牟礼町大町1115－1,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.333754%252C134.152805&t%3Droadmap&mp%3D30&op%3D70&vlf%3D-1
70,34.336143,134.141701,第70投票区,大町コミュニティセンター,オオマチコミュニティセンター,香川県高松市牟礼町大町1463-2,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.336143%252C134.141701&t%3Droadmap&mp%3D60&op%3D70&vlf%3D60-2-000001
71,34.350782,134.125807,第71投票区,牟礼北小学校体育館,ムレキタショウガッコウタイイクカン,香川県高松市牟礼町牟礼2900-1,香川県第２区,https://takamatsu.geocloud.jp/webgis/?z%3D17&ll%3D34.350782%252C134.125807&t%3Droadmap&mp%3D30&op%3D70&vlf%3D30-2-000f2f
