"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者申請者名","営業者役職名","営業者代表者名","営業者都道府県名称","営業者住所１","営業者住所２","許可番号","許可日","旅館業の種別"
"旅館業","高松東急ＲＥＩホテル","760-0024","高松市兵庫町９番地９",,"087-821-0109","株式会社高松東急ＲＥＩホテル","代表取締役","西野　知夫","香川県","高松市兵庫町９番地９",,"第11017号","H15.03.27","旅館・ホテル"
"旅館業","きららの宿","761-8084","高松市一宮町７９８−３",,"087-815-6622","株式会社　きらら","代表取締役","植松　恵美子","香川県","高松市一宮町２２８番地１",,"第11018号","H15.12.05","旅館・ホテル"
"旅館業","ビジネスホテル　パークサイド高松","760-0073","高松市栗林町一丁目３番１号",,"087-837-5555","有限会社ビジネスホテル高松パレス","代表取締役","多田　一郎","香川県","高松市西内町２番７号",,"第11020号","H17.02.24","旅館・ホテル"
"旅館業","オーベルジュ・ドゥ・オオイシ","761-0113","高松市屋島西町６３",,"087-843-2239","大石　正邦",,,,,,"第11022号","H17.05.02","簡易宿所"
"旅館業","ビジネスホテル　ジャパン","760-0045","高松市古馬場町１番地４",,"087-851-8689","有限会社正","取締役","市川　卓磨","香川県","高松市古馬場町１番地４",,"第11023号","H17.08.11","旅館・ホテル"
"旅館業","スーパーホテル高松禁煙館","760-0055","高松市観光通一丁目４番１２号",,"087-833-9000","株式会社　スーパーホテル","代表取締役","山本　健策","大阪府","大阪市西区江戸堀三丁目６番３５号",,"第11024号","H17.09.12","旅館・ホテル"
"旅館業","Ｖｉ　Ｓｔｙｌｅ","760-0080","高松市木太町字西浜２４６０番１９",,"087-862-0808","有限会社　晃栄商事","代表取締役","谷山　晃一","香川県","高松市上之町一丁目５番２号",,"第11025号","H17.10.29","旅館・ホテル"
"旅館業","スーパーホテル高松・田町","760-0053","高松市田町１−１",,"087-897-9000","株式会社　スーパーホテル","代表取締役","山本　健策","大阪府","大阪市西区江戸堀三丁目６番３５号",,"第11027号","H18.02.28","旅館・ホテル"
"旅館業","ホテルヴェガ","760-0036","高松市城東町二丁目１２番３号",,"087-811-2199","株式会社　ヴェガ高松","代表取締役","米倉　稔","香川県","高松市城東町二丁目１２番地３",,"第11030号","H18.06.01","旅館・ホテル"
"旅館業","東横イン高松兵庫町","760-0024","高松市兵庫町３番１",,"087-821-1045","株式会社東横イン","代表執行役","黒田　麻衣子","東京都","大田区新蒲田一丁目７番４号",,"第11029号","H18.06.02","旅館・ホテル"
"旅館業","ホテル高松ヒルズ","760-0052","高松市瓦町一丁目８番３号",,"087-837-1222","ブリーズベイオペレーション株式会社","代表取締役","津田　則忠","神奈川県","横浜市中区花咲町一丁目２２番地２",,"第11031号","H18.06.27","旅館・ホテル"
"旅館業","ビジネスホテル　瓦町","760-0052","高松市瓦町二丁目１２−７",,,"光繁興業株式会社","代表取締役","伊賀　万佐子","香川県","高松市春日町１７４４番地４",,"第11032号","H18.09.29","旅館・ホテル"
"旅館業","きょう京錦にしき","760-0020","高松市錦町２−６−１３",,"087-823-1350","株式会社　Ｓ−ＡＣＣＥＳＳ","代表取締役","牧谷　省二","香川県","高松市浜ノ町２１番１４号",,"第11036号","H19.07.12","旅館・ホテル"
"旅館業","高松シティホテル","760-0050","高松市亀井町８−１３",,"087-834-3345","シティ興産株式会社","代表取締役","冨永　博道","香川県","高松市亀井町８−１３",,"第11043号","H20.03.24","旅館・ホテル"
"旅館業","ドーミーイン高松","760-0052","高松市瓦町一丁目１０−１０",,"087-832-5489","株式会社　共立メンテナンス","代表取締役","中村　幸治","東京都","千代田区外神田二丁目１８番８号",,"第4220001号","H20.04.28","旅館・ホテル"
"旅館業","ゴールデンタイム高松","760-0052","高松市瓦町２−１−７",,"087-897-3177","株式会社ワイ・ワイ・カンパニー","代表取締役","吉原　龍生","香川県","高松市瓦町二丁目１番地７",,"第4220003号","H20.05.12","簡易宿所"
"旅館業","ホテルエリアワン高松Ⅰ","760-0021","高松市西の丸町２−２３",,"087-823-7801","エリアワンエンタープライズ株式会社","代表取締役","岡　新之助","大阪府","大阪市中央区博労町一丁目２番１号",,"第4220005号","H20.08.29","旅館・ホテル"
"旅館業","ホテルエリアワン高松Ⅱ","760-0021","高松市西の丸町２−９",,"087-823-7807","エリアワンエンタープライズ株式会社","代表取締役","岡　新之助","大阪府","大阪市中央区博労町一丁目２番１号",,"第4220006号","H20.08.29","旅館・ホテル"
"旅館業","有限会社　観翠旅館","761-8079","高松市仏生山町乙１１０−２",,"087-889-7777","有限会社観翠旅館","代表取締役","岡　昇平","香川県","高松市仏生山町乙１１０番地２",,"第4220007号","H20.12.18","旅館・ホテル"
"旅館業","高松パールホテル","760-0021","高松市西の丸町２番１９号",,"087-822-3382","株式会社正笑","代表取締役","市川　卓磨","香川県","高松市西の丸町２番１９号",,"第4220009号","H21.02.25","旅館・ホテル"
"旅館業","アパホテル＜高松空港＞","761-1402","高松市香南町由佐２４２５−２",,"087-879-1000","アパホテル株式会社","代表取締役","元谷　芙美子","東京都","港区赤坂三丁目２番３号",,"第4221001号","H21.07.08","旅館・ホテル"
"旅館業","ホテル ザ ドラゴン","760-0080","高松市木太町２４６０番地８",,"087-837-1177","株式会社　エンドレスマリーン","代表取締役","吉原　奈知","香川県","高松市木太町２４６０番地８",,"第4221002号","H21.10.27","旅館・ホテル"
"旅館業","円","760-0091","高松市男木町１９２５番地２",,"087-873-0703","佐藤　隆秀",,,,,,"第4222001号","H22.06.07","簡易宿所"
"旅館業","ファーストイン高松","760-0035","高松市鶴屋町２番３号",,"087-822-1919","株式会社　昌栄","代表取締役","金　昌淑","香川県","高松市鶴屋町２番３号",,"第4222003号","H23.03.17","簡易宿所"
"旅館業","ファミリーロッジ旅籠屋・高松店","761-8057","高松市田村町１２６５−１",,"087-867-8858","株式会社旅籠屋","代表取締役","吉井　慎也","東京都","台東区寿三丁目３番４号",,"第4223001号","H23.06.27","旅館・ホテル"
"旅館業","民宿　さくら","760-0091","高松市男木町１",,"087-873-0515","大江　哲夫",,,,,,"第4223002号","H23.10.25","簡易宿所"
"旅館業","仏生山旅館","761-8078","高松市仏生山町甲２４８９−１",,"087-889-7750","有限会社　観翠旅館","代表取締役","岡　昇平","香川県","高松市仏生山町乙１１０番地２",,"第4223003号","H24.02.28","簡易宿所"
"旅館業","ホテル　セカンドステージ","761-1614","高松市塩江町上西乙１１１８−８",,"087-893-1100","株式会社しおのえ","代表取締役","喜多　維昭","香川県","高松市塩江町安原上７６１番地１",,"第4223004号","H24.03.27","旅館・ホテル"
"旅館業","ダイワロイネットホテル高松","760-0029","高松市丸亀町８番地２３","８～１２階","087-811-7855","大和ハウスリアルティマネジメント株式会社","代表取締役","伊藤　光博","東京都","千代田区神田三崎町三丁目３番２１号",,"第4224001号","H24.04.10","旅館・ホテル"
"旅館業","大滝山県民いこいの森キャンプ場","761-1613","高松市塩江町上西甲２３２６−１",,"087-893-0345","特定非営利活動法人しおのえ","代表理事","薮内　由佳","香川県","高松市塩江町上西乙１１１８番地８",,"第4224003号","H24.04.23","簡易宿所"
"旅館業","シティーホテルパティオ","760-0044","高松市御坊町８−８",,"087-823-2320","有限会社正","取締役","市川　卓磨","香川県","高松市古馬場町１番地４",,"第4224005号","H24.07.17","旅館・ホテル"
"旅館業","リーガホテルゼスト高松","760-0025","高松市古新町９番地１",,"087-825-0556","穴吹エンタープライズ株式会社","代表取締役","三村　和馬","香川県","高松市古新町９番地１",,"第4224006号","H24.07.30","旅館・ホテル"
"旅館業","庵治観光ホテル海のやどり　花れの館","761-0130","高松市庵治町５４９０−４",,"087-871-3141","瀬戸内海観光株式会社","代表取締役","金井　眞智子","香川県","高松市庵治町５４９４番地",,"第4224010号","H24.12.12","簡易宿所"
"旅館業","民宿　まりも荘","760-0091","高松市男木町１２７",,,"山道　一美",,,,,,"第40001号","H25.03.08","簡易宿所"
"旅館業","ゲストハウス若葉屋","760-0076","高松市観光町６０３−１",,,"若宮　武",,,,,,"第40010号","H26.07.03","簡易宿所"
"旅館業","トラディッショナル　アパートメント","760-0062","高松市塩上町１−３−７","２Ｆ","087-831-6377","内田　大輔",,,,,,"第40012号","H26.09.29","簡易宿所"
"旅館業","ホテル　望海荘","761-0111","高松市屋島東町１７８４番地１５",,"087-841-9111","有限会社望海荘","取締役","込山　雄三","香川県","高松市屋島東町１７８４番地１５",,"第40014号","H26.10.31","旅館・ホテル"
"旅館業","だんらん旅人宿そらうみ","761-8084","高松市一宮町３９３−８",,,"野瀬　章史",,,,,,"第40016号","H27.01.21","簡易宿所"
"旅館業","グレースコートホテル高松","760-0062","高松市塩上町２丁目４−２２",,"087-837-1600","有限会社エッセンス","取締役","藤木　照央","香川県","高松市鶴屋町４番１５号",,"第40024号","H27.10.06","旅館・ホテル"
"旅館業","貝温泉　実の里","761-1613","高松市塩江町上西甲１２７−１",,"087-893-1877","有限会社完土","代表取締役","完土　勇","香川県","高松市十川東町９３８番地１",,"第40025号","H27.10.15","簡易宿所"
"旅館業","ホテルジェンティール","769-0102","高松市国分寺町国分７４０番地１",,"087-874-3003","有限会社丸登美旅館","取締役","松本　康弘","香川県","高松市通町６番地の１２",,"第40026号","H27.10.29","旅館・ホテル"
"旅館業","温泉裏の客室","761-8079","高松市仏生山町乙１２１−１",,"087-889-7750","有限会社観翠旅館","代表取締役","岡　昇平","香川県","高松市仏生山町乙１１０番地２",,"第40028号","H27.11.26","簡易宿所"
"旅館業","ドリマの上","760-0091","高松市男木町１８９４",,,"小林　美代子",,,,,,"第40032号","H28.03.08","簡易宿所"
"旅館業","瀬戸内ステイ女木島ビーチアパート","760-0092","高松市女木町４５３−１",,"087-873-0256","株式会社瀬戸内ステイ","代表取締役","井上　雅子","香川県","高松市北浜町４番１４号",,"第40033号","H28.03.15","簡易宿所"
"旅館業","さくらゲストハウス","760-0091","高松市男木町２−８",,"087-873-0515","大江　哲夫",,,,,,"第40034号","H28.03.25","簡易宿所"
"旅館業","香川県青年センター","769-0102","高松市国分寺町国分１００９番地",,"087-874-0713","一般社団法人香川県青年団体育成支援協議会","会長","𠮷原　雅韶","香川県","高松市国分寺町国分１００９番地",,"第40031号","H28.04.01","簡易宿所"
"旅館業","瓦町ドミトリー","760-0062","高松市塩上町１丁目４番１６号",,"087-887-9733","株式会社ＴＥＮ　ＴＯ　ＳＥＮ","代表取締役","山本　梨沙","香川県","高松市塩上町一丁目４番１６号",,"第40037号","H28.07.05","簡易宿所"
