"№","対象","開催日","開始時間","終了時間","行事名","場所名称","緯度","経度","説明","料金","定員","申込期間","URL","問い合わせ先（市の担当課）","TEL",,,,,,,,,,,,
"16","高校生・一般","9月22日(aaa)","10:00","11:30","ふろしきで包み、エコバックの作り方を学ぼう！","生涯学習センター","34.34541065906359","134.05404503449154","風呂敷についてのお話と、基本の真結びの結び方や、いろいろな包み方にチャレンジしてみましょう。風呂敷でECOショルダーバックの作り方を実演いたします。ぜひ、自宅で作ってみてください。","受講料
500円
材料費
1,000円（ECOショルダーバックの風呂敷)","申込先着
16人","9月4日（水）
9:00～","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/riyosokushin/syogaku202407310922.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"17","両方","9月24日（火）
～9月30日（月）","8:30","17:15","結核・呼吸器感染症予防週間","①保健所
②保健センター
③瓦町フラッグ
④屋島レグザムフィールド","①34.33060415097704
②34.33050779217546
③34.339150469844235
④34.34141760571166 ","①134.05239041918446
②134.05208618586477
③134.0526661112417
④134.10170365148255","期間中、保健所・保健センター・瓦町フラッグ8階にて、結核に関するポスター展示を行います。
また、屋島レグザムフィールドを結核のテーマカラーである赤色にライトアップします。ぜひ、秋の夜に鮮やかに彩られる建物をご覧ください♪

結核患者は減っていますが、毎年新たな結核患者は発生しています。
結核を早く見つけるために、年1回の胸部エックス線健診を受け、症状がある場合は早めに病院を受診しましょう。","無料","なし","なし","https://www.city.takamatsu.kagawa.jp/smph/kurashi/kenkou/kansensho/joho/tb01.html","感染症対策課","087-839-2870",,,,,,,,,,,,
"18","高校生・一般","9月25日(aaa)","18:30","20:25","まなび映画CAN（12）
「老後の資金がありません!」","生涯学習センター","34.34541065906359","134.05404503449154","毎月2回！無料の映画上映会です♪
人生百年時代、老後資金に2,000万円が必要？痛快!お金のコメディ・エンターテインメント!主婦・後藤篤子は、困っていた。節約をモットーに、老後の資金をコツコツ貯めてきたはずなのに…親の葬式に330万円、子供の派手婚に300万円、そんな中、夫が失職!と次々とお金の災難が襲い掛かる!","無料","当日先着
220人","観覧希望者は、当日直接会場へ","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/riyosokushin/eigacan/syogaku202408020925.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"19","高校生・一般","9月28日(aaa)","13:30","15:00","文芸講座","サンクリスタル高松 3階  
視聴覚ホール","34.344356374684175","134.03322734074726","講師：長谷川町子美術館 館長 川口淳二、副館長・学芸部長 橋本野乃子
テーマ：懐かしくて新しい長谷川町子の世界","無料","200名","当日先着順","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/kikuchikan/index.html","菊池寛記念館","087-861-4502",,,,,,,,,,,,
"20","高校生・一般","9月28日（土）","13:00","16:00","高松市まちづくり学校２（フィールドワーク）「海ごみ拾いでまちがもっと好きになる」","高松市庵治町高尻海岸
（高尻集会所集合）","34.36486698 ","134.156549","日常的に海ごみ問題に取り組む森田桂冶さんと一緒にビーチクリーンアップを通して、身近な環境問題や瀬戸内海が持つポテンシャルについて参加者同士でディスカッションします。","1,000円","地域活動に興味がある人
申込先着30人","9月21日まで","https://www.takamatsu-machidukuri.com/2024kouza2","高松市市民活動センター","087-812-7534",,,,,,,,,,,,
"21","高校生・一般","9月28日（土）","13:30","16:30","シニアネットかがわの情報教室「スマホ講座②ＳＮＳ編　ＬＩＮＥ・インスタグラムをやってみよう」","高松市市民活動センター会議室","34.33864982","134.05237050","「一通りスマホを使えるようになったけど、もっと楽しみたい！」
そんな方を対象に、「ＬＩＮＥ（ライン）」「Instagram（インスタグラム）」の基本操作や楽しみ方をAndroid（アンドロイド）スマートフォンを使って学びます。","1,000円","申込先着16人（概ね50歳以上）","8月5日午前10時～定員に達するまで","https://www.flat-takamatsu.net/bcs/info6923.html","高松市市民活動センター","087-812-7534",,,,,,,,,,,,
"22","両方","9月28日(aaa)","10:00","15:00","動物愛護フェスティバル","さぬき動物愛護センター「しっぽの森」","34.2431661323206","134.103807441517","動物愛護週間（９月２０日から９月２６日まで）行事として、動物愛護管理の普及啓発やしっぽの森での犬や猫の譲渡をより一層推進するため、動物愛護フェスティバルを開催します。また、さぬき動物愛護センター開所から５周年を記念したセレモニーを同時開催します。
・香川県獣医師会による動物写生画コンクール表彰式
・登録譲渡ボランティアによる譲渡会
・クイズスタンプラリー（「公渕森林公園の秋祭り」とのコラボ企画）
・トリミング体験
・ワークショップ
〇動物愛護啓発展示　など","—","—","—","https://www.pref.kagawa.lg.jp/s-doubutuaigo/sanukidouaicenter/index.html

","高松市生活衛生課","839-2865",,,,,,,,,,,,
"23","両方","9月28日（土）
9月29日（日）","10:00","17:00","2024ジャパンパラ陸上競技大会","屋島レクザムフィールド
（高松市屋島競技場）","34.34128036489386","134.1016446652133","ジャパンパラ陸上競技大会は、WPA（World Para Athletics）公認の国内最高峰のパラ陸上競技大会です。大会の記録は、国際の公式記録としても認定される日本国内では数少ない国際公認大会で、高松市での開催は３年ぶりとなります。
本大会には、パリ２０２４パラリンピック競技大会出場選手も多く参加される予定ですので、ぜひ、多くの子どもたちにトップレベルの選手のパフォーマンスを間近で見ていただき、パラスポーツの魅力を体感していただきたいと思います。
また、大会会場では多くの交流イベントを開催していますので、みんなで楽しめること間違いなしです。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　","無料","無し","—","ジャパンパラ競技大会ホームページ

https://www.parasports.or.jp/japanpara/","2024ジャパンパラ陸上競技大会実行委員会
(高松市スポーツ振興課)","087-839-2626",,,,,,,,,,,,
"24","高校生・一般","9月28日(aaa)","13:30","15:30","終活の始め方～人生をよりよく生きるために～","生涯学習センター","34.34541065906359","134.05404503449154","終活とは、これからの人生をよりよく生きるために、自分の人生を一旦整理することです。終活の知識を学び、自分らしい人生を考える機会にしませんか？","無料","申込先着45人","9月4日（水）
9:00～","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/kyosai/syogaku2024073110928.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"25","両方","9月29日(aaa)","10:00","12:10","市民企画講座
「子どもをじょうぶにする食事は、時間もお金も手間もかからない」","男女共同参画センター
学習研修室1・2・3","34.34001310","134.05954630","講師：幕内　秀夫さん（フーズ＆ヘルス研究所主宰）
企画：学校給食と子どもの健康を考える会香川支部
※託児あり（生後6か月から就学前）","前売り1,000円
当日1,200円
※中学生以下の同伴者は無料
※託児は1人300円","70人程度
※託児は先着10人","定員に達するまで
※託児については
1週間前まで","https://www.sankaku087.net/","男女共同参画センター
（人権・男女共同参画推進課）","087-833-2282
（087-839-2292）",,,,,,,,,,,,
"26","高校生・一般","9月29日(aaa)","10:00","12:00","陶芸教室～土と遊ぼう～","生涯学習センター","34.34541065906359","134.05404503449154","陶芸に興味のある方、やってみたいけど難しそうだなと思っている方、新聞紙を使った簡単な陶芸にチャレンジしてみませんか？今回は「こいのぼり」を作ります。 
◎作品は後日お渡しします。
◎道具等は準備しております。","受講料
500円
材料費
2,000円","申込先着
15人","9月5日（木）
9:00～
9月25日（水）
12:00","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/riyosokushin/syogaku2024073110929.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"27","両方","9月の試合日程","【高知ファイティングドッグス】
14日（土）午後1時、15日（日）午後1時","—","プロスポーツを応援！
（香川オリーブガイナーズ）","レクザムスタジアム
（香川県営野球場）
","34.365090505841955","133.95956760676756","地域密着型トップスポーツチームの公式戦ホームゲームです。","席種により異なります","無し","—","香川オリーブガイナーズホームページ
https://www.oliveguyners.com/","香川オリーブガイナーズ
(高松市スポーツ振興課)","087-813-1466
(087-839-2626)",,,,,,,,,,,,
"28","高校生・一般","10月4日、11日、18日、25日
いずれも（金）","19:00","20:00","姿勢改善！ピラティストレーニング講座(全4回)","生涯学習センター","34.34541065906359","134.05404503449154","はじめての方でも安心!ピラティストレーニングとは、ピラティスをベースとした基礎筋力をあげるトレーニングです。ピラティスは正しい姿勢を保持する筋力をつけるエクササイズです。正しい姿勢でトレーニングすることで、効果的に筋力をつけましょう。","受講料
2,000円","申込先着
30人","9月5日（木）
9:00～","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/riyosokushin/syogaku2024073111004.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"29","両方","10月6日（日）","13:30","15:00","臨床美術クオリアートの脳いきいきアートプログラム体験","高松市市民活動センター会議室","34.33864982","134.05237050","かぼちゃはどこで育つの？
かぼちゃはどんな大きさ？
かぼちゃはどんな味？
いろんな角度からかぼちゃを見て、感じて、そして作っちゃおう！","500円
（材料費）","4歳以上（未就学生は保護者同伴）
申込先着15人（同伴保護者込み最大30人）","8月5日午前10時～定員に達するまで","https://www.flat-takamatsu.net/bcs/info6909.html","高松市市民活動センター","087-812-7534",,,,,,,,,,,,
"30","両方","10月6日（日）","14:00","—","高松市ホームタウンデー
（カマタマーレ讃岐）
対戦相手：ガイナーレ鳥取","屋島レクザムフィールド
（高松市屋島競技場）","34.34123164205459","134.10164466566388","高松市では初となる、Ｊリーグ公式戦を屋島レクザムフィールドにおいて開催します！
当日は高松市ホームタウンデーとして、多くの高松市民が楽しめるイベントが企画されているほか、屋島地区のにぎわいを創出していきますので、ぜひ会場までお越しください！","席種により異なります","無し","—","カマタマーレ讃岐オフィシャルサイト

https://www.kamatamare.jp/","カマタマーレ讃岐
(高松市スポーツ振興課)","087-887-3280
(087-839-2626)",,,,,,,,,,,,
"31","高校生・一般","10月9日(aaa)","13:30","14:30","ロコモティブから考える転倒予防","生涯学習センター","34.34541065906359","134.05404503449154","ロコモティブとは、「運動の」という意味です。運動器の健康を保ち、転倒を予防しましょう!","無料","申込先着
60人","9月5日（木）
9:00～","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/kyosai/syogaku202408021009.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"32","高校生・一般","10月10日、24日
いずれも（木）","10:00","11:30","平面パズルを使って楽しく「大人の脳トレ」(全2回)","生涯学習センター","34.34541065906359","134.05404503449154","平面パズルを使って、いろいろな形を作り、楽しみながら脳トレをしましょう!様々な問題に挑戦することで、前頭葉が鍛えられ、思考力や行動力もアップします!!","無料","申込先着
20人","9月6日（金）
9:00～","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/csr/syogaku202407311011.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"33","高校生・一般","10月11日、25日、11月8日、22日
いずれも（金）","13:30","15:00","想い出のメロディ・あの歌この歌 歌声教室(全4回)","生涯学習センター","34.34541065906359","134.05404503449154","人生の節々で出会ったたくさんの歌、懐かしい歌はあなたの思い出もよび戻してくれます。童謡・唱歌から昭和の歌まで、歌声伴奏者と共に歌いましょう。リクエストも受け付けますよ。","受講料
2,000円
本代
1,430円","申込先着
20人","9月6日（金）
9:00～","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/riyosokushin/syogaku202407311011.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"34","子ども・親子","10月13日（日）","10:00","11:30","ひとり親パートナーズ パワーアップ講座 2024
『進級進学講座』
『元気いっぱい！からだあそび！』","高松大学・高松短期大学","34.329233452867","134.087559909391","経験豊かなゲストティーチャーが暮らしに役立つヒントやコツを紹介します。
高松大学・高松短期大学の学生さんたちが考えた遊びや体験プログラムを楽しみましょう。","無料","親子20組","定員になり次第締切","https://peraichi.com/landing_pages/view/kagawahitorioya","ひとり親パートナーズ事務局
（こども家庭課）","087-816-7700",,,,,,,,,,,,
"35","高校生・一般","10月13日(日)","14:00","16:00","映画「プラスチックの海」上映会（デコ活リーダー養成講座）","生涯学習センター
多目的ホール","34.3454180194645","134.054041190104","プラスチックごみによる海洋汚染の実態と影響を知り、解決へ向けた活動を考えるドキュメンタリー映画です。

対象：高松市に在住、又は通勤・通学されている中学生以上の方","無料","申込先着
80人","8月1日(木)9：00～
10月10日(木)17：00","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/kankyo/ondanka/leader-R6-10.html","ゼロカーボンシティ推進課","087-839-2393",,,,,,,,,,,,
"36","高校生・一般","10月13日（日）","10:00","11:30","「組手(くで)障子」の技法で作る籠目模様の箸置き","生涯学習センター","34.34541065906359","134.05404503449154","「組手(くで)障子」の技法を用いて、籠目模様の箸置きを作ります。(☆籠目模様には昔から“魔除け”の力があると信じられています。)木と木が隙間なく、ぴたりと組み合わさる感覚をぜひ味わってみませんか？","受講料
500円
材料費
1,100円(1個につき 素材：ヒノキ)","申込先着
30人","9月6日（金）
9:00～","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/alacarte_lecture/syogaku202407311013.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"37","高校生・一般","10月19日（土）","13:30","15:00","健康につながる正しい姿勢を知ろう","生涯学習センター","34.34541065906359","134.05404503449154","正しい姿勢を習得することで、腰痛や膝痛等の予防につながります。あなたも正しい姿勢を身につけ、健康で楽しい人生を過ごしませんか？","無料","申込先着
60人","9月6日（金）
9:00～","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shougai_gakushu/manabican/taikeizu/r6-jigyoutaikei/csr/syogaku20241019.html","生涯学習センター","087-811-6222",,,,,,,,,,,,
"38","子ども・親子","10月24日（木）
～10月28日（月）","10:00","21:00","第6回たいせつな下水道作品展","瓦町FLAG8階
IKŌDE瓦町","34.33890424 ","134.05261739 ","市内の小中学生が制作した、マンホールふた絵画、書道及び標語の作品を展示するとともに、最優秀賞受賞者の表彰式を行います。
（表彰式は10月26日（土）午前11時開催予定。）","無料","—","作品募集　
9月10日（火）17：00期限","https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/jogesuido/oshirase/r6sakuhinboshu.html","下水道経営課","087-839-2765",,,,,,,,,,,,
"39","両方","①10月27日(日)
②11月6日(水)
③11月10日(日)
④11月17日(日)","10:00","12:00","令和６年度市民文化財教室「地域の暮らしを検証する」","①、③、④ 高松市生涯学習センター（まなびCAN）大研修室
②牟礼コミュニティセンター ホール１・２","①、③、④34.3462438078318
②34.33797517716555","①、③、④134.0540104417852
② 134.13921249404882","①負子を訪ねて～男木女木からアルプスまで
講師：四国民具研究会　会長 織野 英史
②石切りとアート
講師：彫刻家 アキホ タタ
③香東川左岸の農村水事情
講師：香川民俗学会　副会長 川崎 正視
④讃岐の儀礼食としてのうどん
講師：民俗作法研究会　会長 村尾 美江","文化財保護協会会員 800円
会員以外の方 1,000円
（全4回分）","45名","10月3日より（定員に達し次第受付終了）","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/shiminbunkazaikyoush.html","文化財課","087-839-2660",,,,,,,,,,,,
"40","子ども・親子","11月17日（日）","10:00","11:30","ひとり親パートナーズ パワーアップ講座 2024
『暮らしを見直す』
『ほいくのくに　part2』","高松大学・高松短期大学","34.329233452867","134.087559909391","経験豊かなゲストティーチャーが暮らしに役立つヒントやコツを紹介します。
高松大学・高松短期大学の学生さんたちが考えた遊びや体験プログラムを楽しみましょう。","無料","親子20組","定員になり次第締切","https://peraichi.com/landing_pages/view/kagawahitorioya","ひとり親パートナーズ事務局
（こども家庭課）","087-816-7700",,,,,,,,,,,,
"41","高校生・一般","11月30日（土）","13:30","15:30","夫婦から親同士になるために

～別居離婚後の共同養育を実践するコツ～","さぬきこどもの国研修室","34.2120320517826","134.016710622879","離婚後に、子どもと離れて暮らす親と子どもが会ったり、電話をしたり、手紙を送ったりして、親子の関係を維持することは、子どもの健やかな成長の助けとなります。離婚後の共同養育について、一緒に考えましょう!","無料","—","当日参加可","https://menkai-kagawa.com/","面会交流支援センター香川
（こども家庭課）","090-1006-1190",,,,,,,,,,,,
"42","両方","随時（要調整）","午前１０時～
午後９時の間で、１回当たり１時間から１時間３０分程度まで","午前１０時～
午後９時の間で、１回当たり１時間から１時間３０分程度まで","市政出前ふれあいトーク","申込者が確保してください（市内の会場に限ります）","34.34302611381956","134.04645514484957","職員が地域に出向き、市政の仕組みや事業などをわかりやすく説明する「市政出前ふれあいトーク」を実施しています。関心のあるテーマを選んで、お気軽にお申込みください。","無料","市内に在住か、通勤・通学している人で、20人程度の参加が見込める団体やグループ","実施希望日の2週間前まで","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/sodan/demaefureai.html","広聴広報・シティプロモーション課　市民相談コーナー","087-839-2111",,,,,,,,,,,,
"43","両方","日程調整し決定","１時間程度で、夜間の場合の終了時刻は、おおむね午後８時まで","１時間程度で、夜間の場合の終了時刻は、おおむね午後８時まで","市長まちかどトーク","申込者が確保してください（市内の会場に限ります）","34.34302611381956","134.04645514484957","市内で活動する各種団体と市長が、相互理解を深める機会として「市長まちかどトーク」を実施します。市長と率直な意見交換をしてみませんか？","無料","20人以上で構成される市民活動団体で、当日におおむね10人以上参加できる団体","R7/2月末","https://www.city.takamatsu.kagawa.jp/smph/kurashi/shichoushitsu/hatsugen/machikado/index.html","広聴広報・シティプロモーション課　市民相談コーナー","087-839-2111",,,,,,,,,,,,
"44","両方","高松市ホームページ上で公開中","—","—","★自主学習スペース情報★","高松市ホームページ上で公開中","34.3430261138195","134.046455144849","市有施設の一部を自主学習スペースとして提供しています。（詳細は各施設にお問い合わせください。）","—","—","—","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/shouchugakkou/gakushu/2021-10-7houdou.html
","生涯学習課","087-839-2633",,,,,,,,,,,,
"45","子ども・親子","高松市ホームページ上で公開中","—","—","家庭教育コラム『必見！！
家庭教育のススメ』","高松市ホームページ上で公開中","34.3430261138195","134.046455144849","家庭教育について、自分の都合に合わせて学ぶことができるよう、子育てに役立つちょっとしたヒントを定期的にお届けします！ぜひ、ご覧ください！！","—","—","—","https://www.city.takamatsu.kagawa.jp/smph/kurashi/kosodate/chiiki_kosodate/collum.html
","生涯学習課","087-839-2633",,,,,,,,,,,,
