#property,name,address,telephoneNumber,flood_L1,flood_L2,inundation,sedimentDisaster,stormSurge,tunami,fire,earthquake,evacuationSpace,jurisdiction,location,elevation,capacity,residentsAssociation
23,林小学校,高松市林町1108-1,087-865-6250,○,○,○,○,○,○,○,○,○,教育総務課,"34.30118417,134.07016472",13.8,315,林地区コミュニティ協議会
24,三渓小学校,高松市三谷町2173-1,087-889-0767,○,○,○,○,○,○,○,○,○,教育総務課,"34.27360944,134.06860472",28.4,234,三谷地区コミュニティ協議会
25,仏生山小学校,高松市仏生山町甲2461,087-889-0549,○,○,○,○,○,○,○,○,○,教育総務課,"34.27413944,134.04763694",41.2,405,仏生山地区コミュニティ協議会
26,多肥小学校,高松市多肥上町902-2,087-889-0537,○,○,○,○,○,○,○,○,○,教育総務課,"34.29231528,134.05300278",25.2,315,多肥地区コミュニティ協議会
27,一宮小学校,高松市一宮町672-1,087-885-1764,○,△,○,○,○,○,○,○,○,教育総務課,"34.29075917,134.02443861",33.5,405,一宮地区コミュニティ協議会
28,円座小学校,高松市円座町1630-2,087-885-2542,○,△,△,○,○,○,○,○,○,教育総務課,"34.28495667,134.00452389",38,301,円座校区コミュニティ協議会
29,川岡小学校,高松市川部町1552,087-885-1253,○,○,△,○,○,○,○,○,○,教育総務課,"34.26712278,134.00698528",53.4,315,川岡校区コミュニティ協議会
30,檀紙小学校,高松市御厩町816,087-885-1715,○,○,△,○,○,○,○,○,○,教育総務課,"34.30011306,133.99381611",26,405,檀紙地区コミュニティ協議会
31,弦打小学校,高松市鶴市町374-1,087-881-3523,△,△,○,○,○,○,○,○,○,教育総務課,"34.32895444,134.0047975",7.1,405,弦打校区コミュニティ協議会
32,鬼無小学校,高松市鬼無町佐藤607-1,087-881-2413,○,○,○,○,○,○,○,○,○,教育総務課,"34.32669889,133.98803778",21.9,315,鬼無地区コミュニティ協議会
33,香西小学校,高松市香西南町703-1,087-881-3214,○,△,△,○,△,△,○,○,○,教育総務課,"34.34546083,133.99790028",2.3,464,香西地区コミュニティ協議会
34,下笠居小学校,高松市生島町345,087-881-3011,○,○,○,○,○,○,○,○,○,教育総務課,"34.35779194,133.96827194",25.4,315,下笠居地区コミュニティ協議会
35,女木小学校,高松市女木町236-2,087-839-2611,○,○,○,○,△,○,○,△,○,教育総務課,"34.39200944,134.05349667",5.3,245,女木地区コミュニティ協議会
36,男木小・中学校,高松市男木町165,087-873-0506,○,○,○,△,○,○,○,○,○,教育総務課,"34.42010361,134.05682333",12.6,245,男木地区コミュニティ協議会
37,川島小学校,高松市川島東町864-1,087-848-0050,○,△,△,○,○,○,○,○,○,教育総務課,"34.27599278,134.08886111",21.3,315,川島校区コミュニティ協議会
38,十河小学校,高松市十川西町366-5,087-848-0319,○,○,○,○,○,○,○,○,○,教育総務課,"34.27514056,134.10269611",18.1,315,十河校区コミュニティ協議会
39,植田小学校,高松市西植田町2337,087-849-0103,○,○,○,×,○,○,○,○,○,教育総務課,"34.23884139,134.07888833",45.8,229,植田校区コミュニティ協議会
40,東植田小学校,高松市東植田町2008,087-849-0062,○,○,○,○,○,○,○,○,○,教育総務課,"34.23871667,134.09762556",50.7,245,東植田校区コミュニティ協議会
41,東植田小学校菅沢分校,高松市菅沢町339,087-839-2611,○,○,○,○,○,○,○,○,○,教育総務課,"34.19368583,134.09807139",323,168,東植田校区コミュニティ協議会
42,桜町中学校,高松市桜町2-12-4,087-861-1668,○,△,○,○,○,○,○,○,○,教育総務課,"34.32629472,134.05290722",6.2,390,栗林校区コミュニティ協議会
43,紫雲中学校,高松市紫雲町8-25,087-861-7144,○,△,△,○,△,△,○,○,○,教育総務課,"34.3410425,134.03407222",2.1,477,亀阜校区コミュニティ協議会
44,玉藻中学校,高松市上福岡町714-1,087-861-8196,○,△,○,○,△,△,○,○,○,教育総務課,"34.33427194,134.06648361",1.6,495,花園地区コミュニティ協議会
45,高松第一学園（高松第一小・中学校）,高松市松島町2-14-5,087-832-0311,○,○,△,○,△,△,○,○,○,教育総務課,"34.33868806,134.06216972",3.1,721,松島地区コミュニティ協議会
46,鶴尾中学校,高松市松並町639-1,087-867-3382,○,△,○,○,○,○,○,○,○,教育総務課,"34.31513694,134.02639333",17.1,375,鶴尾校区コミュニティ協議会
47,屋島中学校,高松市屋島中町295,087-841-2236,○,△,△,○,△,△,○,○,○,教育総務課,"34.34105528,134.10488833",1.8,362,屋島地区コミュニティ協議会
48,協和中学校,高松市元山町88-2,087-867-5937,○,△,○,○,○,○,○,○,○,教育総務課,"34.30690056,134.08575778",7.6,366,川添地区コミュニティ協議会
49,龍雲中学校,高松市出作町331-2,087-889-0131,○,○,○,○,○,○,○,○,○,教育総務課,"34.28317167,134.05085028",32,354,多肥地区コミュニティ協議会
50,勝賀中学校,高松市香西南町565,087-881-3141,○,△,△,○,△,○,○,○,○,教育総務課,"34.34179167,133.99928083",2.6,360,香西地区コミュニティ協議会
51,一宮中学校,高松市一宮町1185-1,087-885-1664,○,△,○,○,○,○,○,○,○,教育総務課,"34.29222583,134.0251275",32.3,396,一宮地区コミュニティ協議会
52,香東中学校,高松市円座町771,087-886-6580,○,△,○,○,○,○,○,○,○,教育総務課,"34.29535556,134.00882028",30.3,354,円座校区コミュニティ協議会
53,下笠居中学校,高松市生島町372-1,087-881-2621,○,○,○,○,○,○,○,○,○,教育総務課,"34.35771139,133.96664167",32,396,下笠居地区コミュニティ協議会
54,山田中学校,高松市川島東町1257-1,087-848-0071,○,○,○,○,○,○,○,○,○,教育総務課,"34.26812167,134.09285278",25.4,362,川島校区コミュニティ協議会
55,太田中学校,高松市太田下町1800,087-866-1370,○,○,○,○,○,○,○,○,○,教育総務課,"34.30634139,134.04597778",18.9,439,太田南地区コミュニティ協議会
56,古高松中学校,高松市新田町甲190-1,087-841-1577,○,△,△,○,△,○,○,○,○,教育総務課,"34.33263944,134.10308861",2.5,345,古高松地区コミュニティ協議会
57,木太中学校,高松市木太町5059-3,087-866-5588,○,○,○,○,○,○,○,○,○,教育総務課,"34.31392,134.06739",5.8,345,木太地区コミュニティ協議会
58,香川大学附属中学校（体育館）,高松市鹿角町394,087-886-2121,○,△,○,○,○,○,×,○,○,香川大学,"34.29923639,134.03327083",26.1,370,一宮地区コミュニティ協議会
59,高松第一高校,高松市桜町2-5-10,087-861-0244,○,△,○,○,○,○,○,○,○,高松第一高校,"34.32800556,134.05254889",5.2,953,栗林校区コミュニティ協議会
60,高松南高等学校（体育館）,高松市一宮町531,087-885-1131,○,△,○,○,○,○,×,○,○,県高校教育課,"34.285377,134.023029",37.5,600,一宮地区コミュニティ協議会
61,高松桜井高等学校（体育館）,高松市多肥上町1250,087-869-1010,○,○,○,○,○,○,×,○,○,県高校教育課,"34.29496222,134.05620222",23.2,760,多肥地区コミュニティ協議会
62,日新コミュニティセンター,高松市瀬戸内町22-9,087-834-9911,○,△,○,○,△,△,×,○,○,地域振興課,"34.3475725,134.03245556",1.8,101,日新地区コミュニティ協議会
63,二番丁コミュニティセンター,高松市扇町2-8-7,087-822-3556,○,△,○,○,△,△,×,○,○,地域振興課,"34.34451167,134.03650806",1.5,93,二番丁地区コミュニティ協議会
64,四番丁コミュニティセンター,高松市番町二丁目３－５,087-851-8479,○,○,○,○,△,○,×,○,○,地域振興課,"34.34355083,134.04488778",2.8,94,四番丁コミュニティ協議会
65,亀阜コミュニティセンター,高松市宮脇町1-6-18,087-834-0797,○,△,△,○,△,○,×,○,○,地域振興課,"34.33958444,134.03529167",2.5,111,亀阜校区コミュニティ協議会
66,栗林コミュニティセンター,高松市栗林町3-2-12,087-835-5399,○,○,○,○,○,○,×,○,○,地域振興課,"34.32886944,134.04799917",7.7,86,栗林校区コミュニティ協議会
67,花園コミュニティセンター,高松市観光通2-8-9,087-835-5398,○,○,○,○,△,○,×,○,○,地域振興課,"34.33607972,134.05686194",1.7,112,花園地区コミュニティ協議会
68,松島コミュニティセンター,高松市松福町2-15-24,087-821-0435,○,○,△,○,△,△,×,○,○,地域振興課,"34.34022667,134.06502778",1.5,123,松島地区コミュニティ協議会
69,築地コミュニティセンター,高松市築地町14-1,087-862-1166,○,○,△,○,△,△,×,○,○,地域振興課,"34.34125139,134.05681472",1.6,122,築地地区コミュニティ協議会
70,新塩屋町コミュニティセンター,高松市城東町1-1-47,087-822-1066,○,○,○,○,△,△,×,○,○,地域振興課,"34.34741472,134.05595611",2.2,95,新塩屋町地区コミュニティ協議会
71,鶴尾コミュニティセンター,高松市田村町303-1,087-866-3176,○,○,○,○,○,○,×,○,○,地域振興課,"34.31382333,134.03022889",18.4,84,鶴尾校区コミュニティ協議会
72,太田コミュニティセンター,高松市伏石町2016-37,087-867-1139,○,○,○,○,○,○,×,○,○,地域振興課,"34.318641, 134.054399",8.8,100,太田地区コミュニティ協議会
73,太田南コミュニティセンター,高松市太田上町1045-2,087-865-9947,○,○,○,○,○,○,×,○,○,地域振興課,"34.30185833,134.04128111",23.1,81,太田南地区コミュニティ協議会
74,太田中央コミュニティセンター,高松市松縄町1108-1,087-867-3396,○,○,○,○,○,○,×,○,○,地域振興課,"34.31384917,134.06404833",8.4,81,太田地区コミュニティ協議会
75,木太コミュニティセンター,高松市木太町3480-2,087-834-5547,○,△,○,○,△,△,×,○,○,地域振興課,"34.326186,134.076753",20.6,104,木太地区コミュニティ協議会
76,木太北部コミュニティセンター,高松市木太町2603,087-831-9000,○,△,○,○,△,△,×,○,○,地域振興課,"34.33559694,134.07944333",1,71,木太地区コミュニティ協議会
77,木太南コミュニティセンター,高松市木太町1486,087-865-4273,○,△,○,○,△,○,×,○,○,地域振興課,"34.31924611,134.07618028",3,74,木太地区コミュニティ協議会
78,古高松コミュニティセンター,高松市高松町10-20,087-841-6262,○,×,×,○,×,○,×,○,○,地域振興課,"34.33566417,134.10751306",2.9,90,古高松地区コミュニティ協議会
79,古高松南コミュニティセンター,高松市春日町782-2,087-841-2186,○,×,○,○,△,△,×,○,○,地域振興課,"34.32697333,134.09171194",2.4,69,古高松地区コミュニティ協議会
80,屋島コミュニティセンター,高松市屋島中町449-1,087-841-6927,○,△,△,○,△,○,×,○,○,地域振興課,"34.34371056,134.10129944",2.2,61,屋島地区コミュニティ協議会
81,屋島西コミュニティセンター,高松市屋島西町2483-2,087-843-2961,○,△,○,○,△,○,×,○,○,地域振興課,"34.35227583,134.08916139",3,80,屋島地区コミュニティ協議会
82,屋島東コミュニティセンター,高松市屋島東町928,087-841-9931,○,○,○,○,○,○,×,○,○,地域振興課,"34.35496778,134.11591722",10.5,75,屋島地区コミュニティ協議会
83,前田コミュニティセンター,高松市前田東町838,087-847-6168,○,○,△,○,○,○,×,○,○,地域振興課,"34.29657722,134.11259444",13.5,77,前田校区コミュニティ協議会
84,川添コミュニティセンター,高松市元山町136-4,087-847-5979,○,△,△,○,○,○,×,○,○,地域振興課,"34.30697278,134.08946833",8.6,118,川添地区コミュニティ協議会
85,林コミュニティセンター,高松市林町329-1,087-866-3405,○,○,○,○,○,○,×,○,○,地域振興課,"34.29767,134.07622",13.2,113,林地区コミュニティ協議会
86,三谷コミュニティセンター,高松市三谷町1201-1,087-889-4938,○,○,○,○,○,○,×,○,○,地域振興課,"34.27796722,134.06945722",26,143,三谷地区コミュニティ協議会
87,仏生山コミュニティセンター,高松市仏生山町乙45-4,087-889-4955,○,○,○,○,○,○,×,○,○,地域振興課,"34.27850556,134.04784528",36.6,121,仏生山地区コミュニティ協議会
88,多肥コミュニティセンター,高松市多肥上町433-5,087-889-4956,○,○,○,○,○,○,×,○,○,地域振興課,"34.29044611,134.05146667",26.9,89,多肥地区コミュニティ協議会
89,一宮コミュニティセンター,高松市一宮町838-1,087-886-4793,○,△,○,○,○,○,×,○,○,地域振興課,"34.29067333,134.02893556",33.9,153,一宮地区コミュニティ協議会
90,円座コミュニティセンター,高松市円座町1622-1,087-886-4993,○,△,○,○,○,○,×,○,○,地域振興課,"34.28543722,134.00547111",38.1,90,円座校区コミュニティ協議会
91,川岡コミュニティセンター,高松市川部町486-3,087-886-4963,○,△,○,○,○,○,×,○,○,地域振興課,"34.269316,134.009945",52.5,130,川岡校区コミュニティ協議会
92,檀紙コミュニティセンター,高松市御厩町775-1,087-886-4955,○,△,○,○,○,○,×,○,○,地域振興課,"34.30092139,133.99466861",24.1,99,檀紙地区コミュニティ協議会
93,弦打コミュニティセンター,高松市鶴市町356-3,087-882-0285,△,△,○,○,○,○,×,○,○,地域振興課,"34.32894333,134.00571417",7.1,131,弦打校区コミュニティ協議会
94,鬼無コミュニティセンター,高松市鬼無町佐藤31-3,087-882-0875,○,○,○,○,○,○,×,○,○,地域振興課,"34.32707667,133.99324306",12.8,127,鬼無地区コミュニティ協議会
95,香西コミュニティセンター,高松市香西本町476-1,087-882-0294,○,○,○,○,△,○,×,○,○,地域振興課,"34.34682444,133.99622",3.6,130,香西地区コミュニティ協議会
96,下笠居コミュニティセンター,高松市生島町353-1,087-882-0856,○,○,○,○,○,○,×,○,○,地域振興課,"34.35870861,133.96876639",24.2,230,下笠居地区コミュニティ協議会
97,女木コミュニティセンター,高松市女木町203-1,087-873-0105,○,○,○,○,○,○,×,○,○,地域振興課,"34.39210389,134.0517525",7.7,61,女木地区コミュニティ協議会
98,男木コミュニティセンター,高松市男木町1988,087-873-0002,○,○,○,○,×,○,×,○,○,地域振興課,"34.422622,134.054127",2.4,62,男木地区コミュニティ協議会
99,川島コミュニティセンター,高松市川島本町191-2,087-848-0054,○,○,○,○,○,○,×,○,○,地域振興課,"34.27605389,134.08523639",21.2,123,川島校区コミュニティ協議会
100,西植田コミュニティセンター,高松市西植田町2247-1,087-849-0101,○,○,○,○,○,○,×,○,○,地域振興課,"34.24028,134.07882694",41.8,73,植田校区コミュニティ協議会
101,東植田コミュニティセンター,高松市東植田町1825-1,087-849-0104,○,○,○,○,○,○,×,○,○,地域振興課,"34.23821417,134.09904472",51.8,92,東植田校区コミュニティ協議会
102,高松北高等（中）学校（体育館）,高松市牟礼町牟礼1583-1,087-845-2155,○,○,○,△,○,○,×,○,○,県高校教育課,"34.34605,134.1427625",42.2,550,むれコミュニティ協議会
103,牟礼中学校,高松市牟礼町牟礼46-2,087-845-9604,○,○,○,△,○,○,○,○,○,教育総務課,"34.33900083,134.14328222",31.8,452,むれコミュニティ協議会
104,牟礼コミュニティセンター,高松市牟礼町牟礼302-1,087-845-4111,○,○,○,○,○,○,×,○,○,地域振興課,"34.33782306,134.13914083",14.8,149,むれコミュニティ協議会
105,牟礼総合体育館,高松市牟礼町牟礼152-10,087-845-7060,○,○,○,×,○,○,×,○,○,スポーツ振興課,"34.34252806,134.14306528",37.9,1100,むれコミュニティ協議会
106,牟礼北小学校,高松市牟礼町牟礼2900-1,087-845-5742,○,○,○,○,○,○,○,○,○,教育総務課,"34.35012694,134.12606667",12.6,318,むれコミュニティ協議会
107,牟礼小学校,高松市牟礼町大町1560,087-845-9239,○,○,○,○,○,○,○,○,○,教育総務課,"34.33645944,134.14152389",15.1,348,むれコミュニティ協議会
108,牟礼中央公園運動センター,高松市牟礼町原1019-8,087-845-1563,○,○,○,○,○,○,○,○,○,スポーツ振興課,"34.32021139,134.15081806",27.6,360,むれコミュニティ協議会
109,牟礼南小学校,高松市牟礼町大町1115-1,087-845-9324,○,○,○,○,○,○,○,○,○,教育総務課,"34.33318222,134.15272861",13.3,261,むれコミュニティ協議会
110,はらこども園,高松市牟礼町原570-1,087-845-0234,○,○,○,○,○,○,×,○,,こども園運営課,"34.32863278,134.15596194",7.4,60,むれコミュニティ協議会
111,大町コミュニティセンター,高松市牟礼町大町1463-2,087-870-1306,○,○,○,○,○,○,×,○,○,地域振興課,"34.33609278,134.14272944",13.6,121,むれコミュニティ協議会
112,香川県立保健医療大学（体育館）,高松市牟礼町原281-1,087-870-1212,○,○,○,○,○,○,×,○,○,県立保健医療大学,"34.32183361,134.1581675",21.5,420,むれコミュニティ協議会
113,深間ふれあいセンター,高松市庵治町6391-17,-,○,○,○,×,○,○,×,○,,牟礼総合センター,"34.36844139,134.12065806",3.2,87,庵治地区コミュニティ協議会
114,庵治中学校,高松市庵治町691-1,087-871-2716,○,○,○,○,△,○,○,○,○,教育総務課,"34.38324278,134.13077056",2.7,441,庵治地区コミュニティ協議会
115,庵治小学校,高松市庵治町790-1,087-871-2581,○,○,○,○,△,○,○,○,○,教育総務課,"34.3844425,134.13185389",2.1,243,庵治地区コミュニティ協議会
116,庵治コミュニティセンター・庵治武道館,高松市庵治町888-1,087-871-4162,○,○,○,○,△,○,×,○,○,地域振興課,"34.3853175,134.12994833",3.3,226,庵治地区コミュニティ協議会
117,庵治小学校第二体育館,高松市庵治町866-4,087-871-2581,○,○,○,○,△,○,×,○,○,教育総務課,"34.38540639,134.13037611",3.1,387,庵治地区コミュニティ協議会
118,庵治やすらぎ会館,高松市庵治町6392-14,087-871-5111,○,○,○,○,△,○,×,○,,牟礼総合センター,"34.38297056,134.12712111",2.7,98,庵治地区コミュニティ協議会
119,庵治斎場,高松市庵治町1391,087-871-2539,○,○,○,○,○,○,×,○,,市民やすらぎ課,"34.39073917,134.13615889",36.2,80,庵治地区コミュニティ協議会
120,庵治第二小学校,高松市庵治町6034-1,087-871-5110,-,-,-,-,-,-,-,-,○,教育総務課,"34.40445917,134.10570278",2.7,182,庵治地区コミュニティ協議会
121,大野コミュニティセンター,高松市香川町大野1329-1,087-886-1960,○,○,○,○,○,○,×,○,○,地域振興課,"34.26717583,134.02466444",56.5,108,大野校区コミュニティ協議会
122,大野小学校,高松市香川町大野1045-1,087-885-2165,○,○,○,○,○,○,○,○,○,教育総務課,"34.26665917,134.02648639",57,336,大野校区コミュニティ協議会
123,浅野小学校,高松市香川町浅野3088,087-889-0215,○,○,○,△,○,○,○,○,○,教育総務課,"34.25967139,134.04174639",74.9,336,浅野校区コミュニティ協議会
124,浅野コミュニティセンター,高松市香川町浅野826-2,087-888-2537,○,○,○,○,○,○,×,○,○,地域振興課,"34.25664111,134.03568028",64.6,93,浅野校区コミュニティ協議会
125,香川総合体育館,高松市香川町川東下1917-1,087-879-8000,○,○,○,○,○,○,×,○,○,スポーツ振興課,"34.25499944,134.02794222",68.8,1136,川東校区コミュニティ協議会
126,川東コミュニティセンター,高松市香川町川東上1865-13,087-879-4215,○,○,○,○,○,○,×,○,○,地域振興課,"34.24133444,134.03397833",87.1,315,川東校区コミュニティ協議会
127,川東小学校,高松市香川町川東上1865-8,087-879-2012,○,○,○,○,○,○,○,○,○,教育総務課,"34.24127611,134.03575306",87.1,336,川東校区コミュニティ協議会
128,香川町グリーンセンター,高松市香川町川東上604-85,087-879-5597,○,○,○,×,○,○,×,○,,香川総合センター,"34.22676417,134.03776444",133.8,200,川東校区コミュニティ協議会
129,香川町多目的研修集会施設,高松市香川町安原下第３号194-1,087-879-7153,○,○,○,×,○,○,×,○,,農林水産課,"34.21197667,134.03136833",118,179,川東校区コミュニティ協議会
130,香川町高齢者活動促進センター,高松市香川町東谷159-1,087-879-7310,○,○,△,○,○,○,×,○,,農林水産課,"34.21657389,134.05046917",139.5,56,川東校区コミュニティ協議会
131,東谷コミュニティセンター,高松市香川町東谷873-3,087-879-7997,○,○,△,×,○,○,×,○,○,地域振興課,"34.20461444,134.06167694",179.3,31,川東校区コミュニティ協議会
132,香南小学校,高松市香南町横井1008,087-879-2269,○,○,○,○,○,○,○,○,○,教育総務課,"34.24104222,134.00912222",93,285,香南地区コミュニティ協議会
133,香南中学校,高松市香南町横井801,087-879-2064,○,○,○,○,○,○,○,○,○,教育総務課,"34.24334472,134.00856361",89.1,485,香南地区コミュニティ協議会
134,香南コミュニティセンター,高松市香南町由佐1167,087-879-8993,○,○,○,○,○,○,×,○,○,地域振興課,"34.23997,134.01318",82.1,141,香南地区コミュニティ協議会
135,由佐農村環境改善センター,高松市香南町由佐357-2,087-879-0115,○,○,○,○,○,○,×,○,○,農林水産課,"34.24024556,134.01889917",83.3,150,香南地区コミュニティ協議会
136,池西農村環境改善センター,高松市香南町池内522-1,087-879-3788,○,○,○,○,○,○,×,○,○,農林水産課,"34.245175,134.00035333",84.3,165,香南地区コミュニティ協議会
137,塩江コミュニティセンター,高松市塩江町安原下第２号1645,087-897-0137,○,○,○,×,○,○,×,○,○,地域振興課,"34.1963675,134.04155944",139.4,189,塩江地区コミュニティ協議会
138,安原小学校跡施設,高松市塩江町安原下第２号1684,087-839-2611,○,○,○,×,○,○,○,○,○,地域振興課,"34.19820889,134.04040667",137,225,塩江地区コミュニティ協議会
139,安原小学校　戸石分校跡施設,高松市塩江町安原下第２号857,087-839-2611,○,○,○,×,○,○,×,○,,教育総務課,"34.15596056,134.02463722",379,,塩江地区コミュニティ協議会
140,塩江支所　塩江連絡事務所,高松市塩江町安原上東３９４番地の２,087-893-0220,○,○,○,△,○,○,×,○,,香川総合センター,"34.1697325,134.08280667",206,24,塩江地区コミュニティ協議会
141,塩江小学校跡施設,高松市塩江町安原上東365,087-839-2611,○,○,○,×,○,○,○,○,○,地域振興課,"34.17048806,134.08330944",215,20,塩江地区コミュニティ協議会
142,椛川集会所,高松市塩江町安原上東字椛川2173-8,087-839-2184,○,○,○,○,○,○,×,○,,法人　椛川地域,"34.15379861,134.10119167",265,49,塩江地区コミュニティ協議会
143,塩江小・中学校,高松市塩江町安原上231,087-893-0032,○,○,△,○,○,○,○,○,○,教育総務課,"34.18143389,134.07422111",175,897,塩江地区コミュニティ協議会
144,塩江支所　上西連絡事務所,高松市塩江町上西乙549,087-893-0311,○,○,○,○,○,○,×,○,,香川総合センター,"34.15046528,134.07660778",276,16,塩江地区コミュニティ協議会
145,上西小学校跡施設,高松市塩江町上西乙461,087-839-2611,○,○,○,○,○,○,○,○,○,地域振興課,"34.15226222,134.07636056",266,143,塩江地区コミュニティ協議会
146,西山ふれあいセンター,高松市塩江町上西甲９４７番地３,087-893-0192,○,○,○,×,○,○,×,○,,香川総合センター,"34.12607917,134.07372833",392,38,塩江地区コミュニティ協議会
147,国分寺中学校,高松市国分寺町新居1131-1,087-874-0031,○,△,△,○,○,○,○,○,○,教育総務課,"34.29691,133.96432139",23.5,297,国分寺北部校区コミュニティ協議会
148,国分寺北部小学校,高松市国分寺町新居1880,087-874-1154,○,○,○,○,○,○,○,○,○,教育総務課,"34.30594222,133.9631825",26.5,383,国分寺北部校区コミュニティ協議会
149,国分寺北部コミュニティセンター,高松市国分寺町新居1840-6,087-874-5805,○,○,○,○,○,○,×,○,○,地域振興課,"34.30537556,133.96234361",26,294,国分寺北部校区コミュニティ協議会
150,国分寺中学校第二体育館,高松市国分寺町新居1155-7,087-874-4560,○,△,△,○,○,○,×,○,○,教育総務課,"34.29734611,133.96598806",23.6,380,国分寺北部校区コミュニティ協議会
151,新居東児童館,高松市国分寺町新居3371-1,087-874-6705,○,○,○,○,○,○,×,○,,子育て支援課,"34.30795889,133.97181222",31,70,国分寺北部校区コミュニティ協議会
152,国分寺文化センター,高松市国分寺町新居1423-1,087-874-4519,○,△,×,○,○,○,×,○,○,人権啓発課,"34.29960139,133.95921083",23,30,国分寺北部校区コミュニティ協議会
153,国分児童館,高松市国分寺町国分2150-7,087-874-3830,○,○,○,○,○,○,×,○,,子育て支援課,"34.30291167,133.94646167",34.2,70,国分寺北部校区コミュニティ協議会
154,国分寺南部小学校,高松市国分寺町福家甲3005,087-874-1160,○,△,△,○,○,○,○,○,○,教育総務課,"34.28308639,133.96142222",28.9,405,国分寺南部校区コミュニティ協議会
155,国分寺南部コミュニティセンター,高松市国分寺町福家甲3106-3,087-874-1116,○,△,△,○,○,○,×,○,○,地域振興課,"34.28410306,133.96101111",28.6,137,国分寺南部校区コミュニティ協議会
156,国分寺勤労青少年ホーム,高松市国分寺町福家甲3005,087-874-3982,○,×,△,○,○,○,×,○,○,スポーツ振興課,"34.28308639,133.96142222",28.4,180,国分寺南部校区コミュニティ協議会
