#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note,certifiedType,access,parkingInformation,capacity,acceptedAge,availableDate,startTime,endTime,availableDateNote,temporaryKeeping
45,34.316835,134.024336,西春日保育所,高松市西春日町1407,087-866-4166,https://kagawa-colorful.com/hoikusyo/h161/,,認定私立保育所,,,130,2か月～,月火水木金土,07:00,19:00,,有
46,34.304304,134.037996,太田西保育園,高松市太田下町2025,087-865-0601,https://kagawa-colorful.com/hoikusyo/h162/,,認定私立保育所,,,100,2か月～,月火水木金土,07:00,19:00,,無
47,34.309654,134.0631,こぶし中央保育園,高松市木太町5089-9,087-866-7169,https://kagawa-colorful.com/hoikusyo/h35/,,認定私立保育所,,,90,2か月～,月火水木金土,07:00,19:00,,有
48,34.350107,134.091559,あすなろ保育園,高松市屋島西町2453-6,087-843-3143,https://kagawa-colorful.com/hoikusyo/h36/,,認定私立保育所,,,180,3か月～,月火水木金土,07:00,20:00,,無
49,34.300415,134.115798,西光寺保育所,高松市前田西町167-1,087-847-6237,https://kagawa-colorful.com/hoikusyo/h164/,,認定私立保育所,,,110,2か月～,月火水木金土,07:00,19:00,,有
50,34.299537,134.092378,川添保育園,高松市下田井町52,087-847-5078,https://kagawa-colorful.com/hoikusyo/h165/,,認定私立保育所,,,120,3か月～,月火水木金土,07:00,19:00,,無
52,34.277465,134.030037,高松南保育園,高松市寺井町453-1,087-886-0275,https://kagawa-colorful.com/hoikusyo/h38/,,認定私立保育所,,,160,6か月～,月火水木金土,07:00,19:00,,無
53,34.284927,134.010137,円座百華保育園,高松市円座町1478-1,087-885-1203,https://kagawa-colorful.com/hoikusyo/h167/,,認定私立保育所,,,260,7か月～,月火水木金土,07:00,19:00,,無
54,34.306205,133.998614,高松西保育園,高松市檀紙町1521-4,087-886-5006,https://kagawa-colorful.com/hoikusyo/h40/,,認定私立保育所,,,130,2か月～,月火水木金土,07:00,19:00,,無
55,34.285075,134.110374,若葉保育園,高松市亀田南町108-2,087-847-7932,https://kagawa-colorful.com/hoikusyo/h168/,,認定私立保育所,,,130,3か月～,月火水木金土,07:00,19:00,,無
56,34.311827,134.08609,白樺保育園,高松市元山町855-2,087-866-6555,https://kagawa-colorful.com/hoikusyo/h41/,,認定私立保育所,,,120,3か月～,月火水木金土,07:00,19:00,,無
57,34.341315,134.06296,松福保育園,高松市松福町二丁目18-16,087-822-7605,https://kagawa-colorful.com/hoikusyo/h42/,,認定私立保育所,,,120,2か月～,月火水木金土,07:00,19:00,,有
58,34.320782,134.067903,さくらんぼ保育園,高松市木太町1165-3,087-867-4151,https://kagawa-colorful.com/hoikusyo/h43/,,認定私立保育所,,,60,1歳児～,月火水木金土,07:30,19:00,,無
59,34.263658,134.108531,すみれ保育園,高松市十川東町556-1,087-848-0806,https://kagawa-colorful.com/hoikusyo/h169/,,認定私立保育所,,,120,3か月～,月火水木金土,07:00,19:00,,無
60,34.343745,134.052287,高松第二保育園,高松市御坊町2-2,087-821-5241,https://kagawa-colorful.com/hoikusyo/h44/,,認定私立保育所,,,30,2か月～,月火水木金土,06:40,25:00,,有
61,34.327799,134.062199,今里保育所,高松市今里町二丁目1-5,087-834-3535,https://kagawa-colorful.com/hoikusyo/h45/,,認定私立保育所,,,130,2か月～,月火水木金土,07:00,19:00,,無
62,34.25728,134.035674,さんさん保育園,高松市香川町浅野834-1,087-888-6333,https://kagawa-colorful.com/hoikusyo/h170/,,認定私立保育所,,,110,3か月～,月火水木金土,07:00,19:00,,有
63,34.289495,133.952485,みよし保育園,高松市国分寺町柏原80,087-874-0622,https://kagawa-colorful.com/hoikusyo/h171/,,認定私立保育所,,,80,3か月～,月火水木金土,07:00,19:00,,無
64,34.274113,133.973116,みのり保育園,高松市国分寺町福家甲1982,087-874-4309,https://kagawa-colorful.com/hoikusyo/h172/,,認定私立保育所,,,150,3か月～,月火水木金土,07:00,19:00,,有
65,34.337967,134.130825,八栗保育所,高松市牟礼町牟礼401,087-845-0033,https://kagawa-colorful.com/hoikusyo/h173/,,認定私立保育所,,,70,2か月～,月火水木金土,07:30,18:30,,有
66,34.347055,134.055965,城東保育園,高松市城東町一丁目1-45,087-822-1340,https://kagawa-colorful.com/hoikusyo/h46/,,認定私立保育所,,,130,2か月～,月火水木金土,07:30,19:00,,有
67,34.334252,134.057679,こぶし花園保育園,高松市花園町一丁目9-32,087-831-5136,https://kagawa-colorful.com/hoikusyo/h47/,,認定私立保育所,,,90,2か月～,月火水木金土,07:30,19:00,,無
68,0,0,,,,,,,,,,,,,,,
69,34.287693,134.05974,れんげ保育園,高松市多肥上町2390-1,087-888-8080,https://kagawa-colorful.com/hoikusyo/h49/,,認定私立保育所,,,90,3か月～,月火水木金土,07:00,19:00,,無
70,34.308543,134.056433,さくら伏石保育園,高松市伏石町2135-3,087-867-1100,https://kagawa-colorful.com/hoikusyo/h50/,,認定私立保育所,,,90,3か月～,月火水木金土,07:00,20:00,,無
71,34.323827,134.092254,らく楽保育園,高松市春日町483-1,087-844-0111,https://kagawa-colorful.com/hoikusyo/h51/,,認定私立保育所,,,110,3か月～,月火水木金土,07:30,19:00,,無
72,34.349557,134.003925,初音保育所,高松市香西本町17-1,087-813-3258,https://kagawa-colorful.com/hoikusyo/h52/,,認定私立保育所,,,180,2か月～,月火水木金土日,07:30,19:00,,有
73,34.308532,134.067283,さくら木太保育園,高松市木太町5113-15,087-802-8080,https://kagawa-colorful.com/hoikusyo/h260/,,認定私立保育所,,,99,3か月～,月火水木金土,07:00,20:00,,無
74,0,0,,,,,,,,,,,,,,,
75,34.333051,134.055788,高松くりの木保育園,高松市花園町三丁目4-5,087-880-7211,https://kagawa-colorful.com/hoikusyo/h268/,,認定私立保育所,,,105,3か月～,月火水木金土,07:00,19:00,,無
76,34.343232,134.065675,らく楽第二保育園,高松市松福町二丁目4-4,087-826-0111,https://kagawa-colorful.com/hoikusyo/h269/,,認定私立保育所,,,72,3か月～,月火水木金土,07:30,19:00,,無
77,34.291607,134.075471,あさがお保育園,高松市上林町69,087-899-5660,https://kagawa-colorful.com/hoikusyo/h276/,,認定私立保育所,,,120,３か月～,月火水木金土,07:30,19:00,,有
78,34.3051941,134.0610552,保育園アルペジオ高松多肥下町園,高松市多肥下町1524-15,087-802-5583,https://kagawa-colorful.com/hoikusyo/h288/,,認定私立保育所,,,80,6か月,月火水木金土,07:30,19:30,,有
79,34.3034175,134.0533292,さくら太田保育園,高松市太田下町3032-1,087-868-3700,https://kagawa-colorful.com/hoikusyo/h289/,,認定私立保育所,,,96,3か月,月火水木金土,07:00,20:00,,無
80,34.3064057,134.042294,にこにこ保育園,高松市林町294-1,087-813-8300,https://kagawa-colorful.com/hoikusyo/h308/,,認可私立保育所,,,72,おおむね2か月～,月火水木金土,07:30,19:00,,有
81,34.3047038,134.0565783,あい保育園太田,高松市太田下町3027-3,087-802-9065,https://kagawa-colorful.com/hoikusyo/h312/,,認可私立保育所,,,100,３か月～,月火水木金土,07:00,20:00,,無
82,34.3431504,134.0615252,さくら福々保育園,高松市松福町一丁目229-55,087-802-1860,,,認可私立保育所,,,96,３か月～,月火水木金土,07:00,20:00,,無
83,34.292144,134.066237,サンシャインこどもの森,高松市上林町502-2,087-889-8181,https://kagawa-colorful.com/hoikusyo/h147/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
84,34.303319,133.949144,いずみこども園,高松市国分寺町国分2408,087-874-0882,https://kagawa-colorful.com/hoikusyo/h148,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 100,1号認定 満3歳～、2・3号認定 3か月～,月火水木金土,07:00,20:00,,有
85,34.304328,133.97246,いずみこども園分園,高松市国分寺町新居281-1,087-875-0882,https://kagawa-colorful.com/hoikusyo/h211,,認定こども園（幼保連携型）,,,2・3号認定 20,2・3号認定 3か月～,月火水木金土,07:30,18:30,,有
86,34.327571,134.087355,認定こども園高松東幼稚園,高松市春日町688,087-841-2306,https://kagawa-colorful.com/hoikusyo/h262,,認定こども園（幼保連携型）,,,1号認定 284、2・3号認定 166,1号認定 満3歳～、2・3号認定 3か月～,月火水木金土,07:00,19:00,,無
87,34.325356,134.099079,認定こども園新田幼稚園,高松市新田町甲2630-1,087-841-3686,https://kagawa-colorful.com/hoikusyo/h263,,認定こども園（幼保連携型）,,,1号認定 75、2・3号認定 57,1号認定 3歳児～、2・3号認定 6か月～,月火水木金土,07:30,19:00,,有
88,34.268464,134.006758,認定こども園和光こども園,高松市川部町1561-1,087-886-5879,https://kagawa-colorful.com/hoikusyo/h39/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 100,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:00,19:00,,無
89,34.331077,134.094275,認定こども園春日こども園,高松市春日町1287-1,087-843-3689,https://kagawa-colorful.com/hoikusyo/h163/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 160,1号認定 3歳児～、2・3号認定 2か月～,月火水木金土,07:00,19:00,,有
90,34.326539,134.047837,認定こども園花ノ宮こども園,高松市花ノ宮町一丁目10-22,087-831-6318,https://kagawa-colorful.com/hoikusyo/h175/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 110,1号認定 3歳児～、2・3号認定 2か月～,月火水木金土,07:00,19:00,,無
91,34.333461,134.04506,認定こども園中野保育所,高松市中野町27-5,087-831-8659,https://kagawa-colorful.com/hoikusyo/h174/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 160,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:30,,有
92,34.279891,134.042395,幼保連携型認定こども園カナン保育園,高松市仏生山町甲745-2,087-889-1059,https://kagawa-colorful.com/hoikusyo/h166/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:00,19:00,,無
93,34.292691,134.0352,幼保連携型認定こども園すまいる,高松市三名町591-1,087-802-3838,https://kagawa-colorful.com/hoikusyo/h275/,,認定こども園（幼保連携型）,,,1号認定 75、2・3号認定 75,1号認定 3歳児～、2・3号認定 6か月～,月火水木金土,07:30,19:00,,無
94,34.2936161,134.0789214,げんき・結愛・げんきこども園,高松市六条町604番地7,087-813-9818,https://kagawa-colorful.com/hoikusyo/h37/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 217,1号認定 3歳児～、2・3号認定 おおむね2か月～,月火水木金土,07:00,19:00,,無
95,34.2734776,134.1024882,幼保連携型カナン十河こども園,高松市十川西町546-1,087-848-0320,https://kagawa-colorful.com/hoikusyo/h48/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 110,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
96,34.3064057,134.042294,幼保連携型認定こども園高松和貴こども園,高松市林町2197-1,087-814-4141,https://kagawa-colorful.com/hoikusyo/h313/,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 165,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:00,19:00,,無
97,34.3264572,134.0769366,みらい学園,高松市木太町3429-3,087-899-2305,,,認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 75,1号認定 3歳児～、2・3号認定 6か月～,月火水木金土,07:30,19:00,,無
98,34.353781,134.091115,認定こども園やしま幼稚園,高松市屋島西町2477-4,087-843-2241,https://kagawa-colorful.com/hoikusyo/h149,,認定こども園（幼稚園型）,,,1号認定 228、2・3号認定 72,1号認定 満3歳～、2・3号認定 18か月～,月火水木金土,07:45,19:00,,無
99,34.338923,134.031483,高松聖ヤコブ幼稚園,高松市西宝町二丁目3-14,087-861-0425,https://kagawa-colorful.com/hoikusyo/h249,,認定こども園（幼稚園型）,,,1号認定 135、2号認定 15,1号認定 満3歳～、2号認定 3歳児～,月火水木金土,07:30,18:30,,無
100,34.338702,134.038281,認定こども園亀阜幼稚園,宮脇町一丁目2-23,087-831-2557,https://kagawa-colorful.com/hoikusyo/h252,,認定こども園（幼稚園型）,,,1号認定 109、2・3号認定 99,1号認定 満3歳～、2・3号認定 1歳児～,月火水木金土,07:30,19:00,,無
101,34.279836,134.022373,らく楽寺井幼稚園,高松市寺井町1369-4,087-885-2038,https://kagawa-colorful.com/hoikusyo/h264,,認定こども園（幼稚園型）,,,1号認定 112、2・3号認定 128,1号認定 満3歳～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,無
102,34.334019,134.114815,幼稚園型認定こども園つくし幼稚園,高松市高松町1711-7,087-843-4484,https://kagawa-colorful.com/hoikusyo/h272/,,認定こども園（幼稚園型）,,,1号認定 274、2・3号認定 48,1号認定 満3歳～、2・3号認定 2歳児～,月火水木金土,07:30,19:00,,無
103,34.304505,134.021922,認定こども園勅使百華幼稚園,高松市勅使町955,087-865-9419,https://kagawa-colorful.com/hoikusyo/h273/,,認定こども園（幼稚園型）,,,1号認定 265、2・3号認定 51,1号認定 満3歳～、2・3号認定 18か月～,月火水木金土,07:30,18:30,,無
104,34.235856,133.994046,カナン空港こども園,高松市香南町西庄1671-2,087-815-8072,https://kagawa-colorful.com/%253Fpage_id%253D3202,,地域型保育事業（小規模保育事業A型）,,,18,3か月～2歳児,月火水木金土,07:15,18:15,,無
105,34.332072,134.049227,栗林にこにこ保育園,高松市栗林町二丁目3-2,087-831-1319,https://kagawa-colorful.com/hoikusyo/%25E6%25A0%2597%25E6%259E%2597%25E3%2581%25AB%25E3%2581%2593%25E3%2581%25AB%25E3%2581%2593%25E4%25BF%259D%25E8%2582%25B2%25E5%259C%2592/,,地域型保育事業（小規模保育事業A型）,,,12,おおむね2か月～2歳児,月火水木金土,07:30,19:00,,有
106,34.332365,134.097201,小規模保育所もも,高松市春日町1176,087-843-8255,https://kagawa-colorful.com/hoikusyo/%25E5%25B0%258F%25E8%25A6%258F%25E6%25A8%25A1%25E4%25BF%259D%25E8%2582%25B2%25E6%2589%2580%25E3%2580%2580%25E3%2582%2582%25E3%2582%2582/,,地域型保育事業（小規模保育事業A型）,,,9,2か月～2歳児,月火水木金土,07:30,18:30,,無
107,34.288288,134.059379,らく楽多肥保育園,高松市多肥上町1713,087-816-8301,https://kagawa-colorful.com/hoikusyo/らく楽多肥保育園/,,地域型保育事業（小規模保育事業A型）,,,12,3か月～2歳児,月火水木金土,07:30,19:00,,無
108,34.316351,134.073388,ソラ小規模保育園たかまつ,高松市木太町786-2,087-816-5150,https://kagawa-colorful.com/hoikusyo/ソラ小規模保育園たかまつ/,,地域型保育事業（小規模保育事業A型）,,,19,54日～2歳児,月火水木金土,07:00,19:00,,無
109,34.303424,134.060713,ニチイキッズたひ東保育園,高松市多肥下町1533-3,087-864-3133,https://kagawa-colorful.com/hoikusyo/ニチイキッズたひ東/,,地域型保育事業（小規模保育事業A型）,,,19,2か月～2歳児,月火水木金土,07:30,19:30,,無
110,34.298947,134.055734,ニチイキッズたひ西保育園,高松市多肥下町1581-6,087-815-0224,https://kagawa-colorful.com/hoikusyo/ニチイキッズたひ西/,,地域型保育事業（小規模保育事業A型）,,,19,2か月～2歳児,月火水木金土,07:30,19:30,,無
111,34.37717,134.122418,おるごーる,高松市庵治町156-36,087-871-3503,https://kagawa-colorful.com/hoikusyo/オルゴール/,,地域型保育事業（小規模保育事業A型）,,,11,おおむね2か月～2歳児,月火水木金土,07:30,18:30,,無
112,34.2899,134.05856,にじいろうさぎ保育園,高松市多肥上町1622-13,087-889-3711,https://kagawa-colorful.com/hoikusyo/にじいろうさぎ保育園/,,地域型保育事業（小規模保育事業A型）,,,9,おおむね2か月～2歳児,月火水木金土,07:30,18:30,,有
113,34.336075,134.072522,木太にこにこ保育園,高松市木太町2321-1,087-837-5330,https://kagawa-colorful.com/hoikusyo/木太にこにこ保育園/,,地域型保育事業（小規模保育事業A型）,,,12,おおむね2か月～2歳児,月火水木金土,07:30,19:00,,有
114,34.311371,134.055948,伏石にこにこ保育園,高松市伏石町2100-1,087-868-3339,https://kagawa-colorful.com/hoikusyo/伏石にこにこ保育園/,,地域型保育事業（小規模保育事業A型）,,,12,おおむね2か月～2歳児,月火水木金土,07:30,19:00,,有
115,34.316136,134.061202,ニチイキッズまつなわ西保育園,高松市松縄町1118-8,087-864-3155,https://kagawa-colorful.com/hoikusyo/ニチイキッズまつなわ西保育園/,,地域型保育事業（小規模保育事業A型）,,,19,2か月～2歳児,月火水木金土,07:30,19:30,,無
116,34.3049893,134.0560416,太田にこにこ保育園,高松市太田下町3026-13,087-868-2355,https://kagawa-colorful.com/hoikusho/%E5%A4%AA%E7%94%B0%E3%81%AB%E3%81%93%E3%81%AB%E3%81%93%E4%BF%9D%E8%82%B2%E5%9C%92/,,地域型保育事業（小規模保育事業A型）,,,19,おおむね2か月～2歳児,月火水木金土,07:30,19:00,,有
117,34.2989616,134.0640027,林にこにこ保育園,高松市林町252-1,087-868-0103,https://kagawa-colorful.com/hoikusho/%E6%9E%97%E3%81%AB%E3%81%93%E3%81%AB%E3%81%93%E4%BF%9D%E8%82%B2%E5%9C%92/,,地域型保育事業（小規模保育事業A型）,,,19,おおむね2か月～2歳児,月火水木金土,07:30,19:00,,有
118,34.2612106,134.0367875,保育の家みいろ,高松市香川町浅野668-5,087-880-3274,https://kagawa-colorful.com/hoikusho/%E4%BF%9D%E8%82%B2%E3%81%AE%E5%AE%B6%E3%81%BF%E3%81%84%E3%82%8D/,,地域型保育事業（小規模保育事業A型）,,,12,３か月～2歳児,月火水木金土,07:30,18:30,,有
119,34.3389027,134.052851,瓦町FLAG保育園,高松市常磐町一丁目3-1瓦町FLAG1F,087-802-6966,https://kagawa-colorful.com/hoikusyo/%E7%93%A6%E7%94%BAFLAG%E4%BF%9D%E8%82%B2%E5%9C%92/,,地域型保育事業（小規模保育事業A型）,,,18,３か月～2歳児,月火水木金土,07:30,19:00,,無
120,34.340379,134.044986,院内保育所てふてふ,高松市天神前5-6 高松メディカルモール,087-813-0218,https://kagawa-colorful.com/hoikusyo/%25E9%2599%25A2%25E5%2586%2585%25E4%25BF%259D%25E8%2582%25B2%25E6%2589%2580%25E3%2580%2580%25E3%2581%25A6%25E3%2581%25B5%25E3%2581%25A6%25E3%2581%25B5/,,地域型保育事業（事業所内保育事業）,,,7,6か月～2歳児,月火水木金土,07:30,18:30,,無
