#property,applicableDate,affiliationCode,bureau,department,division,office,unit,affiliationName,telephoneNumber,mechanismCd,mechanismName
45,2021-04-01,1017500000,市民政策局,,市民課,,,市民政策局市民課,087-839-2282,08,課
46,2021-04-01,1017501000,市民政策局,,市民課,市民サービスセンター,,市民政策局市民課市民サービスセンター,087-863-2888,09,室・出先
47,2021-04-01,1017600000,市民政策局,,人権啓発課,,,市民政策局人権啓発課,087-839-2292,08,課
48,2021-04-01,1017601000,市民政策局,,人権啓発課,上天神文化センター,,市民政策局人権啓発課上天神文化センター,087-866-2494,09,室・出先
49,2021-04-01,1017602000,市民政策局,,人権啓発課,田村文化センター,,市民政策局人権啓発課田村文化センター,087-867-6904,09,室・出先
50,2021-04-01,1017603000,市民政策局,,人権啓発課,中川文化センター,,市民政策局人権啓発課中川文化センター,087-847-5896,09,室・出先
51,2021-04-01,1017604000,市民政策局,,人権啓発課,中原文化センター,,市民政策局人権啓発課中原文化センター,087-848-1090,09,室・出先
52,2021-04-01,1017605000,市民政策局,,人権啓発課,吉光文化センター,,市民政策局人権啓発課吉光文化センター,087-879-6244,09,室・出先
53,2021-04-01,1017605500,市民政策局,,人権啓発課,吉光児童館,,市民政策局人権啓発課吉光児童館,087-879-6041,09,室・出先
54,2021-04-01,1017606000,市民政策局,,人権啓発課,国分寺文化センター,,市民政策局人権啓発課国分寺文化センター,087-874-4519,09,室・出先
55,2021-04-01,1017606500,市民政策局,,人権啓発課,新居児童館,,市民政策局人権啓発課新居児童館,087-874-3533,09,室・出先
56,2021-04-01,1017607000,市民政策局,,人権啓発課,平和記念館,,市民政策局人権啓発課平和記念館,087-833-2211,09,室・出先
57,2021-04-01,1500000000,総務局,,,,,総務局,,05,局
58,2021-04-01,1510100000,総務局,,秘書課,,,総務局秘書課,087-839-2131,08,課
59,2021-04-01,1510200000,総務局,,総務課,,,総務局総務課,087-839-2181,08,課
60,2021-04-01,1510201000,総務局,,総務課,公文書館,,総務局総務課公文書館,087-874-4147,09,室・出先
61,2021-04-01,1510300000,総務局,,コンプライアンス推進課,,,総務局コンプライアンス推進課,087-839-2155,08,課
62,2021-04-01,1510400000,総務局,,人事課,,,総務局人事課,087-839-2144,08,課
63,2021-04-01,1510401000,総務局,,人事課,行政改革推進室,,総務局人事課行政改革推進室,087-839-2160,09,室・出先
64,2021-04-01,1510500000,総務局,,危機管理課,,,総務局危機管理課,087-839-2184,08,課
65,2021-04-01,1520000000,総務局,デジタル推進部,,,,総務局デジタル推進部,,06,部
66,2021-04-01,1520100000,総務局,デジタル推進部,デジタル戦略課,,,総務局デジタル推進部デジタル戦略課,087-839-2172,08,課
67,2021-04-01,1520200000,総務局,デジタル推進部,情報マネジメント課,,,総務局デジタル推進部情報マネジメント課,087-839-2170,08,課
68,2021-04-01,1530100000,総務局,,広聴広報課,,,総務局広聴広報課,087-839-2160,08,課
69,2021-04-01,2000000000,財政局,,,,,財政局,,05,局
70,2021-04-01,2010100000,財政局,,財政課,,,財政局財政課,087-839-2191,08,課
71,2021-04-01,2010200000,財政局,,契約監理課,,,財政局契約監理課,087-839-2252,08,課
72,2021-04-01,2010201000,財政局,,契約監理課,技術検査室,,財政局契約監理課技術検査室,087-839-2514,09,室・出先
73,2021-04-01,2010300000,財政局,,財産経営課,,,財政局財産経営課,087-839-2255,08,課
74,2021-04-01,2010302000,財政局,,財産経営課,ファシリティマネジメント推進室,,財政局財産経営課ファシリティマネジメント推進室,087-839-2262,09,室・出先
75,2021-04-01,2020000000,財政局,税務部,,,,財政局税務部,,06,部
76,2021-04-01,2020100000,財政局,税務部,納税課,,,財政局税務部納税課,087-839-2222,08,課
77,2021-04-01,2020101000,財政局,税務部,納税課,債権回収室,,財政局税務部納税課債権回収室,087-839-2223,09,室・出先
78,2021-04-01,2020200000,財政局,税務部,市民税課,,,財政局税務部市民税課,087-839-2233,08,課
79,2021-04-01,2020300000,財政局,税務部,資産税課,,,財政局税務部資産税課,087-839-2244,08,課
80,2021-04-01,2500000000,健康福祉局,,,,,健康福祉局,,05,局
81,2021-04-01,2510100000,健康福祉局,,健康福祉総務課,,,健康福祉局健康福祉総務課,087-839-2372,08,課
82,2021-04-01,2510101000,健康福祉局,,健康福祉総務課,地域共生社会推進室,,健康福祉局健康福祉総務課地域共生社会推進室,087-839-2372,09,室・出先
83,2021-04-01,2510200000,健康福祉局,,国保・高齢者医療課,,,健康福祉局国保・高齢者医療課,087-839-2311,08,課
84,2021-04-01,2510200500,健康福祉局,,国保・高齢者医療課,国民健康保険女木診療所,,健康福祉局国保・高齢者医療課国民健康保険女木診療所,087-873-0103,09,室・出先
85,2021-04-01,2510201000,健康福祉局,,国保・高齢者医療課,国民健康保険男木診療所,,健康福祉局国保・高齢者医療課国民健康保険男木診療所,087-873-0003,09,室・出先
86,2021-04-01,2520000000,健康福祉局,福祉事務所,,,,健康福祉局福祉事務所,,06,部
87,2021-04-01,2520100000,健康福祉局,福祉事務所,障がい福祉課,,,健康福祉局福祉事務所障がい福祉課,087-839-2333,08,課
88,2021-04-01,2520200000,健康福祉局,福祉事務所,生活福祉課,,,健康福祉局福祉事務所生活福祉課,087-839-2343,08,課
89,2021-04-01,2523000000,健康福祉局,長寿福祉部,,,,健康福祉局長寿福祉部,,06,部
90,2021-04-01,2526000000,健康福祉局,福祉事務所,,,,健康福祉局福祉事務所,,06,部
91,2021-04-01,2526100000,健康福祉局,福祉事務所,長寿福祉課,,,健康福祉局福祉事務所長寿福祉課,087-839-2346,08,課
92,2021-04-01,2530200000,健康福祉局,,介護保険課,,,健康福祉局介護保険課,087-839-2326,08,課
93,2021-04-01,2530300000,健康福祉局,,地域包括支援センター,,,健康福祉局地域包括支援センター,087-839-2811,08,課
94,2021-04-01,2535000000,健康福祉局,福祉事務所,,,,健康福祉局福祉事務所,,06,部
95,2021-04-01,2535100000,健康福祉局,福祉事務所,子育て支援課,,,健康福祉局福祉事務所子育て支援課,087-839-2354,08,課
96,2021-04-01,2535150000,健康福祉局,福祉事務所,こども女性相談課,,,健康福祉局福祉事務所こども女性相談課,087-839-2384,08,課
97,2021-04-01,2535200000,健康福祉局,福祉事務所,こども家庭課,,,健康福祉局福祉事務所こども家庭課,087-839-2353,08,課
98,2021-04-01,2540000000,健康福祉局,こども未来部,,,,健康福祉局こども未来部,,06,部
99,2021-04-01,2540300000,健康福祉局,こども未来部,こども保育教育課,,,健康福祉局こども未来部こども保育教育課,087-839-2358,08,課
100,2021-04-01,2540300500,健康福祉局,こども未来部,こども保育教育課,施設対策室,,健康福祉局こども未来部こども保育教育課施設対策室,087-839-2359,09,室・出先
101,2021-04-01,2540300800,健康福祉局,こども未来部,こども保育教育課,運営支援室,,健康福祉局こども未来部こども保育教育課運営支援室,087-839-2368,09,室・出先
102,2021-04-01,2540301100,健康福祉局,こども未来部,こども保育教育課,瀬戸内保育所,,健康福祉局こども未来部こども保育教育課瀬戸内保育所,087-861-5701,09,室・出先
103,2021-04-01,2540301200,健康福祉局,こども未来部,こども保育教育課,扇町保育所,,健康福祉局こども未来部こども保育教育課扇町保育所,087-821-7629,09,室・出先
104,2021-04-01,2540301300,健康福祉局,こども未来部,こども保育教育課,中野保育所,,健康福祉局こども未来部こども保育教育課中野保育所,,09,室・出先
105,2021-04-01,2540301400,健康福祉局,こども未来部,こども保育教育課,宮脇保育所,,健康福祉局こども未来部こども保育教育課宮脇保育所,087-835-1636,09,室・出先
106,2021-04-01,2540301500,健康福祉局,こども未来部,こども保育教育課,花園保育所,,健康福祉局こども未来部こども保育教育課花園保育所,,09,室・出先
107,2021-04-01,2540301600,健康福祉局,こども未来部,こども保育教育課,花ノ宮保育所,,健康福祉局こども未来部こども保育教育課花ノ宮保育所,,09,室・出先
108,2021-04-01,2540301700,健康福祉局,こども未来部,こども保育教育課,松島保育所,,健康福祉局こども未来部こども保育教育課松島保育所,087-831-8066,09,室・出先
109,2021-04-01,2540301800,健康福祉局,こども未来部,こども保育教育課,福岡保育所,,健康福祉局こども未来部こども保育教育課福岡保育所,087-851-1206,09,室・出先
110,2021-04-01,2540301900,健康福祉局,こども未来部,こども保育教育課,桜町保育所,,健康福祉局こども未来部こども保育教育課桜町保育所,087-834-3628,09,室・出先
111,2021-04-01,2540302000,健康福祉局,こども未来部,こども保育教育課,城東保育所,,健康福祉局こども未来部こども保育教育課城東保育所,,09,室・出先
112,2021-04-01,2540302100,健康福祉局,こども未来部,こども保育教育課,田村保育所,,健康福祉局こども未来部こども保育教育課田村保育所,087-866-0962,09,室・出先
113,2021-04-01,2540302200,健康福祉局,こども未来部,こども保育教育課,鶴尾保育所,,健康福祉局こども未来部こども保育教育課鶴尾保育所,087-865-6342,09,室・出先
114,2021-04-01,2540302300,健康福祉局,こども未来部,こども保育教育課,太田保育所,,健康福祉局こども未来部こども保育教育課太田保育所,087-867-5741,09,室・出先
115,2021-04-01,2540302400,健康福祉局,こども未来部,こども保育教育課,木太保育所,,健康福祉局こども未来部こども保育教育課木太保育所,087-861-2650,09,室・出先
116,2021-04-01,2540302500,健康福祉局,こども未来部,こども保育教育課,古高松保育所,,健康福祉局こども未来部こども保育教育課古高松保育所,087-841-9845,09,室・出先
117,2021-04-01,2540302800,健康福祉局,こども未来部,こども保育教育課,下笠居東部保育所,,健康福祉局こども未来部こども保育教育課下笠居東部保育所,087-881-4752,09,室・出先
118,2021-04-01,2540302900,健康福祉局,こども未来部,こども保育教育課,香西保育所,,健康福祉局こども未来部こども保育教育課香西保育所,087-881-2328,09,室・出先
119,2021-04-01,2540303000,健康福祉局,こども未来部,こども保育教育課,弦打保育所,,健康福祉局こども未来部こども保育教育課弦打保育所,087-881-2552,09,室・出先
120,2021-04-01,2540303100,健康福祉局,こども未来部,こども保育教育課,鬼無保育所,,健康福祉局こども未来部こども保育教育課鬼無保育所,087-881-2844,09,室・出先
121,2021-04-01,2540303200,健康福祉局,こども未来部,こども保育教育課,三谷保育所,,健康福祉局こども未来部こども保育教育課三谷保育所,087-889-0720,09,室・出先
122,2021-04-01,2540303300,健康福祉局,こども未来部,こども保育教育課,多肥保育所,,健康福祉局こども未来部こども保育教育課多肥保育所,087-889-0475,09,室・出先
123,2021-04-01,2540303500,健康福祉局,こども未来部,こども保育教育課,女木保育所,,健康福祉局こども未来部こども保育教育課女木保育所,,09,室・出先
124,2021-04-01,2540303600,健康福祉局,こども未来部,こども保育教育課,小規模保育事業所男木保育所,,健康福祉局こども未来部こども保育教育課小規模保育事業所男木保育所,087-873-0614,09,室・出先
125,2021-04-01,2540303800,健康福祉局,こども未来部,こども保育教育課,十河保育所,,健康福祉局こども未来部こども保育教育課十河保育所,,09,室・出先
126,2021-04-01,2540303900,健康福祉局,こども未来部,こども保育教育課,西植田保育所,,健康福祉局こども未来部こども保育教育課西植田保育所,087-849-0102,09,室・出先
127,2021-04-01,2540304000,健康福祉局,こども未来部,こども保育教育課,東植田保育所,,健康福祉局こども未来部こども保育教育課東植田保育所,087-849-0082,09,室・出先
128,2021-04-01,2540304100,健康福祉局,こども未来部,こども保育教育課,牟礼保育所,,健康福祉局こども未来部こども保育教育課牟礼保育所,087-845-1647,09,室・出先
129,2021-04-01,2540304200,健康福祉局,こども未来部,こども保育教育課,田井保育所,,健康福祉局こども未来部こども保育教育課田井保育所,087-845-5411,09,室・出先
130,2021-04-01,2540304300,健康福祉局,こども未来部,こども保育教育課,大野保育所,,健康福祉局こども未来部こども保育教育課大野保育所,087-886-9356,09,室・出先
131,2021-04-01,2540304500,健康福祉局,こども未来部,こども保育教育課,川東保育所,,健康福祉局こども未来部こども保育教育課川東保育所,087-879-5079,09,室・出先
132,2021-04-01,2540304600,健康福祉局,こども未来部,こども保育教育課,川東南保育所,,健康福祉局こども未来部こども保育教育課川東南保育所,087-879-5784,09,室・出先
133,2021-04-01,2540304700,健康福祉局,こども未来部,こども保育教育課,国分寺北部保育所,,健康福祉局こども未来部こども保育教育課国分寺北部保育所,087-874-1487,09,室・出先
134,2021-04-01,2540304800,健康福祉局,こども未来部,こども保育教育課,国分寺南部保育所,,健康福祉局こども未来部こども保育教育課国分寺南部保育所,087-874-1120,09,室・出先
135,2021-04-01,2540305100,健康福祉局,こども未来部,こども保育教育課,下笠居こども園,,健康福祉局こども未来部こども保育教育課下笠居こども園,087-881-2515,09,室・出先
136,2021-04-01,2540305200,健康福祉局,こども未来部,こども保育教育課,はらこども園,,健康福祉局こども未来部こども保育教育課はらこども園,087-845-0234,09,室・出先
137,2021-04-01,2540305300,健康福祉局,こども未来部,こども保育教育課,庵治こども園,,健康福祉局こども未来部こども保育教育課庵治こども園,087-871-2535,09,室・出先
138,2021-04-01,2540305400,健康福祉局,こども未来部,こども保育教育課,香南こども園,,健康福祉局こども未来部こども保育教育課香南こども園,087-887-7876,09,室・出先
139,2021-04-01,2540305500,健康福祉局,こども未来部,こども保育教育課,塩江こども園,,健康福祉局こども未来部こども保育教育課塩江こども園,087-890-2022,09,室・出先
140,2021-04-01,2540305600,健康福祉局,こども未来部,こども保育教育課,川東こども園,,健康福祉局こども未来部こども保育教育課川東こども園,087-879-4602,09,室・出先
141,2021-04-01,2540305700,健康福祉局,こども未来部,こども保育教育課,林こども園,,健康福祉局こども未来部こども保育教育課林こども園,087-865-1676,09,室・出先
142,2021-04-01,2540305800,健康福祉局,こども未来部,こども保育教育課,屋島こども園,,健康福祉局こども未来部こども保育教育課屋島こども園,087-841-9711,09,室・出先
143,2021-04-01,2540305900,健康福祉局,こども未来部,こども保育教育課,川島こども園,,健康福祉局こども未来部こども保育教育課川島こども園,087-848-1978,09,室・出先
144,2021-04-01,2540306000,健康福祉局,こども未来部,こども保育教育課,浅野こども園,,健康福祉局こども未来部こども保育教育課浅野こども園,087-889-2489,09,室・出先
145,2021-04-01,2540306100,健康福祉局,こども未来部,こども保育教育課,前田幼稚園,,健康福祉局こども未来部こども保育教育課前田幼稚園,087-847-6582,09,室・出先
146,2021-04-01,2540306200,健康福祉局,こども未来部,こども保育教育課,川添幼稚園,,健康福祉局こども未来部こども保育教育課川添幼稚園,087-847-6934,09,室・出先
147,2021-04-01,2540306400,健康福祉局,こども未来部,こども保育教育課,三渓幼稚園,,健康福祉局こども未来部こども保育教育課三渓幼稚園,087-889-2514,09,室・出先
148,2021-04-01,2540306500,健康福祉局,こども未来部,こども保育教育課,香西幼稚園,,健康福祉局こども未来部こども保育教育課香西幼稚園,087-882-0161,09,室・出先
149,2021-04-01,2540306600,健康福祉局,こども未来部,こども保育教育課,一宮幼稚園,,健康福祉局こども未来部こども保育教育課一宮幼稚園,087-886-3088,09,室・出先
150,2021-04-01,2540306700,健康福祉局,こども未来部,こども保育教育課,多肥幼稚園,,健康福祉局こども未来部こども保育教育課多肥幼稚園,087-889-2513,09,室・出先
151,2021-04-01,2540306800,健康福祉局,こども未来部,こども保育教育課,川岡幼稚園,,健康福祉局こども未来部こども保育教育課川岡幼稚園,087-885-0550,09,室・出先
152,2021-04-01,2540306900,健康福祉局,こども未来部,こども保育教育課,円座幼稚園,,健康福祉局こども未来部こども保育教育課円座幼稚園,087-885-0846,09,室・出先
153,2021-04-01,2540307000,健康福祉局,こども未来部,こども保育教育課,檀紙幼稚園,,健康福祉局こども未来部こども保育教育課檀紙幼稚園,087-885-2595,09,室・出先
154,2021-04-01,2540307100,健康福祉局,こども未来部,こども保育教育課,弦打幼稚園,,健康福祉局こども未来部こども保育教育課弦打幼稚園,087-881-3563,09,室・出先
155,2021-04-01,2540307200,健康福祉局,こども未来部,こども保育教育課,鬼無幼稚園,,健康福祉局こども未来部こども保育教育課鬼無幼稚園,087-881-4913,09,室・出先
156,2021-04-01,2540307300,健康福祉局,こども未来部,こども保育教育課,木太幼稚園,,健康福祉局こども未来部こども保育教育課木太幼稚園,087-833-8144,09,室・出先
157,2021-04-01,2540307500,健康福祉局,こども未来部,こども保育教育課,春日幼稚園,,健康福祉局こども未来部こども保育教育課春日幼稚園,087-843-2767,09,室・出先
158,2021-04-01,2540307600,健康福祉局,こども未来部,こども保育教育課,木太北部幼稚園,,健康福祉局こども未来部こども保育教育課木太北部幼稚園,087-862-1031,09,室・出先
159,2021-04-01,2540307700,健康福祉局,こども未来部,こども保育教育課,栗山幼稚園,,健康福祉局こども未来部こども保育教育課栗山幼稚園,087-845-1646,09,室・出先
160,2021-04-01,2540307800,健康福祉局,こども未来部,こども保育教育課,田井幼稚園,,健康福祉局こども未来部こども保育教育課田井幼稚園,087-845-3701,09,室・出先
161,2021-04-01,2540307900,健康福祉局,こども未来部,こども保育教育課,大町幼稚園,,健康福祉局こども未来部こども保育教育課大町幼稚園,087-845-5718,09,室・出先
162,2021-04-01,2540308000,健康福祉局,こども未来部,こども保育教育課,大野幼稚園,,健康福祉局こども未来部こども保育教育課大野幼稚園,087-886-5010,09,室・出先
163,2021-04-01,2540308200,健康福祉局,こども未来部,こども保育教育課,国分寺北部幼稚園,,健康福祉局こども未来部こども保育教育課国分寺北部幼稚園,087-874-1155,09,室・出先
164,2021-04-01,2540308300,健康福祉局,こども未来部,こども保育教育課,国分寺南部幼稚園,,健康福祉局こども未来部こども保育教育課国分寺南部幼稚園,087-874-1159,09,室・出先
165,2021-04-01,2540400000,健康福祉局,こども未来部,こども未来館,,,健康福祉局こども未来部こども未来館,087-839-2571,08,課
166,2021-04-01,2550000000,健康福祉局,保健所,,,,健康福祉局保健所,,06,部
167,2021-04-01,2550100000,健康福祉局,保健所,保健予防課,,,健康福祉局保健所保健予防課,087-839-2860,08,課
168,2021-04-01,2550200000,健康福祉局,保健所,生活衛生課,,,健康福祉局保健所生活衛生課,087-839-2865,08,課
169,2021-04-01,2550201000,健康福祉局,保健所,生活衛生課,食肉衛生検査所,,健康福祉局保健所生活衛生課食肉衛生検査所,087-832-8010,09,室・出先
170,2021-04-01,2550250000,健康福祉局,保健所,保健医療政策課,,,健康福祉局保健所保健医療政策課,087-839-3805,08,課
171,2021-04-01,2550300000,健康福祉局,保健所,健康づくり推進課,,,健康福祉局保健所健康づくり推進課,087-839-2363,08,課
172,2021-04-01,3000000000,環境局,,,,,環境局,,05,局
173,2021-04-01,3010100000,環境局,,環境総務課,,,環境局環境総務課,087-839-2388,08,課
174,2021-04-01,3010101000,環境局,,環境総務課,地球温暖化対策室,,環境局環境総務課地球温暖化対策室,087-839-2394,09,室・出先
175,2021-04-01,3010200000,環境局,,環境保全推進課,,,環境局環境保全推進課,087-839-2393,08,課
176,2021-04-01,3010300000,環境局,,環境指導課,,,環境局環境指導課,087-839-2380,08,課
177,2021-04-01,3010301000,環境局,,環境指導課,適正処理対策室,,環境局環境指導課適正処理対策室,087-839-2370,09,室・出先
178,2021-04-01,3010400000,環境局,,環境業務課,,,環境局環境業務課,087-834-0389,08,課
179,2021-04-01,3010500000,環境局,,環境施設対策課,,,環境局環境施設対策課,087-839-2102,08,課
180,2021-04-01,3010600000,環境局,,南部クリーンセンター,,,環境局南部クリーンセンター,087-890-2190,08,課
181,2021-04-01,3010700000,環境局,,西部クリーンセンター,,,環境局西部クリーンセンター,087-885-2727,08,課
182,2021-04-01,3010701000,環境局,,西部クリーンセンター,陶最終処分場,,環境局西部クリーンセンター陶最終処分場,087-876-2509,09,室・出先
183,2021-04-01,3010800000,環境局,,衛生センター,,,環境局衛生センター,087-821-0428,08,課
184,2021-04-01,3500000000,創造都市推進局,,,,,創造都市推進局,,05,局
185,2021-04-01,3510000000,創造都市推進局,産業経済部,,,,創造都市推進局産業経済部,,06,部
186,2021-04-01,3510100000,創造都市推進局,産業経済部,産業振興課,,,創造都市推進局産業経済部産業振興課,087-839-2411,08,課
187,2021-04-01,3510101000,創造都市推進局,産業経済部,産業振興課,企業立地推進室,,創造都市推進局産業経済部産業振興課企業立地推進室,087-839-2412,09,室・出先
188,2021-04-01,3510200000,創造都市推進局,産業経済部,農林水産課,,,創造都市推進局産業経済部農林水産課,087-839-2422,08,課
189,2021-04-01,3510300000,創造都市推進局,産業経済部,土地改良課,,,創造都市推進局産業経済部土地改良課,087-839-2433,08,課
190,2021-04-01,3510301000,創造都市推進局,産業経済部,土地改良課,地籍調査室,,創造都市推進局産業経済部土地改良課地籍調査室,087-839-2436,09,室・出先
191,2021-04-01,3510390000,創造都市推進局,産業経済部,競輪場,,,創造都市推進局産業経済部競輪場,,06,部
192,2021-04-01,3510400000,創造都市推進局,産業経済部,競輪場事業課,,,創造都市推進局産業経済部競輪場事業課,087-851-5036,08,課
193,2021-04-01,3510490000,創造都市推進局,産業経済部,市場,,,創造都市推進局産業経済部市場,,06,部
194,2021-04-01,3510500000,創造都市推進局,産業経済部,市場管理課,,,創造都市推進局産業経済部市場管理課,087-862-3411,08,課
195,2021-04-01,3510501000,創造都市推進局,産業経済部,市場管理課,施設整備室,,創造都市推進局産業経済部市場管理課施設整備室,087-862-3422,09,室・出先
196,2021-04-01,3520000000,創造都市推進局,文化・観光・スポーツ部,,,,創造都市推進局文化・観光・スポーツ部,,06,部
197,2021-04-01,3520100000,創造都市推進局,文化・観光・スポーツ部,観光交流課,,,創造都市推進局文化・観光・スポーツ部観光交流課,087-839-2416,08,課
198,2021-04-01,3520100500,創造都市推進局,文化・観光・スポーツ部,観光交流課,観光エリア振興室,,創造都市推進局文化・観光・スポーツ部観光交流課観光エリア振興室,087-839-2417,09,室・出先
199,2021-04-01,3520101000,創造都市推進局,文化・観光・スポーツ部,観光交流課,都市交流室,,創造都市推進局文化・観光・スポーツ部観光交流課都市交流室,087-839-2197,09,室・出先
200,2021-04-01,3520200000,創造都市推進局,文化・観光・スポーツ部,文化芸術振興課,,,創造都市推進局文化・観光・スポーツ部文化芸術振興課,087-839-2636,08,課
201,2021-04-01,3520300000,創造都市推進局,文化・観光・スポーツ部,文化財課,,,創造都市推進局文化・観光・スポーツ部文化財課,087-839-2660,08,課
