"#property","applicableDate","affiliationCode","bureau","department","division","office","unit","affiliationName","telephoneNumber","mechanismCd","mechanismName"
"29","2020-04-01","1015301000","市民政策局","地域政策部","牟礼総合センター","庵治支所",,"市民政策局地域政策部牟礼総合センター庵治支所","087-871-3111","09","室・出先"
"30","2020-04-01","1015302000","市民政策局","地域政策部","牟礼総合センター","古高松出張所",,"市民政策局地域政策部牟礼総合センター古高松出張所","087-841-6261","09","室・出先"
"31","2020-04-01","1015303000","市民政策局","地域政策部","牟礼総合センター","屋島出張所",,"市民政策局地域政策部牟礼総合センター屋島出張所","087-841-6258","09","室・出先"
"32","2020-04-01","1015400000","市民政策局","地域政策部","香川総合センター",,,"市民政策局地域政策部香川総合センター","087-879-3211","08","課"
"33","2020-04-01","1015401000","市民政策局","地域政策部","香川総合センター","塩江支所",,"市民政策局地域政策部香川総合センター塩江支所","087-897-0131","09","室・出先"
"34","2020-04-01","1015402000","市民政策局","地域政策部","香川総合センター","香南支所",,"市民政策局地域政策部香川総合センター香南支所","087-879-3111","09","室・出先"
"35","2020-04-01","1015500000","市民政策局","地域政策部","勝賀総合センター",,,"市民政策局地域政策部勝賀総合センター","087-882-7770","08","課"
"36","2020-04-01","1015501000","市民政策局","地域政策部","勝賀総合センター","弦打出張所",,"市民政策局地域政策部勝賀総合センター弦打出張所","087-882-0891","09","室・出先"
"37","2020-04-01","1015502000","市民政策局","地域政策部","勝賀総合センター","鬼無出張所",,"市民政策局地域政策部勝賀総合センター鬼無出張所","087-882-0809","09","室・出先"
"38","2020-04-01","1015503000","市民政策局","地域政策部","勝賀総合センター","下笠居出張所",,"市民政策局地域政策部勝賀総合センター下笠居出張所","087-882-0868","09","室・出先"
"39","2020-04-01","1015600000","市民政策局","地域政策部","国分寺総合センター",,,"市民政策局地域政策部国分寺総合センター","087-874-1111","08","課"
"40","2020-04-01","1015601000","市民政策局","地域政策部","国分寺総合センター","川岡出張所",,"市民政策局地域政策部国分寺総合センター川岡出張所","087-886-0814","09","室・出先"
"41","2020-04-01","1015602000","市民政策局","地域政策部","国分寺総合センター","円座出張所",,"市民政策局地域政策部国分寺総合センター円座出張所","087-885-2411","09","室・出先"
"42","2020-04-01","1015603000","市民政策局","地域政策部","国分寺総合センター","檀紙出張所",,"市民政策局地域政策部国分寺総合センター檀紙出張所","087-886-0815","09","室・出先"
"43","2020-04-01","1017300000","市民政策局",,"くらし安全安心課",,,"市民政策局くらし安全安心課","087-839-2555","08","課"
"44","2020-04-01","1017400000","市民政策局",,"市民やすらぎ課",,,"市民政策局市民やすらぎ課","087-839-2273","08","課"
"45","2020-04-01","1017500000","市民政策局",,"市民課",,,"市民政策局市民課","087-839-2282","08","課"
"46","2020-04-01","1017501000","市民政策局",,"市民課","市民サービスセンター",,"市民政策局市民課市民サービスセンター","087-863-2888","09","室・出先"
"47","2020-04-01","1017600000","市民政策局",,"人権啓発課",,,"市民政策局人権啓発課","087-839-2292","08","課"
"48","2020-04-01","1017601000","市民政策局",,"人権啓発課","上天神文化センター",,"市民政策局人権啓発課上天神文化センター","087-866-2494","09","室・出先"
"49","2020-04-01","1017602000","市民政策局",,"人権啓発課","田村文化センター",,"市民政策局人権啓発課田村文化センター","087-867-6904","09","室・出先"
"50","2020-04-01","1017603000","市民政策局",,"人権啓発課","中川文化センター",,"市民政策局人権啓発課中川文化センター","087-847-5896","09","室・出先"
"51","2020-04-01","1017604000","市民政策局",,"人権啓発課","中原文化センター",,"市民政策局人権啓発課中原文化センター","087-848-1090","09","室・出先"
"52","2020-04-01","1017605000","市民政策局",,"人権啓発課","吉光文化センター",,"市民政策局人権啓発課吉光文化センター","087-879-6244","09","室・出先"
"53","2020-04-01","1017605500","市民政策局",,"人権啓発課","吉光児童館",,"市民政策局人権啓発課吉光児童館","087-879-6041","09","室・出先"
"54","2020-04-01","1017606000","市民政策局",,"人権啓発課","国分寺文化センター",,"市民政策局人権啓発課国分寺文化センター","087-874-4519","09","室・出先"
"55","2020-04-01","1017606500","市民政策局",,"人権啓発課","新居児童館",,"市民政策局人権啓発課新居児童館","087-874-3533","09","室・出先"
"56","2020-04-01","1017607000","市民政策局",,"人権啓発課","平和記念館",,"市民政策局人権啓発課平和記念館","087-833-2211","09","室・出先"
"57","2020-04-01","1500000000","総務局",,,,,"総務局",,"05","局"
"58","2020-04-01","1510100000","総務局",,"秘書課",,,"総務局秘書課","087-839-2131","08","課"
"59","2020-04-01","1510200000","総務局",,"総務課",,,"総務局総務課","087-839-2181","08","課"
"60","2020-04-01","1510201000","総務局",,"総務課","公文書館",,"総務局総務課公文書館","087-874-4147","09","室・出先"
"61","2020-04-01","1510300000","総務局",,"コンプライアンス推進課",,,"総務局コンプライアンス推進課","087-839-2155","08","課"
"62","2020-04-01","1510400000","総務局",,"人事課",,,"総務局人事課","087-839-2144","08","課"
"63","2020-04-01","1510401000","総務局",,"人事課","行政改革推進室",,"総務局人事課行政改革推進室","087-839-2160","09","室・出先"
"64","2020-04-01","1510500000","総務局",,"危機管理課",,,"総務局危機管理課","087-839-2184","08","課"
"65","2020-04-01","1510600000","総務局",,"情報政策課",,,"総務局情報政策課","087-839-2170","08","課"
"66","2020-04-01","1510601000","総務局",,"情報政策課","ＩＣＴ推進室",,"総務局情報政策課ＩＣＴ推進室","087-839-2172","09","室・出先"
"67","2020-04-01","1510700000","総務局",,"広聴広報課",,,"総務局広聴広報課","087-839-2161","08","課"
"68","2020-04-01","2000000000","財政局",,,,,"財政局",,"05","局"
"69","2020-04-01","2010100000","財政局",,"財政課",,,"財政局財政課","087-839-2191","08","課"
"70","2020-04-01","2010200000","財政局",,"契約監理課",,,"財政局契約監理課","087-839-2252","08","課"
"71","2020-04-01","2010201000","財政局",,"契約監理課","技術検査室",,"財政局契約監理課技術検査室","087-839-2514","09","室・出先"
"72","2020-04-01","2010300000","財政局",,"財産経営課",,,"財政局財産経営課","087-839-2255","08","課"
"73","2020-04-01","2010302000","財政局",,"財産経営課","ファシリティマネジメント推進室",,"財政局財産経営課ファシリティマネジメント推進室","087-839-2262","09","室・出先"
"74","2020-04-01","2020000000","財政局","税務部",,,,"財政局税務部",,"06","部"
"75","2020-04-01","2020100000","財政局","税務部","納税課",,,"財政局税務部納税課","087-839-2222","08","課"
"76","2020-04-01","2020101000","財政局","税務部","納税課","債権回収室",,"財政局税務部納税課債権回収室","087-839-2223","09","室・出先"
"77","2020-04-01","2020200000","財政局","税務部","市民税課",,,"財政局税務部市民税課","087-839-2233","08","課"
"78","2020-04-01","2020300000","財政局","税務部","資産税課",,,"財政局税務部資産税課","087-839-2244","08","課"
"79","2020-04-01","2500000000","健康福祉局",,,,,"健康福祉局",,"05","局"
"80","2020-04-01","2510100000","健康福祉局",,"健康福祉総務課",,,"健康福祉局健康福祉総務課","087-839-2372","08","課"
"81","2020-04-01","2510101000","健康福祉局",,"健康福祉総務課","地域共生社会推進室",,"健康福祉局健康福祉総務課地域共生社会推進室","087-839-2372","09","室・出先"
"82","2020-04-01","2510200000","健康福祉局",,"国保・高齢者医療課",,,"健康福祉局国保・高齢者医療課","087-839-2311","08","課"
"83","2020-04-01","2510200500","健康福祉局",,"国保・高齢者医療課","国民健康保険女木診療所",,"健康福祉局国保・高齢者医療課国民健康保険女木診療所","087-873-0103","09","室・出先"
"84","2020-04-01","2510201000","健康福祉局",,"国保・高齢者医療課","国民健康保険男木診療所",,"健康福祉局国保・高齢者医療課国民健康保険男木診療所","087-873-0003","09","室・出先"
"85","2020-04-01","2520000000","健康福祉局","福祉事務所",,,,"健康福祉局福祉事務所",,"06","部"
"86","2020-04-01","2520100000","健康福祉局","福祉事務所","障がい福祉課",,,"健康福祉局福祉事務所障がい福祉課","087-839-2333","08","課"
"87","2020-04-01","2520200000","健康福祉局","福祉事務所","生活福祉課",,,"健康福祉局福祉事務所生活福祉課","087-839-2343","08","課"
"88","2020-04-01","2523000000","健康福祉局","長寿福祉部",,,,"健康福祉局長寿福祉部",,"06","部"
"89","2020-04-01","2526000000","健康福祉局","福祉事務所",,,,"健康福祉局福祉事務所",,"06","部"
"90","2020-04-01","2526100000","健康福祉局","福祉事務所","長寿福祉課",,,"健康福祉局福祉事務所長寿福祉課","087-839-2346","08","課"
"91","2020-04-01","2530200000","健康福祉局",,"介護保険課",,,"健康福祉局介護保険課","087-839-2326","08","課"
"92","2020-04-01","2530300000","健康福祉局",,"地域包括支援センター",,,"健康福祉局地域包括支援センター","087-839-2811","08","課"
"93","2020-04-01","2535000000","健康福祉局","福祉事務所",,,,"健康福祉局福祉事務所",,"06","部"
"94","2020-04-01","2535100000","健康福祉局","福祉事務所","子育て支援課",,,"健康福祉局福祉事務所子育て支援課","087-839-2354","08","課"
"95","2020-04-01","2535150000","健康福祉局","福祉事務所","こども女性相談課",,,"健康福祉局福祉事務所こども女性相談課","087-839-2384","08","課"
"96","2020-04-01","2535200000","健康福祉局","福祉事務所","こども家庭課",,,"健康福祉局福祉事務所こども家庭課","087-839-2353","08","課"
"97","2020-04-01","2540000000","健康福祉局","こども未来部",,,,"健康福祉局こども未来部",,"06","部"
"98","2020-04-01","2540200000","健康福祉局","こども未来部","こども園総務課",,,"健康福祉局こども未来部こども園総務課","087-839-2359","08","課"
"99","2020-04-01","2540300000","健康福祉局","こども未来部","こども園運営課",,,"健康福祉局こども未来部こども園運営課","087-839-2358","08","課"
"100","2020-04-01","2540301100","健康福祉局","こども未来部","こども園運営課","瀬戸内保育所",,"健康福祉局こども未来部こども園運営課瀬戸内保育所","087-861-5701","09","室・出先"
"101","2020-04-01","2540301200","健康福祉局","こども未来部","こども園運営課","扇町保育所",,"健康福祉局こども未来部こども園運営課扇町保育所","087-821-7629","09","室・出先"
"102","2020-04-01","2540301400","健康福祉局","こども未来部","こども園運営課","宮脇保育所",,"健康福祉局こども未来部こども園運営課宮脇保育所","087-835-1636","09","室・出先"
"103","2020-04-01","2540301700","健康福祉局","こども未来部","こども園運営課","松島保育所",,"健康福祉局こども未来部こども園運営課松島保育所","087-831-8066","09","室・出先"
"104","2020-04-01","2540301800","健康福祉局","こども未来部","こども園運営課","福岡保育所",,"健康福祉局こども未来部こども園運営課福岡保育所","087-851-1206","09","室・出先"
"105","2020-04-01","2540301900","健康福祉局","こども未来部","こども園運営課","桜町保育所",,"健康福祉局こども未来部こども園運営課桜町保育所","087-834-3628","09","室・出先"
"106","2020-04-01","2540302100","健康福祉局","こども未来部","こども園運営課","田村保育所",,"健康福祉局こども未来部こども園運営課田村保育所","087-866-0962","09","室・出先"
"107","2020-04-01","2540302200","健康福祉局","こども未来部","こども園運営課","鶴尾保育所",,"健康福祉局こども未来部こども園運営課鶴尾保育所","087-865-6342","09","室・出先"
"108","2020-04-01","2540302300","健康福祉局","こども未来部","こども園運営課","太田保育所",,"健康福祉局こども未来部こども園運営課太田保育所","087-867-5741","09","室・出先"
"109","2020-04-01","2540302400","健康福祉局","こども未来部","こども園運営課","木太保育所",,"健康福祉局こども未来部こども園運営課木太保育所","087-861-2650","09","室・出先"
"110","2020-04-01","2540302500","健康福祉局","こども未来部","こども園運営課","古高松保育所",,"健康福祉局こども未来部こども園運営課古高松保育所","087-841-9845","09","室・出先"
"111","2020-04-01","2540302700","健康福祉局","こども未来部","こども園運営課","下笠居西部保育所",,"健康福祉局こども未来部こども園運営課下笠居西部保育所","087-881-4710","09","室・出先"
"112","2020-04-01","2540302800","健康福祉局","こども未来部","こども園運営課","下笠居東部保育所",,"健康福祉局こども未来部こども園運営課下笠居東部保育所","087-881-4752","09","室・出先"
"113","2020-04-01","2540302900","健康福祉局","こども未来部","こども園運営課","香西保育所",,"健康福祉局こども未来部こども園運営課香西保育所","087-881-2328","09","室・出先"
"114","2020-04-01","2540303000","健康福祉局","こども未来部","こども園運営課","弦打保育所",,"健康福祉局こども未来部こども園運営課弦打保育所","087-881-2552","09","室・出先"
"115","2020-04-01","2540303100","健康福祉局","こども未来部","こども園運営課","鬼無保育所",,"健康福祉局こども未来部こども園運営課鬼無保育所","087-881-2844","09","室・出先"
"116","2020-04-01","2540303200","健康福祉局","こども未来部","こども園運営課","三谷保育所",,"健康福祉局こども未来部こども園運営課三谷保育所","087-889-0720","09","室・出先"
"117","2020-04-01","2540303300","健康福祉局","こども未来部","こども園運営課","多肥保育所",,"健康福祉局こども未来部こども園運営課多肥保育所","087-889-0475","09","室・出先"
"118","2020-04-01","2540303600","健康福祉局","こども未来部","こども園運営課","小規模保育事業所男木保育所",,"健康福祉局こども未来部こども園運営課小規模保育事業所男木保育所","087-873-0614","09","室・出先"
"119","2020-04-01","2540303700","健康福祉局","こども未来部","こども園運営課","川島保育所",,"健康福祉局こども未来部こども園運営課川島保育所","087-848-0075","09","室・出先"
"120","2020-04-01","2540303900","健康福祉局","こども未来部","こども園運営課","西植田保育所",,"健康福祉局こども未来部こども園運営課西植田保育所","087-849-0102","09","室・出先"
"121","2020-04-01","2540304000","健康福祉局","こども未来部","こども園運営課","東植田保育所",,"健康福祉局こども未来部こども園運営課東植田保育所","087-849-0082","09","室・出先"
"122","2020-04-01","2540304100","健康福祉局","こども未来部","こども園運営課","牟礼保育所",,"健康福祉局こども未来部こども園運営課牟礼保育所","087-845-1647","09","室・出先"
"123","2020-04-01","2540304200","健康福祉局","こども未来部","こども園運営課","田井保育所",,"健康福祉局こども未来部こども園運営課田井保育所","087-845-5411","09","室・出先"
"124","2020-04-01","2540304300","健康福祉局","こども未来部","こども園運営課","大野保育所",,"健康福祉局こども未来部こども園運営課大野保育所","087-886-9356","09","室・出先"
"125","2020-04-01","2540304400","健康福祉局","こども未来部","こども園運営課","浅野保育所",,"健康福祉局こども未来部こども園運営課浅野保育所","087-889-2416","09","室・出先"
"126","2020-04-01","2540304600","健康福祉局","こども未来部","こども園運営課","川東南保育所",,"健康福祉局こども未来部こども園運営課川東南保育所","087-879-5784","09","室・出先"
"127","2020-04-01","2540304700","健康福祉局","こども未来部","こども園運営課","国分寺北部保育所",,"健康福祉局こども未来部こども園運営課国分寺北部保育所","087-874-1487","09","室・出先"
"128","2020-04-01","2540304800","健康福祉局","こども未来部","こども園運営課","国分寺南部保育所",,"健康福祉局こども未来部こども園運営課国分寺南部保育所","087-874-1120","09","室・出先"
"129","2020-04-01","2540305100","健康福祉局","こども未来部","こども園運営課","下笠居こども園",,"健康福祉局こども未来部こども園運営課下笠居こども園","087-881-2515","09","室・出先"
"130","2020-04-01","2540305200","健康福祉局","こども未来部","こども園運営課","はらこども園",,"健康福祉局こども未来部こども園運営課はらこども園","087-845-0234","09","室・出先"
"131","2020-04-01","2540305300","健康福祉局","こども未来部","こども園運営課","庵治こども園",,"健康福祉局こども未来部こども園運営課庵治こども園","087-871-2535","09","室・出先"
"132","2020-04-01","2540305400","健康福祉局","こども未来部","こども園運営課","香南こども園",,"健康福祉局こども未来部こども園運営課香南こども園","087-887-7876","09","室・出先"
"133","2020-04-01","2540305500","健康福祉局","こども未来部","こども園運営課","塩江こども園",,"健康福祉局こども未来部こども園運営課塩江こども園","087-890-2022","09","室・出先"
"134","2020-04-01","2540305600","健康福祉局","こども未来部","こども園運営課","川東こども園",,"健康福祉局こども未来部こども園運営課川東こども園","087-879-4602","09","室・出先"
"135","2020-04-01","2540305700","健康福祉局","こども未来部","こども園運営課","林こども園",,"健康福祉局こども未来部こども園運営課林こども園","087-865-1676","09","室・出先"
"136","2020-04-01","2540305800","健康福祉局","こども未来部","こども園運営課","屋島こども園",,"健康福祉局こども未来部こども園運営課屋島こども園","087-841-9711","09","室・出先"
"137","2020-04-01","2540306100","健康福祉局","こども未来部","こども園運営課","前田幼稚園",,"健康福祉局こども未来部こども園運営課前田幼稚園","087-847-6582","09","室・出先"
"138","2020-04-01","2540306200","健康福祉局","こども未来部","こども園運営課","川添幼稚園",,"健康福祉局こども未来部こども園運営課川添幼稚園","087-847-6934","09","室・出先"
"139","2020-04-01","2540306400","健康福祉局","こども未来部","こども園運営課","三渓幼稚園",,"健康福祉局こども未来部こども園運営課三渓幼稚園","087-889-2514","09","室・出先"
"140","2020-04-01","2540306500","健康福祉局","こども未来部","こども園運営課","香西幼稚園",,"健康福祉局こども未来部こども園運営課香西幼稚園","087-882-0161","09","室・出先"
"141","2020-04-01","2540306600","健康福祉局","こども未来部","こども園運営課","一宮幼稚園",,"健康福祉局こども未来部こども園運営課一宮幼稚園","087-886-3088","09","室・出先"
"142","2020-04-01","2540306700","健康福祉局","こども未来部","こども園運営課","多肥幼稚園",,"健康福祉局こども未来部こども園運営課多肥幼稚園","087-889-2513","09","室・出先"
"143","2020-04-01","2540306800","健康福祉局","こども未来部","こども園運営課","川岡幼稚園",,"健康福祉局こども未来部こども園運営課川岡幼稚園","087-885-0550","09","室・出先"
"144","2020-04-01","2540306900","健康福祉局","こども未来部","こども園運営課","円座幼稚園",,"健康福祉局こども未来部こども園運営課円座幼稚園","087-885-0846","09","室・出先"
"145","2020-04-01","2540307000","健康福祉局","こども未来部","こども園運営課","檀紙幼稚園",,"健康福祉局こども未来部こども園運営課檀紙幼稚園","087-885-2595","09","室・出先"
"146","2020-04-01","2540307100","健康福祉局","こども未来部","こども園運営課","弦打幼稚園",,"健康福祉局こども未来部こども園運営課弦打幼稚園","087-881-3563","09","室・出先"
"147","2020-04-01","2540307200","健康福祉局","こども未来部","こども園運営課","鬼無幼稚園",,"健康福祉局こども未来部こども園運営課鬼無幼稚園","087-881-4913","09","室・出先"
"148","2020-04-01","2540307300","健康福祉局","こども未来部","こども園運営課","木太幼稚園",,"健康福祉局こども未来部こども園運営課木太幼稚園","087-833-8144","09","室・出先"
"149","2020-04-01","2540307400","健康福祉局","こども未来部","こども園運営課","山田幼稚園",,"健康福祉局こども未来部こども園運営課山田幼稚園","087-848-1978","09","室・出先"
"150","2020-04-01","2540307500","健康福祉局","こども未来部","こども園運営課","春日幼稚園",,"健康福祉局こども未来部こども園運営課春日幼稚園","087-843-2767","09","室・出先"
"151","2020-04-01","2540307600","健康福祉局","こども未来部","こども園運営課","木太北部幼稚園",,"健康福祉局こども未来部こども園運営課木太北部幼稚園","087-862-1031","09","室・出先"
"152","2020-04-01","2540307700","健康福祉局","こども未来部","こども園運営課","栗山幼稚園",,"健康福祉局こども未来部こども園運営課栗山幼稚園","087-845-1646","09","室・出先"
"153","2020-04-01","2540307900","健康福祉局","こども未来部","こども園運営課","大町幼稚園",,"健康福祉局こども未来部こども園運営課大町幼稚園","087-845-5718","09","室・出先"
"154","2020-04-01","2540308000","健康福祉局","こども未来部","こども園運営課","大野幼稚園",,"健康福祉局こども未来部こども園運営課大野幼稚園","087-886-5010","09","室・出先"
"155","2020-04-01","2540308100","健康福祉局","こども未来部","こども園運営課","浅野幼稚園",,"健康福祉局こども未来部こども園運営課浅野幼稚園","087-889-2489","09","室・出先"
"156","2020-04-01","2540308200","健康福祉局","こども未来部","こども園運営課","国分寺北部幼稚園",,"健康福祉局こども未来部こども園運営課国分寺北部幼稚園","087-874-1155","09","室・出先"
"157","2020-04-01","2540308300","健康福祉局","こども未来部","こども園運営課","国分寺南部幼稚園",,"健康福祉局こども未来部こども園運営課国分寺南部幼稚園","087-874-1159","09","室・出先"
"158","2020-04-01","2540400000","健康福祉局","こども未来部","こども未来館",,,"健康福祉局こども未来部こども未来館","087-839-2571","08","課"
"159","2020-04-01","2550000000","健康福祉局","保健所",,,,"健康福祉局保健所",,"06","部"
"160","2020-04-01","2550100000","健康福祉局","保健所","保健予防課",,,"健康福祉局保健所保健予防課","087-839-2860","08","課"
"161","2020-04-01","2550200000","健康福祉局","保健所","生活衛生課",,,"健康福祉局保健所生活衛生課","087-839-2865","08","課"
"162","2020-04-01","2550201000","健康福祉局","保健所","生活衛生課","食肉衛生検査所",,"健康福祉局保健所生活衛生課食肉衛生検査所","087-832-8010","09","室・出先"
"163","2020-04-01","2550250000","健康福祉局","保健所","保健医療政策課",,,"健康福祉局保健所保健医療政策課","087-839-3805","08","課"
"164","2020-04-01","2550300000","健康福祉局","保健所","健康づくり推進課",,,"健康福祉局保健所健康づくり推進課","087-839-2363","08","課"
"165","2020-04-01","3000000000","環境局",,,,,"環境局",,"05","局"
"166","2020-04-01","3010100000","環境局",,"環境総務課",,,"環境局環境総務課","087-839-2388","08","課"
"167","2020-04-01","3010101000","環境局",,"環境総務課","地球温暖化対策室",,"環境局環境総務課地球温暖化対策室","087-839-2394","09","室・出先"
"168","2020-04-01","3010200000","環境局",,"環境保全推進課",,,"環境局環境保全推進課","087-839-2393","08","課"
"169","2020-04-01","3010300000","環境局",,"環境指導課",,,"環境局環境指導課","087-839-2380","08","課"
"170","2020-04-01","3010301000","環境局",,"環境指導課","適正処理対策室",,"環境局環境指導課適正処理対策室","087-839-2370","09","室・出先"
"171","2020-04-01","3010400000","環境局",,"環境業務課",,,"環境局環境業務課","087-834-0389","08","課"
"172","2020-04-01","3010500000","環境局",,"環境施設対策課",,,"環境局環境施設対策課","087-839-2102","08","課"
"173","2020-04-01","3010600000","環境局",,"南部クリーンセンター",,,"環境局南部クリーンセンター","087-890-2190","08","課"
"174","2020-04-01","3010700000","環境局",,"西部クリーンセンター",,,"環境局西部クリーンセンター","087-885-2727","08","課"
"175","2020-04-01","3010701000","環境局",,"西部クリーンセンター","陶最終処分場",,"環境局西部クリーンセンター陶最終処分場","087-876-2509","09","室・出先"
"176","2020-04-01","3010800000","環境局",,"衛生センター",,,"環境局衛生センター","087-821-0428","08","課"
"177","2020-04-01","3500000000","創造都市推進局",,,,,"創造都市推進局",,"05","局"
"178","2020-04-01","3510000000","創造都市推進局","産業経済部",,,,"創造都市推進局産業経済部",,"06","部"
"179","2020-04-01","3510100000","創造都市推進局","産業経済部","産業振興課",,,"創造都市推進局産業経済部産業振興課","087-839-2411","08","課"
"180","2020-04-01","3510101000","創造都市推進局","産業経済部","産業振興課","企業立地推進室",,"創造都市推進局産業経済部産業振興課企業立地推進室","087-839-2412","09","室・出先"
"181","2020-04-01","3510200000","創造都市推進局","産業経済部","農林水産課",,,"創造都市推進局産業経済部農林水産課","087-839-2422","08","課"
"182","2020-04-01","3510300000","創造都市推進局","産業経済部","土地改良課",,,"創造都市推進局産業経済部土地改良課","087-839-2433","08","課"
"183","2020-04-01","3510301000","創造都市推進局","産業経済部","土地改良課","地籍調査室",,"創造都市推進局産業経済部土地改良課地籍調査室","087-839-2436","09","室・出先"
"184","2020-04-01","3510390000","創造都市推進局","産業経済部","競輪場",,,"創造都市推進局産業経済部競輪場",,"06","部"
"185","2020-04-01","3510400000","創造都市推進局","産業経済部","競輪場事業課",,,"創造都市推進局産業経済部競輪場事業課","087-851-5036","08","課"
"186","2020-04-01","3510490000","創造都市推進局","産業経済部","市場",,,"創造都市推進局産業経済部市場",,"06","部"
"187","2020-04-01","3510500000","創造都市推進局","産業経済部","市場管理課",,,"創造都市推進局産業経済部市場管理課","087-862-3411","08","課"
"188","2020-04-01","3510501000","創造都市推進局","産業経済部","市場管理課","施設整備室",,"創造都市推進局産業経済部市場管理課施設整備室","087-862-3422","09","室・出先"
"189","2020-04-01","3520000000","創造都市推進局","文化・観光・スポーツ部",,,,"創造都市推進局文化・観光・スポーツ部",,"06","部"
"190","2020-04-01","3520100000","創造都市推進局","文化・観光・スポーツ部","観光交流課",,,"創造都市推進局文化・観光・スポーツ部観光交流課","087-839-2416","08","課"
"191","2020-04-01","3520100500","創造都市推進局","文化・観光・スポーツ部","観光交流課","観光エリア振興室",,"創造都市推進局文化・観光・スポーツ部観光交流課観光エリア振興室","087-839-2417","09","室・出先"
"192","2020-04-01","3520101000","創造都市推進局","文化・観光・スポーツ部","観光交流課","都市交流室",,"創造都市推進局文化・観光・スポーツ部観光交流課都市交流室","087-839-2197","09","室・出先"
"193","2020-04-01","3520200000","創造都市推進局","文化・観光・スポーツ部","文化芸術振興課",,,"創造都市推進局文化・観光・スポーツ部文化芸術振興課","087-839-2636","08","課"
"194","2020-04-01","3520300000","創造都市推進局","文化・観光・スポーツ部","文化財課",,,"創造都市推進局文化・観光・スポーツ部文化財課","087-839-2660","08","課"
