"#property","latitude","longitude","name","address","installationPosition","telephoneNumber","availableDate","startTime","endTime","availableDateNote","equipmentForChildren"
"41","34.204447186762366","134.06173877546559","高松市東谷コミュニティセンター","高松市香川町東谷873-3","センター入口（正面右側）","087-879-7997","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"42","34.241162614644864","134.03458874602723","高松市川東コミュニティセンター","高松市香川町川東上1865-13","正面右側","087-879-4215","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"43","34.32708354212701","133.99326859238624","高松市鬼無コミュニティセンター","高松市鬼無町佐藤31-3","センター入口（正面右側）","087-882-0875","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"44","34.25663444067726","134.03570126701464","高松市浅野コミュニティセンター","高松市香川町浅野826-2","１階玄関ホール（正面右側靴箱の上）","087-888-2537","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"45","34.30543651661365","133.9623910739857","高松市国分寺北部コミュニティセンター","高松市国分寺町新居1840-6","センター玄関内（正面左側）","087-874-5805","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"46","34.16251667","134.0761547","ホテルセカンドステージ","高松市塩江町上西乙1118-8","ホテル　ロビー",,,,,,
"47","34.17026889","134.0820194","湯遊しおのえ","高松市塩江町安原上東390-1","観光物産センターしおのえ南入口",,,,,,
"48","34.31874698849904","134.05391161060385","高松市太田コミュニティセンター","高松市伏石町2016-37","正面入口","087-867-1139","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"49","34.34022534360825","134.06511873125731","高松市松島コミュニティセンター","高松市松福町二丁目15-24","階段上り口左側","087-821-0435","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"50","34.33609810264369","134.0568600224433","高松市花園コミュニティセンター","高松市観光通二丁目8-9","２階入口","087-835-5398","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"51","34.341235612212884","134.05684668072996","高松市築地コミュニティセンター","高松市築地町14-1","正面左側","087-862-1166","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"52","34.34744517591149","134.05592212605734","高松市新塩屋町コミュニティセンター","高松市城東町一丁目1-47","正面入口","087-822-1066","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"53","34.34353181412227","134.04496988204846","高松市四番丁コミュニティセンター","高松市番町二丁目3-5","正面入口","087-851-8479","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"54","34.34452639115574","134.03654966857636","高松市二番丁コミュニティセンター","高松市扇町二丁目8-7","正面入口","087-822-3556","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"55","34.34761530454993","134.03249079123577","高松市日新コミュニティセンター","高松市瀬戸内町22-9","階段踊り場","087-834-9911","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"56","34.33962800879472","134.0353016611926","高松市亀阜コミュニティセンター","高松市宮脇町一丁目6-18","正面入口","087-834-0797","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"57","34.328823683942204","134.04826594186068","高松市栗林コミュニティセンター","高松市栗林町三丁目2-12","階段踊り場","087-835-5399","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"58","34.313832877633516","134.03025480155355","高松市鶴尾コミュニティセンター","高松市田村町303-1","正面入口","087-866-3176","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"59","34.31385082074752","134.0640564781295","高松市太田中央コミュニティセンター","高松市松縄町1108-1","正面左側（靴箱の上）","087-867-3396","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"60","34.30188461520021","134.04128261228954","高松市太田南コミュニティセンター","高松市太田上町1045-2　","正面左側","087-865-9947","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"61","34.32621540541912","134.076716922368","高松市木太コミュニティセンター","高松市木太町3480-2","１階エレベータの右側","087-834-5547","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"62","34.3192218911246","134.0762402331345","高松市木太南コミュニティセンター","高松市木太町1486","正面突き当たりトイレ入口周辺","087-865-4273","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"63","34.33559737670586","134.07947976686165","高松市木太北部コミュニティセンター","高松市木太町2603","正面右側","087-831-9000","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"64","34.34370832688769","134.1013021516419","高松市屋島コミュニティセンター","高松市屋島中町449-1","正面下駄箱横","087-841-6927","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"65","34.35228548633302","134.08919535072852","高松市屋島西コミュニティセンター","高松市屋島西町2483-2","正面突き当たりトイレ入口周辺","087-843-2961","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"66","34.35499126046699","134.1158986376861","高松市屋島東コミュニティセンター","高松市屋島東町928","正面入口","087-841-9931","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"67","34.33565467072725","134.10742316994885","高松市古高松コミュニティセンター","高松市高松町10-20","正面突き当たりの右側（コミセン事務所周辺）","087-841-6262","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"68","34.32701662173382","134.0917430403336","高松市古高松南コミュニティセンター","高松市春日町782-2","正面右側","087-841-2186","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"69","34.2966275186633","134.11261536720565","高松市前田コミュニティセンター","高松市前田東町838","正面入口","087-847-6168","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く",
"70","34.30696059761668","134.08949169080398","高松市川添コミュニティセンター","高松市元山町136-4","正面入口","087-847-5979","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"71","34.2976193883196","134.07625402362055","高松市林コミュニティセンター","高松市林町329-1","正面入口","087-866-3405","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"72","34.27775810228735","134.0695137063948","高松市三谷コミュニティセンター","高松市三谷町1201-1","正面右側","087-889-4938","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"73","34.278518642752445","134.04793652618696","高松市仏生山コミュニティセンター","高松市仏生山町乙45-4","正面右側","087-889-4955","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"74","34.29047673277448","134.0514359925541","高松市多肥コミュニティセンター","高松市多肥上町433-5","正面右側階段の上り口","087-889-4956","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"75","34.290785774207805","134.0289442030965","高松市一宮コミュニティセンター","高松市一宮町838-1","正面入口","087-886-4793","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"76","34.26944848177659","134.01002629551357","高松市川岡コミュニティセンター","高松市川部町486-3","正面左側","087-886-4963","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"77","34.28541352434959","134.0055431085392","高松市円座コミュニティセンター","高松市円座町1622-1","正面右側","087-886-4993","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"78","34.300965650861","133.99469586877632","高松市檀紙コミュニティセンター","高松市御厩町775-1","正面突き当たり階段の左側","087-886-4955","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"79","34.32902078632128","134.0058084327266","高松市弦打コミュニティセンター","高松市鶴市町356-3","正面右側","087-882-0285","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"80","34.34693512559954","133.99624082920678","高松市香西コミュニティセンター","高松市香西本町476-1","正面左側","087-882-0294","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く",
"81","34.35872020934757","133.96879908286814","高松市下笠居コミュニティセンター","高松市生島町353-１","正面入口","087-882-0856","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く",
"82","34.39216309278734","134.0518004888891","高松市女木コミュニティセンター","高松市女木町203-1","正面突き当たり階段近く","087-873-0105","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"83","34.42262","134.05420","高松市男木コミュニティセンター","高松市男木町1988","正面突き当たり支所カウンターの下","087-873-0002","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"85","34.2741","134.1049","高松市十河コミュニティセンター","高松市十川西町299-1","正面右側","087-848-0166","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"86","34.2382445914687","134.0990723394362","高松市東植田コミュニティセンター","高松市東植田町1825-1　","正面右側","087-849-0104","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く",
"87","34.24032267553109","134.07886300174584","高松市西植田コミュニティセンター","高松市西植田町2247-1","正面右側","087-849-0101","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"88","34.196260503065645","134.0415028824258","高松市塩江コミュニティセンター","高松市塩江町安原下第2号1645","２階正面入口","087-897-0137","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"89","34.385283201812626","134.12985826853662","高松市庵治コミュニティセンター","高松市庵治町888-1","正面右側","087-871-4162","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"90","34.33613666591246","134.14265396812613","高松市大町コミュニティセンター","高松市牟礼町大町1463-2","正面入口","087-870-1306","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"91","34.26722341822983","134.0246395647269","高松市大野コミュニティセンター","高松市香川町大野1329-1","正面入口","087-886-1960","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"92","34.23995817741283","134.01312658895347","高松市香南コミュニティセンター","高松市香南町由佐1172","正面左側","087-879-8993","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"93","34.28412719590888","133.96102348990883","高松市国分寺南部コミュニティセンター","高松市国分寺町福家甲3106-3","正面右側和室前の廊下","087-874-1116","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く","有"
"94","34.337810134143396","134.13930752149588","高松市牟礼コミュニティセンター","高松市牟礼町牟礼302-1","正面右側","087-845-4111","月火水木金土日","9:00","21:00","日曜日は9：00～17：00、8/13～8/15、12/29～1/3を除く",
"95","34.340817118648374","134.07343664781786","斎場公園","高松市福岡町四丁目35-41","事務所受付","087-822-1917","月火水木金土日","8:30","17:15","友引、1/1を除く","有"
"96","34.22399","134.05229","高松市やすらぎ苑","高松市香川町川内原2200","事務所受付","087-839-1222","月火水木金土日","8:30","17:15",,"有"
"97","34.34259417722984","134.0463289726568","高松市役所　本庁舎","高松市番町一丁目8-5　","１階市民ホール","087-839-2011","月火水木金","8:30","17:15","祝日、12/29～1/3を除く",
"99","34.39118901447202","134.0520504991262","高松市国民健康保険女木診療所","高松市女木町112","待合室","087-873-0103","月火木金","10:30","17:00","月・木 14:00～17:00、火・金 10:30～12:00",
"100","34.4221426766714","134.054819988154","高松市国民健康保険男木診療所","高松市男木町1988　","待合室","087-873-0003","月火木金","10:45","16:45","月・木 10:45～12:00、火・金 14:00～16:45",
"101","34.34219281743415","134.00071667512196","ふれあい福祉センター勝賀","高松市香西南町476-1　","１階ホール","087-882-6951","月火水木金土","9:00","22:00","12/29～1/3を除く。土曜及び祝日の終了時間は17:00。",
"105","34.2417884309706","134.00778639340058","ししまる館","高松市香南町横井857-1","正面入口","087-879-0321","月火水木金土","9:30","18:00","12/29～1/3を除く","有"
"106","34.29623486386022","134.11394092654575","前田幼稚園","高松市前田東町788-1","玄関","087-847-6582","月火水木金","8:15","17:00","祝日を除く","有"
"107","34.30684270663777","134.09380846034475","川添幼稚園","高松市東山崎町601","職員室","087-847-6934","月火水木金","8:15","17:00","祝日を除く","有"
"108","34.30162782781976","134.07487162691672","林こども園","高松市林町1405-4","職員室入口","087-865-1676","月火水木金土","7:30","18:45","祝日、12/29～1/3を除く。土曜日は17:00まで。","有"
"109","34.27603742376755","134.070329279816","三渓幼稚園","高松市三谷町2316-2","職員室前廊下","087-889-2514","月火水木金","8:15","17:00","祝日を除く","有"
"110","34.34592466413797","133.9966715326048","香西幼稚園","高松市香西西町59-1","職員室","087-882-0161","月火水木金","8:15","17:00","祝日を除く","有"
"111","34.291798382714305","134.02422111658484","一宮幼稚園","高松市一宮町1233-2","職員室","087-886-3088","月火水木金","8:15","17:00","祝日を除く","有"
"112","34.292407871967214","134.0516455963877","多肥幼稚園","高松市多肥上町990-2","職員室","087-889-2513","月火水木金","8:15","17:00","祝日を除く","有"
"113","34.268100538449005","134.00824389050666","川岡幼稚園","高松市川部町524-3","職員室","087-885-0550","月火水木金","8:15","17:00","祝日を除く","有"
"114","34.28575887967929","134.0032317267894","円座幼稚園","高松市円座町125-2","職員室","087-885-0846","月火水木金","8:15","17:00","祝日を除く","有"
"115","34.30097366132068","133.9950147225345","檀紙幼稚園","高松市御厩町776-1","職員室","087-885-2595","月火水木金","8:15","17:00","祝日を除く","有"
"116","34.32771384775191","134.005047853073","弦打幼稚園","高松市鶴市町360","玄関","087-881-3563","月火水木金","8:15","17:00","祝日を除く","有"
"117","34.32804686160375","133.9928882656215","鬼無幼稚園","高松市鬼無町佐藤128-1","玄関","087-881-4913","月火水木金","8:15","17:00","祝日を除く","有"
"118","34.322397399632564","134.07655895883607","木太幼稚園","高松市木太町3901-1","職員室","087-833-8144","月火水木金","8:15","17:00","祝日を除く","有"
"120","34.32577293003996","134.0912903246928","春日幼稚園","高松市春日町744","職員室","087-843-2767","月火水木金","8:15","17:00","祝日を除く","有"
"121","34.33622225313478","134.07921904147554","木太北部幼稚園","高松市木太町2604-5","職員室","087-862-1031","月火水木金","8:15","17:00","祝日を除く","有"
"122","34.35051610379203","134.1268582395117","栗山幼稚園","高松市牟礼町牟礼3028","職員室","087-845-1646","月火水木金","8:15","17:00","祝日を除く","有"
"124","34.33990252900911","134.1482951899083","大町幼稚園","高松市牟礼町大町605-1","職員室","087-845-5718","月火水木金","8:15","17:00","祝日を除く","有"
"125","34.26739644706802","134.02432673860665","大野幼稚園","高松市香川町大野1331-1","職員室","087-886-5010","月火水木金","8:15","17:00","祝日を除く","有"
"127","34.23776690375665","134.0349883947962","川東こども園","高松市香川町川東上1987-4","職員室入口","087-879-4602","月火水木金土","7:30","18:45","祝日、12/29～1/3を除く。土曜日は17:00まで。","有"
"128","34.306998526135686","133.96332715814725","国分寺北部幼稚園","高松市国分寺町新居1870-2","保健室","087-874-1155","月火水木金","8:15","17:00","祝日を除く","有"
"129","34.285185887869005","133.96121416712174","国分寺南部幼稚園","高松市国分寺町福家甲3123-1","職員室","087-874-1159","月火水木金","8:15","17:00","祝日を除く","有"
"130","34.35852283084924","133.96762615483675","下笠居こども園","高松市生島町335","職員室","087-882-2531","月火水木金土","7:30","19:00","祝日、12/29～1/3を除く。土曜日は17:00まで。","有"
"131","34.24194765250196","134.00583201293142","香南こども園","高松市香南町横井865-1","職員室入口","087-887-7876","月火水木金土","7:30","19:00","祝日、12/29～1/3を除く。土曜日は17:00まで。","有"
"132","34.38577732787546","134.1314454750986","庵治こども園","高松市庵治町853-1","職員室","087-871-2535","月火水木金土","7:30","18:45","祝日、12/29～1/3を除く。土曜日は17:00まで。","有"
"133","34.18861493599893","134.0614057385245","塩江こども園","高松市塩江町安原下第1号887","職員室入口","087-890-2022","月火水木金土","7:30","18:45","祝日、12/29～1/3を除く。土曜日は17:00まで。","有"
"134","34.32845316671421","134.15560006200366","はらこども園","高松市牟礼町原570-1","職員室","087-845-0234","月火水木金土","7:30","19:00","祝日、12/29～1/3を除く。土曜日は17:00まで。","有"
"135","34.34739831144566","134.03278422891242","瀬戸内保育所","高松市瀬戸内町23-7","職員室入口","087-861-5701","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"136","34.34585324917502","134.0385144595752","扇町保育所","高松市扇町一丁目24-17","職員室","087-821-7629","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"137","34.332737064076326","134.0361654689196","宮脇保育所","高松市宮脇町二丁目10-63","職員室入口","087-835-1636","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"138","34.33507100107785","134.06882096806805","松島保育所","高松市松島町三丁目13-6","職員室入口","087-831-8066","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"139","34.343450696696024","134.07091317860306","福岡保育所","高松市福岡町三丁目31-3","正面入口","087-851-1206","月火水木金土","7:30","18:30","開所日のみ。土曜日は17:00まで。","有"
"140","34.33126084646416","134.05447731428973","桜町保育所","高松市桜町一丁目3-15","正面玄関入口","087-834-3628","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"141","34.304466256824355","134.0285204179914","田村保育所","高松市鹿角町937","職員室","087-866-0962","月火水木金土","7:30","18:30","開所日のみ。土曜日は17:00まで。","有"
"142","34.318822716899064","134.03822598653738","鶴尾保育所","高松市東ハゼ町19-8","玄関内側","087-865-6342","月火水木金土","7:30","18:30","開所日のみ。土曜日は17:00まで。","有"
"143","34.3130755770262","134.0518147687157","太田保育所","高松市伏石町1062","職員室","087-867-5741","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"144","34.32449196705856","134.07715873004435","木太保育所","高松市木太町3502","正面入口","087-861-2650","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"145","34.33070570907336","134.10749602508793","古高松保育所","高松市高松町423-1","職員室入口","087-841-9845","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"146","34.34256860535912","134.0998840584295","屋島こども園","高松市屋島西町1744-1","職員室","087-841-9711","月火水木金土","7:30","18:45","祝日、12/29～1/3を除く。土曜日は17:00まで。","有"
"148","34.3523666577471","133.98716651966714","下笠居東部保育所","高松市植松町44-4","正面玄関入口","087-881-4752","月火水木金土","7:30","18:30","開所日のみ。土曜日は17:00まで。","有"
"149","34.34522776570175","133.99694035527665","香西保育所","高松市香西西町57-9","職員室","087-881-2328","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"150","34.32835368490471","134.0055948057401","弦打保育所","高松市鶴市町359-1","職員室","087-881-2552","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"151","34.327621813251355","133.99339152372931","鬼無保育所","高松市鬼無町佐藤41-1","職員室","087-881-2844","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"152","34.27737960614408","134.07029603568736","三谷保育所","高松市三谷町1193-1","正面玄関入口","087-889-0720","月火水木金土","7:45","18:30","開所日のみ。土曜日は17:00まで。","有"
"153","34.29127918158461","134.05107708574445","多肥保育所","高松市多肥上町424","職員室","087-889-0475","月火水木金土","7:45","18:30","開所日のみ。土曜日は17:00まで。","有"
"156","34.240089624375074","134.07803356789447","西植田保育所","高松市西植田町2350-1","職員室","087-849-0102","月火水木金土","7:30","18:30","開所日のみ。土曜日は13:30まで。","有"
"157","34.23990970862563","134.09794203825942","東植田保育所","高松市東植田町2023-1","職員室入口","087-849-0082","月火水木金土","7:30","18:00","開所日のみ。土曜日は8:00～17:00","有"
"158","34.26774811716082","134.0272250122211","大野保育所","高松市香川町大野1063-1","職員室入口","087-886-9356","月火水木金土","7:30","18:00","開所日のみ。土曜日は8:30～17:00。","有"
"160","34.22950402518687","134.04047278102325","川東南保育所","高松市香川町川内原574-56","職員室","087-879-5784","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"161","34.30697940304108","133.964159464751","国分寺北部保育所","高松市国分寺町新居1906-1","職員室","087-874-1487","月火水木金土","7:30","18:30","開所日のみ。土曜日は17:00まで。","有"
"162","34.2846802062831","133.9609346201691","国分寺南部保育所","高松市国分寺町福家甲3106-1","職員室入口","087-874-1120","月火水木金土","7:30","18:30","開所日のみ。土曜日は17:00まで。","有"
"163","34.34596089292165","134.12670744029657","牟礼保育所","高松市牟礼町牟礼1978-1","正面玄関入口","087-845-1647","月火水木金土","7:30","19:00","開所日のみ。土曜日は17:00まで。","有"
"165","34.3305162701712","134.05253694523162","高松市保健所","高松市桜町一丁目10-27　","正面入口、相談室１（貸出用）","087-839-2860","月火水木金","8:30","17:15","祝日、12/29～1/3を除く",
"166","34.339498494813526","134.05967402542245","高松市夜間急病診療所","高松市松島町一丁目16-20　","内科２診","087-839-2299","月火水木金土日","19:30","23:30",,
"167","34.33050911936475","134.0518933163504","高松市保健センター","高松市桜町一丁目9-12　","１階ロビー、３階エレベーターホール","087-839-2363","月火水木金","8:30","17:15","祝日、12/29～1/3を除く",
"168","34.250918535101405","134.03438653170792","香川地域保健活動センター","高松市香川町浅野1256-1　","１階ロビー",,"月火水木金","8:30","17:15","祝日、12/29～1/3を除く",
"169","34.388355710333386","134.12935782603802","庵治地域保健活動センター","高松市庵治町978　","３階ほっとぴあん受付内","087-870-3426",,,,"利用不可",
"170","34.29570","133.96487","国分寺地域保健活動センター","高松市国分寺町新居1180-1　","１階ロビー","087-874-8200","月火水木金","8:30","17:15","祝日、12/29～1/3を除く",
"171","34.26237470720193","134.0150248615817","高松市西部クリーンセンター","高松市川部町930-1","事務室入口","087-885-2727","月火水木金土","8:30","17:15","土曜日は12：30まで。祝日、12/29～1/3を除く。","有"
"172","34.20257","134.0320875","高松市南部クリーンセンター","高松市塩江町安原下第3号2084-1","事務室入口","087-890-2190","月火水木金","8:30","17:15","祝日、12/29～1/3を除く","有"
