"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note"
"33","34.36595","134.09225","高松市消防団屋島分団第１部屯所","高松市屋島西町字丸山440-23","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"34","34.35794","134.10126","高松市消防団屋島分団第２部屯所","高松市屋島東町1808","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"35","34.34532","134.09705","高松市消防団屋島分団第３部屯所","高松市屋島西町1584-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"36","34.34236","134.11448","高松市消防団屋島分団第４部屯所","高松市屋島東町1554-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"37","34.35842","134.1138","高松市消防団屋島分団第５部屯所","高松市屋島東町528","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"38","34.28469","134.11363","高松市消防団前田分団第１部屯所","高松市亀田町172-7","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"39","34.29706","134.11203","高松市消防団前田分団第２部屯所","高松市前田西町1-10","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"40","34.31132","134.08351","高松市消防団川添分団第１部屯所","高松市元山町975-9","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"41","34.30194","134.09112","高松市消防団川添分団第２部屯所","高松市東山崎町33‐7","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"42","34.30138","134.07208","高松市消防団林分団第１部屯所","高松市林町1170-7","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"43","34.2898","134.06719","高松市消防団林分団第２部屯所","高松市上林町408-5","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"44","34.28435","134.08457","高松市消防団川島分団屯所","高松市由良町542-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"45","34.27411","134.10497","高松市消防団十河分団屯所","高松市十川西町299-10","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"46","34.24004","134.09747","高松市消防団東植田分団屯所","高松市東植田町2026-12","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"47","34.19379","134.09776","高松市消防団東植田分団菅沢屯所","高松市菅沢町字宮ノ谷338-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"48","34.22741","134.10958","高松市消防団東植田分団城屯所","高松市東植田町3451-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"49","34.24001","134.07592","高松市消防団西植田分団屯所","高松市西植田町字中塚3039-2","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"50","34.22893","134.07292","高松市消防団西植田分団神内屯所","高松市西植田町7972-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"51","34.33168","134.00614","高松市消防団弦打分団屯所","高松市鶴市町651-5","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"52","34.32735","133.99335","高松市消防団鬼無分団屯所","高松市鬼無町佐藤31-3","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"53","34.34695","133.99586","高松市消防団香西分団屯所","高松市香西北町37-6","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"54","34.3584","133.96912","高松市消防団下笠居分団第１部屯所","高松市生島町351-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"55","34.3723","133.94413","高松市消防団下笠居分団第２部屯所","高松市亀水町458-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"56","34.30401","133.96662","高松市消防団国分寺分団第１部屯所","高松市国分寺町新居546-5","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"57","34.28427","133.95947","高松市消防団国分寺分団第２部屯所","高松市国分寺町新名1320-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"58","34.30112","133.94439","高松市消防団国分寺分団第３部屯所","高松市国分寺町国分961-8","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"59","34.27337","133.97165","高松市消防団国分寺分団第４部屯所","高松市国分寺町福家1895-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai6.html",
"60","34.19596","134.04212","高松市消防団塩江分団第１部屯所","高松市塩江町安原下第2号1590-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"61","34.20666","134.03375","高松市消防団塩江分団第１部長野屯所","高松市塩江町安原下第3号500-3","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"62","34.1696","134.08295","高松市消防団塩江分団第２部屯所","高松市塩江町安原上東394-2","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"63","34.18052","134.07335","高松市消防団塩江分団第２部岩部屯所","高松市塩江町安原上東279-3","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"64","34.15057","134.07658","高松市消防団塩江分団第３部屯所","高松市塩江町上西乙549","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"65","34.26733","134.0247","高松市消防団香川分団第１部雪元屯所","高松市香川町大野1329-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"66","34.258","134.02741","高松市消防団香川分団第１部臼井屯所","高松市香川町大野632-7","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"67","34.26775","134.03742","高松市消防団香川分団第２部船岡屯所","高松市香川町浅野234-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"68","34.25678","134.03579","高松市消防団香川分団第２部上浅野屯所","高松市香川町浅野826-2","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"69","34.2514","134.0465","高松市消防団香川分団第２部道端屯所","高松市香川町浅野1898-3","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"70","34.26236","134.04792","高松市消防団香川分団第２部実相寺屯所","高松市香川町浅野3351-8","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"71","34.23683","134.03438","高松市消防団香川分団第３部川東屯所","高松市香川町川東上1659-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"74","34.20442","134.06215","高松市消防団香川分団第４部東谷屯所","高松市香川町東谷870-10","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"75","34.21213","134.03185","高松市消防団香川分団第４部安原屯所","高松市香川町安原下第3号188-2","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"76","34.23939","134.01205","高松市消防団香南分団１部屯所","高松市香南町由佐1402-12","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"77","34.24494","134.00036","高松市消防団香南分団第２部屯所","高松市香南町池内522-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
"78","34.38571","134.13044","高松市消防団庵治分団第１部才田屯所","高松市庵治町868-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"79","34.38931","134.12849","高松市消防団庵治分団第１部浜屯所","高松市庵治町6384-43","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"80","34.38465","134.12634","高松市消防団庵治分団消防コミュニティセンター","高松市庵治町6393-5","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"81","34.39184","134.1263","高松市消防団庵治分団第２部王の下屯所","高松市庵治町6368-28","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"82","34.39863","134.13673","高松市消防団庵治分団第２部竹居屯所","高松市庵治町5385-4","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"83","34.39163","134.15257","高松市消防団庵治分団第２部鎌野屯所","高松市庵治町4511-20","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"84","34.38681","134.13488","高松市消防団庵治分団第３部北村屯所","高松市庵治町1088-2","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"85","34.38057","134.14153","高松市消防団庵治分団第３部宮東屯所","高松市庵治町4083","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"86","34.3753","134.13801","高松市消防団庵治分団第３部松尾屯所","高松市庵治町2290-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"87","34.36307","134.15707","高松市消防団庵治分団第４部高尻屯所","高松市庵治町2914","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"88","34.37932","134.12828","高松市消防団庵治分団第４部湯谷屯所","高松市庵治町333-2","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"89","34.36845","134.12069","高松市消防団庵治分団第４部深間屯所","高松市庵治町6391-17","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"90","34.32718","134.15335","高松市消防団牟礼分団第１部屯所","高松市牟礼町原766","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"91","34.33599","134.1427","高松市消防団牟礼分団第２部屯所","高松市牟礼町大町1459-2","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"92","34.35002","134.12692","高松市消防団牟礼分団第３部屯所","高松市牟礼町牟礼3029-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"93","34.34061","134.13399","高松市消防団牟礼分団第４部屯所","高松市牟礼町牟礼1118-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai8.html",
"94","34.31271","134.0662","高松市消防団木太分団第３部屯所","高松市木太町5096-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai4.html",
"95","34.3901","134.05301","高松市消防団女木分団東浦消防屯所車庫","高松市女木町235-1","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"96","34.39484","134.04418","高松市消防団女木分団西浦消防屯所車庫","高松市女木町2943","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai1.html",
"97","34.23971","134.07662","高松市消防団消防山田倉庫","高松市西植田町3034-6","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai5.html",
"72","34.24382","134.027","高松市消防団香川分団第３部川東下屯所","高松市香川町川東下765-6","087-861-2503","http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shobo/shobo/shobodan/dai7.html",
