"#property","latitude","longitude","address","alternativeName","city","name","corporateRepresentative","establisher","openingDate","telephone　number","medicalSubjects","note","numberOfBeds","pref","prefCode"
"jp.takamatsu.smartcity.medical.Hospital.11","34.321035","134.080172","香川県高松市木太町３８３６番地７","病院","高松市","医療法人社団三恵会木太三宅病院","理事長　三宅　泰二郎","医療法人社団三恵会","2000/9/1","087-867-3131","内科、消化器内科、循環器内科、外科、整形外科、消化器外科、心臓血管外科、肛門外科、リハビリ科、","","31","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.12","34.291262","134.03246","香川県高松市三名町３７８番地１","病院","高松市","医療法人社団新進会おさか脳神経外科病院","理事長　苧坂　邦彦","医療法人社団新進会","1984/10/1","087-886-3300","内科、脳神経内科、循環器内科、外科、整形外科、脳神経外科、リハビリ科、放射線科、麻酔科","","69","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.13","34.338977","134.104172","香川県高松市屋島西町１９３７番地１","病院","高松市","医療法人社団百石病院","理事長　江口　隆夫","医療法人社団百石病院","1984/11/1","087-843-6121","内科、循環器内科、外科、整形外科、脳神経外科、胃腸外科、小児外科、泌尿器科、肛門外科、リハビリ科、麻酔科","","87","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.14","34.342143","134.045402","香川県高松市番町一丁目１０番３号","病院","高松市","医療法人社団康生会高松大林病院","理事長　大林　直嗣","医療法人社団康生会","1995/4/1","087-862-1231","内科、循環器内科、リハビリ科、放射線科","","49","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.15","34.32859","134.105524","香川県高松市新田町甲４７４番地３","病院","高松市","医療法人社団啓友会久米川病院","理事長　吉澤　潔","医療法人社団啓友会","1995/4/1","087-844-3111","呼吸器内科、消化器内科、循環器内科、糖尿病内科、リウマチ科、整形外科、脳神経外科、呼吸器外科、消化器外科、乳腺・内分泌外科、循環器外科、皮膚科、泌尿器科、リハビリ科","","49","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.16","34.334214","134.061087","香川県高松市観光町５８８番地８","病院","高松市","医療法人社団和広会伊達病院","理事長　伊達　学","医療法人社団和広会","1997/9/17","087-831-1701","内科、外科、整形外科、リハビリ科、放射線科、乳腺外科","","50","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.17","34.322403","134.064403","香川県高松市松縄町３５番地３","病院","高松市","医療法人社団研宣会広瀬病院","理事長　廣瀬　友彦","医療法人社団研宣会","1996/1/1","087-867-9911","リウマチ科、外科、整形外科、リハビリ科","","43","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.18","34.348362","134.014858","香川県高松市郷東町５８０番地","病院","高松市","医療法人社団玉藻会馬場病院","理事長　馬場　信二","医療法人社団玉藻会","1997/4/1","087-881-4375","内科、心療内科、精神科","","407","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.19","34.344057","134.055098","香川県高松市塩屋町１番地４","病院","高松市","医療法人社団雙和会クワヤ病院","理事長　石濱　英暢","医療法人社団雙和会","1997/4/1","087-851-5208","内科、心療内科、精神科、呼吸器科、胃腸内科、循環器科、糖尿病内科、ペインクリニック内科、リウマチ科、整形外科、皮膚科、美容皮膚科、泌尿器科、リハビリ科、放射線科、麻酔科","","73","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.20","34.340911","134.052016","香川県高松市瓦町一丁目１２番地４５","病院","高松市","医療法人社団弘徳会マオカ病院","理事長　満岡　弘巳","医療法人社団弘徳会","2003/4/1","087-862-8888","内科、リウマチ科、整形外科、リハビリ科、麻酔科","","58","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.21","34.331441","134.046829","香川県高松市栗林町一丁目４番１号","病院","高松市","香川医療生活協同組合高松平和病院","理事長　北原　孝夫","香川医療生活協同組合","1984/10/1","087-833-8113","内科、呼吸器科、消化器科、循環器科、緩和ケア内科、アレルギー科、リウマチ科、小児科、整形外科、乳腺外科、リハビリ科、救急科、病理診断科","","123","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.22","34.343719","134.045431","香川県高松市番町一丁目４番１３号","病院","高松市","整形外科吉峰病院","","吉峰　公博","1993/6/1","087-851-8775","内科、消化器内科、脳神経内科、リウマチ科、外科、整形外科、皮膚科、リハビリ科","","54","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.23","34.171485","134.080528","香川県高松市塩江町安原上東９９番地１","病院","高松市","高松市民病院塩江分院","高松市長","高松市","2005/9/26","087-893-0031","内科、外科、整形外科、脳神経外科、皮膚科、リハビリ科、歯科","","87","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.24","34.291538","133.95823","香川県高松市国分寺町新名５００番地１","病院","高松市","医療法人社団有史会高畠病院","理事長　高畠　渉","医療法人社団有史会","1998/12/18","087-874-3131","内科、神経内科、胃腸内科、循環器内科、外科、整形外科、肛門科、眼科、リハビリ科","","98","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.25","34.407704","134.107814","香川県高松市庵治町６０３４番地１","病院","高松市","国立療養所大島青松園","厚生労働大臣","厚生労働省","1941/7/1","087-871-3131","内科、外科、整形外科、形成外科、皮膚科、眼科、耳鼻咽喉科、歯科","","100","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.26","34.236976","134.021769","香川県高松市香南町由佐１１３番地１","病院","高松市","医療法人社団以和貴会いわき病院","理事長　渡邊　朋之","医療法人社団以和貴会","1974/4/1","087-879-3533","内科、心療内科、小児神経内科、精神科、神経科、神経内科、呼吸器科、消化器科、リハビリ科、麻酔科、歯科","","226","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.27","34.331623","134.151581","香川県高松市牟礼町原８８３番地１","病院","高松市","医療法人社団光風会三光病院","理事長　海野　順","医療法人社団光風会","1982/11/1","087-845-3301","内科、精神科、心療内科、児童精神科、老年精神科","","320","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.28","34.266491","134.034178","香川県高松市香川町浅野２７２番地","病院","高松市","医療法人社団仁樹会オサカ病院","理事長　森川　穎二","医療法人社団仁樹会","1994/4/1","087-889-0703","内科、循環器内科、外科、整形外科、形成外科、皮膚科、泌尿器科、リハビリ科、放射線科、麻酔科","","52","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.29","34.323272","134.085667","香川県高松市木太町４６６４番地","病院","高松市","高松協同病院","理事長　北原　孝夫","香川医療生活協同組合","2010/1/1","087-833-2330","内科、整形外科、リハビリ科","","85","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.30","34.348813","134.062552","香川県高松市朝日町一丁目２番１号","病院","高松市","香川県立中央病院","香川県知事","香川県","2014/3/1","087-811-3333","内科、呼吸器内科、消化器内科、循環器内科、糖尿病内科、腎臓内科、脳神経内科、血液内科、緩和ケア内科、肝臓内科、腫瘍内科、小児科、外科、整形外科、形成外科、脳神経外科、頭頚部外科、呼吸器外科、消化器外科、乳腺・内分泌外科、心臓血管外科、皮膚科、泌尿器科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、病理診断科、救急科、麻酔科、歯科、歯科口腔外科、分娩実施、透析実施","","533","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.31","34.343432","134.090538","香川県高松市屋島西町２１０５番地１７","病院","高松市","香川県厚生農業協同組合連合会　屋島総合病院","代表理事理事長　田宮　隆","香川県厚生農業協同組合連合会","2016/11/1","087-841-9141","内科、呼吸器内科、消化器内科、循環器内科、糖尿病内科、透析科、小児アレルギー科、小児科、外科、整形外科、形成外科、脳神経外科、消化器外科、乳腺外科、皮膚科、泌尿器科、肛門外科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、麻酔科、歯科、分娩実施、透析実施","","279","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.32","34.282689","134.040477","香川県高松市仏生山町甲８４７番地１","病院","高松市","高松市立みんなの病院","高松市長","高松市","2018/9/1","087-813-7171","内科、精神科、呼吸器内科、消化器内科、循環器内科、糖尿病内科、脳神経内科、小児科、外科、整形外科、形成外科、脳神経外科、脳血管外科、呼吸器外科、皮膚科、泌尿器科、産科、婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、救急科、病理診断科、臨床検査科、麻酔科、歯科口腔外科、分娩実施、透析実施","","305","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.33","34.280338","134.060004","香川県高松市三谷町１６８０番地１","病院","高松市","医療法人社団清澄会　ミタニ病院","理事長　藤田　麻里子","医療法人社団清澄会","2019/1/1","087-864-8778","内科、呼吸器内科、消化器内科、循環器内科、腎臓内科、泌尿器科、透析実施","","85","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.34","34.314331","134.082888","香川県高松市元山町１２３１番地１３","有床診療所","高松市","安西内科医院","","安西　芳朗","1975/4/1","087-866-4170","内科、呼吸器内科、消化器内科、循環器内科、放射線科","","11","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.35","34.305356","134.060269","香川県高松市多肥下町１５２４番地１４","有床診療所","高松市","医療法人安藤レディースクリニック","理事長　安藤　雅章","医療法人安藤レディースクリニック","2003/11/1","087-815-2833","産婦人科","","3","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.36","34.256135","134.028203","香川県高松市香川町大野４５９番地５","有床診療所","高松市","医療法人社団健愛会あきやまクリニック","理事長　秋山　和己","医療法人社団健愛会","2006/1/1","087-815-8588","内科、泌尿器科、腎臓内科、呼吸器内科、糖尿病内科、人工透析内科","","3","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.37","34.341829","134.133093","香川県高松市牟礼町牟礼１００６番地３","有床診療所","高松市","医療法人社団慈愛会阿部内科眼科医院","理事長　阿部　博","医療法人社団慈愛会","1994/10/1","087-845-1335","内科、糖尿病内科、眼科","","19（休床中）","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.38","34.333635","134.046727","香川県高松市藤塚町一丁目１１番１号","有床診療所","高松市","医療法人社団少将井いがわ医院","理事長　井川　和彦","医療法人社団少将井いがわ医院","2012/4/1","087-861-4306","内科、整形外科、形成外科、皮膚科、眼科、耳鼻咽喉科、リハビリ科、歯科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.39","34.337156","134.046337","香川県高松市中央町１番２８号（及び１番２４号）","有床診療所","高松市","医療法人社団大塚整形外科医院","理事長　大塚　和俊","医療法人社団大塚整形外科医院","1990/2/1","087-834-7611","リウマチ科、整形外科、リハビリ科","","15","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.40","34.269595","134.025423","香川県高松市香川町大野１０９２番地１","有床診療所","高松市","医療法人社団大嶋整形外科医院","理事長　大嶋　照久","医療法人社団大嶋整形外科医院","1997/3/1","087-885-3611","リウマチ科、整形外科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.41","34.343473","134.06574","香川県高松市福岡町二丁目２４番２６号","有床診療所","高松市","太田クリニック","理事長　太田　憲吾","医療法人社団らく楽会","2014/8/4","087-851-1238","内科、外科、泌尿器科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.42","34.34026","134.114965","香川県高松市高松町２３６５番地","有床診療所","高松市","医療法人社団海部医院","理事長　海部　久美子","医療法人社団海部医院","1990/2/1","087-843-3666","内科、腎臓内科、循環器内科、皮膚科、泌尿器科、透析実施","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.43","34.289706","134.051792","香川県高松市多肥上町７１８番地１","有床診療所","高松市","医療法人かしむら内科医院","理事長　佐藤　多美子","医療法人かしむら内科医院","2006/9/1","087-889-7760","内科、消化器内科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.44","34.343076","134.043878","香川県高松市番町二丁目４番１６号","有床診療所","高松市","五番丁医院","","河野　良太","2014/4/1","087-822-3331","内科、外科、整形外科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.45","34.304149","134.01524","香川県高松市成合町７２６番地１","有床診療所","高松市","医療法人社団泰平会佐藤クリニック","理事長　佐藤　剛平","医療法人社団泰平会","2000/2/1","087-885-0105","内科、外科、整形外科、肛門科、循環器外科、リハビリテーション科、放射線科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.46","34.301277","134.050935","香川県高松市太田下町３０１７番地３","有床診療所","高松市","サンフラワーマタニティークリニック","","柳原　敏宏","2011/7/1","087-868-4103","産科、婦人科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.47","34.311636","134.040077","香川県高松市上天神町５１２番地１","有床診療所","高松市","医療法人社団緑会ザイタックスクリニック","理事長　樋端　敏生","医療法人社団緑会","2015/11/1","087-867-1177","内科、人工透析内科、泌尿器科（人口透析）、放射線診療科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.48","34.317761","134.046412","香川県高松市三条町４８２番地１","有床診療所","高松市","三条整形外科スポーツクリニック","理事長　宮武　正弘","医療法人弘仁会","2011/9/1","087-867-2270","リウマチ科、整形外科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.49","34.244093","134.086803","香川県高松市西植田町１５４０番地","有床診療所","高松市","四宮医院","","四宮　陽一","1985/9/18","087-849-0201","内科、小児科、脳神経外科、放射線科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.50","34.342476","134.130789","香川県高松市牟礼町牟礼９８６番地１","有床診療所","高松市","医療法人社団渋谷整形外科医院","理事長　渋谷　整","医療法人社団渋谷整形外科医院","2000/11/1","087-845-9339","リウマチ科、外科、整形外科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.51","34.255634","134.035124","香川県高松市香川町浅野１０２６番地５","有床診療所","高松市","杉上産婦人科医院","","杉上　彰","1981/5/1","087-879-6969","内科、産科、婦人科、麻酔科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.52","34.336735","134.052758","香川県高松市観光通一丁目６番地１","有床診療所","高松市","医療法人社団菅原眼科医院","理事長　樋端　みどり","医療法人社団菅原眼科医院","2022/4/6","087-831-7561","眼科","","3","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.53","34.340975","134.045256","香川県高松市番町一丁目１０番１６号","有床診療所","高松市","一般財団法人三宅医学研究所附属セントラルパーククリニック","理事長　三宅　信一郎","一般財団法人三宅医学研究所","1998/4/30","087-863-4560","内科、外科、整形外科、婦人科、リハビリ科、放射線科、マンモ","","5","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.54","34.275891","134.103456","香川県高松市十川西町３６８番地１","有床診療所","高松市","医療法人社団恵生会いきなり内科ハートクリニック","理事長　入江　恵子","医療法人社団恵生会","2005/5/1","087-848-1166","内科、消化器内科、循環器内科、リハビリテーション科、脳神経外科","","15","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.55","34.342783","134.042292","香川県高松市番町三丁目３番１号","有床診療所","高松市","多田羅内科クリニック","理事長　多田羅　治","医療法人福生会","1992/12/1","087-861-3730","内科、呼吸器内科、消化器内科、循環器内科、肝臓内科、外科","","18","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.56","34.321858","134.063855","香川県高松市松縄町４１番地５","有床診療所","高松市","医療法人社団田原内科医院","理事長　田原　律哉","医療法人社団田原内科医院","1993/3/1","087-867-1766","呼吸器内科、消化器内科、循環器内科、糖尿病・内分泌内科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.57","34.328995","134.069574","香川県高松市木太町１９８６番地","有床診療所","高松市","医療法人社団高畠医院","理事長　高畠　良智","医療法人社団高畠医院","1996/1/1","087-862-3410","内科、リウマチ科、整形外科、皮膚科、泌尿器科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.58","34.265782","134.028461","香川県高松市香川町大野９９７番地３","有床診療所","高松市","医療法人社団谷本内科医院","理事長　谷本　佳貞","医療法人社団谷本内科医院","1999/2/1","087-885-8500","内科、循環器内科、人工透析内科、糖尿病内科、泌尿器科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.59","34.317173","134.092732","香川県高松市春日町１４８番地１","有床診療所","高松市","医療法人社団立心会高松ハートクリニック","理事長　雪入　一志","医療法人社団立心会高松ハートクリニック","2012/3/2","087-814-5111","内科、循環器内科","","6","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.60","34.297067","134.055251","香川県高松市多肥下町字山道３６５番地９","有床診療所","高松市","医療法人社団一歩一景会たけべ乳腺外科クリニック","理事長　武部　晃司","医療法人社団一歩一景会","2015/5/1","087-867-0205","乳腺外科","","15","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.61","34.301104","134.018773","香川県高松市成合町１３５７番地","有床診療所","高松市","なりあい医院","理事長　村上　良一","学校法人村上学園","2007/12/1","087-885-7700","胃腸内科、外科、リハビリ科","","19（休床中）","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.62","34.28202","134.023515","香川県高松市寺井町１３８５番地１０","有床診療所","高松市","医療法人社団仁泉会西岡医院","理事長　西岡　敦子","医療法人社団仁泉会","1995/3/1","087-885-2021","内科、リウマチ科、小児科、整形外科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.63","34.26683","134.025532","香川県高松市香川町大野１３２５番地１","有床診療所","高松市","医療法人社団西原眼科医院","理事長　西原　聡一朗","医療法人社団西原眼科医院","1998/4/1","087-885-5511","眼科","","4","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.64","34.335501","134.050983","香川県高松市東田町４番地８","有床診療所","高松市","沼本産婦人科医院","","沼本　篤男","2016/9/1","087-831-7062","産婦人科","","2","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.65","34.339364","134.010601","香川県高松市鶴市町２０２６番地１","有床診療所","高松市","医療法人社団伸萌会花房外科医院","理事長　花房　伸","医療法人社団伸萌会","1993/4/1","087-881-0066","胃腸科、外科、こう門科、リハビリ科","","19（休床中）","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.66","34.326512","134.04976","香川県高松市花ノ宮町一丁目５番３０号","有床診療所","高松市","医療法人社団はらだ産婦人科医院","理事長　原田　美禰子","医療法人社団はらだ産婦人科医院","1995/6/1","087-837-1611","産婦人科","","2","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.67","34.297606","134.078552","香川県高松市六条町７９５番地６","有床診療所","高松市","医療法人社団ひまわり会はまもと医院","理事長　濱本　龍七郎","医療法人社団ひまわり会","2002/3/1","087-864-6666","内科、呼吸器内科、胃腸内科、循環器内科、人工透析内科、糖尿病内科、腎臓内科、老年内科、アレルギー疾患内科、リハビリ科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.68","34.305593","134.037044","香川県高松市田村町１２７７番地","有床診療所","高松市","医療法人社団藤井外科胃腸科・整形外科","理事長　谷野　裕子","医療法人社団藤井外科胃腸科・整形外科","2001/4/1","087-867-1222","内科、胃腸科、外科、整形外科、リウマチ科、リハビリテーション科","","18","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.69","34.276377","134.082341","香川県高松市川島本町４３１番地５","有床診療所","高松市","医療法人社団三好内科医院","理事長　三好　康夫","医療法人社団三好内科医院","1993/4/1","087-848-2288","内科、消化器内科、循環器内科、泌尿器科、リハビリテーション科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.70","34.284165","134.114729","香川県高松市亀田町２２６番地１","無床診療所","高松市","医療法人社団つくし会三好外科胃腸科医院","理事長　三好　恵一","医療法人社団つくし会","2002/4/1","087-847-8888","胃腸内科、循環器内科、外科、整形外科、こう門外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.71","34.34007","134.052279","香川県高松市瓦町二丁目３番地５","有床診療所","高松市","森産婦人科医院","","森　信博","2022/11/24","087-831-5513","産科・婦人科","","19","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.72","34.33794","134.0541","香川県高松市塩上町一丁目４番１０号","有床診療所","高松市","医療法人社団隆朗会やまもと医院","理事長　山本　良隆","医療法人社団隆朗会","2021/4/16","087-837-0707","内科、心療内科、精神科","","1","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.73","34.292832","134.000091","香川県高松市円座町３７５番地１","有床診療所","高松市","医療法人よつばウイメンズクリニック","理事長　片山　富博","医療法人よつばウイメンズクリニック","2013/9/1","087-885-4103","産婦人科","","17","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.74","34.28196","134.0475","香川県高松市仏生山町甲４６０番地８","有床診療所","高松市","医療法人社団わき外科・内科クリニック","理事長　脇　正志","医療法人社団わき外科クリニック","1992/1/1","087-888-5123","内科、呼吸器内科、胃腸内科、外科、皮膚科、泌尿器科、肛門外科","","15","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.75","34.317122","134.053266","香川県高松市伏石町１３１６番地３","無床診療所","高松市","医療法人社団荒木内科医院","理事長　荒木　久之","医療法人社団荒木内科医院","1995/6/1","087-867-7041","内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.76","34.347323","134.087915","香川県高松市屋島西町２４９０番地１９","無床診療所","高松市","浅野皮膚科医院","","浅野　隆司","1999/5/12","087-843-2332","皮膚科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.77","34.306023","134.043222","香川県高松市太田下町１８７２番地２","無床診療所","高松市","医療法人社団修美会綾田内科消化器科クリニック","理事長　綾田　喜一郎","医療法人社団修美会","2002/11/1","087-864-5111","内科、消化器内科、循環器内科、アレルギー科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.78","34.286707","133.962649","香川県高松市国分寺町福家甲３１７４番地４","無床診療所","高松市","医療法人社団雲井会綾こどもクリニック","理事長　綾　直文","医療法人社団雲井会","2003/4/1","087-875-2220","小児科、アレルギー科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.79","34.380964","134.127817","香川県高松市庵治町６１９番地","無床診療所","高松市","医療法人社団庵治整形外科・内科医院","理事長　林　春樹","医療法人社団庵治整形外科・内科医院","1950/12/26","087-871-3801","内科、リウマチ科、整形外科、リハビリ科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.80","34.271968","134.026198","香川県高松市香川町大野２４５２番地２","無床診療所","高松市","医療法人社団阿河耳鼻咽喉科医院","理事長　阿河　邦治","医療法人社団阿河耳鼻咽喉科医院","1997/2/1","087-885-3387","耳鼻咽喉科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.81","34.297317","134.040245","香川県高松市太田上町４２０番地１","無床診療所","高松市","あおば内科クリニック","","辻上　幸司","2008/5/21","087-816-1122","内科、消化器内科","","","香川県","372013"
"jp.takamatsu.smartcity.medical.Hospital.82","34.294085","134.078976","香川県高松市六条町６０５番地５","無床診療所","高松市","医療法人社団裕心会あきた小児科クリニック","理事長　秋田　裕司","医療法人社団裕心会","2009/6/1","087-868-6000","小児循環器内科、アレルギー科、小児科、","","","香川県","372013"
