"#property","latitude","longitude","address","alternativeName","city","name","corporateRepresentative","establisher","openingDate","telephoneNumber","faxNumber","fullNameInKana","identification","katagaki","medicalCode","medicalSubjects","note","numberOfBeds","overtimeResponse","pref","prefCode","referenceObject"
"jp.takamatsu.smartcity.medical.Hospital.11","34.344057","134.055098","香川県高松市塩屋町1-4","病院","高松市","医療法人社団雙和会クワヤ病院","理事長　石濱　英暢","医療法人社団雙和会","1997/4/1","087-851-5208","087-851-6027","クワヤビョウイン",,,,"内科、心療内科、精神科、呼吸器科、胃腸内科、循環器科、糖尿病内科、ペインクリニック内科、リウマチ科、整形外科、皮膚科、美容皮膚科、泌尿器科、リハビリ科、放射線科、麻酔科",,"73",,"香川県","372013","http://www.kuwaya.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.12","34.407704","134.107814","香川県高松市庵治町6034-1","病院","高松市","国立療養所大島青松園","厚生労働大臣","厚生労働省","1941/7/1","087-871-3131","087-871-4821","コクリツリョウヨウジョオオシマセイショウエン",,,,"内科、外科、整形外科、形成外科、皮膚科、眼科、耳鼻咽喉科、歯科",,"100",,"香川県","372013","https://www.mhlw.go.jp/seisakunitsuite/bunya/kenkou_iryou/iryou/hansen/osima/"
"jp.takamatsu.smartcity.medical.Hospital.14","34.331623","134.151581","香川県高松市牟礼町原883-1","病院","高松市","医療法人社団光風会三光病院","理事長　海野　順","医療法人社団光風会","1982/11/1","087-845-3301","087-845-6822","サンコウビョウイン",,,,"内科、精神科、心療内科、児童精神科、老年精神科",,"320",,"香川県","372013","http://www.sanko-hp.com/"
"jp.takamatsu.smartcity.medical.Hospital.15","34.343719","134.045431","香川県高松市番町一丁目4-13","病院","高松市","整形外科吉峰病院",,"吉峰　公博","1993/6/1","087-851-8775","087-821-5964","セイケイゲカヨシミネビョウイン",,,,"内科、消化器内科、脳神経内科、リウマチ科、外科、整形外科、皮膚科、リハビリ科",,"54",,"香川県","372013","https://www.yoshimine.com/"
"jp.takamatsu.smartcity.medical.Hospital.16","34.291538","133.95823","香川県高松市国分寺町新名500-1","病院","高松市","医療法人社団有史会高畠病院","理事長　高畠　渉","医療法人社団有史会","1998/12/18","087-874-3131","087-874-4464","タカバタケビョウイン",,,,"内科、神経内科、胃腸内科、循環器内科、外科、整形外科、肛門科、眼科、リハビリ科",,"98",,"香川県","372013","https://www.takabatake-hp.com/"
"jp.takamatsu.smartcity.medical.Hospital.17","34.319621","134.110708","香川県高松市新田町乙8","病院","高松市","独立行政法人国立病院機構高松医療センター","理事長　新木　一弘","独立行政法人国立病院機構","1947/4/1","087-841-2146","087-843-5545","タカマツイリョウセンター",,,,"内科、神経内科、呼吸器内科、消化器内科、循環器内科、外科、整形外科、皮膚科、泌尿器科、リハビリ科、麻酔科、歯科",,"240",,"香川県","372013","http://www.takamatsu-mc.jp/"
"jp.takamatsu.smartcity.medical.Hospital.18","34.342143","134.045402","香川県高松市番町一丁目10-3","病院","高松市","医療法人社団康生会高松大林病院","理事長　大林　直嗣","医療法人社団康生会","1995/4/1","087-862-1231","087-834-4636","タカマツオオバヤシビョウイン",,,,"内科、循環器内科、リハビリ科、放射線科",,"49",,"香川県","372013","http://wwwb.pikara.ne.jp/kouseikai/"
"jp.takamatsu.smartcity.medical.Hospital.19","34.323272","134.085667","香川県高松市木太町4664","病院","高松市","高松協同病院","理事長　北原　孝夫","香川医療生活協同組合","2010/1/1","087-833-2330","087-833-2880","タカマツキョウドウビョウイン",,,,"内科、整形外科、リハビリ科",,"85",,"香川県","372013","https://t-kyodo.com/"
"jp.takamatsu.smartcity.medical.Hospital.20","34.171485","134.080528","香川県高松市塩江町安原上東99-1","病院","高松市","高松市民病院塩江分院","高松市長","高松市","2005/9/26","087-893-0031","087-893-0104","タカマツシミンビョウインシオノエブンイン",,,,"内科、外科、整形外科、脳神経外科、皮膚科、リハビリ科、歯科",,"87",,"香川県","372013","http://tmh-shionoe.jpn.org/"
"jp.takamatsu.smartcity.medical.Hospital.21","34.282689","134.040477","香川県高松市仏生山町甲847番地1","病院","高松市","高松市立みんなの病院","高松市長","高松市","2018/9/1","087-813-7171",,"タカマツシリツミンナノビョウイン",,,,"内科、精神科、呼吸器内科、消化器内科、循環器内科、糖尿病内科、脳神経内科、小児科、外科、整形外科、形成外科、脳神経外科、脳血管外科、呼吸器外科、皮膚科、泌尿器科、産科、婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、救急科、病理診断科、臨床検査科、麻酔科、歯科口腔外科、分娩実施、透析実施",,"305",,"香川県","372013","http://www.takamatsu-municipal-hospital.jp/"
"jp.takamatsu.smartcity.medical.Hospital.22","34.340801","134.044464","香川県高松市番町四丁目1-3","病院","高松市","高松赤十字病院","社長　清家　篤","日本赤十字社","1907/6/30","087-831-7101","087-834-7809","タカマツセキジュウジビョウイン",,,,"内科、精神科、神経内科、呼吸器内科、消化器内科、消化器・肝臓内科、循環器内科、内分泌・代謝内科、感染症内科、腎臓内科、脳神経内科、血液内科、腫瘍内科、小児科、整形外科、脳神経外科、消化器外科、胸部・乳腺外科、心臓血管外科、小児外科、膠原病・リウマチ科、脳卒中外科、腎臓外科（臓器移植）、皮膚科、形成外科、泌尿器科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、病理診断科、麻酔科、歯科口腔外科、救急科、分娩実施、透析実施",,"507",,"香川県","372013","https://www.takamatsu.jrc.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.23","34.339875","134.045563","香川県高松市天神前4-18","病院","高松市","国家公務員共済組合連合会高松病院","理事長　松元　崇","国家公務員共済組合連合会","1952/4/14","087-861-3261","087-835-0793","タカマツビョウイン",,,,"内科、呼吸器内科、消化器内科、循環器内科、腎臓内科、内分泌・代謝内科、脳神経内科、アレルギー科、リウマチ科、外科、脳神経外科、呼吸器外科、消化器外科、泌尿器科、婦人科、眼科、リハビリ科、放射線科、麻酔科",,"179",,"香川県","372013","http://www.kkr-ta-hp.gr.jp/"
"jp.takamatsu.smartcity.medical.Hospital.24","34.331441","134.046829","香川県高松市栗林町一丁目4-1","病院","高松市","香川医療生活協同組合高松平和病院","理事長　北原　孝夫","香川医療生活協同組合","1984/10/1","087-833-8113","087-831-1254","タカマツヘイワビョウイン",,,,"内科、呼吸器科、消化器科、循環器科、緩和ケア内科、アレルギー科、リウマチ科、小児科、整形外科、乳腺外科、リハビリ科、救急科、病理診断科",,"123",,"香川県","372013","https://www.t-heiwa.com/"
"jp.takamatsu.smartcity.medical.Hospital.25","34.334214","134.061087","香川県高松市観光町588-8","病院","高松市","医療法人社団和広会伊達病院","理事長　伊達　学","医療法人社団和広会","1997/9/17","087-831-1701","087-831-1704","ダテビョウイン",,,,"内科、外科、整形外科、リハビリ科、放射線科、乳腺外科",,"50",,"香川県","372013","http://www.date-med.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.26","34.348362","134.014858","香川県高松市郷東町580","病院","高松市","医療法人社団玉藻会馬場病院","理事長　馬場　信二","医療法人社団玉藻会","1997/4/1","087-881-4375","087-881-4378","ババビョウイン",,,,"内科、心療内科、精神科",,"427",,"香川県","372013","https://itp.ne.jp/info/377345325400000899/"
"jp.takamatsu.smartcity.medical.Hospital.27","34.338977","134.104172","香川県高松市屋島西町1937-1","病院","高松市","医療法人社団百石病院","理事長　江口　隆夫","医療法人社団百石病院","1984/11/1","087-843-6121","087-843-0257","ヒャッコクビョウイン",,,,"内科、循環器内科、外科、整形外科、脳神経外科、胃腸外科、小児外科、泌尿器科、肛門外科、リハビリ科、麻酔科",,"87",,"香川県","372013","https://hyakkokuhp.wixsite.com/hyakkokuhp"
"jp.takamatsu.smartcity.medical.Hospital.28","34.322403","134.064403","香川県高松市松縄町35-3","病院","高松市","医療法人社団研宣会広瀬病院","理事長　廣瀬　友彦","医療法人社団研宣会","1996/1/1","087-867-9911","087-867-9988","ヒロセビョウイン",,,,"リウマチ科、外科、整形外科、リハビリ科",,"43",,"香川県","372013","https://www.hirose-hosp.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.29","34.320523","134.038914","香川県高松市東ハゼ町824","病院","高松市","医療法人和光会前田病院","理事長　前田　雅彦","医療法人和光会","1966/12/13","087-865-7111","087-865-3336","マエダビョウイン",,,,"内科、消化器内科、肛門内科、ペインクリニック内科、外科、整形外科、消化器外科、肛門外科、リハビリ科、麻酔科",,"96",,"香川県","372013","https://www.maeda-hosp.com/"
"jp.takamatsu.smartcity.medical.Hospital.30","34.340911","134.052016","香川県高松市瓦町一丁目12-45","病院","高松市","医療法人社団弘徳会マオカ病院","理事長　満岡　弘巳","医療法人社団弘徳会","2003/4/1","087-862-8888","087-863-0880","マオカビョウイン",,,,"内科、リウマチ科、整形外科、リハビリ科、麻酔科",,"58",,"香川県","372013","https://itp.ne.jp/info/377311715400000899/https://hospital.dr-navip.jp/kagawa/facility/1518/"
"jp.takamatsu.smartcity.medical.Hospital.31","34.280338","134.060004","香川県高松市三谷町1680番地1","病院","高松市","医療法人社団清澄会　ミタニ病院","理事長　藤田　麻里子","医療法人社団清澄会","2019/1/1","087-864-8778","087-864-8668","ミタニビョウイン",,,,"内科、呼吸器内科、消化器内科、循環器内科、腎臓内科、泌尿器科、透析実施",,"85",,"香川県","372013","http://www.mitani-fujita-hp.jp/index.html"
"jp.takamatsu.smartcity.medical.Hospital.32","34.339993","134.045273","香川県高松市天神前5-5","病院","高松市","一般財団法人三宅医学研究所附属三宅リハビリテーション病院","理事長　三宅　信一郎","一般財団法人三宅医学研究所","2004/8/1","087-831-2101","087-835-1886","ミヤケリハビリテーションビョウイン",,,,"内科、脳神経内科、リウマチ科、整形外科、脳神経外科、リハビリ科、放射線科",,"61",,"香川県","372013","http://www.miyake.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.33","34.343432","134.090538","香川県高松市屋島西町2105-17","病院","高松市","香川県厚生農業協同組合連合会　屋島総合病院","代表理事理事長　田宮　隆","香川県厚生農業協同組合連合会","2016/11/1","087-841-9141","087-841-7392","ヤシマソウゴウビョウイン",,,,"内科、呼吸器内科、消化器内科、循環器内科、糖尿病内科、透析科、小児アレルギー科、小児科、外科、整形外科、形成外科、脳神経外科、消化器外科、乳腺外科、皮膚科、泌尿器科、肛門外科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、麻酔科、歯科、分娩実施、透析実施",,"279",,"香川県","372013","http://www.yashima-hp.com/"
"jp.takamatsu.smartcity.medical.Hospital.34","34.328696","134.050367","香川県高松市栗林町三丁目5-9","病院","高松市","独立行政法人地域医療機能推進機構りつりん病院","理事長　山本　修一","独立行政法人地域医療機能推進機構","1950/12/26","087-862-3171","087-837-1427","リツリンビョウイン",,,,"内科、呼吸器内科、循環器内科、小児科、外科、整形外科、脳神経外科、皮膚科、泌尿器科、婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、麻酔科、歯科口腔外科",,"199",,"香川県","372013","https://ritsurin.jcho.go.jp/"
"jp.takamatsu.smartcity.medical.Hospital.36","34.297317","134.040245","香川県高松市太田上町420-1","無床診療所","高松市","あおば内科クリニック",,"辻上　幸司","2008/5/21","087-816-1122","087-816-1010","アオバナイカクリニック",,,,"内科、消化器内科",,,,"香川県","372013","http://aoba-naika.jp/publics/index/3/"
"jp.takamatsu.smartcity.medical.Hospital.37","34.34486","134.00793","香川県高松市香西東町433-1","無床診療所","高松市","美術館診療所","理事長　瀬尾　憲正","医療法人社団なつめ会","2020/2/1","087-881-2776",,"ビジュツカンシンリョウジョ",,,,"内科、循環器内科、呼吸器内科、糖尿病内科、ペインクリニック整形外科、泌尿器科、脳神経外科、リハビリ科、産婦人科、耳鼻咽喉科",,,,"香川県","372013","https://machikuri.or.jp/"
"jp.takamatsu.smartcity.medical.Hospital.38","34.302821","134.032987","香川県高松市鹿角町271-6","有床診療所","高松市","医療法人社団赤松内科医院","理事長　福川　徳三","医療法人社団赤松内科医院","1993/10/1","087-866-6667","087-888-5020","アカマツナイカイイン",,,,"内科",,"16",,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.39","34.271968","134.026198","香川県高松市香川町大野2452-2","無床診療所","高松市","医療法人社団阿河耳鼻咽喉科医院","理事長　阿河　邦治","医療法人社団阿河耳鼻咽喉科医院","1997/2/1","087-885-3387","087-885-5187","アガワジビインコウカイイン",,,,"耳鼻咽喉科",,,,"香川県","372013","https://itp.ne.jp/info/375868425400000899/"
"jp.takamatsu.smartcity.medical.Hospital.40","34.294085","134.078976","香川県高松市六条町605-5","無床診療所","高松市","医療法人社団裕心会あきた小児科クリニック","理事長　秋田　裕司","医療法人社団裕心会","2009/6/1","087-868-6000","087-868-6731","アキタショウニカクリニック",,,,"小児循環器内科、アレルギー科、小児科、",,,,"香川県","372013","https://www.akita-clinic.jp/"
"jp.takamatsu.smartcity.medical.Hospital.41","34.256135","134.028203","香川県高松市香川町大野459-5","有床診療所","高松市","医療法人社団健愛会あきやまクリニック","理事長　秋山　和己","医療法人社団健愛会","2006/1/1","087-815-8588","087-815-8688","アキヤマクリニック",,,,"内科、呼吸器内科、糖尿病内科、腎臓内科、泌尿器科",,"3",,"香川県","372013","https://www.akiyama-clinic.com/"
"jp.takamatsu.smartcity.medical.Hospital.43","34.347323","134.087915","香川県高松市屋島西町2490-19","無床診療所","高松市","浅野皮膚科医院",,"浅野　隆司","1999/5/12","087-843-2332","087-843-2344","アサノヒフカイイン",,,,"皮膚科",,,,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.44","34.335289","134.065965","香川県高松市観光町字川下538-2","無床診療所","高松市","あさひクリニック","理事長　西口　潤","医療法人社団愛和会","2015/8/1","087-831-0280",,"アサヒクリニック",,,,"内科、泌尿器科、産婦人科、小児科",,,,"香川県","372013","http://www.asahi-cl.jp/"
"jp.takamatsu.smartcity.medical.Hospital.45","34.380964","134.127817","香川県高松市庵治町619","無床診療所","高松市","医療法人社団庵治整形外科・内科医院","理事長　林　春樹","医療法人社団庵治整形外科・内科医院","1950/12/26","087-871-3801","087-871-3843","アジセイケイゲカ・ナイカイイン",,,,"内科、リウマチ科、整形外科、リハビリ科",,,,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.47","34.341829","134.133093","香川県高松市牟礼町牟礼1006-3","有床診療所","高松市","医療法人社団慈愛会阿部内科眼科医院","理事長　阿部　博","医療法人社団慈愛会","1994/10/1","087-845-1335","087-845-6126","アベナイカガンカイイン",,,,"内科、糖尿病内科、眼科",,"19（休床中）",,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.48","34.33438","134.048071","香川県高松市藤塚町一丁目4-11","無床診療所","高松市","医療法人社団阿部内科クリニック","理事長　阿部　美ゆき","医療法人社団阿部内科クリニック","2010/12/15","087-837-3131","087-837-3130","アベナイカクリニック",,,,"内科、診療内科、精神科",,,,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.49","34.310955","134.079466","香川県高松市木太町4326-1","無床診療所","高松市","あまの内科クリニック",,"天野　克也","2012/10/17","087-868-3363","087-868-3373","アマノナイカクリニック",,,,"内科、循環器内科、糖尿病内科",,,,"香川県","372013","http://www.amanonaika.jp/"
"jp.takamatsu.smartcity.medical.Hospital.50","34.286707","133.962649","香川県高松市国分寺町福家甲3174-4","無床診療所","高松市","医療法人社団雲井会綾こどもクリニック","理事長　綾　直文","医療法人社団雲井会","2003/4/1","087-875-2220","087-875-2225","アヤコドモクリニック",,,,"小児科、アレルギー科",,,,"香川県","372013","http://ayauta-med.or.jp/search/hospital.php?no%253D15"
"jp.takamatsu.smartcity.medical.Hospital.51","34.238607","134.020981","香川県高松市香南町由佐210-1","無床診療所","高松市","医療法人社団雄翔会綾田医院","理事長　綾田　潔","医療法人社団雄翔会","2010/8/1","087-879-2008","087-879-6976","アヤダイイン",,,,"内科、消化器内科、循環器内科",,,,"香川県","372013","https://ayada-clinic-yuusyoukai.com/"
"jp.takamatsu.smartcity.medical.Hospital.52","34.306023","134.043222","香川県高松市太田下町1872-2","無床診療所","高松市","医療法人社団修美会綾田内科消化器科クリニック","理事長　綾田　喜一郎","医療法人社団修美会","2002/11/1","087-864-5111","087-868-5222","アヤダナイカショウカキカクリニック",,,,"内科、消化器内科、循環器内科、アレルギー科",,,,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.53","34.317122","134.053266","香川県高松市伏石町1316−3","無床診療所","高松市","医療法人社団荒木内科医院","理事長　荒木　久之","医療法人社団荒木内科医院","1995/6/1","087-867-7041","087-867-7029","アラキナイカイイン",,,,"内科",,,,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.54","34.284703","134.097643","香川県高松市小村町256番地13","無床診療所","高松市","ありとも内科クリニック","理事長　有友　雄一","医療法人ありとも内科クリニック","2018/10/1","087-887-4103",,"アリトモナイカクリニック",,,,"内科、消化器内科",,,,"香川県","372013","http://www.aritomo-clinic.com/"
"jp.takamatsu.smartcity.medical.Hospital.55","34.314331","134.082888","香川県高松市元山町1231-13","有床診療所","高松市","安西内科医院",,"安西　芳朗","1975/4/1","087-866-4170","087-866-4174","アンザイナイカイイン",,,,"内科、呼吸器内科、消化器内科、循環器内科、放射線科",,"11",,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.56","34.298627","134.05965","香川県高松市多肥下町517-10","無床診療所","高松市","あんどう発達クリニック",,"安藤　美智子","2012/10/1","087-867-0234","087-867-0208","アンドウハッタツクリニック",,,,"精神科、小児神経内科、小児科",,,,"香川県","372013","http://web.clinicn.jp/ando-ha-cl/"
"jp.takamatsu.smartcity.medical.Hospital.57","34.305356","134.060269","香川県高松市多肥下町1524-14","有床診療所","高松市","医療法人安藤レディースクリニック","理事長　安藤　雅章","医療法人安藤レディースクリニック","2003/11/1","087-815-2833","087-815-2832","アンドウレディースクリニック",,,,"産婦人科",,"3",,"香川県","372013","http://andolc.sakura.ne.jp/"
"jp.takamatsu.smartcity.medical.Hospital.58","34.333635","134.046727","香川県高松市藤塚町一丁目11-1","有床診療所","高松市","医療法人社団少将井いがわ医院","理事長　井川　和彦","医療法人社団少将井いがわ医院","2012/4/1","087-861-4306","087-835-0270","イガワイイン",,,,"内科、整形外科、形成外科、皮膚科、眼科、耳鼻咽喉科、リハビリ科、歯科",,"19",,"香川県","372013","http://igawa-iin.byoinnavi.jp/pc/"
"jp.takamatsu.smartcity.medical.Hospital.59","34.318824","134.080904","香川県高松市木太町4023-5","無床診療所","高松市","石井耳鼻咽喉科医院",,"石井　玄吾","2013/1/1","087-866-7220",,"イシイジビインコウカイイン",,,,"耳鼻咽喉科",,,,"香川県","372013","https://www.ishii-jibika.jp/"
"jp.takamatsu.smartcity.medical.Hospital.61","34.32274","134.061291","香川県高松市松縄町48-2","無床診療所","高松市","医療法人社団石川内科胃腸科医院","理事長　石川　喜久","医療法人社団石川内科胃腸科医院","2007/3/1","087-867-1000","087-865-0036","イシカワナイカイチョウカイイン",,,,"内科、胃腸科、外科",,,,"香川県","372013","http://www.ishikawa-naikaiin.com/"
"jp.takamatsu.smartcity.medical.Hospital.64","34.33584","134.051005","香川県高松市塩上町9-15","無床診療所","高松市","いしばし内科医院",,"石橋　忠明","2005/3/10","087-831-7487","087-831-7486","イシバシナイカイイン",,,,"内科、胃腸科、循環器科",,,,"香川県","372013","https://itp.ne.jp/info/373353905400000899/"
"jp.takamatsu.smartcity.medical.Hospital.65","34.27874","134.078318","香川県高松市三谷町90-1","無床診療所","高松市","医療法人社団イズミ医院","理事長　泉　佳成","医療法人社団イズミ医院","2000/4/1","087-840-1777","087-888-3368","イズミイイン",,,,"内科、神経内科、循環器内科、脳卒中内科、リハビリ科",,,,"香川県","372013",
"jp.takamatsu.smartcity.medical.Hospital.67","34.334503","134.111781","香川県高松市高松町1689-4","無床診療所","高松市","医療法人社団いずみ内科医院","理事長　和泉　英彦","医療法人社団いずみ内科医院","1996/9/1","087-843-1115","087-870-0267","イズミナイカイイン",,,,"内科、消化器内科、循環器内科、糖尿病・代謝内科",,,,"香川県","372013","https://itp.ne.jp/info/376427215400000899/"
"jp.takamatsu.smartcity.medical.Hospital.68","34.337943","134.051027","香川県高松市常磐町二丁目3-6","無床診療所","高松市","磯島クリニック","理事長　磯島　玄","医療法人社団玄正会","2013/3/1","087-862-5177","087-862-5152","イソシマクリニック",,,,"内科、心療内科、精神科、リハビリ科",,,,"香川県","372013","https://itp.ne.jp/info/370719615400000899/"
"jp.takamatsu.smartcity.medical.Hospital.69","34.333245","134.075437","香川県高松市木太町3238-7","無床診療所","高松市","医療法人社団いとうクリニック","理事長　伊藤　輝一","医療法人社団いとうクリニック","1996/1/1","087-835-5011","087-863-3750","イトウクリニック",,,,"内科、脳神経外科、リハビリ科、麻酔科",,,,"香川県","372013","http://www2.plala.or.jp/ito_clinic/https://itp.ne.jp/info/377812115400000899/"
"jp.takamatsu.smartcity.medical.Hospital.70","34.329596","134.056597","香川県高松市楠上町二丁目3-15","無床診療所","高松市","医療法人社団いとうわんぱくクリニック","理事長　伊藤　利幸","医療法人社団いとうわんぱくクリニック","2012/4/1","087-812-1089","087-812-1090","イトウワンパククリニック",,"アルファメディカルモール2F",,"アレルギー科、小児科",,,,"香川県","372013","http://www.maroon.dti.ne.jp/wanpack/main.html"
"jp.takamatsu.smartcity.medical.Hospital.71","34.284976","134.00328","香川県高松市円座町129-7","無床診療所","高松市","稲井皮膚科クリニック",,"稲井　優","1991/4/12","087-885-3356","087-885-3356","イナイヒフカクリニック",,,,"皮膚科",,,,"香川県","372013","http://inaihifuka.her.jp/"
"jp.takamatsu.smartcity.medical.Hospital.72","34.325345","134.101964","香川県高松市新田町甲658-7","無床診療所","高松市","いまいこどもファミリークリニック","理事長　今井　正","医療法人社団いまいこどもファミリークリニック","2012/9/1","087-813-8048","087-813-8348","イマイコドモファミリークリニック",,,,"血液内科、小児科",,,,"香川県","372013","http://www.imaikfc.com/"
"jp.takamatsu.smartcity.medical.Hospital.73","34.343274","134.124576","香川県高松市牟礼町牟礼2128-10","無床診療所","高松市","岩藤内科医院",,"岩藤　孫六","1987/3/1","087-845-3337","087-845-8666","イワドウナイカイイン",,,,"内科、呼吸器科、消化器科、循環器科",,,,"香川県","372013","http://www.geocities.jp/iwadounaika/index.html"
"jp.takamatsu.smartcity.medical.Hospital.74","34.341387","134.066824","香川県高松市松福町二丁目10-10","無床診療所","高松市","岩部医院",,"岩部　道孝","1983/4/1","087-821-6203","087-821-6203","イワブイイン",,,,"内科、呼吸器科、小児科",,,,"香川県","372013",
