#LINK,,,,,,,,,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,,,,,,,,,
#file_name,0062,,,,,,,,,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/hospital,,,,,,,,,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,address,katagaki,location,telephoneNumber,extensionNumber,faxNumber,corporateNumber,corporateName,medicalCode,availableDate,medicalStartTime,medicalEndTime,availableDateNote,overtimeResponse,medicalSubjects,numberOfBeds,referenceObject,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
15,372013,,香川県,高松市,整形外科吉峰病院,セイケイゲカヨシミネビョウイン,病院,香川県高松市番町一丁目4-13,,",",087-851-8775,,087-821-5964,,吉峰公博,,月火水木金土,08：30（受付）,17：00（受付）,木曜日、土曜日午後休診。,,内科、消化器内科、リウマチ科、外科、整形外科、リハビリ科,54,https://www.yoshimine.com/,
16,372013,,香川県,高松市,高畠病院,タカバタケビョウイン,病院,香川県高松市国分寺町新名500-1,,",",087-874-3131,,087-874-4464,,医療法人社団有史会,,月火水木金,09：00,18：00,木曜に12：00、土曜日17：00まで。,,内科、神経内科、胃腸内科、循環器内科、外科、整形外科、こう門科、眼科、リハビリ科,50,https://www.takabatake-hp.com/,
17,372013,,香川県,高松市,高松医療センター,タカマツイリョウセンター,病院,香川県高松市新田町乙8,,",",087-841-2146,,087-843-5545,,独立行政法人国立病院機構,,月火水木金,08：45,17：15,　,,内科、神経内科、呼吸器内科、消化器内科、循環器内科、外科、整形外科、皮膚科、泌尿器科、リハビリ科、麻酔科、歯科,240,http://www.takamatsu-mc.jp/,
18,372013,,香川県,高松市,高松大林病院,タカマツオオバヤシビョウイン,病院,香川県高松市番町一丁目10-3,,",",087-862-1231,,087-834-4636,,医療法人社団康生会,,月火水木金土,09：00,18：00,水曜日、土曜日午後休診。,,内科、消化器内科、循環器内科、リハビリ科、放射線科,49,http://wwwb.pikara.ne.jp/kouseikai/,
19,372013,,香川県,高松市,高松協同病院,タカマツキョウドウビョウイン,病院,香川県高松市木太町4664,,",",087-833-2330,,087-833-2880,,香川医療生活協同組合,,月火水木金土,08：00,18：00,木曜日、土曜日午後休診。,,内科、整形外科、形成外科、皮膚科、眼科、耳鼻咽喉科、リハビリ科リハビリ科,85,https://t-kyodo.com/,
20,372013,,香川県,高松市,高松市民病院塩江分院,タカマツシミンビョウインシオノエブンイン,病院,香川県高松市塩江町安原上東99-1,,",",087-893-0031,,087-893-0104,,高松市,,月火水木金土,08：30,16：30,,,内科、外科、整形外科、脳神経外科、皮膚科、リハビリ科、歯科歯科,87,http://tmh-shionoe.jpn.org/,
21,372013,,香川県,高松市,高松市立みんなの病院,タカマツシリツミンナノビョウイン,病院,香川県高松市仏生山町甲847番地1,,",",087-813-7171,,,,高松市,,月火水木金,08：30,17：00,,,内科、精神科、神経内科、呼吸器内科、消化器内科、循環器内科、小児科、外科、整形外科、形成外科、脳神経外科、呼吸器外科、皮膚科、泌尿器科、産科、婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、救急科、病理診断科、臨床検査科、麻酔科、歯科口腔外科,305,http://www.takamatsu-municipal-hospital.jp/,
22,372013,,香川県,高松市,高松赤十字病院,タカマツセキジュウジビョウイン,病院,香川県高松市番町四丁目1-3,,",",087-831-7101,,087-834-7809,,日本赤十字社,,月火水木金,08：45,15：00（受付）,,,精神科、呼吸器内科、消化器内科、循環器内科、内分泌・代謝内科、腎臓内科、血液内科、腫瘍内科、小児科、整形外科、脳神経外科、消化器外科、胸部・乳腺外科、心臓血管外科、小児外科、腎臓外科（臓器移植）、皮膚科、形成外科、泌尿器科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、病理診断科、麻酔科、歯科口腔外科、救急科、脳神経内科,564,https://www.takamatsu.jrc.or.jp/,
23,372013,,香川県,高松市,高松病院,タカマツビョウイン,病院,香川県高松市天神前4-18,,",",087-861-3261,,087-835-0793,,国家公務員共済組合連合会,,月火水木金土,08：30,17：00,土曜日12：30まで。,,内科、神経内科、呼吸器内科、消化器内科、循環器内科、代謝内分泌内科、腎臓内科、アレルギー科、リウマチ科、外科、脳神経外科、呼吸器外科、消化器外科、泌尿器科、婦人科、眼科、リハビリ科、放射線科、麻酔科,179,http://www.kkr-ta-hp.gr.jp/,
24,372013,,香川県,高松市,高松平和病院,タカマツヘイワビョウイン,病院,香川県高松市栗林町一丁目4-1,,",",087-833-8113,,087-831-1254,,香川医療生活協同組合,,月火水木金土,9：00,17：30,木曜日、土曜日午後休診。,,内科、呼吸器科、消化器科、循環器科、緩和ケア内科、アレルギー科、リウマチ科、小児科、整形外科、乳腺外科、リハビリ科、救急科、病理診断科,123,https://www.t-heiwa.com/,
25,372013,,香川県,高松市,伊達病院,ダテビョウイン,病院,香川県高松市観光町588-8,,",",087-831-1701,,087-831-1704,,医療法人社団和広会,,月火水木金土,08：30,17：30,木曜日、土曜日午後休診。,,内科、外科、整形外科、リハビリ科、放射線科,50,http://www.date-med.or.jp/,
26,372013,,香川県,高松市,馬場病院,ババビョウイン,病院,香川県高松市郷東町580,,",",087-881-4375,,087-881-4378,,医療法人社団玉藻会,,月火水木金土,09：00,16：30,土曜日11：30まで。,,内科、心療内科、精神科、神経科,427,https://itp.ne.jp/info/377345325400000899/,
27,372013,,香川県,高松市,百石病院,ヒャッコクビョウイン,病院,香川県高松市屋島西町1937-1,,",",087-843-6121,,087-843-0257,,医療法人社団百石病院,,月火水木金土,08：30（受付）,17：45（受付）,木曜日12：30まで。,,内科、循環器内科、外科、整形外科、脳神経外科、胃腸外科、小児外科、泌尿器科、肛門外科、リハビリ科、麻酔科,87,https://hyakkokuhp.wixsite.com/hyakkokuhp,
28,372013,,香川県,高松市,広瀬病院,ヒロセビョウイン,病院,香川県高松市松縄町35-3,,",",087-867-9911,,087-867-9988,,医療法人社団研宣会,,月火水木金土,08：30,17：45,木曜日午後休診。土曜日16：45まで。,,リウマチ科、外科、整形外科、リハビリ科,43,https://www.hirose-hosp.or.jp/,
29,372013,,香川県,高松市,前田病院,マエダビョウイン,病院,香川県高松市東ハゼ町824,,",",087-865-7111,,087-865-3336,,医療法人和光会,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,内科、消化器内科、肛門内科、ペインクリニック内科、外科、整形外科、消化器外科、肛門外科、リハビリ科、麻酔科,96,https://www.maeda-hosp.com/,
30,372013,,香川県,高松市,マオカ病院,マオカビョウイン,病院,香川県高松市瓦町一丁目12-45,,",",087-862-8888,,087-863-0880,,医療法人社団弘徳会,,月火水木金土,09：00,18：30,木曜日午後休診。,,内科、リウマチ科、整形外科、リハビリ科、麻酔科,58,"https://itp.ne.jp/info/377311715400000899/
https://hospital.dr-navip.jp/kagawa/facility/1518/",
31,372013,,香川県,高松市,ミタニ病院,ミタニビョウイン,病院,香川県高松市三谷町1680番地1,,",",087-864-8778,,087-864-8668,,医療法人社団清澄会,,月火水木金土,09：00,17：30,,,内科、呼吸器内科、消化器内科、循環器内科、腎臓内科、泌尿器科,85,http://www.mitani-fujita-hp.jp/index.html,
32,372013,,香川県,高松市,三宅リハビリテーション病院,ミヤケリハビリテーションビョウイン,病院,香川県高松市天神前5-5,,",",087-831-2101,,087-835-1886,,一般財団法人三宅医学研究所,,月火水木金土,08：30,17：00,土曜日12：30まで。,,内科、脳神経内科、リウマチ科、整形外科、脳神経外科、リハビリ科、放射線科,61,http://www.miyake.or.jp/,
33,372013,,香川県,高松市,屋島総合病院,ヤシマソウゴウビョウイン,病院,香川県高松市屋島西町2105-17,,",",087-841-9141,,087-841-7392,,香川県厚生農業協同組合連合会,,月火水木金,08：30,17：00,,,内科、呼吸器内科、消化器内科、循環器内科、糖尿病内科、透析科、小児アレルギー科、小児科、外科、整形外科、形成外科、脳神経外科、消化器外科、乳腺外科、皮膚科、泌尿器科、肛門外科、産婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、麻酔科、歯科,279,http://www.yashima-hp.com/,
34,372013,,香川県,高松市,りつりん病院,リツリンビョウイン,病院,香川県高松市栗林町三丁目5-9,,",",087-862-3171,,087-837-1427,,独立行政法人地域医療機能推進機構,,月火水木金,08：30（受付）,16：30（受付）,,,内科、呼吸器内科、循環器内科、小児科、外科、整形外科、脳神経外科、皮膚泌尿器科、婦人科、眼科、耳鼻咽喉科、リハビリ科、放射線科、麻酔科、歯科口腔外科,199,https://ritsurin.jcho.go.jp/,
,,,,,,,,,,,,,,,,,,,,,,,,,
36,372013,,香川県,高松市,あおば内科クリニック,アオバナイカクリニック,無床診療所,香川県高松市太田上町420-1,,",",087-816-1122,,087-816-1010,,辻上　幸司,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,内科、消化器内科,0,http://aoba-naika.jp/publics/index/3/,
37,372013,,香川県,高松市,美術館診療所,ビジュツカンシンリョウジョ,無床診療所,香川県高松市香西東町433-1,,",",087-881-2776,,,,医療法人社団なつめ会,,月火水木金土,09：00,18：00,土曜日13：00まで。,,内科、循環器内科、呼吸器内科、糖尿病内科、ペインクリニック整形外科、泌尿器科、脳神経外科、リハビリテーション科、産婦人科、耳鼻咽喉科,0,https://machikuri.or.jp/,
38,372013,,香川県,高松市,赤松内科医院,アカマツナイカイイン,有床診療所,香川県高松市鹿角町271-6,,",",087-866-6667,,087-888-5020,,医療法人社団赤松内科医院,,月火水木金,09：00,18：00,,,内科,16,,
39,372013,,香川県,高松市,阿河耳鼻咽喉科医院,アガワジビインコウカイイン,無床診療所,香川県高松市香川町大野2452-2,,",",087-885-3387,,087-885-5187,,医療法人社団阿河耳鼻咽喉科医院,,月火水木金土,09：00,18：00,木曜日12：00、土曜日13：30まで。,,耳鼻咽喉科,0,https://itp.ne.jp/info/375868425400000899/,
40,372013,,香川県,高松市,あきた小児科クリニック,アキタショウニカクリニック,無床診療所,香川県高松市六条町605-5,,",",087-868-6000,,087-868-6731,,医療法人社団裕心会,,月火水木金土,09：00,18：15,木曜日12：30、土曜日17：00まで。,,小児循環器内科、アレルギー科、小児科、,0,https://www.akita-clinic.jp/,
41,372013,,香川県,高松市,あきやまクリニック,アキヤマクリニック,有床診療所,香川県高松市香川町大野459-5,,",",087-815-8588,,087-815-8688,,医療法人社団健愛会,,月火水木金土,09：00,18：00,土曜日13：00まで。,,内科、腎臓内科、泌尿器科、呼吸器内科、糖尿病内科,3,https://www.akiyama-clinic.com/,
42,372013,,香川県,高松市,秋山内科医院,アキヤマナイカイイン,無床診療所,香川県高松市木太町3485-1,,",",087-861-6339,,087-861-8755,,秋山　恭介,,月火水木金土,08：00,18：00,木曜日、土曜日12：30まで。,,内科、胃腸科、循環器科、小児科,0,https://itp.ne.jp/info/375134615400000899/,
43,372013,,香川県,高松市,浅野皮膚科医院,アサノヒフカイイン,無床診療所,香川県高松市屋島西町2490-19,,",",087-843-2332,,087-843-2344,,浅野　隆司,,月火水木金土,09：00,18：00,木曜日13：00まで第１、第３、第５のみ。土曜日14：30まで。,,皮膚科,0,,
44,372013,,香川県,高松市,あさひクリニック,アサヒクリニック,無床診療所,香川県高松市観光町字川下538-2,,",",087-831-0280,,,,医療法人社団愛和会,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,内科、泌尿器科、産婦人科、小児科,0,http://www.asahi-cl.jp/,
45,372013,,香川県,高松市,庵治整形外科・内科医院,アジセイケイゲカ・ナイカイイン,無床診療所,香川県高松市庵治町619,,",",087-871-3801,,087-871-3843,,医療法人社団庵治整形外科・内科医院,,月火水木金土,09：00,18：00,木曜日、土曜日12：00まで。,,内科、リウマチ科、整形外科、リハビリ科,0,,
46,372013,,香川県,高松市,あじの港メンタルクリニック,アジノミナトメンタルクリニック,無床診療所,香川県高松市庵治町5732,,",",087-871-5377,,,,池田　研二,,月火水木金,10：00,17：00,,,精神科,0,,
47,372013,,香川県,高松市,阿部内科眼科医院,アベナイカガンカイイン,有床診療所,香川県高松市牟礼町牟礼1006-3,,",",087-845-1335,,087-845-6126,,医療法人社団慈愛会,,月火水木金土,09：00,18：00,木曜日13：00まで。,,内科、糖尿病内科、眼科,19（休床中）,,
48,372013,,香川県,高松市,阿部内科クリニック,アベナイカクリニック,無床診療所,香川県高松市藤塚町一丁目4-11,,",",087-837-3131,,087-837-3130,,医療法人社団阿部内科クリニック,,月水金,09：00,18：00,月・金曜日13：00まで。,,内科、消化器内科,0,,
49,372013,,香川県,高松市,あまの内科クリニック,アマノナイカクリニック,無床診療所,香川県高松市木太町4326-1,,",",087-868-3363,,087-868-3373,,天野　克也,,月火水木金土,08：45,17：45,木曜日、土曜日12：00まで。,,内科、循環器内科、糖尿病内科,0,http://www.amanonaika.jp/,
50,372013,,香川県,高松市,綾こどもクリニック,アヤコドモクリニック,無床診療所,香川県高松市国分寺町福家甲3174-4,,",",087-875-2220,,087-875-2225,,医療法人社団雲井会,,月火水木金土,08：45,18：30,水曜日、土曜日12：30まで。,,小児科、アレルギー科,0,http://ayauta-med.or.jp/search/hospital.php?no=15,
51,372013,,香川県,高松市,綾田医院,アヤダイイン,無床診療所,香川県高松市香南町由佐210-1,,",",087-879-2008,,087-879-6976,,医療法人社団雄翔会,,月火水金土,08：30,18：00,土曜日17：00まで。,,内科、消化器内科、循環器内科,0,https://ayada-clinic-yuusyoukai.com/,
52,372013,,香川県,高松市,綾田内科消化器科クリニック,アヤダナイカショウカキカクリニック,無床診療所,香川県高松市太田下町1872-2,,",",087-864-5111,,087-868-5222,,医療法人社団修美会,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,内科、消化器科、循環器内科、アレルギー科,0,,
53,372013,,香川県,高松市,荒木内科医院,アラキナイカイイン,無床診療所,香川県高松市伏石町1316－3,,",",087-867-7041,,087-867-7029,,医療法人社団荒木内科医院,,月火水木金土,08：00,18：00,水曜日、土曜日12：30まで。,,内科,0,,
54,372013,,香川県,高松市,ありとも内科クリニック,アリトモナイカクリニック,無床診療所,香川県高松市小村町256番地13,,",",087-887-4103,,,,医療法人ありとも内科クリニック,,月火木金土,09：00,18：00,,,内科、消化器内科,0,http://www.aritomo-clinic.com/,
55,372013,,香川県,高松市,安西内科医院,アンザイナイカイイン,有床診療所,香川県高松市元山町1231-13,,",",087-866-4170,,087-866-4174,,安西　芳朗,,月火水木金,08：00,18：00,,,内科、胃腸内科、循環器内科、放射線科,11,,
56,372013,,香川県,高松市,あんどう発達クリニック,アンドウハッタツクリニック,無床診療所,香川県高松市多肥下町517-10,,",",087-867-0234,,087-867-0208,,安藤　美智子,,月火水木金土,09：00,18：00,月曜日13：00まで第１第３のみ。木曜日14：00から。土曜日第２第４第５のみ。,,精神科、小児神経内科、小児科,0,http://web.clinicn.jp/ando-ha-cl/,
57,372013,,香川県,高松市,安藤レディースクリニック,アンドウレディースクリニック,有床診療所,香川県高松市多肥下町1524-14,,",",087-815-2833,,087-815-2832,,医療法人安藤レディースクリニック,,月火水木金土日,09：00,18：30,火曜日17：00、水・土・日曜日12：30、日曜日は第2第4のみ,,産婦人科,3,http://andolc.sakura.ne.jp/,
58,372013,,香川県,高松市,いがわ医院,イガワイイン,有床診療所,香川県高松市藤塚町一丁目11-1,,",",087-861-4306,,087-835-0270,,医療法人社団少将井いがわ医院,,月火水木金土,08：45,17：30,土曜日12：30まで。診療科により診察曜日、時間が違う。,,内科、整形外科、形成外科、眼科、耳鼻咽喉科、リハビリ科、歯科,19,http://igawa-iin.byoinnavi.jp/pc/,
59,372013,,香川県,高松市,石井耳鼻咽喉科医院,イシイジビインコウカイイン,無床診療所,香川県高松市木太町4023-5,,",",087-866-7220,,,,石井　玄吾,,月火水木金土,09：00,19：00,水曜日、土曜日12：00まで。,,耳鼻咽喉科,0,https://www.ishii-jibika.jp/,
60,372013,,香川県,高松市,石井皮膚科医院,イシイヒフカイイン,無床診療所,香川県高松市木太町1323-1,,",",087-865-3500,,087-865-3739,,医療法人社団石井皮膚科医院,,月火水金土,09：00,18：00,土曜日13：00まで。,,皮膚科,0,,
61,372013,,香川県,高松市,石川内科胃腸科医院,イシカワナイカイチョウカイイン,無床診療所,香川県高松市松縄町48-2,,",",087-867-1000,,087-865-0036,,医療法人社団石川内科胃腸科医院,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,内科、胃腸科、外科,0,http://www.ishikawa-naikaiin.com/,
,,,,,,,,,,,,,,,,,,,,,,,,,
63,372013,,香川県,高松市,石田クリニック,イシダクリニック,無床診療所,香川県高松市番町五丁目1-23,,",",087-835-1289,,087-835-1321,,医療法人社団石田クリニック,,月火水木金土,09：00,17：00,火曜日、木曜日、土曜日15：00まで。,,リハビリ科、麻酔科,0,,
64,372013,,香川県,高松市,いしばし内科医院,イシバシナイカイイン,無床診療所,香川県高松市塩上町9-15,,",",087-831-7487,,087-831-7486,,石橋　忠明,,月火水木金土,09：00,18：00,土曜日13：00まで。,,内科、胃腸科、循環器科,0,https://itp.ne.jp/info/373353905400000899/,
65,372013,,香川県,高松市,イズミ医院,イズミイイン,無床診療所,香川県高松市三谷町90-1,,",",087-840-1777,,087-888-3368,,医療法人社団イズミ医院,,月火水木金土,08：30,18：00,木曜日12：30、土曜日16：00まで。,,内科、神経内科、循環器内科、外科、整形外科、脳神経外科、リハビリ科、放射線科、麻酔科、脳卒中内科、リハビリ科,0,,
66,372013,,香川県,高松市,泉クリニック,イズミクリニック,無床診療所,香川県高松市屋島西町2490-1,,",",087-841-8808,,087-841-8870,,医療法人社団緑洋会,,月火水木金土,09：00,18：00,木曜日12：30まで。,,内科、心療内科、精神科、神経内科,0,http://izumi-clinic.or.jp/,
67,372013,,香川県,高松市,いずみ内科医院,イズミナイカイイン,無床診療所,香川県高松市高松町1689-4,,",",087-843-1115,,087-870-0267,,医療法人社団いずみ内科医院,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,内科、消化器内科、循環器内科、糖尿病・代謝内科,0,https://itp.ne.jp/info/376427215400000899/,
68,372013,,香川県,高松市,磯島クリニック,イソシマクリニック,無床診療所,香川県高松市常磐町二丁目3-6,,",",087-862-5177,,087-862-5152,,医療法人社団玄正会,,月火水木金土,09：00,18：00,,,内科、心療内科、精神科、リハビリ科,0,https://itp.ne.jp/info/370719615400000899/,
69,372013,,香川県,高松市,いとうクリニック,イトウクリニック,無床診療所,香川県高松市木太町3238-7,,",",087-835-5011,,087-863-3750,,医療法人社団いとうクリニック,,月火水木金土,09：00,18：00,木曜日、土曜日12：30まで。,,内科、脳神経外科、リハビリ科、麻酔科,0,"http://www2.plala.or.jp/ito_clinic/
https://itp.ne.jp/info/377812115400000899/",
70,372013,,香川県,高松市,いとうわんぱくクリニック,イトウワンパククリニック,無床診療所,香川県高松市楠上町二丁目3-15,アルファメディカルモール2F,",",087-812-1089,,087-812-1090,,医療法人社団いとうわんぱくクリニック,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,アレルギー科、小児科,0,http://www.maroon.dti.ne.jp/wanpack/main.html,
71,372013,,香川県,高松市,稲井皮膚科クリニック,イナイヒフカクリニック,無床診療所,香川県高松市円座町129-7,,",",087-885-3356,,087-885-3356,,稲井　優,,月火水木金土,09：00,18：00,水曜日、土曜日12：30まで。,,皮膚科,0,http://inaihifuka.her.jp/,
72,372013,,香川県,高松市,いまいこどもファミリークリニック,イマイコドモファミリークリニック,無床診療所,香川県高松市新田町甲658-7,,",",087-813-8048,,087-813-8348,,医療法人社団いまいこどもファミリークリニック,,月火水木金土,08：30,18：00,火曜日、金曜日12：00、土曜日17：00まで。,,血液内科、小児科,0,http://www.imaikfc.com/,
73,372013,,香川県,高松市,岩藤内科医院,イワドウナイカイイン,無床診療所,香川県高松市牟礼町牟礼2128-10,,",",087-845-3337,,087-845-8666,,岩藤　孫六,,月火水木金土,08：30,18：00,水曜日、土曜日12：00まで。,,内科、呼吸器科、消化器科、循環器科,0,http://www.geocities.jp/iwadounaika/index.html,
74,372013,,香川県,高松市,岩部医院,イワブイイン,無床診療所,香川県高松市松福町二丁目10-10,,",",087-821-6203,,087-821-6203,,岩部　道孝,,月火水木金土,09：00,18：00,水曜日、土曜日12：00まで,,内科、呼吸器科、小児科,0,,
75,372013,,香川県,高松市,上原耳鼻咽喉科医院,ウエハラジビインコウカイイン,無床診療所,香川県高松市国分寺町新居1362,,",",087-874-4133,,087-874-8701,,医療法人社団勇静会,,月火木金土,09：00,17：30,土曜日12：30まで。,,耳鼻咽喉科,0,https://itp.ne.jp/info/379799025400000899/,
