"№","事業所名",,"開設者","latitude","longitude","所在地","TEL","開設日","あはき併設"
"51","児島接骨院","コジマセッコツイン","児嶋　秀明","34.329093","134.063857","香川県高松市上福岡町994-5","087-861-3505","1980/5/1",
"52","小比賀 接骨院","オビカセッコツイン","小比賀  通延","34.240267","134.016415","香川県高松市香南町由佐763-1","087-879-2173","1999/10/1",
"53","佐々木接骨院","ササキセッコツイン","佐々木　隆幸","34.277875","134.103029","香川県高松市十川西町393-4","087-848-3009","1993/8/5",
"54","佐々木接骨院","ササキセッコツイン","佐々木　勝哉","34.344237","134.069649","香川県高松市福岡町三丁目24-7","087-821-6041","2022/1/1","○"
"55","さんさん接骨院","サンサンセッコツイン","上原　正洋","34.334299","134.048085","香川県高松市藤塚町一丁目9-4","087-837-4562","2015/8/26",
"56","塩上三接骨院","シオガミサンセッコツイン","梶本　泰良","34.338891","134.058406","香川県高松市塩上町三丁目13番8号","070-5356-3869","2024/6/17",
"57","七條接骨院","シチジョウセッコツイン","七條　純治","34.282965","134.023713","香川県高松市一宮町450-17","087-886-2340","1990/2/3",
"58","四宮接骨院","シノミヤセッコツイン","四宮　英雄","34.346982","134.001351","香川県高松市香西本町155-1","087-881-4961","1978/1/6","○"
"59","しみず接骨院","シミズセッコツイン","清水　啓吾","34.311008","134.047545","香川県高松市太田下町2501-1　プレジールアイ108","087-802-7302","2017/6/13","○"
"60","しもえのお整骨院","シモエノオセイコツイン","下醉尾　貢","34.262625","134.024652","香川県高松市香川町大野1436-13","087-813-2239","2017/6/1",
"61","小﨑整骨院","コザキセイコツイン","小﨑　隆弘","34.337762","134.044357","香川県高松市中央町5-1","087-862-4428","2004/12/1","○"
"62","庄司 接骨院","ショウジ セッコツイン","矢野　博康","34.269897","134.030049","香川県高松市香川町寺井632-13","087-886-7257","1991/11/7",
"63","じん接骨院","ジンセッコツイン","向井　仁","34.269686","134.034564","香川県高松市香川町浅野191-1","087-813-9559","2020/7/1",
"64","末沢接骨院","スエザワセッコツイン","末沢 彰一","34.293765","133.964755","香川県高松市国分寺町福家甲3871-18","087-874-3409","1991/11/25","○"
"65","すこやか鍼灸整骨院","スコヤカシンキュウセイコツイン","木村　靖","34.350797","134.088661","香川県高松市屋島西町2484-18 ウエストコーストヤシマB-106","087-843-6201","2007/11/26","○"
"66","すずらん鍼灸整骨院","スズランシンキュウセイコツイン","岩崎　洋己","34.348707","134.010709","香川県高松市郷東町470-1","087-880-5677","1956/2/19","○"
"67","砂川接骨院","スナガワセッコツイン","砂川　考洋","34.335113","134.073346","香川県高松市木太町2343","087-837‐8750","1988/6/6","○"
"68","接骨院navi","セッコツインnavi","石井　尚登","34.311417","134.044281","香川県高松市三条町108-1柴田ビル105","087-887-5467","2017/5/24","○"
"69","接骨院ネスト","セッコツインネスト","畑本　耕一","34.308321","134.063761","香川県高松市木太町5093-9","087-880-7539","2018/3/1",
"70","ソフト整体院　日だまり","ソフトセイタイイン　ヒダマリ","八木　勇次郎","34.320203","134.058319","香川県高松市松縄町1018-1",,"2013/11/10",
"71","そよかぜ接骨院","ソヨカゼセッコツイン","松川　佳央","34.329731","134.062247","香川県高松市上福岡町2007-10-103","087-837-1260","2022/4/19","○"
"72","たいら接骨院","タイラセッコツイン","平昌　幸","34.321541","134.062818","香川県高松市松縄町44-8","087-869-8369","1999/2/3","○"
"73","だい整骨院","ダイセッコツイン","荒川　大","34.333159","134.048125","香川県高松市藤塚町１丁目16-29　島本ビル","050-3573-5655","2015/11/11","○"
"74","たか鍼灸接骨院","タカシンキュウセッコツイン","佐々木　隆司","34.311685","134.057176","香川県高松市伏石町2099-10","087-867-2072","2010/5/1","○"
"75","髙橋接骨院","タカハシセッコツイン","髙橋　昭博","34.331446","134.048399","香川県高松市栗林町二丁目13-7","087-831-8010","2015/6/1",
"76","高松クア接骨院","タカマツクアセッコツイン","久保　龍次","34.343364","134.001311","香川県高松市香西南町512","087-882-3100","2005/4/1","○"
"77","高松坂口鍼灸整骨院 太田院","タカマツサカグチシンキュウセイコツイン オオタイン","株式会社ＥＸＰＡＮＤ 代表取締役 大平 雄伸","34.309077","134.044031","香川県高松市太田下町2311-1","070-3762-9787","2022/12/5","○"
"78","高松スマイル鍼灸整骨院","タカマツスマイルシンキュウセイコツイン","(株）さぬき総合企画","34.244188","134.084403","香川県高松市西植田町2088-15","087-849-1313","2011/12/21","○"
"79","高松整骨院","タカマツセイコツイン","高松　与一","34.341888","134.031829","香川県高松市昭和町二丁目16-7","087-861-9425","1991/11/5","○"
"80","滝川施術所","タキガワセジュツショ","瀧川　隆博","34.340279","134.050041","香川県高松市瓦町二丁目10-5","087-831-0575","1970/3/1",
"81","武上接骨院","タケウエセッコツイン","武上　郁男","34.345371","134.120717","香川県高松市牟礼町牟礼2413-11","087-845-1395","1984/10/17",
"82","武上接骨院","タケウエセッコツイン","武上　晃基","34.344211","134.138308","香川県高松市牟礼町牟礼1465-6","087-845-6364","2002/4/1","○"
"83","タケダ接骨院","タケダセッコツイン","武田　樹市朗","34.302152","134.041696","香川県高松市太田上町1057-2","087-868-0810","2016/4/1","○"
"84","ただ接骨院","タダセッコツイン","多田　慎吾","34.337648","134.063039","香川県高松市多賀町3丁目3-7　サンフラワービル1階","087-862-9055","2017/7/3",
"85","たてもと接骨院","タテモトセッコツイン","立本　勇太","34.344266","134.036741","香川県高松市扇町2-8-13　渡辺ビル1F","090-2334-5688","2024/5/30","○"
"86","田中鍼灸整骨院","タナカシンキュウセイコツイン","田中　英治","34.337577","134.062974","香川県高松市川島東町523-4","087-848-6681","2008/11/20","○"
"87","ちくご鍼灸整骨院","チクゴシンキュウセイコツイン","筑後　一二","34.323653","134.072329","香川県高松市木太町1602-1","087-813-2110","2011/7/25","○"
"88","ちゃんと整骨院","チャントセイコツイン","瀧井　寛","34.338792","134.048524","香川県高松市田町2-6","080-3165-3153","2023/5/10",
"89","とき接骨院","トキセッコツイン","岩澤　泰志","34.315911","134.039088","香川県高松市上天神町283-1","080-4037-6250","2024/3/1",
"90","ともみ整骨院","トモミセイコツイン","久保　知未","34.321259","134.044834","香川県高松市上之町一丁目9-2",,"2015/1/5",
"91","中井接骨院","ナカイセッコツイン","中井　斉晃","34.277094","134.039844","香川県高松市仏生山町甲1808","087-889-3120","1995/12/22","○"
"92","中島接骨院","ナカジマセッコツイン","中島　信一","34.307571","134.048161","香川県高松市太田下町1772-3","087-865-2315","1989/1/4",
"93","中曽根整骨院","ナカソネセイコツイン","中曽根　修","34.255748","134.033804","香川県高松市香川町浅野1003-1","087-879-2480","2011/4/6",
"94","ながの接骨院","ナガノセッコツイン","長野　修士","34.330219","134.106287","香川県高松市高松町470-1","087-844-2417","2014/4/7",
"95","なごみ整骨院","ナゴミセイコツイン","漆原　一篤","34.264961","134.105439","香川県高松市十川東町630-5","090-7573-6388","2019/4/28",
"96","なごみ整骨院","ナゴミセイコツイン","菅生　泰友","34.335251","134.050856","香川県高松市塩上町7-2木内塩上ビル１階南店舗","087-862-2624","2014/11/1",
"97","なつめ接骨院","ナツメセッコツイン","株式会社　アヴァンティ","34.287421","134.038751","香川県高松市仏生山町甲42-1","087-813-5514","2024/7/2","○"
"98","なつめ鍼灸整骨院","ナツメシンキュウセイコツイン","株式会社　アヴァンティ","34.326561","134.070383","香川県高松市木太町1861-12","087-813-2887","2021/5/19","○"
"99","なみおせっこついん","ナミオセッコツイン","浪尾　敬一","34.283333","134.011541","香川県高松市円座町1385-1","087-885-2903","2005/5/10","○"
"100","浜垣接骨院","ハマガキセッコツイン","浜垣　省三","34.316357","134.028647","香川県高松市松並町636-5","087-867-1664","1983/8/1",
"101","浜野接骨院","ハマノセッコツイン","浜野　寿昭","34.351086","134.122019","香川県高松市牟礼町牟礼2625-23","087-845-5822","1976/3/18",
"102","はやし整骨院","ハヤシセイコツイン","高松　与一","34.302018","134.069384","香川県高松市林町1107-1","087-897-4664","2008/7/3",
"103","はら整骨院","ハラセイコツイン","原　祥太","34.343506","134.061728","香川県高松市松福町1-7-14","087-802-6711","2017/7/21",
"104","原野鍼灸整骨院","ハラノシンキュウセイコツイン","原野　真一","34.344977","134.031692","香川県高松市扇町三丁目12-10","087-862-2468","1998/5/19","○"
"105","ハンズ整骨院","ハンズセイコツイン","平田　裕典","34.317838","134.057056","香川県高松市伏石町2032-16","087-868-4722","2004/3/24",
"106","Ｈａｂｉｔ接骨院","Ｈａｂｉｔセッコツイン","村上　朗","34.335762","134.054061","香川県高松市藤塚町一丁目9-43-5-24 アビテ藤塚101","087-899-2169","2023/10/10",
"107","ピース鍼灸整骨院","ピースシンキュウセイコツイン","山田　正人","34.300122","134.098523","香川県高松市東山崎町462-1","087-840-7774","2014/12/3","○"
"108","久富接骨院","ヒサトミセッコツイン","久保　權三","34.337069","134.092571","香川県高松市春日町1699-7","087-841-5797","1985/11/1",
"109","ひなた整骨院","ヒナタセイコツイン","原田　享","34.328966","134.102282","香川県高松市新田町甲398-1","087-813-5610","2021/4/1",
"110","樋ノ上接骨院","ヒノウエセッコツイン","河野　道廣","34.335556","134.049887","香川県高松市東田町5-1","087-831-2962","1991/10/1","○"
"111","ひらた接骨院","ヒラタセッコツイン","平田　建介","34.342634","134.117307","香川県高松市高松町2286","087-841-1263","1996/5/1","○"
"112","福井 接骨院","フクイ セッコツイン","福井　勝美","34.239983","134.036244","香川県高松市香川町川東上1869-5","087-879ー8730","1990/6/2",
"113","ふじもと整骨院","フジモトセイコツイン","㈲ふじもと","34.296703","134.089044","香川県高松市六条町86-1","087-847-1335","2006/8/1",
"114","藤原接骨院","フジワラセッコツイン","㈱すまいるはぁと1","34.329004","134.049333","香川県高松市栗林町三丁目3-16","087-833-9582","2008/10/1","○"
"115","仏生山接骨院","ブッショウザンセッコツイン","山下　裕司","34.286423","134.047514","香川県高松市仏生山町甲422-2","087-888-6560","2014/7/1",
"116","フモト接骨院","フモトセッコツイン","麓　篤敬","34.326677","134.062316","香川県高松市上福岡町2056-1","087-834-2424","1986/7/24",
"117","ベル接骨院","ベル接骨院","岡　敬太","34.325797","134.079563","香川県高松市木太町3593-1　グリーンライフ木太ビルＢ102号","087-880-3387","2016/6/1",
"118","ほしの接骨院","ホシノセッコツイン","星野　宏起","34.301739","134.088949","香川県高松市東山崎町5","087-847-5221","2000/8/4",
"119","ほっと接骨院","ホットセッコツイン","久米　隆三","34.281458","133.997797","香川県高松市西山崎444-12","087-724-4124","2014/1/1","○"
"120","ほねつぎ処","ホネツギトコロ","四宮　忠雄",,,"香川県高松市御町1316-1","087-885-0577","2018/1/1",
"121","まちかど接骨院","マチカドセッコツイン","檜垣　往立","34.341878","134.096669","香川県高松市屋島西町1483-1","087-814-6748","2024/4/6",
"122","松家接骨院","マツカセッコツイン","松家　弘起","34.288414","134.024146","香川県高松市一宮町718-3","087-885-2777","1987/8/8","○"
"123","真弓 接骨院","マユミ セッコツイン","真鍋　直幹","34.256005","134.026681","香川県高松市香川町川東下1847-4","087-879-7449","2020/11/1",
"124","まゆみ接骨院","マユミセッコツイン","菊池　弘一朗","34.317377","134.061384","香川県高松市松縄町1052-1ラコンテ2-B","087-887-8136","2017/8/1",
"125","まるいち整骨院","マルイチセイコツイン","植村　實","34.333772","134.049966","香川県高松市藤塚町二丁目11-20 藤塚コーポラス１Ｆ","087-861-0128","2014/9/1",
"126","みき鍼灸接骨院","ミキシンキュウセッコツイン","三木　和行","34.387632","134.133852","香川県高松市庵治町1070-8","087-871-4882","2009/5/25","○"
"127","三木接骨院","ミキセッコツイン","三木　康彰","34.299141","134.051969","香川県高松市多肥下町1585-11","087-867-0762","1970/1/15","○"
"128","水の音整骨院","ミズノオトタダシコツイン","岩部　紀孝","34.341566","134.066811","香川県高松市松福町二丁目10-10","087-821-7273","2003/8/2","○"
"129","みずほ鍼灸接骨院","ミズホシンキュウセッコツイン","今井　栄爾","34.280352","133.965299","香川県高松市国分寺町福家甲2332-3","087-805-1818","2014/3/27","○"
"130","みぞぶち接骨院","ミゾブチセッコツイン","溝渕　俊幸","34.289344","134.092647","香川県高松市下田井町528-5","087-847-3060","1991/12/3",
"131","みどり鍼灸整骨院","ミドリシンキュウセイコツイン","みのメディカル株式会社","34.308157","134.091685","香川県高松市東山崎町668-1","087-802-1111","2013/11/10","○"
"132","源整骨院","ミナモトセイコツイン","原  元司","34.316346","133.969228","香川県高松市国分寺町新居2950-10","087-874-5732","2010/2/7",
"133","三宅接骨院","ミヤケセッコツイン","三宅　英幹","34.337442","134.108864","香川県高松市高松町87-12","087-843-8222","2002/11/1",
"134","宮崎接骨院","ミヤザキセッコツイン","宮崎　正三","34.337452","134.066585","香川県高松市松島町二丁目18-13","087-861-2450","1982/6/20",
"135","みよし接骨院","ミヨシセッコツイン","三好　龍男","34.348129","134.042714","香川県高松市錦町二丁目3-36","087-822-6496","2011/11/1",
"136","むすび接骨院　上福岡院","ムスビセッコツイン　カミフクオカイン","内海　慶介","34.333134","134.068021","香川県高松市松島町3-1","087-802-8088","2024/5/15",
"137","もみじせっこついん","モミジセッコツイン","岡田　聡","34.308826","133.964026","香川県高松市国分寺町新居1960-1","087-805-7371","2015/3/23",
"138","もり鍼灸接骨院","モリシンキュウセッコツイン","森   裕","34.335113","134.011116","香川県高松市鶴市町974-3","087-881-0437","2006/6/1","○"
"139","森接骨院","モリセッコツイン","森　芳名夫","34.297317","134.035511","香川県高松市鹿角町38-3","087-869-2880","1998/9/19",
"140","やしま整骨院","ヤシマセイコツイン","（株）KOA","34.338761","134.108374","香川県高松市高松町3013-13","087-841ー7881","2014/5/1",
"141","ヤシマ接骨院","ヤシマセッコツイン","浜崎　真","34.340372","134.114258","香川県高松市高松町2373-2","087-843-9874","1981/5/11",
"142","矢野接骨院","ヤノセッコツイン","矢野　充茂","34.342679","134.100728","香川県高松市屋島西町1828-24","087-843-4677","1982/3/5",
"143","やまぐち接骨院","ヤマグチセッコツイン","山口　功次郎","34.284075","134.096462","香川県高松市小村町247-21","087-848-6817","2017/12/1",
"144","山口接骨院","ヤマグチセッコツイン","山口　弘二","34.342661","134.096205","香川県高松市屋島西町1448-1","087-843-3060","1984/12/24","○"
"145","やまさき接骨院","ヤマサキセッコツイン","山﨑　可愛","34.333956","134.081931","香川県高松市木太町2796-4-102","087-813-2550","2022/6/27",
"146","山下接骨院","ヤマシタセッコツイン","山下　浩","34.313543","134.026186","香川県高松市松並町660-2","087-867-1416","1982/10/1","○"
"147","山城整骨院","ヤマシロセイコツイン","山城　良介","34.307678","133.962651","香川県高松市国分寺町新居1855-10","087-874-5568","2020/12/16",
"148","ゆう鍼灸整骨院","ユウシンキュウセイコツイン","樫　裕二","34.322457","134.074102","香川県高松市木太町1556-2","087-861-6000","2004/4/5","○"
"149","悠整骨院","ユウセイコツイン","株式会社ＹＨ 代表取締役 梶原 悠士","34.322403","134.074059","香川県高松市東山崎町285-3","087-802-6625","2023/1/6",
"150","ゆとり接骨院","ユトリセッコツイン","白井　直樹","34.284093","133.955451","香川県高松市国分寺町新名1279-3","087-874-9931","2013/8/1",
"151","よこい接骨院","ヨコイセッコツイン","横井　恭平","34.297008","133.945524","香川県高松市国分寺町新名20-10 西山ビル地上1Ｆ","090-9452-0451","2022/8/1",
"152","横田接骨院","ヨコタセッコツイン","横田　親徳","34.271703","134.021633","香川県高松市香川町大野2075-17","087-885-2622","1987/6/3","○"
"153","よしだ鍼灸整骨院","ヨシダシンキュウセイコツイン","吉田　将之","34.271739","134.021611","香川県高松市東山崎町87-1 DOLLIS101号","087-847-1271","2007/8/6","○"
"154","よつば整骨院","ヨツバセイコツイン","森　良樹","34.334273","134.083787","香川県高松市木太町2813-1","087-813-1854","2018/10/10",
"155","ヨネツ接骨院","ヨネツセッコツイン","米津　豊","34.319628","134.053755","香川県高松市伏石町1296-5","087-866-9123","1988/12/23",
"156","La Cua 接骨院","ラクアセッコツイン","篠丸　達也","34.304028","133.972333","香川県高松市国分寺町新居288-8","090-5910-5810","2023/9/1",
"157","喜樂整骨院","キラクセッコツイン","河端　重樹","34.345882","134.0471801","香川県高松市古新町7-8塩業ビル1F","087-851-3677","2003/7/3","○"
"158","栗林鍼灸整骨院","リツリンシンキュウセイコツイン","島　英治","34.332871","134.053585","香川県高松市藤塚町三丁目16-4","087-835-2933","2008/1/1","○"
"159","リフレッシュ整骨院","リフレッシュセイコツイン","佃　雄一","34.263731","134.027204","香川県高松市香川町大野916-1ウイングポート2階","080-4036-4976","2013/5/2",
"160","わかくさ整骨院","ワカクサセイコツイン","㈲火の鳥四国","34.312365","134.083392","香川県高松市元山町1164-8","087-868-4870","2010/7/1",
"161","今里オリーブ鍼灸整骨院","イマザトオリーブシンキュウセイコツイン","笠井　恭平","34.329161","134.058245","香川県高松市今里町一丁目499-1","087-880-3938","2016/3/14","○"
"162","三条健康堂接骨院","サンジョウケンコウドウセッコツイン","谷　弘誠","34.284131","134.089755","香川県高松市由良町372-14","090-1176-8726","2022/9/1",
"163","寿晃整骨院　高松本院","ジュコウセイコツイン　タカマツホンイン","森本　大志","34.335035","134.071198","香川県高松市木太町2193-13","087-861-8835","2012/3/14","○"
"164","整骨院わらく。","セイコツイン　ワラク。","北谷　佐織","34.295994","134.065958","香川県高松市林町80-3","080-5667-2499","2013/5/1",
"165","朝陽鍼灸接骨院","アサヒシンキュウセッコツイン","山口　圭介","34.299269","134.110925","香川県高松市前田西町17-1　ラフィネHIRO　1F","087-880-4080","2016/3/25","○"
"166","辻接骨院","ツジセッコツイン","辻　高行","34.301983","134.071587","香川県高松市林町2571-15","087-865-4046","1977/4/1",
"167","木太ひまわり整骨院","キタヒマワリセイコツイン","千葉　隼","34.323757","134.077334","香川県高松市木太町3518-2　アールツゥビル1階","087-863-6077","2016/5/30",
"168","鍼灸整骨院なごみ堂","シンキュウセイコツインナゴミドウ","インプレッション（株）（代）小島雄二","34.286965","134.042618","香川県高松市仏生山町甲806-2","087-813-8304","2012/7/23","○"
"169","鍼灸整骨院なごみ堂　元山店","シンキュウセイコツインナゴミドウ　モトヤマテン","インプレッション（株）（代）小島雄二","34.313503","134.083161","香川県高松市元山町1192-1","087-899-7855","2014/2/17","○"
