#LINK,,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,,
#file_name,0064,,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/public_wireless_lan,,,,,,,,,,,,,,,,
#property,prefCode,identification,pref,city,name,fullNameInKana,fullNameInRomaji,address,katagaki,location,installer,telephoneNumber,extensionNumber,ssid,area,referenceObject,note
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
11,37201,,香川県,高松市,屋島山上時計案内板,,,香川県高松市屋島東町,,"34.35903506013678, 134.1021938648672",,,,KAGAWA-WiFi,,,
12,37201,,香川県,高松市,市民交流プラザＩＫＯＤＥ瓦町,,,高松市常磐町一丁目３番地１　瓦町ＦＬＡＧ８階,,"34.33890524840544, 134.05247317144878",,,,ＦＬＡＧ８,,,
13,37201,,香川県,高松市,高松市市民活動センター,,,高松市常磐町１－３－１瓦町FLAG８階,,"34.339009103963704, 134.05260523097607",,,,"CitizensActivityCenter-wifi
CitizensActivityCenter-5g-wifi",,,
14,37201,,香川県,高松市,高松市男女共同参画センター,,,高松市松島町１丁目１５番１号,,"34.34010828247676, 134.059578728768",,,,children,,,
15,37201,,香川県,高松市,高松市中央図書館,,,高松市昭和町一丁目2番20号,,"34.34399884578942, 134.03444384718125",,,,KAGAWＡ‐WiFi,,,
16,37201,,香川県,高松市,牟礼図書館,,,高松市牟礼町牟礼130-2,,"34.341590234726596, 134.14288972324724",,,,KAGAWＡ‐WiFi,,,
17,37201,,香川県,高松市,国分寺図書館,,,高松市国分寺町新居1298,,"34.29730729598981, 133.96031319993725",,,,KAGAWＡ‐WiFi,,,
18,37201,,香川県,高松市,香川図書館,,,高松市香川町川東1865-13,,"34.24116753360195, 134.03449471806132",,,,KAGAWＡ‐WiFi,,,
19,37201,,香川県,高松市,瓦町健康ステーション,,,高松市常磐町一丁目３番地１　瓦町FLAG８F,,"34.33898106950789, 134.052609788906",,,,"HealthStation-wifi
HealthStation-5g-wifi",,,
20,37201,,香川県,高松市,高松市美術館,,,高松市紺屋町10-4,,"34.344073446044625, 134.04912532877648",,,,KAGAWA-WiFi,,,
21,37201,,香川県,高松市,高松市美術館,,,高松市紺屋町10-4,,"34.344073446044625, 134.04912532877648",,,,DoSPOT-FREE,,,
22,37201,,香川県,高松市,高松市瓦町アートステーション,,,高松市常磐町一丁目3番地1（瓦町FLAG8F）,,"34.33898106950789, 134.052609788906",,,,"ArtStation-wifi
ArtStation-5g-wifi",,,
23,37201,,香川県,高松市,サンポートホール高松,,,高松市サンポート２－１,,"34.35287259120762, 134.04711030365587",,,,ＨＡＬＬ Ｗｉ‐Ｆｉ,,,
24,37201,,香川県,高松市,高松市歴史資料館,,,高松市昭和町一丁目２番２０号,,"34.344011579787164, 134.03443647109574",,,,KAGAWA-WiFi,,,
25,37201,,香川県,高松市,菊池寛記念館,,,高松市昭和町一丁目２番２０号,,"34.344011579787164, 134.03443647109574",,,,KAGAWA-WiFi,,,
