#LINK,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,
#file_name,0050,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/group_home,,,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,service,availableDate,startTime,endTime,availableDateNote,capacity
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
28,認知症高齢者グループホーム第六若葉荘,高松市三谷町4551-6,087-840-1088,https://seimeikai.jp/wakaba/,,"34.26881528,134.06000833",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
29,認知症高齢者グループホーム若葉荘,高松市三谷町1654-5,087-888-7008,https://seimeikai.jp/wakaba/,,"34.28093889,134.06097722",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
30,グループホーム　そよの里,高松市多肥上町504-2,087-864-8270,,,"34.28840722,134.05028639",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
31,グループホーム  きらら,高松市香西南町37-2,087-832-8335,,,"34.33550917,133.99654528",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
32,グループホーム  ひまわり,高松市鬼無町藤井126-1,087-882-7131,,,"34.32829056,133.99665667",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,9
33,グループホーム菜の花　,高松市飯田町104-1,087-881-0322,,,"34.31449194,133.9959125",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
34,悠久の里　高松西,高松市飯田町1334-4,087-832-8333,,,"34.32354944,134.00077028",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
35,グループホーム　悠悠香南,高松市香南町西庄182-1,087-815-9335,,,"34.24929111,133.99278167",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
36,グループホーム　悠悠せんねん村,高松市香南町西庄695-1,087-815-8388,,,"34.24460806,133.98967361",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,9
37,グループホーム　悠悠不動の滝,高松市塩江町安原上東203-6,087-840-6155,,,"34.17937056,134.08689778",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
38,ひまわりの家,高松市香川町大野901-1,087-885-6661,,,"34.26443722,134.02720028",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
39,グループホーム　ほととぎす,高松市香川町川東下672-5,087-879-0797,,,"34.24249278,134.03030917",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
40,高齢者グループホームプレスマン,高松市牟礼町原932-1,087-870-1322,,,"34.3304825,134.15104",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
41,グループホームあいむ,高松市国分寺町新名478-1,087-864-9500,,,"34.29202444,133.95774722",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,27
42,グループホーム語り愛,高松市円座町字道下288-1,087-885-1122,http://www.junshinkai.com/,,"34.293583,133.996948",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
43,ネムの木　グループホーム　円座,香川県高松市円座町94-1,087-815-7711,,,"34.288677,134.003803",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
44,グループホーム　らく楽新田,高松市新田町甲1144-3,087-818-0050,http://www.rakuraku-group.jp/,,"34.3239,134.108288",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
45,グループホーム　悠悠庵治の太陽,高松市庵治町3822-１,087-871-1577,,,"34.377899,134.139091",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
46,グループホーム　リーラの家さくら,高松市福岡町四丁目12-18,087-880-7979,,,"34.342305,134.069126",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
47,リーラの家　やしま,高松市屋島西町893-1,087-814-6633,,,"34.350465,134.09462",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
48,グループホーム　オアシスＫ,高松市飯田町705,087-813-1234,,,"34.322026,134.003625",認知症対応型共同生活介護,月火水木金土日,,,24時間対応,18
