#LINK,,,
#lang,ja,,
#attribution_name,高松市,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,
#file_name,0074,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/garbage_separation_list,,
#property,name,classification,note
#object_type_xsd,string,string,string
#property_context,Assertion,Assertion,Assertion
77,カイロ（使い捨て）,破砕ごみ,
78,鏡,破砕ごみ,
79,角材（太さ5cm以下・長さ50cm以下）2袋まで,燃やせるごみ,請負工事で発生したものは収集不可
80,角材（太さ5cm以下・長さ50cm以下）3袋以上,臨時・粗大ごみ,請負工事で発生したものは収集不可
81,傘,破砕ごみ,
82,加湿機,破砕ごみ,
83,ガスコンロ,破砕ごみ,電池は取り外して「有害ごみ」
84,ガスストーブ,破砕ごみ,電池は取り外して「有害ごみ」
85,ガスボンベ,収集不可,販売店などにお問い合わせください
86,ガス湯沸かし器,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」。請負工事で発生したものは収集不可
87,カセットテープ,燃やせるごみ,ケースのみを出す場合は「破砕ごみ」
88,カセットボンベ,缶・びん・ペットボトル,使い切り、火の気のない風通しの良い屋外で穴を開ける
89,カタログ,紙・布,
90,カッターナイフ,破砕ごみ,危険のないように包む
91,かっぱ・雨合羽,破砕ごみ,
92,カップ麺の容器（プラスチック製）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
94,金槌（小型家庭用）,破砕ごみ,
95,かばん,破砕ごみ,
96,花瓶,破砕ごみ,
97,鎌,破砕ごみ,刃先を危険のないように包む
,,,
99,紙カップ（アイスクリーム・ヨーグルト）,燃やせるごみ,
,,,
101,紙コップ,燃やせるごみ,
102,紙スティック（砂糖）,紙・布,中身を使い切ったものに限る
103,かみそり・安全剃刀,破砕ごみ,危険のないように包む
104,神棚,収集不可,販売店などにお問い合わせください
105,紙筒（ラップ・トイレットペーパー芯など）,燃やせるごみ,
106,紙粘土,破砕ごみ,
,,,
108,紙箱（菓子・靴等）,紙・布,
109,紙パック（内側が白色）,紙・布,切り開き、乾燥させたもの
110,紙パック（内側が白色以外）,燃やせるごみ,
111,紙袋,紙・布,
112,紙やすり,破砕ごみ,
113,ガム,燃やせるごみ,
114,ガムテープ,燃やせるごみ,
115,カメラ,破砕ごみ,
116,画用紙,燃やせるごみ,
117,カラーボックス,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
118,ガラス（2袋まで）,破砕ごみ,危険のないように包む。請負工事で発生したものは収集不可
119,ガラス（3袋以上）,臨時・粗大ごみ,危険のないように包む。請負工事で発生したものは収集不可
120,ガラス食器,破砕ごみ,危険のないように包む
121,ガラスびん（飲料用・酢・醤油・コーヒー用）,缶・びん・ペットボトル,キャップを取り除き、使い切り、洗浄したもの
122,枯れ草,燃やせるごみ,2袋まで。3袋以上は「臨時・粗大ごみ」
123,カレンダー（金属がついていないもの）,燃やせるごみ,
124,カレンダー（金属がついているもの）,破砕ごみ,
125,瓦（2袋まで）,破砕ごみ,請負工事で発生したものは収集不可
126,瓦（3袋以上）,臨時・粗大ごみ,請負工事で発生したものは収集不可
127,換気扇（小型）,破砕ごみ,請負工事で発生したものは収集不可
128,換気扇フィルター,破砕ごみ,
129,缶詰の空き缶,缶・びん・ペットボトル,使い切り、洗浄したもの
130,乾燥剤,破砕ごみ,
131,乾電池（筒形）,有害ごみ,
132,乾電池（ニカド電池）,収集不可,市もしくは「充電式電池リサイクル協力店」に設置の専用箱にて回収
133,乾電池（ボタン電池）,収集不可,「ボタン式電池回収協力店」に設置の専用箱にて回収
134,感熱紙,燃やせるごみ,
135,キーボード（楽器）,破砕ごみ,
136,キーボード（パソコン用）,破砕ごみ,
137,機械式生ごみ処理機の残渣,燃やせるごみ,
138,ギター,破砕ごみ,
139,脚立,臨時・粗大ごみ,
140,キャップ（金属製）,破砕ごみ,
141,キャップ（プラスチック製）,プラスチック容器包装,
142,急須,破砕ごみ,
143,牛乳パック,紙・布,切り開き、乾燥させたもの
144,魚網,収集不可,販売店などにお問い合わせください
145,鏡台,臨時・粗大ごみ,1m×1m以下、1m×1mを超えるものでそれぞれ手数料が異なります
146,きり（錐）,破砕ごみ,危険のないように包む
147,霧吹き,破砕ごみ,
148,銀紙（アルミホイル）,破砕ごみ,
149,金庫（手提金庫）,破砕ごみ,耐火金庫は収集不可
150,空気入れ,破砕ごみ,
151,空気清浄機,破砕ごみ,
152,クーラーボックス,破砕ごみ,
153,くぎ,破砕ごみ,危険のないように包む
154,草刈り機（家庭用）,臨時・粗大ごみ,大きさにかかわらず「臨時・粗大ごみ」
155,薬（カプセル・錠剤等）のプラスチック容器,プラスチック容器包装,中身を空にしたものに限る
156,薬びん（自己使用に限る）,破砕ごみ,洗浄してください
157,果物カゴ（プラスチック製）,プラスチック容器包装,中身を空にしたものに限る
158,果物ネット（りんご・もも等）,プラスチック容器包装,中身を空にしたものに限る
,,,
160,靴,破砕ごみ,
161,靴下,燃やせるごみ,
162,クッション,破砕ごみ,天然性は「燃やせるごみ」
163,クリーニングの袋,破砕ごみ,
164,クレヨン（クレパス）,破砕ごみ,
165,グローブ,破砕ごみ,
166,くわ（鍬）,破砕ごみ,柄を1m以下に切る
167,軍手,燃やせるごみ,
168,蛍光管（電球型蛍光管を含む）,有害ごみ,購入時の容器に入れるか、新聞紙などで包むなどして、割れないようにして出してください
,,,
170,携帯電話・PHS,収集不可,リサイクル対象品。小型家電として回収ボックスに投入できます。
171,毛糸,燃やせるごみ,セーターは「紙・布」
172,ゲーム機（小型家庭用）,破砕ごみ,小型家電として回収ボックスに投入できます。
173,ゲームソフト,破砕ごみ,
174,化粧びん（ガラス製）,缶・びん・ペットボトル,キャップを取り除き、使い切り、洗浄したものに限る。乳白色のものは「破砕ごみ」
175,化粧品類・香水類の容器・コンパクト,破砕ごみ,中身を使い切ったものに限る
176,げた,燃やせるごみ,
177,げた箱,臨時・粗大ごみ,1m×1m以下、1m×1mを超えるものでそれぞれ手数料が異なります
178,玄関マット（布製）,燃やせるごみ,
179,玄関マット（布製以外）,破砕ごみ,
180,健康増進関連機器,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
181,鋼板,収集不可,販売店などにお問い合わせください
182,コード,破砕ごみ,50cm以下に切る
183,コーヒーフイルター,燃やせるごみ,
184,コーヒーメーカー,破砕ごみ,
185,氷枕,破砕ごみ,
186,固形燃料,収集不可,販売店などにお問い合わせください
187,ござ（植物性）,燃やせるごみ,50cm以下に畳む又は切って指定収取袋に入れる。入らないものは「臨時・粗大ごみ」
188,ござ（プラスチック製）,破砕、臨時・粗大,大きさ1m×50cm×50cm以下に畳む又は切って指定収取袋に入れる。入らないもの又は重量10kgを超えるものは「臨時・粗大ごみ」
189,こたつ,臨時・粗大ごみ,
190,コップ（ガラス製、プラスチック製、陶器）,破砕ごみ,危険のないように包む
191,碁盤（厚さ5cm以下）,燃やせるごみ,厚さ5cmを超えるものは臨時・粗大ごみ」
192,コピー用紙,紙・布,
193,ごみ箱（くずかご）,破砕ごみ,
194,ゴム手袋,破砕ごみ,
195,ゴム長靴,破砕ごみ,
196,ゴムホース,破砕ごみ,50cm以下に切る
197,米びつ,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
198,米袋（紙製）,紙・布,
199,米袋（プラスチック製）,プラスチック容器包装,
200,コルク,燃やせるごみ,
201,ゴルフクラブ,破砕ごみ,ゴルフクラブとゴルフバッグは一緒に出しても可（ただし、重量10kgまで）
202,ゴルフバッグ,破砕ごみ,ゴルフクラブとゴルフバッグは一緒に出しても可（ただし、重量10kgまで）
203,ゴルフボール,破砕ごみ,
204,コンセント,破砕ごみ,
205,座いす,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
206,在宅医療廃棄物（鋭利な物）,収集不可,かかりつけの病院などにお問い合わせください。
207,サイドボード,臨時・粗大ごみ,1m×1m以下、1m×1mを超えるものでそれぞれ手数料が異なります
208,財布,破砕ごみ,
209,サーキュレーター,破砕ごみ,
210,酒パック（内側が白色以外）,燃やせるごみ,
211,座卓,臨時・粗大ごみ,
212,雑誌,紙・布,
213,座布団,燃やせるごみ,2袋まで（指定収集袋に入るもの）に限る。入らないものは「臨時・粗大ごみ」
214,座布団（中身がスポンジのもの）,破砕ごみ,2袋まで（指定収集袋に入るもの）に限る。入らないものは「臨時・粗大ごみ」
215,皿,破砕ごみ,危険のないように包む
216,三角コーナー,破砕ごみ,
217,三脚,破砕ごみ,
218,サンダル,破砕ごみ,
219,三段ボックス,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
220,残飯,燃やせるごみ,
221,三輪車（幼児用）,破砕ごみ,
222,シーツ,紙・布,汚れているものは「燃やせるごみ」
223,ＣＤプレーヤー,破砕ごみ,小型家電として回収ボックスに投入できます
224,ＣＤ（コンパクトディスク）,破砕ごみ,
225,地下足袋,破砕ごみ,
226,仕切り（すし・弁当を仕切る緑や透明のフィルム）,破砕ごみ,
227,仕切り（菓子箱などを仕切る紙製のもの）,紙・布,
228,磁石,破砕ごみ,2個まで。3個以上は収集不可
229,下着,紙・布,汚れているものは「燃やせるごみ」
230,湿布のフィルム,破砕ごみ,
231,湿布薬,燃やせるごみ,
232,自転車,臨時・粗大ごみ,1m又は重量10kgを超えるもの
233,自転車用タイヤ・チューブ,破砕ごみ,50cm以下に切る
234,自動車部品,収集不可,販売店などにお問い合わせください
235,自動車用タイヤ（乗用車に限る）,臨時・粗大ごみ,1回につき4本まで。5本以上は収集不可
236,竹刀（剣道の竹刀）,燃やせるごみ,50cm以下に切る
237,シャープペン,破砕ごみ,
238,写真,燃やせるごみ,
239,シャンプーハット,破砕ごみ,
240,シャンプーボトル（空容器）,プラスチック容器包装,中身を使い切り、汚れを取り除いたものに限る
241,週刊誌,紙・布,
242,ジューサーミキサー,破砕ごみ,
,,,
244,じゅうたん（天然性）,燃やせるごみ,50cm以下に畳む又は切って指定収取袋に入れる。入らないものは「臨時・粗大ごみ」
245,じゅうたん（天然性以外）,破砕ごみ,大きさ1m×50cm×50cm以下に畳む又は切って指定収取袋に入れる。入らないもの又は重量10kgを超えるものは「臨時・粗大ごみ」
246,朱肉,破砕ごみ,
247,シュレッダーごみ,燃やせるごみ,
248,消火器,収集不可,リサイクル対象品。エアゾール式消火器は「缶・びん・ペットボトル」
249,定規,燃やせるごみ,木製・竹製のもの以外は「破砕ごみ」
250,将棋盤（厚さ5cm以下）,燃やせるごみ,厚さ5cmを超えるものは臨時・粗大ごみ」
251,障子,臨時・粗大ごみ,請負工事で発生したものは収集不可
252,浄水器,破砕ごみ,
253,照明器具,破砕ごみ,蛍光管は「有害ごみ」
254,しょうゆ入れ（弁当用・魚型等）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
255,じょうろ,破砕ごみ,
256,食品缶（海苔・あられ・茶・ココア用等）,缶・びん・ペットボトル,使い切り、洗浄したもの
257,食品トレイ（紙製）,紙・布,
258,食品トレイ（プラスチック製）,プラスチック容器包装,中身を使い切り、汚れを取り除いたものに限る
259,食品パック（惣菜等）,プラスチック容器包装,中身を使い切り、汚れを取り除いたものに限る
260,食用油,燃やせるごみ,紙に含ませるか、固形化させる
261,除湿剤,破砕ごみ,水気を抜く。プラマークが表示されているものは「プラスチック容器包装」
262,書籍,紙・布,
263,食器,破砕ごみ,危険のないように包む
264,食器乾燥機・食器洗い乾燥機,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
265,食器棚,臨時・粗大ごみ,1m×1m以下、1m×1mを超えるものでそれぞれ手数料が異なります
266,新聞,紙・布,
,,,
268,水銀体温計・水銀温度計・水銀血圧計,有害ごみ,
269,水槽,破砕ごみ,
270,水中ポンプ,破砕ごみ,重量10kgを超えるものは収集不可
271,水筒,破砕ごみ,
272,炊飯ジャー,破砕ごみ,
273,スーツケース,破砕ごみ,
274,スキー靴,破砕ごみ,
275,スキー板,破砕ごみ,1mを超えるものは「臨時・粗大ごみ」
276,スケッチブック,燃やせるごみ,金属等がついているものは「破砕ごみ」
277,スコップ,破砕ごみ,柄を1m以下に切る
278,すずり,破砕ごみ,
279,すだれ（植物性）,燃やせるごみ,50cm以下に切って指定収集袋に入れる。入らないものは「臨時・粗大ごみ」
280,すだれ（プラスチック製）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
281,ステレオセット（ミニコンポ）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
282,ストッキング,燃やせるごみ,
283,ストロー,破砕ごみ,
284,スノーボード,臨時・粗大ごみ,
285,スピーカー,破砕ごみ,
286,スプーン,破砕ごみ,
287,スプレー缶,缶・びん・ペットボトル,使い切り、火の気のない風通しのよい屋外で穴を開ける
288,スポンジ,破砕ごみ,
289,炭（練炭・豆炭・木炭・オガライト）,燃やせるごみ,2袋まで。3袋以上は「臨時・粗大ごみ」
290,スリッパ,破砕ごみ,
291,座机,臨時・粗大ごみ,
292,セーター,紙・布,ほぐしたものは「燃やせるごみ」
293,石油ストーブ,臨時・粗大ごみ,大きさにかかわらず「臨時・粗大ごみ」
294,石油ファンヒーター,臨時・粗大ごみ,大きさにかかわらず「臨時・粗大ごみ」
295,石油ポンプ,破砕ごみ,
296,背広,紙・布,汚れているものは「燃やせるごみ」
297,セロテープ台,破砕ごみ,
298,セロハン状の透明フイルム（たばこ・菓子等）,プラスチック容器包装,
299,洗濯機,家電リサイクル法対象品,
300,洗濯バサミ,破砕ごみ,
301,洗濯用ネット,破砕ごみ,
302,剪定ごみ（直径5cm・束の直径30cm以下・長さ50cm以下）2束まで,燃やせるごみ,指定収集袋に入らない場合は指定収集袋（大）を貼り付け・巻き付ける。請負工事で発生したものは収集不可
303,剪定ごみ（直径5cm・束の直径30cm以下・長さ50cm以下）3束以上,臨時・粗大ごみ,請負工事で発生したものは収集不可
304,剪定バサミ,破砕ごみ,柄を1m以下に切る。危険のないように包む
305,扇風機,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
306,洗面器,破砕ごみ,
307,洗面台・洗面化粧台,臨時・粗大ごみ,請負工事で発生したものは収集不可
308,造花,破砕ごみ,
,,,
310,掃除機,破砕ごみ,コードレス掃除機は「小型家電」
311,ソファー,臨時・粗大ごみ,サイズ・スプリングの有無でそれぞれ手数料が異なります
312,ソファーベッド,臨時・粗大ごみ,スプリングの有無でそれぞれ手数料が異なります
313,ソリ（子ども用）,破砕ごみ,
314,体温計（アルコール・デジタル）,破砕ごみ,デジタル体温計は「小型家電」として回収ボックスに投入できます
315,体温計（水銀）,有害ごみ,
316,耐火金庫,収集不可,販売店などにお問い合わせください。手提金庫は「破砕ごみ」
317,耐熱ガラス食器,破砕ごみ,
318,タイヤ（自転車用）,破砕ごみ,50cm以下に切る
319,タイヤ（自動車用）,臨時・粗大ごみ,1回につき4本まで。5本以上は収集不可
320,タイヤチェーン（金属製）,臨時・粗大ごみ,
321,タイヤチェーン（ゴム製）,破砕ごみ,
322,タオル,紙・布,汚れているものは「燃やせるごみ」
323,タオルケット,紙・布,汚れているものは「燃やせるごみ」
324,竹くし,燃やせるごみ,危険のないように包む
325,畳,臨時・粗大ごみ,1畳／１回につき2枚まで。0.5畳／1回につき4枚まで。1畳、0.5畳でそれぞれ手数料が異なります。請負工事で発生したものは収集不可　
326,脱臭剤,破砕ごみ,
327,タッパ,破砕ごみ,
328,棚,臨時・粗大ごみ,1m×1m以下、1m×1mを超えるものでそれぞれ手数料が異なります
329,足袋,燃やせるごみ,
330,卵殻,燃やせるごみ,
331,卵パック（プラスチック製）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
332,たわし,破砕ごみ,
333,単行本,紙・布,
334,たんす,臨時・粗大ごみ,1m×1m以下、1m×1mを超えるものでそれぞれ手数料が異なります
335,ダンベル,臨時・粗大ごみ,20kg以下、20kgを超えるものでそれぞれ手数料が異なります
336,段ボール箱,紙・布,
337,チャイルドシート,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
338,茶殻,燃やせるごみ,
339,茶碗（陶器、プラスチック製）,破砕ごみ,危険のないように包む
340,注射器・注射針,収集不可,
341,チューブ（からし・歯磨粉・マヨネーズ・ケチャップ等）,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
342,チラシ,紙・布,新聞と一緒にしばる
343,ちりとり,破砕ごみ,かかりつけの病院などにお問い合わせください。
344,机（スチール机・学習机）,臨時・粗大ごみ,
345,筒型乾電池,有害ごみ,
346,土・砂・小石,臨時・粗大ごみ,1袋重量10kg以下で、1回につき3袋まで。3袋を超えるものは収集不可
347,包み紙,紙・布,
348,積み木,燃やせるごみ,
349,釣糸,燃やせるごみ,
350,釣ざお,破砕ごみ,1m以下に切る
351,低周波あんま機,破砕ごみ,
,,,
353,テーブル,臨時・粗大ごみ,1m×1m以下、1m×1mを超えるものでそれぞれ手数料が異なります
354,テーブルクロス（ビニール製）,破砕ごみ,1m以下に切る
355,テーブルクロス（布製）,紙・布,
356,テープレコーダ,破砕ごみ,小型家電として回収ボックスに投入できます
357,手紙,燃やせるごみ,
358,手提金庫,破砕ごみ,耐火金庫は収集不可
359,手提げ袋（紙製）,紙布,
360,デジタルオーディオプレーヤー,破砕ごみ,小型家電として回収ボックスに投入できます
361,デジタルカメラ,破砕ごみ,小型家電として回収ボックスに投入できます
362,手帳,燃やせるごみ,
363,鉄あれい,臨時・粗大ごみ,20kg以下、20kgを超えるものでそれぞれ手数料が異なります
364,鉄筋,収集不可,販売店などにお問い合わせください
365,テニスボール,破砕ごみ,
366,手袋（布製）,燃やせるごみ,
367,手袋（ビニール製）,破砕ごみ,
368,テレビ,家電リサイクル法対象品,
369,テレビ台,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
,,,
371,DVDソフト,破砕ごみ,
372,DVDプレーヤー,破砕ごみ,ポータブルDVDビデオは「 小型家電」として回収ボックスに投入できます。
373,電気あんか,破砕ごみ,
374,電気カーペット（電気毛布）,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
375,電気コード（テーブルタップ等）,破砕ごみ,50cm以下に切る
376,電気スタンド,破砕ごみ,
377,電気ストーブ,破砕ごみ,
378,電球（白熱球・ＬＥＤ球・グローランプ）,破砕ごみ,危険のないように包む。電球型蛍光管は「有害ごみ」
379,電子辞書,破砕ごみ,小型家電として回収ボックスに投入できます
,,,
381,電磁調理器（ＩＨ）,破砕ごみ,10kgを超えるものは「臨時・粗大ごみ」
382,電子ピアノ,臨時・粗大ごみ,
383,電子レンジ,破砕ごみ,大きさ1m×50cm×50cm又は重量10kgを超えるものは「臨時・粗大ごみ」
384,電卓,破砕ごみ,小型家電として回収ボックスに投入できます
385,点滴チューブ（自己使用に限る）,燃やせるごみ,内容液等を抜き取る
386,点滴ボトル・点滴バッグ（自己使用に限る）,燃やせるごみ,内容液等を抜き取る
387,点滴びん（自己使用に限る）,破砕ごみ,内容液等を抜き取る
388,電動式車いす,臨時・粗大ごみ,リチウムイオンバッテリー・電池は取り外す
389,電動式自転車,臨時・粗大ごみ,リチウムイオンバッテリー・電池は取り外す
,,,
391,電話機,破砕ごみ,小型家電として回収ボックスに投入できます
392,ドア（木製・金属製）,臨時・粗大ごみ,請負工事で発生したものは収集不可
393,樋（とい）,破砕ごみ,1m以下に切る。請負工事で発生したものは収集不可
394,陶器類,破砕ごみ,危険のないように包む
395,豆腐パック,プラスチック容器包装,中身を空にして、汚れを取り除いたものに限る
396,灯油缶（金属製・プラスチック製）,破砕ごみ,火災の恐れがあるため、油を完全に抜く
397,時計,破砕ごみ,電子時計は「語型家電」として回収ボックスに投入できます
398,トタン（波板）,破砕ごみ,1m×50cm以下のものに限る。1m×50cmを超えるものは「臨時・粗大ごみ」。請負工事で発生したものは収集不可
399,ドライバー,破砕ごみ,危険のないように包む
400,ドライヤー,破砕ごみ,小型家電として回収ボックスに投入できます
401,トラクタの爪,収集不可,販売店などにお問い合わせください
402,塗料,収集不可,販売店などにお問い合わせください
403,塗料缶,破砕ごみ,中身を使い切ったものに限る
404,トレイ（食品トレイ・紙製）,紙・布,
405,トレイ（食品トレイ・プラスチック製）,プラスチック容器包装,中身を使い切り、汚れを取り除いたものに限る
406,ナイフ,破砕ごみ,危険のないように包む
407,流し台,臨時・粗大ごみ,幅1m以下、幅1mを超えるものでそれぞれ手数料が異なります。請負工事で発生したものは収集不可
408,長靴,破砕ごみ,
409,なた（鉈）,破砕ごみ,危険のないように包む
,,,
411,二段ベッド,臨時・粗大ごみ,
412,ニカド電池,収集不可,市もしくは「充電式電池リサイクル協力店」に設置の専用箱にて回収
413,荷造り紐（紙製）,燃やせるごみ,
414,荷造り紐（ビニール製・ＰＰバンド）,破砕ごみ,50cm以下に切る
415,人形・人形ケース（小型）,破砕ごみ,
416,ぬいぐるみ,燃やせるごみ,電子機器を内蔵しているものは「破砕ごみ」
417,布くず,燃やせるごみ,
418,ネクタイ,紙・布,汚れているものは「燃やせるごみ」
419,ネジ,破砕ごみ,
,,,
421,粘土（美術・工作用）,破砕ごみ,
422,農機具,収集不可,販売店などにお問い合わせください
423,農薬,収集不可,販売店などにお問い合わせください
,,,
425,ノコギリ,破砕ごみ,危険のないように包む
426,灰（2袋まで）,燃やせるごみ,水に濡らし飛散しないようにする
427,灰（3袋以上）,臨時・粗大ごみ,1回3袋まで。水に濡らし飛散しないようにする
428,灰皿,破砕ごみ,
429,廃食油,燃やせるごみ,紙に含ませるか、固形化させる
430,パイプベッド,臨時・粗大ごみ,
431,廃油,収集不可,販売店などにお問い合わせください
432,ハウス用パイプ（金属管）,収集不可,販売店などにお問い合わせください
433,ハウス用ビニール,収集不可,販売店などにお問い合わせください
,,,
435,はかり（キッチンスケール）,破砕ごみ,
436,バケツ（金属製、プラスチック製）,破砕ごみ,
437,ハサミ,破砕ごみ,危険のないように包む
438,箸（木・竹製）,燃やせるごみ,危険のないように包む
439,箸（プラスチック製）,破砕ごみ,危険のないように包む
440,バスマット（布製）,燃やせるごみ,
441,バスマット（布製以外）,破砕ごみ,
442,パソコン（一体型）,収集不可,"パソコンリサイクル対象品
「小型家電」として回収できます。"
443,パソコン（ディスプレイ）,収集不可,"パソコンリサイクル対象品
「小型家電」として回収できます。"
