#LINK,,,,,,,,,,,,,,,,
#lang,ja,,,,,,,,,,,,,,,
#attribution_name,高松市,,,,,,,,,,,,,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,,,,,,,,,,,,,
#file_name,0013,,,,,,,,,,,,,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/nursery_school,,,,,,,,,,,,,,,
#property,name,address,telephoneNumber,referenceObject,note,location,certifiedType,access,parkingInformation,capacity,acceptedAge,availableDate,startTime,endTime,availableDateNote,temporaryKeeping
#object_type_xsd,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion,Assertion
11,高松市立古高松保育所,高松市高松町423-1,087-841-9845,https://kagawa-colorful.com/hoikusyo/h11/,,"34.330899,134.10763",認定公立保育所,,,200,3か月～,月火水木金土,07:30,19:00,,無
,,,,,,,,,,,,,,,,
13,高松市立下笠居西部保育所,高松市亀水町1424-2,087-881-4710,https://kagawa-colorful.com/hoikusyo/h13/,,"34.372325,133.946185",認定公立保育所,,,30,1歳～,月火水木金土,07:30,18:30,,無
14,高松市立下笠居東部保育所,高松市植松町44-4,087-881-4752,https://kagawa-colorful.com/hoikusyo/h14/,,"34.352344,133.987044",認定公立保育所,,,50,1歳～,月火水木金土,07:30,18:30,,無
15,高松市立香西保育所,高松市香西西町57-9,087-881-2328,https://kagawa-colorful.com/hoikusyo/h15/,,"34.345215,133.996915",認定公立保育所,,,210,3か月～,月火水木金土,07:30,19:00,,無
16,高松市立弦打保育所,高松市鶴市町359-1,087-881-2552,https://kagawa-colorful.com/hoikusyo/h16/,,"34.32833,134.005514",認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,有
17,高松市立鬼無保育所,高松市鬼無町佐藤41-1,087-881-2844,https://kagawa-colorful.com/hoikusyo/h17/,,"34.327852,133.993597",認定公立保育所,,,150,3か月～,月火水木金土,07:30,19:00,,無
18,高松市立三谷保育所,高松市三谷町1193-1,087-889-0720,https://kagawa-colorful.com/hoikusyo/h18/,,"34.277337,134.070381",認定公立保育所,,,100,3か月～,月火水木金土,07:30,18:30,,無
19,高松市立多肥保育所,高松市多肥上町424,087-889-0475,https://kagawa-colorful.com/hoikusyo/h19/,,"34.29128,134.051165",認定公立保育所,,,140,3か月～,月火水木金土,07:30,19:00,,無
,,,,,,,,,,,,,,,,
21,高松市立川島保育所,高松市川島東町253-4,087-848-0075,https://kagawa-colorful.com/hoikusyo/h21/,,"34.27678,134.091489",認定公立保育所,,,180,3か月～,月火水木金土,07:30,19:00,,無
22,高松市立西植田保育所,高松市西植田町2350-1,087-849-0102,https://kagawa-colorful.com/hoikusyo/h22/,,"34.240061,134.078063",認定公立保育所,,,60,1歳～,月火水木金土,07:30,18:30,,無
23,高松市立東植田保育所,高松市東植田町2023-1,087-849-0082,https://kagawa-colorful.com/hoikusyo/h23/,,"34.239913,134.097878",認定公立保育所,,,30,1歳～,月火水木金土,07:30,18:30,,無
24,高松市立大野保育所,高松市香川町大野1063-1,087-886-9356,https://kagawa-colorful.com/hoikusyo/h24/,,"34.26789,134.027335",認定公立保育所,,,200,3か月～,月火水木金土,07:30,19:00,,無
25,高松市立浅野保育所,高松市香川町浅野816-1,087-889-2416,https://kagawa-colorful.com/hoikusyo/h26/,,"34.257828,134.036939",認定公立保育所,,,110,3か月～,月火水木金土,07:30,19:00,,無
26,高松市立川東南保育所,高松市香川町川内原574-56,087-879-5784,https://kagawa-colorful.com/hoikusyo/h28/,,"34.229495,134.040497",認定公立保育所,,,45,1歳～,月火水木金土,07:30,19:00,,無
27,高松市立国分寺北部保育所,高松市国分寺町新居1906-1,087-874-1487,https://kagawa-colorful.com/hoikusyo/h29/,,"34.307041,133.964275",認定公立保育所,,,100,1歳～,月火水木金土,07:30,18:30,,無
28,高松市立国分寺南部保育所,高松市国分寺町福家甲3106-1,087-874-1120,https://kagawa-colorful.com/hoikusyo/h30/,,"34.284657,133.960908",認定公立保育所,,,90,1歳～,月火水木金土,07:30,18:30,,無
29,高松市立牟礼保育所,高松市牟礼町牟礼1978-1,087-845-1647,https://kagawa-colorful.com/hoikusyo/h31/,,"34.345964,134.126933",認定公立保育所,,,120,3か月～,月火水木金土,07:30,19:00,,無
30,高松市立田井保育所,高松市牟礼町牟礼100-1,087-845-5411,https://kagawa-colorful.com/hoikusyo/h32/,,"34.341172,134.140155",認定公立保育所,,,80,3か月～,月火水木金土,07:30,18:30,,無
31,高松市下笠居こども園,高松市生島町335,087-881-2515,https://kagawa-colorful.com/hoikusyo/h142,,"34.358509,133.967533",認定こども園（幼保連携型）,,,1号認定 40、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,18:30,,有
32,高松市はらこども園,高松市牟礼町原570-1,087-845-0234,https://kagawa-colorful.com/hoikusyo/h143,,"34.328643,134.156038",認定こども園（幼保連携型）,,,1号認定 90、2・3号認定 138,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
33,高松市庵治こども園,高松市庵治町853-1,087-871-2535,https://kagawa-colorful.com/hoikusyo/h144,,"34.385761,134.131516",認定こども園（幼保連携型）,,,1号認定 45、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,18:30,,有
34,高松市香南こども園,高松市香南町横井865-1,087-887-7876,https://kagawa-colorful.com/hoikusyo/h145,,"34.242096,134.005834",認定こども園（幼保連携型）,,,1号認定 90、2・3号認定 179,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
35,高松市塩江こども園,高松市塩江町安原下第1号887,087-890-2022,https://kagawa-colorful.com/hoikusyo/h146,,"34.188524,134.061382",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
36,高松市川東こども園,高松市香川町川東上1987-4,087-879-4602,https://kagawa-colorful.com/hoikusyo/h27,,"34.237755,134.035134",認定こども園（幼保連携型）,,,1号認定 90、2・3号認定 153,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
37,屋島こども園,高松市屋島西町1744-1,087-841-9711,https://kagawa-colorful.com/hoikusyo/h307/,,"34.342609,134.099868",認定こども園（幼保連携型）,,,1号認定 9、2・3号認定 135,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
38,林こども園,高松市林町1405-4,087-865-1676,https://kagawa-colorful.com/hoikusyo/h306/,,"34.2959789,134.0789659",認定こども園（幼保連携型）,,,1号認定 105、2・3号認定 194,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
39,高松市小規模保育事業所男木保育所,高松市男木町165,087-873-0614,https://kagawa-colorful.com/hoikusyo/%25E9%25AB%2598%25E6%259D%25BE%25E5%25B8%2582%25E5%25B0%258F%25E8%25A6%258F%25E6%25A8%25A1%25E4%25BF%259D%25E8%2582%25B2%25E4%25BA%258B%25E6%25A5%25AD%25E6%2589%2580%25E3%2580%2580%25E7%2594%25B7%25E6%259C%25A8%25E4%25BF%259D%25E8%2582%25B2%25E6%2589%2580%25EF%25BC%2592/,,"34.420292,134.057016",小規模保育施設,,,6,1歳児～,月火水木金土,09:00,16:00,,無
,,,,,,,,,,,,,,,,
41,こぶし今里保育園,高松市今里町一丁目7-2,087-834-1946,https://kagawa-colorful.com/hoikusyo/h159/,,"34.327973,134.058101",認定私立保育所,,,90,2か月～,月火水木金土,07:00,19:00,,有
42,敬愛保育園,高松市藤塚町三丁目18-2,087-831-6778,https://kagawa-colorful.com/hoikusyo/h33/,,"34.333037,134.051372",認定私立保育所,,,150,3か月～,月火水木金土,07:00,19:00,,無
43,平安保育園,高松市上福岡町894-8,087-833-7734,https://kagawa-colorful.com/hoikusyo/h160/,,"34.328268,134.066087",認定私立保育所,,,130,2か月～,月火水木金土,07:00,19:00,,無
44,勅使百華保育園,高松市勅使町955,087-865-2998,https://kagawa-colorful.com/hoikusyo/h34/,,"34.304804,134.02164",認定私立保育所,,,230,3か月～,月火水木金土,07:00,19:00,,無
45,西春日保育所,高松市西春日町1407,087-866-4166,https://kagawa-colorful.com/hoikusyo/h161/,,"34.316835,134.024336",認定私立保育所,,,130,2か月～,月火水木金土,07:00,19:00,,有
46,太田西保育園,高松市太田下町2025,087-865-0601,https://kagawa-colorful.com/hoikusyo/h162/,,"34.304304,134.037996",認定私立保育所,,,100,2か月～,月火水木金土,07:00,19:00,,無
47,こぶし中央保育園,高松市木太町5089-9,087-866-7169,https://kagawa-colorful.com/hoikusyo/h35/,,"34.309654,134.0631",認定私立保育所,,,90,2か月～,月火水木金土,07:00,19:00,,有
48,あすなろ保育園,高松市屋島西町2453-6,087-843-3143,https://kagawa-colorful.com/hoikusyo/h36/,,"34.350107,134.091559",認定私立保育所,,,180,3か月～,月火水木金土,07:00,20:00,,無
49,西光寺保育所,高松市前田西町167-1,087-847-6237,https://kagawa-colorful.com/hoikusyo/h164/,,"34.300415,134.115798",認定私立保育所,,,110,2か月～,月火水木金土,07:00,19:00,,有
50,川添保育園,高松市下田井町52,087-847-5078,https://kagawa-colorful.com/hoikusyo/h165/,,"34.299537,134.092378",認定私立保育所,,,120,3か月～,月火水木金土,07:00,19:00,,無
,,,,,,,,,,,,,,,,
52,高松南保育園,高松市寺井町453-1,087-886-0275,https://kagawa-colorful.com/hoikusyo/h38/,,"34.277465,134.030037",認定私立保育所,,,160,6か月～,月火水木金土,07:00,19:00,,無
53,円座百華保育園,高松市円座町1478-1,087-885-1203,https://kagawa-colorful.com/hoikusyo/h167/,,"34.284927,134.010137",認定私立保育所,,,260,7か月～,月火水木金土,07:00,19:00,,無
54,高松西保育園,高松市檀紙町1521-4,087-886-5006,https://kagawa-colorful.com/hoikusyo/h40/,,"34.306205,133.998614",認定私立保育所,,,130,2か月～,月火水木金土,07:00,19:00,,無
55,若葉保育園,高松市亀田南町108-2,087-847-7932,https://kagawa-colorful.com/hoikusyo/h168/,,"34.285075,134.110374",認定私立保育所,,,130,3か月～,月火水木金土,07:00,19:00,,無
56,白樺保育園,高松市元山町855-2,087-866-6555,https://kagawa-colorful.com/hoikusyo/h41/,,"34.311827,134.08609",認定私立保育所,,,120,3か月～,月火水木金土,07:00,19:00,,無
57,松福保育園,高松市松福町二丁目18-16,087-822-7605,https://kagawa-colorful.com/hoikusyo/h42/,,"34.341315,134.06296",認定私立保育所,,,120,2か月～,月火水木金土,07:00,19:00,,有
58,さくらんぼ保育園,高松市木太町1165-3,087-867-4151,https://kagawa-colorful.com/hoikusyo/h43/,,"34.320782,134.067903",認定私立保育所,,,60,1歳児～,月火水木金土,07:30,19:00,,無
59,すみれ保育園,高松市十川東町556-1,087-848-0806,https://kagawa-colorful.com/hoikusyo/h169/,,"34.263658,134.108531",認定私立保育所,,,120,3か月～,月火水木金土,07:00,19:00,,無
60,高松第二保育園,高松市御坊町2-2,087-821-5241,https://kagawa-colorful.com/hoikusyo/h44/,,"34.343745,134.052287",認定私立保育所,,,30,2か月～,月火水木金土,06:40,25:00,,有
61,今里保育所,高松市今里町二丁目1-5,087-834-3535,https://kagawa-colorful.com/hoikusyo/h45/,,"34.327799,134.062199",認定私立保育所,,,130,2か月～,月火水木金土,07:00,19:00,,無
62,さんさん保育園,高松市香川町浅野834-1,087-888-6333,https://kagawa-colorful.com/hoikusyo/h170/,,"34.25728,134.035674",認定私立保育所,,,110,3か月～,月火水木金土,07:00,19:00,,有
63,みよし保育園,高松市国分寺町柏原80,087-874-0622,https://kagawa-colorful.com/hoikusyo/h171/,,"34.289495,133.952485",認定私立保育所,,,80,3か月～,月火水木金土,07:00,19:00,,無
64,みのり保育園,高松市国分寺町福家甲1982,087-874-4309,https://kagawa-colorful.com/hoikusyo/h172/,,"34.274113,133.973116",認定私立保育所,,,150,3か月～,月火水木金土,07:00,19:00,,有
65,八栗保育所,高松市牟礼町牟礼401,087-845-0033,https://kagawa-colorful.com/hoikusyo/h173/,,"34.337967,134.130825",認定私立保育所,,,70,2か月～,月火水木金土,07:30,18:30,,有
66,城東保育園,高松市城東町一丁目1-45,087-822-1340,https://kagawa-colorful.com/hoikusyo/h46/,,"34.347055,134.055965",認定私立保育所,,,130,2か月～,月火水木金土,07:30,19:00,,有
67,こぶし花園保育園,高松市花園町一丁目9-32,087-831-5136,https://kagawa-colorful.com/hoikusyo/h47/,,"34.334252,134.057679",認定私立保育所,,,90,2か月～,月火水木金土,07:30,19:00,,無
68,,,,,,",",,,,,,,,,,
69,れんげ保育園,高松市多肥上町2390-1,087-888-8080,https://kagawa-colorful.com/hoikusyo/h49/,,"34.287693,134.05974",認定私立保育所,,,90,3か月～,月火水木金土,07:00,19:00,,無
70,さくら伏石保育園,高松市伏石町2135-3,087-867-1100,https://kagawa-colorful.com/hoikusyo/h50/,,"34.308543,134.056433",認定私立保育所,,,90,3か月～,月火水木金土,07:00,20:00,,無
71,らく楽保育園,高松市春日町483-1,087-844-0111,https://kagawa-colorful.com/hoikusyo/h51/,,"34.323827,134.092254",認定私立保育所,,,110,3か月～,月火水木金土,07:30,19:00,,無
72,初音保育所,高松市香西本町17-1,087-813-3258,https://kagawa-colorful.com/hoikusyo/h52/,,"34.349557,134.003925",認定私立保育所,,,180,2か月～,月火水木金土日,07:30,19:00,,有
73,さくら木太保育園,高松市木太町5113-15,087-802-8080,https://kagawa-colorful.com/hoikusyo/h260/,,"34.308532,134.067283",認定私立保育所,,,99,3か月～,月火水木金土,07:00,20:00,,無
74,,,,,,",",,,,,,,,,,
75,高松くりの木保育園,高松市花園町三丁目4-5,087-880-7211,https://kagawa-colorful.com/hoikusyo/h268/,,"34.333051,134.055788",認定私立保育所,,,105,3か月～,月火水木金土,07:00,19:00,,無
76,らく楽第二保育園,高松市松福町二丁目4-4,087-826-0111,https://kagawa-colorful.com/hoikusyo/h269/,,"34.343232,134.065675",認定私立保育所,,,72,3か月～,月火水木金土,07:30,19:00,,無
77,あさがお保育園,高松市上林町69,087-899-5660,https://kagawa-colorful.com/hoikusyo/h276/,,"34.291607,134.075471",認定私立保育所,,,120,３か月～,月火水木金土,07:30,19:00,,有
78,保育園アルペジオ高松多肥下町園,高松市多肥下町1524-15,087-802-5583,https://kagawa-colorful.com/hoikusyo/h288/,,"34.3051941,134.0610552",認定私立保育所,,,80,6か月,月火水木金土,07:30,19:30,,有
79,さくら太田保育園,高松市太田下町3032-1,087-868-3700,https://kagawa-colorful.com/hoikusyo/h289/,,"34.3034175,134.0533292",認定私立保育所,,,96,3か月,月火水木金土,07:00,20:00,,無
80,にこにこ保育園,高松市林町294-1,087-813-8300,https://kagawa-colorful.com/hoikusyo/h308/,,"34.3064057,134.042294",認可私立保育所,,,72,おおむね2か月～,月火水木金土,07:30,19:00,,有
81,あい保育園太田,高松市太田下町3027-3,087-802-9065,https://kagawa-colorful.com/hoikusyo/h312/,,"34.3047038,134.0565783",認可私立保育所,,,100,３か月～,月火水木金土,07:00,20:00,,無
82,さくら福々保育園,高松市松福町一丁目229-55,087-802-1860,,,"34.3431504,134.0615252",認可私立保育所,,,96,３か月～,月火水木金土,07:00,20:00,,無
83,サンシャインこどもの森,高松市上林町502-2,087-889-8181,https://kagawa-colorful.com/hoikusyo/h147/,,"34.292144,134.066237",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
84,いずみこども園,高松市国分寺町国分2408,087-874-0882,https://kagawa-colorful.com/hoikusyo/h148,,"34.303319,133.949144",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 100,1号認定 満3歳～、2・3号認定 3か月～,月火水木金土,07:00,20:00,,有
85,いずみこども園分園,高松市国分寺町新居281-1,087-875-0882,https://kagawa-colorful.com/hoikusyo/h211,,"34.304328,133.97246",認定こども園（幼保連携型）,,,2・3号認定 20,2・3号認定 3か月～,月火水木金土,07:30,18:30,,有
86,認定こども園高松東幼稚園,高松市春日町688,087-841-2306,https://kagawa-colorful.com/hoikusyo/h262,,"34.327571,134.087355",認定こども園（幼保連携型）,,,1号認定 284、2・3号認定 166,1号認定 満3歳～、2・3号認定 3か月～,月火水木金土,07:00,19:00,,無
87,認定こども園新田幼稚園,高松市新田町甲2630-1,087-841-3686,https://kagawa-colorful.com/hoikusyo/h263,,"34.325356,134.099079",認定こども園（幼保連携型）,,,1号認定 75、2・3号認定 57,1号認定 3歳児～、2・3号認定 6か月～,月火水木金土,07:30,19:00,,有
88,認定こども園和光こども園,高松市川部町1561-1,087-886-5879,https://kagawa-colorful.com/hoikusyo/h39/,,"34.268464,134.006758",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 100,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:00,19:00,,無
89,認定こども園春日こども園,高松市春日町1287-1,087-843-3689,https://kagawa-colorful.com/hoikusyo/h163/,,"34.331077,134.094275",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 160,1号認定 3歳児～、2・3号認定 2か月～,月火水木金土,07:00,19:00,,有
90,認定こども園花ノ宮こども園,高松市花ノ宮町一丁目10-22,087-831-6318,https://kagawa-colorful.com/hoikusyo/h175/,,"34.326539,134.047837",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 110,1号認定 3歳児～、2・3号認定 2か月～,月火水木金土,07:00,19:00,,無
91,認定こども園中野保育所,高松市中野町27-5,087-831-8659,https://kagawa-colorful.com/hoikusyo/h174/,,"34.333461,134.04506",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 160,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:30,,有
92,幼保連携型認定こども園カナン保育園,高松市仏生山町甲745-2,087-889-1059,https://kagawa-colorful.com/hoikusyo/h166/,,"34.279891,134.042395",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 105,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:00,19:00,,無
93,幼保連携型認定こども園すまいる,高松市三名町591-1,087-802-3838,https://kagawa-colorful.com/hoikusyo/h275/,,"34.292691,134.0352",認定こども園（幼保連携型）,,,1号認定 75、2・3号認定 75,1号認定 3歳児～、2・3号認定 6か月～,月火水木金土,07:30,19:00,,無
94,げんき・結愛・げんきこども園,高松市六条町604番地7,087-813-9818,https://kagawa-colorful.com/hoikusyo/h37/,,"34.2936161,134.0789214",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 217,1号認定 3歳児～、2・3号認定 おおむね2か月～,月火水木金土,07:00,19:00,,無
95,幼保連携型カナン十河こども園,高松市十川西町546-1,087-848-0320,https://kagawa-colorful.com/hoikusyo/h48/,,"34.2734776,134.1024882",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 110,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,有
96,幼保連携型認定こども園高松和貴こども園,高松市林町2197-1,087-814-4141,https://kagawa-colorful.com/hoikusyo/h313/,,"34.3064057,134.042294",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 165,1号認定 3歳児～、2・3号認定 3か月～,月火水木金土,07:00,19:00,,無
97,みらい学園,高松市木太町3429-3,087-899-2305,,,"34.3264572,134.0769366",認定こども園（幼保連携型）,,,1号認定 15、2・3号認定 75,1号認定 3歳児～、2・3号認定 6か月～,月火水木金土,07:30,19:00,,無
98,認定こども園やしま幼稚園,高松市屋島西町2477-4,087-843-2241,https://kagawa-colorful.com/hoikusyo/h149,,"34.353781,134.091115",認定こども園（幼稚園型）,,,1号認定 228、2・3号認定 72,1号認定 満3歳～、2・3号認定 18か月～,月火水木金土,07:45,19:00,,無
99,高松聖ヤコブ幼稚園,高松市西宝町二丁目3-14,087-861-0425,https://kagawa-colorful.com/hoikusyo/h249,,"34.338923,134.031483",認定こども園（幼稚園型）,,,1号認定 135、2号認定 15,1号認定 満3歳～、2号認定 3歳児～,月火水木金土,07:30,18:30,,無
100,認定こども園亀阜幼稚園,宮脇町一丁目2-23,087-831-2557,https://kagawa-colorful.com/hoikusyo/h252,,"34.338702,134.038281",認定こども園（幼稚園型）,,,1号認定 109、2・3号認定 99,1号認定 満3歳～、2・3号認定 1歳児～,月火水木金土,07:30,19:00,,無
101,らく楽寺井幼稚園,高松市寺井町1369-4,087-885-2038,https://kagawa-colorful.com/hoikusyo/h264,,"34.279836,134.022373",認定こども園（幼稚園型）,,,1号認定 112、2・3号認定 128,1号認定 満3歳～、2・3号認定 3か月～,月火水木金土,07:30,19:00,,無
102,幼稚園型認定こども園つくし幼稚園,高松市高松町1711-7,087-843-4484,https://kagawa-colorful.com/hoikusyo/h272/,,"34.334019,134.114815",認定こども園（幼稚園型）,,,1号認定 274、2・3号認定 48,1号認定 満3歳～、2・3号認定 2歳児～,月火水木金土,07:30,19:00,,無
103,認定こども園勅使百華幼稚園,高松市勅使町955,087-865-9419,https://kagawa-colorful.com/hoikusyo/h273/,,"34.304505,134.021922",認定こども園（幼稚園型）,,,1号認定 265、2・3号認定 51,1号認定 満3歳～、2・3号認定 18か月～,月火水木金土,07:30,18:30,,無
104,カナン空港こども園,高松市香南町西庄1671-2,087-815-8072,https://kagawa-colorful.com/%253Fpage_id%253D3202,,"34.235856,133.994046",地域型保育事業（小規模保育事業A型）,,,18,3か月～2歳児,月火水木金土,07:15,18:15,,無
105,栗林にこにこ保育園,高松市栗林町二丁目3-2,087-831-1319,https://kagawa-colorful.com/hoikusyo/%25E6%25A0%2597%25E6%259E%2597%25E3%2581%25AB%25E3%2581%2593%25E3%2581%25AB%25E3%2581%2593%25E4%25BF%259D%25E8%2582%25B2%25E5%259C%2592/,,"34.332072,134.049227",地域型保育事業（小規模保育事業A型）,,,12,おおむね2か月～2歳児,月火水木金土,07:30,19:00,,有
106,小規模保育所もも,高松市春日町1176,087-843-8255,https://kagawa-colorful.com/hoikusyo/%25E5%25B0%258F%25E8%25A6%258F%25E6%25A8%25A1%25E4%25BF%259D%25E8%2582%25B2%25E6%2589%2580%25E3%2580%2580%25E3%2582%2582%25E3%2582%2582/,,"34.332365,134.097201",地域型保育事業（小規模保育事業A型）,,,9,2か月～2歳児,月火水木金土,07:30,18:30,,無
107,らく楽多肥保育園,高松市多肥上町1713,087-816-8301,https://kagawa-colorful.com/hoikusyo/らく楽多肥保育園/,,"34.288288,134.059379",地域型保育事業（小規模保育事業A型）,,,12,3か月～2歳児,月火水木金土,07:30,19:00,,無
108,ソラ小規模保育園たかまつ,高松市木太町786-2,087-816-5150,https://kagawa-colorful.com/hoikusyo/ソラ小規模保育園たかまつ/,,"34.316351,134.073388",地域型保育事業（小規模保育事業A型）,,,19,54日～2歳児,月火水木金土,07:00,19:00,,無
109,ニチイキッズたひ東保育園,高松市多肥下町1533-3,087-864-3133,https://kagawa-colorful.com/hoikusyo/ニチイキッズたひ東/,,"34.303424,134.060713",地域型保育事業（小規模保育事業A型）,,,19,2か月～2歳児,月火水木金土,07:30,19:30,,無
110,ニチイキッズたひ西保育園,高松市多肥下町1581-6,087-815-0224,https://kagawa-colorful.com/hoikusyo/ニチイキッズたひ西/,,"34.298947,134.055734",地域型保育事業（小規模保育事業A型）,,,19,2か月～2歳児,月火水木金土,07:30,19:30,,無
111,おるごーる,高松市庵治町156-36,087-871-3503,https://kagawa-colorful.com/hoikusyo/オルゴール/,,"34.37717,134.122418",地域型保育事業（小規模保育事業A型）,,,11,おおむね2か月～2歳児,月火水木金土,07:30,18:30,,無
112,にじいろうさぎ保育園,高松市多肥上町1622-13,087-889-3711,https://kagawa-colorful.com/hoikusyo/にじいろうさぎ保育園/,,"34.2899,134.05856",地域型保育事業（小規模保育事業A型）,,,9,おおむね2か月～2歳児,月火水木金土,07:30,18:30,,有
113,木太にこにこ保育園,高松市木太町2321-1,087-837-5330,https://kagawa-colorful.com/hoikusyo/木太にこにこ保育園/,,"34.336075,134.072522",地域型保育事業（小規模保育事業A型）,,,12,おおむね2か月～2歳児,月火水木金土,07:30,19:00,,有
114,伏石にこにこ保育園,高松市伏石町2100-1,087-868-3339,https://kagawa-colorful.com/hoikusyo/伏石にこにこ保育園/,,"34.311371,134.055948",地域型保育事業（小規模保育事業A型）,,,12,おおむね2か月～2歳児,月火水木金土,07:30,19:00,,有
115,ニチイキッズまつなわ西保育園,高松市松縄町1118-8,087-864-3155,https://kagawa-colorful.com/hoikusyo/ニチイキッズまつなわ西保育園/,,"34.316136,134.061202",地域型保育事業（小規模保育事業A型）,,,19,2か月～2歳児,月火水木金土,07:30,19:30,,無
