"#property","latitude","longitude","name","address","telephoneNumber","referenceObject","note","service","availableDate","startTime","endTime","availableDateNote","capacity"
"30","34.32883167","134.09984472","サンリッチ屋島","高松市新田町甲2719","087-841-7006","http://www.zuishou.net/jigyou/sunrich",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","30"
"31","34.30772861","134.10905833","ケアハウス　弘恩","高松市前田西町683-4","087-847-2555","http://www.kouzenkai.jp/care",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","30"
"32","34.31818861","133.98591056","ケアハウス　大寿","高松市鬼無町鬼無882-2","087-881-6565","http://www.daijyuan.com/",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","20"
"33","34.33823444","134.03083639","ケアハウス　さぬき","高松市西宝町二丁目844-57","087-863-7366","http://www.sanuki-sha.or.jp/sanuki/life/index.html",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","30"
"34","34.35862528","134.0887725","ケアハウス　屋島","高松市屋島西町2277-1","087-841-2220","http://www.lucksay.com/care.html",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","60"
"35","34.26577528","133.99495583","ケアハウス　おかもと","高松市岡本町527-1","087-885-2828","http://www.koutouen.com/okamotosou/service/care_house.html",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","30"
"36","34.31835917","134.03650333","ケアハウス　櫨の実","高松市紙町402-5","087-815-3111","http://carehouse-hazenomi.com/",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","50"
"37","34.26501","134.04744306","ケアハウス　竜雲","高松市仏生山町甲3100-2","087-888-5800","http://www.ryuungakuen.or.jp/facility/carehouse",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","20"
"38","34.32212444","134.11844028","ケアハウス　吉祥","高松市高松町897-9","087-841-8100","http://kisshoh.jp/service/carehouse",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","48"
"39","34.17136583","134.07930694","ケアハウス　健祥会リブレ","高松市塩江町安原上東118-1","087-893-0502","http://www.kensyokai.group/institution/care/libre.html",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","50"
"40","34.29269083","133.95922222","ケアハウス　ラフォーレ国分寺","高松市国分寺町新名520-1","087-864-9000","http://www.hiiragikai.com/shisetsu/",,"軽費老人ホーム","月火水木金土日",,,"24時間対応","50"
"41","34.29417083","134.06622639","特別養護老人ホーム　さくら荘（ユニット型）","高松市林町76-14","087-868-0700","https://www.sumire-fukushi.jp/sakura/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","30"
"42","34.308842","134.067026","特別養護老人ホーム　きたまち苑","高松市木太町5113-15","087-802-8100","https://www.sumire-fukushi.jp/kitamachi/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","50"
"43","34.291662","134.028759","地域密着型特別養護老人ホーム　胡蝶の夢","高松市一宮町878番地1","087-813-5306","http://www.kishokai.com",,"地域密着型介護老人福祉施設入所者生活介護
（地域密着型特別養護老人ホーム）","月火水木金土日",,,"24時間対応","29"
"44","34.290953","134.078147","地域密着型特別養護老人ホーム　うたい鳥","高松市六条町511番地","087-813-7007","https://www.junshinkai.com/facility/kagawa_takamatsu/entry-166.html",,"地域密着型介護老人福祉施設入所者生活介護
（地域密着型特別養護老人ホーム）","月火水木金土日",,,"24時間対応","29"
"45","34.343797","134.060226","特別養護老人ホーム　ナウラテラス","高松市松福町一丁目12番3号","087-802-2650","https://www.sumire-fukushi.jp/nauraaterrace/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","30"
,"34.3501599","134.0033746","特別養護老人ホーム　一樹","高松市香西本町１７番地９","087-813-4360","https://syurikai.com/facility/tokuyou-ichiju/",,"介護老人福祉施設（特別養護老人ホーム）","月火水木金土日",,,"24時間対応","29"
