#property,latitude,longitude,prefCode,identification,pref,city,name,fullNameInKana,alternativeName,fullNameInRomaji,classification,category,placeName,address,katagaki,telephoneNumber,extensionNumber,member,memberUnit,corporateNumber,owner,culturalPropertyDate,availableDate,startTime,endTime,availableDateNote,image,iamgeLicense,summary,summaryInRomaji,description,descriptionEng,referenceObject
11,0,0,37201,,香川県,高松市,木造千手観音立像,,,,国指定重要文化財,彫刻,国分寺,高松市国分寺町国分2065,,,,,,,,1901-03-27,,,,,,,,,,,
12,0,0,37201,,香川県,高松市,木造不動明王立像,,,,国指定重要文化財,彫刻,弘憲寺,高松市錦町二丁目4-29,,,,,,,,1913-08-20,,,,,,,,,,,
13,0,0,37201,,香川県,高松市,木造四天王立像,,,,国指定重要文化財,彫刻,鷲峰寺,高松市国分寺町柏原632-3,,,,,,,,1919-08-08,,,,,,,,,,,
14,0,0,37201,,香川県,高松市,木造毘沙門天立像,,,,国指定重要文化財,彫刻,香西寺,高松市香西西町211,,,,,,,,1941-11-06,,,,,,,,,,,
15,0,0,37201,,香川県,高松市,木造千手観音坐像,,,,国指定重要文化財,彫刻,屋島寺,高松市屋島東町1808,,,,,,,,1955-02-02,,,,,,,,,,,
16,0,0,37201,,香川県,高松市,木造千手観音立像,,,,国指定重要文化財,彫刻,根香寺,高松市中山町1506,,,,,,,,1955-02-02,,,,,,,,,,,
17,0,0,37201,,香川県,高松市,木造菩薩立像,,,,国指定重要文化財,彫刻,正花寺,高松市西山崎町1324,,,,,,,,1955-02-02,,,,,,,,,,,
18,0,0,37201,,香川県,高松市,板彫阿弥陀曼荼羅,,,,国指定重要文化財,彫刻,開法寺,高松市牟礼町大町2423－3,,,,,,,,1966-06-11,,,,,,,,,,,
19,34.34997,134.053336,37201,,香川県,高松市,太刀  銘　元重,,,,国指定重要文化財,工芸品,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1921-04-30,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
20,0,0,37201,,香川県,高松市,銅鐘,,,,国指定重要文化財,工芸品,国分寺,高松市国分寺町国分2065,,,,,,,,1944-09-05,,,,,,,,,,,
21,0,0,37201,,香川県,高松市,密教法具  ,,,,国指定重要文化財,工芸品,東京国立博物館,東京都台東区上野公園13-9,,03-3822-1111,,,,,,1962-06-21,火水木金土日,09:30,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。ただし、ゴールデンウィーク及びお盆期間中は無休。,,,,,,,https://www.tnm.jp/
22,34.344189,134.034412,37201,,香川県,高松市,田村神社古神宝類 ,,,,国指定重要文化財,工芸品,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,1966-06-11,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
23,0,0,37201,,香川県,高松市,太刀  銘　兼氏,,,,国指定重要文化財,工芸品,東京国立博物館,東京都台東区上野公園13-9,,03-3822-1111,,,,,,1967-06-15,火水木金土日,09:30,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。ただし、ゴールデンウィーク及びお盆期間中は無休。,,,,,,,https://www.tnm.jp/
24,0,0,37201,,香川県,高松市,梵鐘,,,,国指定重要文化財,工芸品,屋島寺,高松市屋島東町1808,,,,,,,,1967-06-15,,,,,,,,,,,
25,0,0,37201,,香川県,高松市,短刀　銘　國吉　,,,,国指定重要文化財,工芸品,,高松市香西西町,,,,,,,,,,,,,,,,,,,
26,34.34997,134.053336,37201,,香川県,高松市,藤原佐理筆詩懐紙,,,,国   宝,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1952-11-22,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
27,34.34997,134.053336,37201,,香川県,高松市,紙本墨書月江正印墨蹟  印可状  （泰定戊辰仲春）,,,,国指定重要文化財,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1943-06-09,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
28,34.34997,134.053336,37201,,香川県,高松市,紙本墨書清拙正澄墨蹟  平心字号  %25252528嘉暦戊辰之秋）,,,,国指定重要文化財,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1943-06-09,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
29,34.34997,134.053336,37201,,香川県,高松市,光厳院宸翰御奉納心経,,,,国指定重要文化財,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1944-09-05,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
30,34.34997,134.053336,37201,,香川県,高松市,法華経,,,,国指定重要文化財,書跡,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1944-09-05,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
31,0,0,37201,,香川県,高松市,万葉集巻第十五残巻（天治本）,,,,国指定重要文化財,書跡,冠櫻神社,高松市香南町由佐1413,,,,,,,,1983-06-06,,,,,,,,,,,
32,34.34997,134.053336,37201,,香川県,高松市,紙本墨書花園天皇宸翰御消息  （十二月二日）,,,,国指定重要文化財,古文書,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1943-06-09,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
33,0,0,37201,,香川県,高松市,後深草天皇宸翰御消息  （十二月十日）,,,,国指定重要文化財,古文書,法然寺,高松市仏生山町甲3215-1,,,,,,,,1960-06-09,,,,,,,,,,,
34,0,0,37201,,香川県,高松市,蒟醤,,,,国指定重要無形文化財,工芸技術,,,,,,,,,磯井　正美、山下　義人、大谷　早人,1985-4-13、2013-9-26、2020-10-9,,,,,,,,,,,
35,34.380521,133.931419,37201,,香川県,高松市,瀬戸内海及び周辺地域の漁撈用具,,,,国指定重要有形民俗文化財,,瀬戸内海歴史民俗資料館,高松市亀水町1412-2,,087-881-4707,,,,,,1977-06-14,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。年末年始。,,,,,,,https://www.pref.kagawa.lg.jp/setorekishi/index.html
36,0,0,37201,,香川県,高松市,讃岐及び周辺地域の砂糖製造用具と砂糖しめ小屋・釜屋,,,,国指定重要有形民俗文化財,,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1983-04-13,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
37,0,0,37201,,香川県,高松市,讃岐及び周辺地域の醤油醸造用具と醤油蔵・麹室,,,,国指定重要有形民俗文化財,,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1986-03-31,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
38,34.380521,133.931419,37201,,香川県,高松市,瀬戸内海の船図及び船大工用具,,,,国指定重要有形民俗文化財,,瀬戸内海歴史民俗資料館,高松市亀水町1412-2,,087-881-4707,,,,,,1993-04-15,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。年末年始。,,,,,,,https://www.pref.kagawa.lg.jp/setorekishi/index.html
39,34.352981,134.13402,37201,,香川県,高松市,牟礼・庵治の石工用具,,,,国指定重要有形民俗文化財,,石の民俗資料館,高松市牟礼町牟礼1810,,087-845-8484,,,,,,1996-12-20,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/ishi.html
40,34.380521,133.931419,37201,,香川県,高松市,西日本の背負い運搬具コレクション,,,,国指定重要有形民俗文化財,,瀬戸内海歴史民俗資料館,高松市亀水町1412-2,,087-881-4707,,,,,,2015-03-02,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。年末年始。,,,,,,,https://www.pref.kagawa.lg.jp/setorekishi/index.html
41,0,0,37201,,香川県,高松市,讃岐国分寺跡,,,,国指定記念物,特別史跡,,高松市国分寺町国分,,,,,,,,1952-03-29,,,,,,,,,,,
42,0,0,37201,,香川県,高松市,府中山内瓦窯跡　,,,,国指定記念物,史跡,,高松市国分寺町,,,,,,,,1922-10-12,,,,,,,,,,,
43,0,0,37201,,香川県,高松市,讃岐国分尼寺跡,,,,国指定記念物,史跡,,高松市国分寺町新居,,,,,,,,1928-02-07,,,,,,,,,,,
44,0,0,37201,,香川県,高松市,石清尾山古墳群,,,,国指定記念物,史跡,,高松市峰山町、室町、宮脇町、西春日町、鶴市町、西宝町,,,,,,,,1985-07-16,,,,,,,,,,,
45,0,0,37201,,香川県,高松市,屋島,,,,国指定記念物,史跡,,高松市屋島東町、屋島中町、屋島西町、高松町,,,,,,,,1934-11-10,,,,,,,,,,,
46,0,0,37201,,香川県,高松市,高松城跡,,,,国指定記念物,史跡,玉藻公園,高松市玉藻町,,087-851-1521,,,,,,1955-03-02,月火水木金土日,,,【開園時間】およそ日の出から日没まで。季節によって異なる。HP参照のこと。【閉園日】12月29日～31日。,,,,,,,http://www.takamatsujyo.com/
47,0,0,37201,,香川県,高松市,讃岐遍路道　曼荼羅寺道　善通寺境内　根香寺道,,,,国指定記念物,史跡,,高松市中山町,,,,,,,,2013-10-17,,,,,,,,,,,
48,0,0,37201,,香川県,高松市,栗林公園,,,,国指定記念物,特別名勝,栗林公園,高松市栗林町,,087-833-7411,,,,,,1953-03-31,月火水木金土日,,,年中無休。【開園時間】ほぼ日の出から日没まで。季節によって異なる。HP参照のこと。,,,,,,,https://www.my-kagawa.jp/ritsuringarden
49,34.350573,134.051651,37201,,香川県,高松市,披雲閣庭園,,,,国指定記念物,名勝,玉藻公園,高松市玉藻町2-1,,087-851-1521,,,,,,2013-10-17,月火水木金土日,,,【開園時間】およそ日の出から日没まで。季節によって異なる。HP参照のこと。【閉園日】12月29日～31日。,,,,,,,http://www.takamatsujyo.com/
50,0,0,37201,,香川県,高松市,屋島,,,,国指定記念物,天然記念物,,高松市屋島東町、屋島中町、屋島西町、高松町,,,,,,,,1934-11-10,,,,,,,,,,,
51,0,0,37201,,香川県,高松市,刀　折返銘　備州長船景光,,,,国指定重要文化財,工芸品,,高松市香西西町,,,,,,,,1954-03-20,,,,,,,,,,,
52,0,0,37201,,香川県,高松市,旧入江家住宅,,,,県指定有形文化財,建造物,イサムノグチ庭園美術館,高松市牟礼町牟礼3519,,087-870-1500,,,,,,1954-08-18,火木土,,,入館は予約制。（往復ハガキにて要予約）,,,,,,,
53,0,0,37201,,香川県,高松市,旧山下家住宅,,,,県指定有形文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1981-04-21,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
54,0,0,37201,,香川県,高松市,旧黒瀬家丸亀藩御用蔵,,,,県指定有形文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1984-08-14,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
55,0,0,37201,,香川県,高松市,旧丸亀藩番所  附境界標柱,,,,県指定有形文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1984-08-14,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
56,34.34997,134.053336,37201,,香川県,高松市,高松城下図 屏風,,,,県指定有形文化財,絵画,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1999-06-22,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
57,34.34997,134.053336,37201,,香川県,高松市,高松松平家博物図譜,,,,県指定有形文化財,絵画,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,2004-03-05,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
58,0,0,37201,,香川県,高松市,木造地蔵菩薩立像,,,,県指定有形文化財,彫刻,弘憲寺,高松市錦町二丁目4-29,,,,,,,,1955-04-02,,,,,,,,,,,
59,0,0,37201,,香川県,高松市,木造五大尊像,,,,県指定有形文化財,彫刻,根香寺,高松市中山町1506,,,,,,,,1969-04-03,,,,,,,,,,,
60,34.34997,134.053336,37201,,香川県,高松市,金銅誕生釈迦仏立像,,,,県指定有形文化財,彫刻,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1970-04-28,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
61,0,0,37201,,香川県,高松市,木造阿弥陀如来坐像、木造釈迦如来坐像、木造弥勒菩薩坐像,,,,県指定有形文化財,彫刻,法然寺,高松市仏生山町甲3215-1,,,,,,,,2011-03-31,,,,,,,,,,,
62,0,0,37201,,香川県,高松市,木造智証大師坐像,,,,県指定有形文化財,彫刻,根香寺,高松市中山町1506,,,,,,,,2013-03-29,,,,,,,,,,,
63,0,0,37201,,香川県,高松市,銅鐘,,,,県指定有形文化財,工芸品,法泉寺,高松市番町一丁目3-19,,,,,,,,1960-07-07,,,,,,,,,,,
64,0,0,37201,,香川県,高松市,刀  銘　龍藻軒多田鷹成,,,,県指定有形文化財,工芸品,,高松市花ノ宮町,,,,,,,,,,,,,,,,,,,
65,34.34997,134.053336,37201,,香川県,高松市,青貝微塵塗鞘および大小拵,,,,県指定有形文化財,工芸品,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1971-04-30,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
66,34.344189,134.034412,37201,,香川県,高松市,刀  無銘　伝江義弘（号芦葉江）,,,,県指定有形文化財,工芸品,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,1999-06-22,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
67,34.34997,134.053336,37201,,香川県,高松市,平形銅剣   高瀬町北条出土,,,,県指定有形文化財,考古資料,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1978-12-26,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
68,0,0,37201,,香川県,高松市,蒟醤,,,,県指定無形文化財,工芸技術,,,,,,,,,伊賀　寛泰、太田　勝子,2001-03-27、2001-03-27、2006-02-10,,,,,,,,,,,
69,0,0,37201,,香川県,高松市,彫漆,,,,県指定無形文化財,工芸技術,,,,,,,,,北岡　省三,2001-03-27、2001-03-27,,,,,,,,,,,
70,0,0,37201,,香川県,高松市,きゅう漆,,,,県指定無形文化財,工芸技術,,,,,,,,,西岡　春行（春雪）、竹内　幸司,2006-02-10、2009-03-31,,,,,,,,,,,
71,0,0,37201,,香川県,高松市,香翠座人形頭,,,,県指定民俗文化財,有形民俗,円座コミュニティセンター,高松市円座町1622-1,,087-886-4993,,,,,,1962-09-20,,,,,,,,,,,
72,0,0,37201,,香川県,高松市,ひょうげ祭りの神具,,,,県指定民俗文化財,有形民俗,,高松市香川町浅野,,,,,,,,1965-04-03,,,,,,,,,,,
73,0,0,37201,,香川県,高松市,冠纓神社の大獅子　（二頭）,,,,県指定民俗文化財,有形民俗,冠櫻神社ほか,高松市香南町由佐、高松市香南町池内,,,,,,,,1970-04-28,,,,,,,,,,,
74,34.34997,134.053336,37201,,香川県,高松市,高松藩飛竜丸船明細切絵図,,,,県指定民俗文化財,有形民俗,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1977-07-26,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
75,0,0,37201,,香川県,高松市,粟島伊勢神宮奉納舟絵馬,,,,県指定民俗文化財,有形民俗,瀬戸内海歴史民俗資料館ほか,高松市亀水町,,087-881-4707,,,,,,1977-07-26,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。年末年始。,,,,,,,https://www.pref.kagawa.lg.jp/setorekishi/index.html
76,0,0,37201,,香川県,高松市,祇園座,,,,県指定民俗文化財,無形民俗,,高松市香川町東谷,,,,,,,,1965-04-03,,,,,,,,,,,
77,0,0,37201,,香川県,高松市,庵治締太鼓,,,,県指定民俗文化財,無形民俗,,高松市庵治町丸山,,,,,,,,1978-12-26,,,,,,,,,,,
78,0,0,37201,,香川県,高松市,香翠座デコ芝居,,,,県指定民俗文化財,無形民俗,,高松市円座町,,,,,,,,2004-03-05,,,,,,,,,,,
79,0,0,37201,,香川県,高松市,庵治の船祭り,,,,県指定民俗文化財,無形民俗,,高松市庵治町才田,,,,,,,,2009-06-26,,,,,,,,,,,
80,0,0,37201,,香川県,高松市,生駒親正夫妻墓所,,,,県指定記念物,史跡,弘憲寺,高松市錦町二丁目4-29,,,,,,,,1955-04-02,,,,,,,,,,,
81,0,0,37201,,香川県,高松市,今岡古墳,,,,県指定記念物,史跡,,高松市鬼無町,,,,,,,,1957-04-20,,,,,,,,,,,
82,0,0,37201,,香川県,高松市,高松市茶臼山古墳,,,,県指定記念物,史跡,,高松市前田西町、新田町、東山崎町,,,,,,,,1970-08-08,,,,,,,,,,,
83,0,0,37201,,香川県,高松市,小比賀家築山庭園,,,,県指定記念物,名勝,,高松市御厩町,,,,,,,,1971-04-30,,,,【公開日】毎月第3日曜日。10：00～16：00。小比賀家宅内から見ることができる。,,,,,,,
84,0,0,37201,,香川県,高松市,船山神社のクス,,,,県指定記念物,天然記念物,船山神社,高松市仏生山町甲1149,,,,,,,,1960-07-07,,,,,,,,,,,
85,0,0,37201,,香川県,高松市,ソテツの岡,,,,県指定記念物,天然記念物,栗林公園,高松市栗林町一丁目20-16,,087-833-7411,,,,,,1962-04-14,月火水木金土日,,,年中無休。【開園時間】ほぼ日の出から日没まで。季節によって異なる。HP参照のこと。,,,,,,,https://www.my-kagawa.jp/ritsuringarden
86,0,0,37201,,香川県,高松市,根上りカシ,,,,県指定記念物,天然記念物,栗林公園,高松市栗林町一丁目20-16,,087-833-7411,,,,,,1962-04-14,月火水木金土日,,,年中無休。【開園時間】ほぼ日の出から日没まで。季節によって異なる。HP参照のこと。,,,,,,,https://www.my-kagawa.jp/ritsuringarden
87,0,0,37201,,香川県,高松市,一瀬神社社叢,,,,県指定記念物,天然記念物,一瀬神社,高松市中山町1202-1,,,,,,,,1971-04-30,,,,,,,,,,,
88,0,0,37201,,香川県,高松市,岩部八幡神社のイチョウ,,,,県指定記念物,天然記念物,岩部八幡神社,高松市塩江町安原上692-1,,,,,,,,1971-04-30,,,,,,,,,,,
89,34.306284,133.963196,37201,,香川県,高松市,国分寺北部小学校校門,,,,市指定有形文化財,建造物,国分寺北部小学校,高松市国分寺町新居1880,,,,,,,,1970-03-28,,,,,,,,,,,
90,0,0,37201,,香川県,高松市,旧中石家住宅　主屋、隠居屋、納屋,,,,市指定有形文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1983-03-01,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
91,0,0,37201,,香川県,高松市,小豆島の農村歌舞伎舞台,,,,市指定有形文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1983-03-01,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
92,0,0,37201,,香川県,高松市,茶堂,,,,市指定有形文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1989-01-05,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
93,0,0,37201,,香川県,高松市,旧吉野家住宅,,,,市指定有形文化財,建造物,公益財団法人　四国民家博物館（四国村）,高松市屋島中町91,,087-843-3111,,,,,,1989-01-05,月火水木金土日,08:30,17:30,年中無休。【閉園時間】18：00（4月～10月）、17：30（11月～3月）,,,,,,,https://www.shikokumura.or.jp/
94,34.344341,134.05618,37201,,香川県,高松市,旧新塩屋町小学校門柱,,,,市指定有形文化財,建造物,高松市総合教育センター,高松市末広町5,,,,,,,,2011-03-08,,,,,,,,,,,
95,0,0,37201,,香川県,高松市,生駒親正肖像画,,,,市指定有形文化財,絵画,弘憲寺,高松市錦町二丁目4-29,,,,,,,,1989-01-05,,,,,,,,,,,
96,34.344189,134.034412,37201,,香川県,高松市,紙本墨画淡彩玉蘭精舎祝宴図屏風   大原東野筆,,,,市指定有形文化財,絵画,高松市歴史資料館,高松市昭和町一丁目2-20,,087-861-4520,,,,,,2001-12-26,火水木金土日,09:00,17:00,入館は16：30まで。月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）利用不可,,,,,,,http://www.city.takamatsu.kagawa.jp/kurashi/kosodate/bunka/rekishi/index.html
97,0,0,37201,,香川県,高松市,木造六字明王立像,,,,県指定有形文化財,彫刻,円成庵,高松市多肥上町887-2,,,,,,,,2021-03-30,,,,,,,,,,,
98,0,0,37201,,香川県,高松市,金銅誕生釈迦仏立像,,,,市指定有形文化財,彫刻,西方寺,高松市西宝町三丁目9-27,,,,,,,,1989-01-05,,,,,,,,,,,
99,0,0,37201,,香川県,高松市,木造阿弥陀如来立像,,,,市指定有形文化財,彫刻,,高松市室町,,,,,,,,2010-03-10,,,,,,,,,,,
100,0,0,37201,,香川県,高松市,摩尼輪塔,,,,市指定有形文化財,工芸品,,高松市国分寺町新居,,,,,,,,1970-03-28,,,,,,,,,,,
101,34.34997,134.053336,37201,,香川県,高松市,脇差  銘　讃州住盈永,,,,市指定有形文化財,工芸品,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1975-03-13,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
102,34.34997,134.053336,37201,,香川県,高松市,仏餉茶碗,,,,市指定有形文化財,工芸品,香川県立ミュージアム,高松市玉藻町5-5,,087-822-0002,,,,,,1976-04-01,火水木金土日,09:00,17:00,入館は16：30まで。【休館日】月曜日（祝休日の場合は、翌火曜日）。12月26日～1月1日。,,,,,,,https://www.pref.kagawa.lg.jp/kmuseum/
103,0,0,37201,,香川県,高松市,鰐口,,,,市指定有形文化財,工芸品,椙尾神社,高松市十川東町561,,,,,,,,1979-08-01,,,,,,,,,,,
