"№","名　　　　称",,"開設者","latitude","longitude","所在地","TEL","開設日","あん摩","はり","きゅう","柔整併設","出張業務"
"18","あん鍼灸院","アンシンキュウイン","近藤　光男","34.320459","134.072044","香川県高松市木太町1247-11","087-887-1466","2016/4/1",,"○","○",,
"19","あんま・鍼灸治療室　つきの木","アンマシンキュウチリョウシツ ツキノキ","大浦　淳","34.345817","134.049740","香川県高松市古新町1-4　WINDビル３階 301","087-823-1805","2013/10/7","○","○","○",,
"20","按摩仙人","アンマセンニン","網本　健一","34.296373","133.988686","香川県高松市中間町629","087-802-7242","2018/8/1","○","○","○",,
"21","あん摩マッサージ指圧鍼灸山口治療院","アンママッサージシアツシンキュウヤマグチチリョウイン","山口　ノブエ","34.345713","134.035722","香川県高松市扇町一丁目27-15","087-834-0609","1997/4/1","○","○","○",,
"22","あん摩マッサージ指圧はりきゅう山口治療院","アンママッサージシアツハリキュウヤマグチチリョウイン","山口　正憲","34.230903","134.083428","香川県高松市西植田町6825","087-849-0396","1999/4/14","○","○","○",,
"23","飯沼　秀樹","イイヌマ　ヒデキ","飯沼　秀樹","34.338132","134.078078","香川県高松市木太町2447-508","−−−−−","2014/5/1","○",,,,"○"
"24","いいむら整骨院","イイムラセイコツイン","飯村　篤","34.324272","134.062971","香川県高松市今里町二丁目14-3","087-804-6373","2022/9/1",,"○","○","○",
"25","石井　裕基","イシイ　ヒロキ","石井　裕基","34.341832","134.007672","香川県高松市香西東町338-1","087-881-5065","2015/12/1",,"○","○",,"○"
"26","いきいき鍼灸院","イキイキシンキュウイン","髙尾　阿弥","34.333683","134.050128","香川県高松市栗林町二丁目18-21","087-813-3081","2017/7/5",,"○","○","○",
"27","いきやま鍼灸院","イキヤマシンキュウイン","生山　悠一","34.330819","134.092844","香川県高松市春日町1085-8","087-887-2642","2011/5/17","○","○","○",,
"28","イグナル鍼灸院","イグンルシンキュウイン","関本　高成","34.301253","134.040119","香川県高松市太田上町998-9","087-813-9877","2013/4/2","○","○","○",,
"29","池田　真波","イケダ　マナミ","池田　真波",,,"香川県高松市","080-6396-1644","2020/7/26","○","○","○",,"○"
"30","池田　敏也","イケダ　トシヤ","池田　敏也","34.296438","134.049797","香川県高松市多肥上町1145-1","090-1162-4119","2022/5/19",,"○","○",,"○"
"31","伊澤　實","イザワ　ミノル","伊澤　實","34.341561","134.106722","香川県高松市屋島中町229-1屋島コーポＡ-2","090-2114-1103","2015/10/1","○",,,,"○"
"32","石川ペルニック鍼灸院","イシカワペルニックシンキュウイン","石川　安彦","34.319334","134.054846","香川県高松市伏石町2014-21","087-866-1565","1997/4/5",,"○","○","○",
"33","石本　正樹","イシモト　マサキ","石本　正樹","34.349662","133.997526","香川県高松市香西本町692","087-882-3016","2009/10/12","○",,,,"○"
"34","磯島　和典","イソジマ　カズノリ","磯島　和典","34.351521","134.039426","香川県高松市浜ノ町60-55-635","087-823-7754","1995/4/27",,"○","○",,"○"
"35","いっくぅ施術所","イックゥセジュツショ","一空株式会社","34.343673","134.044051","香川県高松市番町2-4-27番町スクエア3F","087-813-0119","2021/4/21","○","○","○","○",
"36","井上鍼灸院","イノウエシンキュウイン","井上　篤","34.340543","134.058068","香川県高松市塩上町三丁目3-5","087-862-1772","2001/7/3","○","○","○",,
"37","猪熊マッサージ治療院","イノクママッサージチリョウイン","猪熊　進","34.250646","134.032243","香川県高松市香川町浅野1225-85","087-879-4312","1992/9/18","○",,,,
"38","いのした鍼灸整骨院","イノシタシンキュウセイコツイン","井下　裕介","34.313296","134.063983","香川県高松市松縄町1109-21","087-814-3416","2013/2/4",,"○","○","○",
"39","今里オリーブ鍼灸整骨院","イマザトオリーブシンキュウセイコツイン","笠井　恭平","34.329179","134.058223","香川県高松市今里町一丁目499-1","087-880-3938","2016/3/14",,"○","○","○",
"40","入砂治療院","イリスナチリョウイン","入砂　信一","34.313236","134.045154","香川県高松市三条町92-1","087-865-3696","1998/7/21","○",,,,
"41","岩倉　美彩","イワクラ　ミサ","岩倉　美彩","34.342718","134.067893","香川県高松市福岡町四丁目13-23-502","087-811-5752","2013/3/12",,"○","○",,"○"
"42","上原鍼灸院","ウエハラシンキュウイン","上原　秀一郎","34.343887","134.123296","香川県高松市牟礼町牟礼2221-1","087-818-7808","2015/6/1",,"○","○","○",
"43","はり・灸　Uno a Uno","ハリキュウUno a Uno","中川　真弓","34.343423","134.039270","香川県高松市高松市番町3丁目7-9 ","070-9080-8839","2023/1/11",,"○","○",,
"44","植松治療院","ウエマツチリョウイン","植松　脩","34.305771","133.986919","香川県高松市御厩町1403-1","087-886-3454","1995/4/21","○",,,,
"45","内田指圧治療院","ウチダシアツチリョウイン","内田　泰司","34.338608","134.053794","香川県高松市塩上町一丁目2-18","087-837-5941","2014/5/26","○",,,,
"46","えのきど鍼灸院","エノキドシンキュウイン","榎戸　真治","34.305358","134.092921","香川県高松市東山崎町206-1 吉洸ビル１Ｆ","087-847-7966","2007/9/4",,"○","○","○",
"47","遠藤マッサージ治療院","エンドウマッサージチリョウイン","遠藤　繁太","34.340236","134.051458","香川県高松市瓦町二丁目8-15","087-831-6427","2015/3/11","○",,,,
"48","遠藤由美子治療院","エンドウユミコチリョウイン","遠藤　由美子","34.340254","134.051447","香川県高松市一宮町1194-13","087-885-3401","1998/8/3","○","○","○",,
"49","大熊鍼灸マッサージ治療院","オオクマシンキュウマッサージチリョウイン","大麻　悦治","34.344062","134.052979","香川県高松市今新町6-3","087-821-1151","1971/6/26","○","○","○",,
"50","あんまマッサージ健康堂治療院","アンママッサージケンコウドウチリョウイン","大嶋　俊一","34.234244","134.034401","香川県高松市香川町川東上1592-2","087-879-6124","1986/12/10","○",,,,
"51","太田　琢也","オオタ　タクヤ","太田　琢也","34.279363","134.033401","香川県高松市寺井町302-1","080-3162-0760","2009/4/8",,"○","○",,"○"
"52","大谷もくの木鍼灸院","オオタニモクノキシンキュウイン","大西　一郎","34.309261","133.974858","香川県高松市国分寺町新居3420-9","090-4973-8196","2019/4/1",,"○","○",,
"53","おおつか鍼灸治療院","オオツカシンキュウチリョウイン","大塚　安混","34.335102","134.044641","香川県高松市中野町2-7","087-861-2030","2004/2/13","○","○","○",,
"54","大野鍼灸院","オオノシンキュウイン","大野　晋治","34.351486","134.036242","香川県高松市浜ノ町18-23","087-851-6096","2018/11/1","○","○","○",,
"55","おかだ鍼灸整骨院","オカダシンキュウセイコツイン","岡田　融征","34.263019","134.024751","香川県高松市香川町大野1436-8","090-5710-4527","2017/8/9",,"○","○","○",
"56","岡田鍼灸マッサージ治療院","オカダシンキュウマッサージチリョウイン","岡田　八郎","34.344517","134.037108","香川県高松市扇町二丁目5-13","087-821-3110","1947/12/30","○","○","○",,
"57","岡野　孝博","オカノ　タカヒロ","岡野　孝博","34.322705","134.060276","香川県高松市松縄町50-6","070-1787-2226","2019/5/20",,"○","○",,
"58","岡はり灸マッサージ治療院","オカハリキュウマッサージチリョウイン","岡　熟","34.291276","134.073427","香川県高松市上林町85","087-889-3631","1999/3/10","○","○","○",,
"59","岡本鍼灸マッサージ治療院","オカモトシンキュウマッサージチリョウイン","岡本　裕","34.320488","134.049147","香川県高松市上之町二丁目9-30岡村ビル1F","087-866-2711","1985/5/27","○","○","○","○",
"60","岡本　吉史","オカモトヨシフミ","岡本　吉史","34.290768","134.029417","香川県高松市一宮町842-2","087-886-5977","2005/7/1",,"○","○",,"○"
"61","おはな鍼灸院","オハナシンキュウイン","西中　祐貴","34.289461","134.028090","香川県高松市一宮町781-8","087-899-7870","2020/3/15",,"○","○",,
"62","大比賀はりきゅうマッサージ治療院","オビカハリキュウマッサージチリョウイン","大比賀　節美","34.283350","134.026792","香川県高松市一宮町387-5","087-886-7576","1997/5/7","○","○","○",,
"63","オレンジ鍼灸接骨院","オレンジシンキュウセイタイイン","大森　鉄也","34.323589","134.104514","香川県高松市新田町甲1494-8","087-841-9095","2006/9/3","○","○","○","○",
"64","香川ウェルネスサービス","カガワウェルネスサービス","有）香川ウエルネスサービス","34.262060","134.021286","香川県高松市香川町大野1760-14","087-885-2666","2006/3/21","○",,,,
"65","柿の木レディースこども鍼灸院","カキノキレディースコドモシンキュウイン","エミーライフ株式会社","34.337206","134.138928","香川県高松市牟礼町牟礼300-9","090-4966-0371","2022/2/4","○","○","○",,
"66","笠井鍼灸治療院","カサイシンキュウチリョウイン","笠井　敏弘","34.314452","133.997757","香川県高松市飯田町34-72","087-882-5810","2014/9/9",,"○","○",,
"67","笠原　聡","カサハラ　サトシ","笠原　聡","34.281183","134.097171","香川県高松市小村町41-1　モルティMIC206","−−−−−","2005/1/25",,"○","○",,"○"
"68","桂田　忠雄","カツラタ　タダオ","桂田　忠雄","34.355627","133.981026","香川県高松市神在川窪町294-9","−−−−−","2004/11/26","○",,,,"○"
"69","兼島　正彦","カネシマ　マサヒコ","兼島　正彦",,,"香川県高松市川部町","070-3196-3758","2020/10/1","○",,,,"○"
"70","カノープス鍼灸治療院","カノープスシンキュウチリョウイン","(有)カノークス","34.344965","134.058288","香川県高松市井口町6-5　プチメゾン片原町805","090-1327-7631","2018/9/14","○","○","○",,
"71","釜野指圧治療院","カマノシアツチリョウイン","釜野　一男","34.282535","134.035598","香川県高松市寺井町34-7","087-889-0072","1989/12/10","○",,,,
"72","釜野物療院","カマノブツリョウイン","釜野　昇","34.283331","134.038009","香川県高松市仏生山町甲964-8","087-889-4323","1982/6/11","○","○","○",,
"73","かめだ鍼灸接骨院","カメダシンキュウセッコツイン","佐藤　郁子","34.281707","134.116623","香川県高松市亀田町54-8","087-847-3538","2002/10/28",,"○","○","○",
"74","からと治療院","カラトチリョウイン","佃　賢一","34.249188","134.034323","香川県高松市香川町浅野1303-44","087-879-6354","1983/4/11","○","○","○",,
"75","からだ元気治療院  高松南　綾川店","カラダゲンキチリョウイン  タカマツミナミ　アヤガワテン","MS　DataService合同会社","34.300247","133.960496","香川県高松市国分寺町新居1404-4","087-899-5028","1954/3/30","○","○","○",,
"76","川北鍼灸院","カワキタシンキュウイン","川北　博文","34.341305","134.118011","香川県高松市高松町2295-4","087-843-7273","1996/7/17","○","○","○","○",
"77","川田治療院","カワダチリョウイン","川田　紀一郎","34.284099","134.110060","香川県高松市亀田南町114-5","087-847-9376","1977/4/1","○","○","○",,
"78","川谷　利行","カワタニ　トシユキ","川谷　利行","34.345914","133.970375","香川県高松市中山町1305","087-882-0210","2012/4/17","○",,,,"○"
"79","河西針灸マッサージ治療院","カワニシハリキュウマッサージチリョウイン","河西　明美","34.281318","134.005045","香川県高松市円座町1714-4","087-885-2795","1992/11/8","○","○","○",,
"80","かわばた鍼灸マッサージ院","カワバタシンキュウマッサージイン","(株)アスリートステーション","34.347602","134.027975","香川県高松市西町1-3","087-887-0614","2010/10/14","○","○","○","○",
"81","川渕ハリ・マッサージ治療院","カワブチハリ・マッサージチリョウイン","川渕　正明","34.345409","134.028711","香川県高松市西宝町一丁目16-34","087-861-9887","2002/2/22","○","○","○",,
"82","神高鍼灸院","カミタカシンキュウイン","神高　敏伸","34.306050","133.990109","香川県高松市御厩町483-7","087-885-0035","2018/10/11",,"○","○",,
"83","きうち鍼灸院","キウチシンキュウイン","木内　裕太","34.294949","134.092518","香川県高松市下田井町239-15","090-5912-5269","2016/1/21",,"○","○",,
"84","菊池鍼灸指圧院","キクチシンキュウシアツイン","菊池　恒一郎","34.334439","134.051750","香川県高松市藤塚町二丁目8-14","087-861-3045","1985/6/14","○","○","○",,
"85","北谷治療院","キタタニチリョウイン","北谷　あき子","34.306527","134.051574","香川県高松市太田下町3005-14","087-867-7614","2009/11/1","○","○","○",,
"86","きたむら鍼灸接骨院","キタムラシンキュウセッコツイン","北村　幹","34.326923","134.070261","香川県高松市木太町1861-4","087-899-8758","2021/1/1",,"○","○","○",
"87","木村　雅代","キムラ　マサヨ","木村　雅代","34.335824","134.047989","香川県高松市中新町16-1-704","−−−−−","2003/10/25","○","○","○",,"○"
"88","きもり鍼灸治療院","キモリシンキュウチリョウイン","長尾　淳平","34.347229","134.018918","香川県高松市郷東町637-2","087-802-3909","2015/10/10","○","○","○",,
"89","きゅう鍼灸院","キュウシンキュウイン","野上  久一","34.278152","134.037450","香川県高松市仏生山町甲81-2","090-9559-7905","2008/6/3","　","○","○",,
"90","喜楽整骨院内河端皆気院","キラクセイコツインナイカワバタカイキイン","河端　重樹","34.346106","134.045586","香川県高松市磨屋町5-11磨屋町ビル1Ｆ（101）","087-851-3677","2020/3/2",,"○","○","○",
"91","くすの木・鍼灸治療院","クスノキシンキュウチリョウイン","津島　英範","34.330837","134.054953","香川県高松市楠上町一丁目9-32","087-880-2846","2015/10/27",,"○","○",,
"92","国重鍼灸院高松","クニシゲシンキュウインタカマツ","国重　佳宣","34.335457","134.043408","香川県高松市中野町3-21","087-862-6631","1996/4/3",,"○","○",,
"93","久保　晃信","クボ　アキノブ","久保　晃信","34.311263","134.057951","香川県高松市伏石町2102-1 ","0877-85-8512","2012/9/19","○","○","○",,"○"
"94","久保鍼灸院","クボシンキュウイン","久保　美雄","34.324684","134.078613","香川県高松市木太町3505-1","087-861-9112","2011/11/1",,"○","○","○",
"95","久保鍼灸接骨院","クボシンキュウセッコツイン","久保　仁志","34.340418","134.011499","香川県高松市鶴市町2019-3","087-813-0020","2009/7/10",,"○","○","○",
"96","公文指圧鍼灸院","クモンシアツシンキュウイン","公文　将士","34.338159","134.050799","香川県高松市常磐町二丁目3-24","090-3185-7021","2021/3/10","○","○","○",,
"97","黒川　愛（女性のみ受付）","クロカワ　アイ","黒川　愛","34.338159","134.050788","香川県高松市香南町岡793","087-879-2633","2014/10/1",,"○","○",,"○"
"98","栗　有咲","クリ　アリサ","栗　有咲",,,"香川県高松市国分寺町福家甲2694-7","080-6391-8483","2019/7/19",,,"○",,"○"
"99","ケアハウス治療室","ケアハウスチリョウシツ","宮武　功哲","34.332664","134.084954","香川県高松市木太町2858-16","087-837-0740","1996/2/13","○","○",,,
"100","ケアルーム・ユウ鍼灸治療室","ケアルーム・ユウシンキュウチリョウシツ","片岡　裕子","34.335701","134.073684","香川県高松市木太町2362-5","080-3929-9554","2007/7/25",,"○","○",,
"101","憩楽堂","ケイラクドウ","㈱伸正　藤川　国伸","34.337938","134.053426","香川県高松市塩上町一丁目7-5メイゾン岩沢第一ビル１F","087-837-6390","2013/1/1","○","○",,,
"102","ＫＥＩＲＯＷ訪問マッサージ高松上天神ステーション","ＫＥＩＲＯＷホウモンマッサージタカマツカミテンジンステーション","東原　大明","34.310356","134.036077","香川県高松市上天神町654-1　102号","087-813-6207","2014/11/7","○","○","○",,"○"
"103","健腹堂指圧治療院","ケンフクドウシアツチリョウイン","和田　学","34.348538","134.089141","香川県高松市屋島西町2492-32","087-841-3888","1988/5/2","○",,,,
"104","こうざいはり灸院","コウザイハリキュウイン","中村　直樹","34.350163","133.993437","香川県高松市香西北町79-10","087-882-2848","2007/11/1","○","○","○",,
"105","光命堂","コウメイドウ","多田　吉宏","34.339194","134.140447","香川県高松市牟礼町牟礼26-7","087-845-2558","2000/4/24","○","○","○",,
"106","こころ鍼灸サロン","ココロシンキュウサロン","新家　佳代","34.332950","134.090606","香川県高松市春日町1424ビューハイム小石101","090-7148-1659","2020/8/1",,"○","○",,
"107","小﨑整骨院(鍼灸)","コサキセイコツイン(シンキュウ)","小﨑　隆弘","34.337770","134.044379","香川県高松市中央町5-1","087-862-4428","2004/12/1",,"○","○","○",
"108","児島治療院","コジマチリョウイン","児島　幸男","34.299059","134.050895","香川県高松市多肥下町43-5","087-865-8940","1988/1/5","○",,,,
"109","こてつ鍼灸院","コテツシンキュウイン","斎藤　明次","34.290907","134.095560","香川県高松市下田井町449-11","087-887-1782","2017/1/26",,"○","○","○",
"110","ごとう鍼灸院","ゴトウシンキュウイン","午頭　稔二","34.291373","134.091006","香川県高松市下田井町372-1","090-8692-5818","2018/12/19",,"○","○",,
"111","近藤あんま指圧マッサージ治療院","コンドウアンマシアツマッサージチリョウイン","近藤　光子","34.291237","134.065315","香川県高松市上林町528-2","087-889-8077","2012/7/2","○",,,,
"112","コンフォートマッサージ","コンフォートマッサージ","水谷　哲治","34.300929","134.059825","香川県高松市多肥下町1552-8","087-815-1288","2004/4/1","○","○","○",,
"113","佐伯鍼灸院","サエキシンキュウイン","佐伯　省三","34.327107","134.046078","香川県高松市栗林町一丁目15-36","087-831-4376","1979/9/26",,"○","○",,
"114","堺指圧鍼灸治療院","サカイシアツシンキュウチリョウイン","堺　稔","34.334934","134.054065","香川県高松市藤塚町三丁目6-14","087-861-2395","1989/5/19","○","○","○",,
"115","さきなか鍼灸院","サキナカシンキュウイン","崎中　英伸","34.320702","134.065183","香川県高松市松縄町1058-4","087-868-7334","1998/6/30",,"○","○",,
"116","さくら鍼灸院","サクラシンキュウイン",,,,"香川県高松市","090-9288-4605","2023/1/9",,"○","○",,
"117","佐々木鍼灸院","ササキシンキュウイン","佐々木　勝哉","34.344264","134.069649","香川県高松市福岡町三丁目24-7","087-821-6041","2022/1/1","○","○","○","○",
"118","ささき治療院マッサージはりきゅう","ササキチリョウインマッサージハリキュウ","佐々木　輝","34.341161","134.109744","香川県高松市屋島東町1647-1","080-7015-0190","2015/10/1","○","○","○",,
"119","佐藤　勇","サトウ　イサム","佐藤　勇","34.304844","134.034195","香川県高松市田村町1179","087-867-6978","1996/7/8","○",,,,"○"
"120","佐藤　克久","サトウ　カツヒサ","佐藤　克久","34.281725","134.116645","香川県高松市亀田町54-8","090-9557-3376","2021/2/22",,"○","○",,"○"
"121","都楽鍼灸院","ミヤコラクシンキュウイン","栗尾　都","34.349966","134.018324","香川県高松市郷東町587-222 1階","080-9705-0345","2023/5/10","○","○","○",,
"122","三条物療院","サンジョウブツリョウイン","濱垣　敏雄","34.317713","134.045103","香川県高松市三条町548-8","087-865-9784","1984/7/10","○","○","○",,
"123","サンテ栗林事業所マッサージ治療院","サンテリツリンジギョウショマッサージチリョウイン","(株)Ｓａｎｔｅ","34.332887","134.047127","香川県高松市栗林町一丁目1-12ロワイヤル栗林公園602","0120-753-854","2012/3/1","○","○","○",,
"124","指圧黒田治療院","シアツクロダチリョウイン","黒田　協伯","34.314946","134.082049","香川県高松市元山町1255-9","087-865-3631","1985/4/6","○",,,,
"125","指圧はりきゅう増田治療院","シアツハリキュウマスダチリョウイン","増田　一誠","34.335134","134.049505","香川県高松市藤塚町一丁目6-5","087-831-7070","1989/1/5","○","○","○",,
"126","指圧マッサージ佐藤治療院","シアツマッサージサトウチリョウイン","佐藤　國恵","34.276661","133.994608","香川県高松市西山崎町698","087-886-2227","1985/4/11","○",,,,
"127","紫雲町あんま・はり・きゅう院","シウンチョウアンマハリキュウイン","赤川　博邦","34.342067","134.033410","香川県高松市紫雲町2-17　崎山ビル301","090-2824-9317","2016/11/1","○","○","○",,
"128","鹿谷　佳代","シカタニ　カヨ","鹿谷　佳代","34.344901","134.038877","香川県高松市扇町二丁目2-2","090-7148-1659","2011/11/20",,"○","○",,"○"
"129","しこくmini鍼灸サロン","シコクminiシンキュウサロン","野口　和子","34.312987","134.106401","香川県高松市新田町甲1951-1","090-7624-0763","2022/7/20",,"○","○",,
"130","七條鍼灸院","シチジョウシンキュウイン","七條　純治","34.282929","134.023713","香川県高松市一宮町450-17","087-886-2340","2018/10/25","○","○","○","○",
"131","しまず治療院","シマズチリョウイン","島津　貞喜","34.341275","134.112991","香川県高松市高松町2412-10","087-843-1560","2004/12/24","○","○","○",,
"132","しみず鍼灸院","シミズシンキュウイン","清水　啓吾","34.310981","134.047492","香川県高松市太田下町2501-1","087-80２-7302","2017/6/13",,"○","○","○",
"133","寿晃整骨院","ジュコウセイコツイン","森本　大志","34.335062","134.071198","香川県高松市木太町2193-13","087-861-8835","2012/3/14",,"○","○","○",
"134","女性専門鍼灸治療Shiomi","ジョセイセンモンシンキュウチリョウShiomi","入船　汐美","34.355478","134.355504","香川県高松市生島町396-10","087-882-3552","2012/10/1","○","○","○",,
"135","白井鍼灸院","シライシンキュウイン","白井　正通","34.347243","134.046925","香川県高松市西内町10-12","087-821-9455","1984/1/20",,"○","○",,
"136","新池　憲和","シンイケ　ノリカズ","新池　憲和","34.352087","133.989860","香川県高松市香西西町345-5","080-5660-0176","2024/3/15",,"○","○",,
"137","鍼灸院チハルノ","シンキュウインチハルノ","山田　千春","34.300215","134.046714","香川県高松市太田上町780-4MINORU21 203号","080-6287-2424","2017/7/1",,"○","○",,
"138","鍼灸院　Lune","シンキュウインLune","橋本　純","34.355662","134.091691","香川県高松市屋島西町738-1","080-9572-5020","2020/3/10",,"○","○",,
"139","鍼灸院　楪　ゆずりは","シンキュウイン　ユズリハ","加藤　淑美","34.297899","134.065231","香川県高松市林町778-7","080-5828-0058","2024/7/29","○","○","○",,
"140","鍼灸指圧マッサージHitomi治療院","シンキュウシアツマッサージHitomiチリョウイン","増野　仁美","34.287786","134.111857","香川県高松市亀田町386-20","087-847-3610","2009/10/20","○","○","○",,
"141","鍼灸サロンRevive","シンキュウサロンRevive","株式会社EARCS 代表取締役 中川郁也","34.320687","134.063098","香川県高松市松縄町1053-21 サンライフレインボーロードビル２階Ｆ号","087-899-8330","2023/7/12",,"○","○",,
"142","鍼灸サロン・和","シンキュウサロンヤワラ","井手山　敬明","34.300004","134.080600","香川県高松市六条町864","087-814-7530","2023/9/15","○","○","○",,
"143","鍼灸整骨院なごみ堂","シンキュウセイコツインナゴミドウ","インプレッション（株）（代）小島雄二","34.291221","134.041244","香川県高松市仏生山町甲806-2","087-813-8304","2012/7/23",,"○","○","○",
"144","鍼灸整骨院なごみ堂元山店","シンキュウセイコツインナゴミドウモトヤマテン","インプレッション（株）（代）小島雄二","34.320147","134.083473","香川県高松市元山町1192-1","087-899-7855","2014/5/20",,"○","○","○",
"145","鍼灸治療院あんしん堂","シンキュウチリョウインアンシンドウ","西川　省一","34.305730","133.967562","香川県高松市国分寺町新居469-13","087-875-0235","2013/6/10","○","○","○",,
"146","鍼灸治療院　簡松堂","シンキュウチリョウインカンマツドウ","松木　宣嘉","34.339613","134.048237","香川県高松市亀井町10-8　梅林ビル1Ｆ","080-2978-2833","2015/8/20","○","○","○",,
"147","鍼灸マッサージ池木治療院","シンキュウマッサージイケギチリョウイン","池木　修","34.342805","134.032569","香川県高松市昭和町一丁目14-23","087-861-5995","1960/4/5","○","○","○",,
"148","鍼・灸マッサージ　宮伯堂","シンキュウマッサージミヤハクドウ","二宮　友模","34.337506","134.048404","香川県高松市田町3-22　円尾ビル１階西","087-862-0491","2016/11/13","○","○","○",,
"149","スーパー銭湯あかね温泉治療院","スーパーセントウアカネオンセンチリョウイン","遠藤　正男","34.350780","134.023628","香川県高松市茜町28-43","087-833-0268","2000/6/1","○",,,,
"150","杉あん摩マッサージ施術所","スギアンママッサージセジュツショ","井尻　千恵子","34.347521","134.055365","香川県高松市鶴屋町2-1ファーストイン高松内","087-822-1919","1990/7/14","○",,,,
"151","すこやか鍼灸整骨院","スコヤカシンキュウセイコツイン","木村　靖","34.350684","134.088771","香川県高松市屋島西町2484-18 ウエストコーストヤシマB-106","087-843-6201","2007/11/26","○","○","○","○",
"152","すずらん鍼灸整骨院","スズランシンキュウセイコツイン","岩崎　洋己","34.348716","134.010709","香川県高松市郷東町470-1","087-880-5677","2019/2/19",,"○","○",,
"153","砂川鍼灸接骨院","スナガワシンキュウセッコツイン","砂川　孝洋","34.334945","134.073335","香川県高松市木太町2343","087-837-8750","1988/6/6",,"○","○","○",
"154","住田　武司","スミダ　タケシ","住田　武司","34.319733","134.023347","香川県高松市西春日町1407県住4-204","−−−−−","2002/4/18","○",,,,"○"
"155","せいあい　鍼灸あんま治療院","セイアイ　シンキュウアンマチリョウイン","株式会社Cresia 代表取締役 村上雄那",,,"香川県高松市香西北町","050-3442-5470","2024/2/20","○","○","○",,
"156","せきれい訪問マッサージ","セキレイホウモンマッサージ",,"34.313040","134.048652","香川県高松市三条町207番地8","087-880-8168","2021/7/1","○","○","○",,
"157","瀬戸大橋長生館　高松店","セトオオハシチョウセイカン　タカマツテン","富岡　拓也","34.340795","134.052293","香川県高松市瓦町1-13-9　1Ｆ","080-4343-9249","2024/4/10","○",,,,
"158","瀬谷鍼灸院","セヤシンキュウイン","瀬谷　浩生","34.347884","134.089144","香川県高松市屋島西町2492-27","087-841-8711","2009/4/22",,"○","○",,
"159","接骨院navi","セッコツインnavi","石井　尚登","34.311429","134.044350","香川県高松市三条町108-1柴田ビル105","087-887-5467","2013/6/1",,"○","○","○",
"160","爽健美","ソウケンビ","横内　慶一","34.337610","134.054705","香川県高松市塩上町2丁目17-20","087-880-9500","2019/6/1",,"○","○",,
"161","そよかぜ接骨院","ソヨカゼセッコツイン","松川　佳央","34.330674","134.061512","香川県高松市上福岡町2007-10-103","087-837-1260","2022/4/19",,"○","○",,"○"
