"施設名称１","施設名称２","施設名称かな","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","営業者名","営業者名かな","業種","業態","許可番号","初回許可年月日","許可開始日","許可終了日"
"香川高等専門学校高松キャンパス","福利厚生施設「自彊会館」食堂","カガワコウトウセンモンガッコウタカマツキャンパス　フクリコウセイシセツジキョウカイカンショクドウ","761-8058","高松市勅使町３５５",,,"株式会社ホーユー","ホーユー","飲食店営業","給食","第10106-1310010号","H31.04.03","H31.04.03","R07.05.31"
"香川高等専門学校高松キャンパス","学生寮　食堂","カガワコウトウセンモンガッコウタカマツキャンパス　ガクセイリョウショクドウ","761-8058","高松市勅使町３５５",,,"株式会社ホーユー","ホーユー","飲食店営業","給食","第10106-1310011号","H31.04.03","H31.04.03","R07.05.31"
"カフェ　まりも",,"カフェ　マリモ","761-0113","高松市屋島西町２４４４−９６",,,"岡坂　将大","オカサカ　マサヒロ","飲食店営業","喫茶","第10105-1310293号","R01.06.03","R01.06.03","R06.08.31"
"鉄板お好み焼　はなちゃん",,"ハナチャン","761-0104","高松市高松町２５７７−１１",,"087-802-8889  ","大瀬戸　潤一郎","オオセド　ジュンイチロウ","飲食店営業","その他","第10404-1310175号","H31.04.26","H31.04.26","R07.05.31"
"ワンス酒場",,"ワンスサカバ","760-0054","高松市常磐町１−６−１５","タマヤビル１階",,"十河　徳行","ソゴウ　ノリユキ","飲食店営業","居酒屋・焼肉","第10107-1310335号","R01.06.17","R01.06.17","R06.08.31"
"生活協同組合コープかがわ","生産センター","コープカガワ　セイサンセンター","761-8031","高松市郷東町７９６−１８９",,"087-870-5516  ","生活協同組合コープかがわ","コープカガワ","魚介類販売業","魚介類","第20601-1181193号","H19.03.26","R01.06.01","R07.05.31"
"Ｄｏやまびこ西ハゼ事業所",,"ドゥヤマビコニシハセジギョウショ","761-8053","高松市西ハゼ町１６３−１",,"087-814-4757  ","社会福祉法人やまびこ会","ヤマビコカイ","飲食店営業","弁当","第10203-1250102号","H25.04.25","R01.06.01","R07.05.31"
"Ｄｏやまびこ西ハゼ事業所",,"ドゥヤマビコニシハセジギョウショ","761-8053","高松市西ハゼ町１６３−１",,"087-814-4757  ","社会福祉法人やまびこ会","ヤマビコカイ","麺類製造業","めん","第22701-1250103号","H25.04.25","R01.06.01","R07.05.31"
"介護老人保健施設　まゆみの里",,"カイゴロウジンホケンシセツ　マユミノサト","760-0080","高松市木太町２６９１−１",,"087-862-4668  ","株式会社栄嘉食品","エイカショクヒン","飲食店営業","給食","第10106-1181216号","H19.03.30","R01.06.01","R07.05.31"
"Ｓｅｋａｒ　Ｒａｔｎａ",,"スカル　ラトナ","761-1703","高松市香川町浅野１２２４−７",,"087-814-7517  ","森山　実鈴","モリヤマ　ミスズ","飲食店営業","喫茶","第10105-1310336号","R01.06.18","R01.06.18","R06.08.31"
"牛たん屋　ＢＥＲＯ",,"ギュウタンヤベロ","760-0043","高松市今新町８−１７","今新町秋元ビル１階","087-813-1877  ","野嶌　英樹","ノジマ　ヒデキ","飲食店営業","居酒屋・焼肉","第10107-1310295号","R01.06.03","R01.06.03","R06.08.31"
"株式会社　八栗",,"ヤクリ","761-0101","高松市春日町１６３８−１",,"087-814-3871  ","株式会社八栗","ヤクリ","魚介類販売業","魚介類","第20601-1250158号","H25.05.07","R01.06.01","R07.05.31"
"株式会社　八栗",,"ヤクリ","761-0101","高松市春日町１６３８−１",,"087-814-3871  ","株式会社八栗","ヤクリ","食品の冷凍又は冷蔵業","冷凍冷蔵","第20901-1250159号","H25.05.07","R01.06.01","R07.05.31"
"株式会社　八栗",,"ヤクリ","761-0101","高松市春日町１６３８−１",,"087-814-3871  ","株式会社八栗","ヤクリ","そうざい製造業","そうざい","第22800-1250160号","H25.05.07","R01.06.01","R07.05.31"
"Ｎｏｍａｄ",,"ノマド","760-0052","高松市瓦町１−１１−１７","クイーンズスクエア２　２階","087-808-8870  ","國井　類","クニイ　ルイ","飲食店営業","飲み屋","第10401-1310326号","R01.06.14","R01.06.14","R06.08.31"
"ｃｏｖａｃｏ",,"コバコ","760-0079","高松市松縄町１０５１−２１",,"              ","株式会社リム","リム","飲食店営業","一般","第10101-1310323号","R01.06.12","R01.06.12","R06.08.31"
"スナック　川西",,"スナック　カワニシ","760-0045","高松市古馬場町１４−２","サクセスビル１階　１０４","087-802-5862  ","川西　功樹","カワニシ　コウキ","飲食店営業","飲み屋","第10401-1310296号","R01.06.03","R01.06.03","R06.08.31"
"焼鳥酒場　一番鳥",,"ヤキトリサカバ　イチバンドリ","760-0071","高松市藤塚町２−８−１７",,,"吉崎　弘美","ヨシザキ　ヒロミ","飲食店営業","居酒屋・焼肉","第10107-1310357号","R01.06.25","R01.06.25","R06.08.31"
"総菜茶寮　お飯",,"ソウザイサリョウ　オママ","760-0012","高松市瀬戸内町３−２１",,"087-851-3221  ","西尾　悦子","ニシオ　エツコ","飲食店営業","一般","第10101-1310307号","R01.06.07","R01.06.07","R06.08.31"
"炭火極味焼肉　英",,"スミビキワミヤキニク　ハナフサ","761-8072","高松市三条町７２−７",,"087-899-7929  ","杉田　英一","スギタ　エイイチ","飲食店営業","居酒屋・焼肉","第10107-1310660号","R01.08.20","R01.08.20","R06.08.31"
"Ｐａｌｍｓ",,"パームス","760-0052","高松市瓦町２−９−７","柳ビル２階","087-862-3444  ","寺井　健吾","テライ　ケンゴ","飲食店営業","飲み屋","第10401-1310308号","R01.06.07","R01.06.07","R06.08.31"
"からあげ食堂＆ピンキーズＭＯＭＯ",,"カラアゲショクドウピンキーズモモ","760-0017","高松市番町２−４−１１","Ｍ’Ｓビル１階","087-813-0148  ","株式会社ユーワンプラニング","ユーワンプラニング","飲食店営業","一般","第10101-1310310号","R01.06.10","R01.06.10","R06.08.31"
"からあげ食堂＆ピンキーズＭＯＭＯ",,"カラアゲショクドウピンキーズモモ","760-0017","高松市番町２−４−１１","Ｍ’Ｓビル１階","087-813-0148  ","株式会社ユーワンプラニング","ユーワンプラニング","菓子製造業","菓子","第20101-1310311号","R01.06.10","R01.06.10","R06.08.31"
"からあげ食堂＆ピンキーズＭＯＭＯ",,"カラアゲショクドウピンキーズモモ","760-0017","高松市番町２−４−１１","Ｍ’Ｓビル１階","087-813-0148  ","株式会社ユーワンプラニング","ユーワンプラニング","アイスクリーム類製造業","ソフトクリーム","第21302-1310312号","R01.06.10","R01.06.10","R06.08.31"
"春夏冬",,"アキナイ","        ","高松市一円",,,"矢野　真澄","ヤノ　マスミ","飲食店営業","露店：仮設","第10407-1310309号","R01.06.10","R01.06.10","R06.08.31"
"ＫＵＲＯＦＵＮＥ",,"クロフネ","760-0045","高松市古馬場町８−２０","松原ビル２階","087-826-0052  ","株式会社ＨＩＬＩＦＥ","ハイライフ","飲食店営業","飲み屋","第10401-1310313号","R01.06.10","R01.06.10","R06.08.31"
"オーテの店　のりこ",,"オーテノミセ　ノリコ","760-0092","高松市女木町３８",,,"外村　カズ子","ソトムラ　カズコ","飲食店営業","喫茶","第10105-1310417号","R01.07.09","R01.07.09","R06.08.31"
"髙月堂　２２１",,"コウゲツドウ","761-8072","高松市三条町２６−３",,,"筒井　典子","ツツイ　ノリコ","アイスクリーム類製造業","アイスクリーム","第21301-1310327号","R01.06.14","R01.06.14","R06.08.31"
"ＣＯＲＳＩＣＡ　ＣＯＦＦＥＥ　ＤＥＶＥＬＯＰＭＥＮＴ",,"コルシカ　コーヒー　デベロップメント","760-0007","高松市中央町１８−９","野中ビル１階",,"吉村　誠","ヨシムラ　マコト","飲食店営業","喫茶","第10105-1310334号","R01.06.17","R01.06.17","R06.08.31"
"古民家バー「喜甘坊」",,"キカンボウ","760-0045","高松市古馬場町６−９","１階","087-821-3770  ","菊池　和子","キクチ　カズコ","飲食店営業","飲み屋","第10401-1310325号","R01.06.14","R01.06.14","R06.08.31"
"喫茶のぞみ",,"ノゾミ","761-0445","高松市西植田町１００３−２",,,"高重　悟","タカシゲ　サトル","飲食店営業","喫茶","第10105-1310371号","R01.06.27","R01.06.27","R06.08.31"
"ローソン","高松西山崎町店","ローソン　タカマツニシヤマサキチョウテン","761-8045","高松市西山崎町２９９",,"087-814-6607  ","株式会社四代目松本商店","ヨンダイメマツモトショウテン","飲食店営業","その他","第10404-1310358号","R01.06.26","R01.06.26","R06.08.31"
"珈琲所コメダ珈琲店","讃岐こくぶんじ店","コーヒードコロコメダコーヒーテン　サヌキコクブンジテン","769-0104","高松市国分寺町新名５８１−１",,"087-802-7295  ","株式会社メルクケア","メルクケア","飲食店営業","喫茶","第10105-1310351号","R01.06.21","R01.06.21","R06.08.31"
"ＲＯＳＥ",,"ローズ","760-0045","高松市古馬場町１４−８","松岡第２ビル２階北","087-899-2662  ","三好　さおり","ミヨシ　サオリ","飲食店営業","飲み屋","第10401-1310344号","R01.06.20","R01.06.20","R06.08.31"
"ＳＯＬＡ　Ｒｅ",,"ソラ　リ","760-0045","高松市古馬場町１４−１","川西ビル２階",,"三好　さおり","ミヨシ　サオリ","飲食店営業","飲み屋","第10401-1310345号","R01.06.20","R01.06.20","R06.08.31"
"シレーナ",,"シレーナ","760-0044","高松市御坊町９−２","久米ビル２階","087-802-2776  ","森本　夏生","モリモト　ナツキ","飲食店営業","飲み屋","第10401-1310367号","R01.06.25","R01.06.25","R06.08.31"
"宙帆のテラス（ｓｏｒａ　ｆｕｎｅ　ｔｅｒｒａｃｅ）","ショップ＆スローカフェ","ソラフネノテラス　ショップアンドスローカフェ","760-0073","高松市栗林町１−１２−１　２階",,"087-813-3037  ","宙ｓｏｒａ株式会社","ソラ","飲食店営業","一般","第10101-1310374号","R01.06.28","R01.06.28","R06.08.31"
"宙帆のテラス（ｓｏｒａ　ｆｕｎｅ　ｔｅｒｒａｃｅ）","ショップ＆スローカフェ","ソラフネノテラス　ショップアンドスローカフェ","760-0073","高松市栗林町１−１２−１　２階",,"087-813-3037  ","宙ｓｏｒａ株式会社","ソラ","菓子製造業","菓子","第20101-1310375号","R01.06.28","R01.06.28","R06.08.31"
"京風もつ鍋と焼肉　てまへみそ",,"テマヘミソ","761-8056","高松市上天神町２８３−１",,"087-813-8829  ","株式会社さぬき","サヌキ","飲食店営業","居酒屋・焼肉","第10107-1310402号","R01.07.05","R01.07.05","R06.08.31"
"ＴＥＭＰＵＫＵ　Ｓｅｃｏｎｄ",,"テンプク　セカンド","761-8044","高松市円座町６３５−５",,,"蘆原　佐也加","アシハラ　サヤカ","飲食店営業","一般","第10101-1310368号","R01.06.27","R01.06.27","R06.08.31"
"麻雀にこにこ",,"ニコニコ","761-1702","高松市香川町寺井５９１−５","１階",,"植村　正信","ウエムラ　マサノブ","飲食店営業","喫茶","第10105-1310408号","R01.07.08","R01.07.08","R06.08.31"
"Ｄｉｏ",,"ディオ","760-0045","高松市古馬場町９−２６","Ｆビル５階Ｃ号室","087-823-0588  ","賈　小璐","ジャ　ショウル","飲食店営業","飲み屋","第10401-1310410号","R01.07.08","R01.07.08","R06.08.31"
"Ｃａｆｅ　Ｒｅｆｕｈ",,"リフー","761-0301","高松市林町６−２５",,"087-867-6841  ","高陽ホームテクノ株式会社","コウヨウホームテクノ","飲食店営業","喫茶","第10105-1310431号","R01.07.11","R01.07.11","R06.08.31"
"ＴＯＲＩＢＡＣＯ　５１４",,"トリバコ　ゴーイチヨン","760-0021","高松市西の丸町２−２３","ホテルエリアワン高松Ⅰ","087-802-4514  ","中村　陽介","ナカムラ　ヨウスケ","飲食店営業","飲み屋","第10401-1310414号","R01.07.09","R01.07.09","R06.08.31"
"オレたちひょうきん族",,"オレタチヒョウキンゾク","761-0311","高松市元山町１１５４−８",,,"市川　由香","イチカワ　ユカ","飲食店営業","飲み屋","第10401-1310394号","R01.07.05","R01.07.05","R06.08.31"
"Ｒａｃｈｅｌ",,"ラシェル","760-0045","高松市古馬場町９−１７","ミディセラビ５階Ｃ号","087-813-2757  ","髙橋　千晶","タカハシ　チアキ","飲食店営業","飲み屋","第10401-1310561号","R01.07.30","R01.07.30","R06.08.31"
"Ｄｏｇ　ｒｅｓｏｒｔ　Ｏｎｅ’ｓ　ｃｌｕｂ",,"ドッグリゾートワンズクラブ","761-0302","高松市上林町８０５−１",,"              ","株式会社アペックス西日本","アペックスニシニホン","喫茶店営業","自販","第21108-1310484号","R01.07.12","R01.07.12","R06.08.31"
"串焼き　はるちゃん",,"ハルチャン","760-0052","高松市瓦町２−１−１７",,"087-833-1933  ","中村　千春","ナカムラ　チハル","飲食店営業","居酒屋・焼肉","第10107-1310429号","R01.07.11","R01.07.11","R06.08.31"
"ＦＩＴ３６５","イオンモール高松","フィットサンロクゴ　イオンモールタカマツ","761-8012","高松市香西本町１−１","イオンモール高松３階","              ","株式会社ヤマウチ","ヤマウチ","喫茶店営業","自販","第21108-1310535号","R01.07.23","R01.07.23","R06.08.31"
"ファミリーマート","高松丸亀町店","ファミリーマートタカマツマルガメマチテン","760-0029","高松市丸亀町６−７",,"087-811-7020  ","合資会社テイクユウカンパニー","テイクユウカンパニー","飲食店営業","その他","第10404-1310602号","R01.08.08","R01.08.08","R06.08.31"
"ファミリーマート","高松丸亀町店","ファミリーマートタカマツマルガメマチテン","760-0029","高松市丸亀町６−７",,"087-811-7020  ","合資会社テイクユウカンパニー","テイクユウカンパニー","菓子製造業","パン","第20102-1310603号","R01.08.08","R01.08.08","R06.08.31"
"ｉｔｏ",,"イト","760-0050","高松市亀井町３−３","谷原ビル１階","087-831-2577  ","上岡　巧尚","ウエオカ　ヨシタカ","菓子製造業","菓子","第20101-1310505号","R01.07.17","R01.07.17","R06.08.31"
"こもぶちファミリー農園",,"コモブチファミリーノウエン","761-0111","高松市屋島東町１０４６−６",,,"植松　郁代","ウエマツ　イクヨ","菓子製造業","菓子","第20101-1310516号","R01.07.18","R01.07.18","R06.08.31"
"ＣＯＣＯ　ＧＡＲＤＥＮ",,"ココガーデン","        ","高松市一円",,,"日下　佳祐","クサカ　ケイスケ","飲食店営業","露店：仮設","第10407-1310493号","R01.07.16","R01.07.16","R06.08.31"
"有限会社北京",,"ペキン","760-0040","高松市片原町２−８",,"087-822-2141  ","有限会社北京","ペキン","菓子製造業","菓子","第20101-1310513号","R01.07.18","R01.07.18","R07.08.31"
"明神そば",,"ミョウジンソバ","761-8044","高松市円座町５５６−１",,"087-885-4663  ","中野　貴宏","ナカノ　タカヒロ","飲食店営業","めん","第10104-1210527号","H21.08.20","R01.09.01","R06.08.31"
"さか枝うどん","本店","サカエダウドン　ホンテン","760-0017","高松市番町５−２−２３",,"087-834-6291  ","株式会社オフィスサン","オフィスサン","麺類製造業","めん","第22701-1310563号","R01.08.03","R01.08.03","R06.08.31"
"さか枝うどん","本店","サカエダウドン　ホンテン","760-0017","高松市番町５−２−２３",,"087-834-6291  ","株式会社オフィスサン","オフィスサン","飲食店営業","めん","第10104-1310564号","R01.08.03","R01.08.03","R06.08.31"
"若屋製菓",,"ワカヤセイカ","761-8026","高松市鬼無町鬼無２６１",,"              ","成行　洋子","ナリユキ　ヨウコ","飲食店営業","一般","第10101-1310600号","R01.08.07","R01.08.07","R06.08.31"
"若屋製菓",,"ワカヤセイカ","761-8026","高松市鬼無町鬼無２６１",,"              ","成行　洋子","ナリユキ　ヨウコ","菓子製造業","菓子","第20101-1310601号","R01.08.07","R01.08.07","R06.08.31"
"ゲストハウス　里海村",,"ゲストハウス　サトウミムラ","760-0092","高松市女木町４１",,,"日高　良和","ヒダカ　ヨシカズ","アイスクリーム類製造業","ソフトクリーム","第21302-1310540号","R01.07.24","R01.07.24","R06.08.31"
"おやつ茶屋かっじょ",,"カッジョ","760-0036","高松市城東町１−６−２７",,,"株式会社コモン","コモン","飲食店営業","喫茶","第10105-1310767号","R01.09.12","R01.09.12","R06.11.30"
"ｔｉａ　ティア",,"ティア","760-0045","高松市古馬場町６−６","大下ビル１階",,"駒山　さおり","コマヤマ　サオリ","飲食店営業","飲み屋","第10401-1310556号","R01.08.01","R01.08.01","R06.08.31"
"季聞屋",,"キブンヤ","        ","高松市一円",,"0877-89-0620  ","篠原　俊浩","シノハラ　トシヒロ","飲食店営業","車","第10410-1310555号","R01.07.29","R01.07.29","R06.08.31"
"ＭＯＲＥ",,"モア","760-0045","高松市古馬場町９−２６","フタミビル３階Ｃ号室",,"西山　洋平","ニシヤマ　ヨウヘイ","飲食店営業","飲み屋","第10401-1310567号","R01.07.31","R01.07.31","R06.08.31"
"株式会社デンソーソリューション","四国支社","デンソーソリューション　シコクシシャ","760-0065","高松市朝日町３−６−３",,"087-821-9750  ","株式会社アペックス西日本","アペックスニシニホン","喫茶店営業","自販","第21108-1310577号","R01.08.02","R01.08.02","R06.08.31"
"有限会社　藤田水産",,"フジタスイサン","        ","高松市一円",,,"有限会社藤田水産","フジタスイサン","飲食店営業","露店：仮設","第10407-1310565号","R01.07.31","R01.07.31","R06.08.31"
"チャイナ長江","柳迫店","チョウコウ　ヤナギサコテン","761-8012","高松市香西本町１００−３",,"087-832-8355  ","柳迫　勉","ヤナギザコ　ツトム","飲食店営業","一般","第10101-0050129号","H11.07.21","R01.09.01","R06.08.31"
"ＭＩＬＥ−ＨＩＧＨ",,"マイルハイ","760-0073","高松市栗林町３−４−５",,"087-837-9898  ","木村　英明","キムラ　ヒデアキ","飲食店営業","喫茶","第10105-1310584号","R01.08.05","R01.08.05","R06.08.31"
"ヨロコビ　たかまつふれあいの店",,"ヨロコビ　タカマツフレアイノミセ","760-0017","高松市番町１−８−１５","高松市役所１階","087-839-2011  ","特定非営利活動法人香川県社会就労センター協議会","カガワケンシャカイシュウロウセンターキョウギカイ","飲食店営業","喫茶","第10105-1260565号","H26.08.01","R01.09.01","R06.08.31"
"手打うどん　　はりや",,"ハリヤ","761-8031","高松市郷東町５８７−１７４",,"087-882-3301  ","針谷　智久","ハリヤ　トモヒサ","飲食店営業","めん","第10104-0044357号","H09.08.05","R01.09.01","R06.08.31"
"てらい",,"テライ","761-8015","高松市香西西町１９０−１４",,"087-881-2504  ","有限会社てらい","テライ","飲食店営業","仕出","第10202-0010496号","S57.06.17","R01.09.01","R06.08.31"
"よって屋",,"ヨッテヤ","760-0045","高松市古馬場町７−１６","廣瀬ビル１階","087-822-8250  ","松浦　良之","マツウラ　ヨシユキ","飲食店営業","めん","第10104-1210284号","H21.06.22","R01.09.01","R06.08.31"
"ローソン","高松兵庫町","ローソン　タカマツヒョウゴマチ","760-0024","高松市兵庫町９−１",,"087-821-4316  ","有限会社喜多商事","キタショウジ","飲食店営業","その他","第10404-0054792号","H16.06.25","R01.09.01","R06.08.31"
"ＭＯＯＳＥ",,"ムース","761-0311","高松市元山町１１９２−３",,"087-802-9098  ","綾　正洋","アヤ　マサヒロ","飲食店営業","一般","第10101-1260673号","H26.08.26","R01.09.01","R06.08.31"
"農家のパン工房",,"ノウカノパンコウボウ","769-0101","高松市国分寺町新居２８８１",,"087-874-1430  ","佐々木　ともえ","ササキ　トモエ","菓子製造業","パン","第20102-0057366号","H11.08.16","R01.09.01","R06.08.31"
"庵治漁協活き活き日曜市",,"アジギョキョウイキイキニチヨウイチ","761-0130","高松市庵治町６３９３−９",,"087-871-1720  ","庵治漁業協同組合","アジギョギョウキョウドウクミアイ","飲食店営業","おかず","第10403-0056602号","H11.06.11","R01.09.01","R06.08.31"
"庵治漁協活き活き日曜市",,"アジギョキョウイキイキニチヨウイチ","761-0130","高松市庵治町６３９３−９",,"087-871-1720  ","庵治漁業協同組合","アジギョギョウキョウドウクミアイ","魚介類販売業","魚介類","第20601-0056623号","H11.06.11","R01.09.01","R06.08.31"
"庵治漁協活き活き日曜市",,"アジギョキョウイキイキニチヨウイチ","761-0130","高松市庵治町６３９３−９",,"087-871-1720  ","庵治漁業協同組合","アジギョギョウキョウドウクミアイ","そうざい製造業","そうざい","第22800-0056662号","H11.06.11","R01.09.01","R06.08.31"
"Ｓｎａｃｋ　稲垣",,"スナックイナガキ","760-0045","高松市古馬場町８−１","ヘンミビル２０４","087-813-3320  ","東原　恵理子","ヒガシハラ　エリコ","飲食店営業","飲み屋","第10401-1260247号","H26.06.02","R01.09.01","R06.08.31"
