"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","施設電話番号","申請者名","申請者役職名","申請者代表者名","申請者都道府県名称","申請者住所１","申請者住所２","許可番号","許可日","営業の種別"
"公衆浴場業","仏生山温泉　天平湯","761-8079","高松市仏生山町乙１１４−５",,"087-889-7750","有限会社観翠旅館","代表取締役","岡　昇平","香川県","高松市仏生山町乙１１０番地２",,"第11032号","H17.11.22","その他の公衆浴場"
"公衆浴場業","ザ・ココナツウエルネスクラブ高松","761-0301","高松市林町２０１８−１",,"087-868-7756","株式会社南海スポーツ企画","代表取締役","岩崎　吉典","愛媛県","松山市古三津六丁目５番２３号",,"第11042号","H18.03.23","その他の公衆浴場"
"公衆浴場業","一郎の湯（ハイ・フォロー・高松東）","761-0103","高松市新田町乙８番地","１F","087-818-0778","株式会社Ｔ・Ｐ","代表取締役","寺河　駿","香川県","高松市新田町乙８番地",,"第11045号","H18.05.23","その他の公衆浴場"
"公衆浴場業","ジョイフィット２４ 高松","761-8056","高松市上天神町５１０−１",,"087-867-3636","株式会社ヤマウチ","代表取締役","岡本　将","香川県","高松市田村町３９７番地",,"第11047号","H18.08.14","その他の公衆浴場"
"公衆浴場業","ゴールデンタイム高松／瓦町ぎおん温泉","760-0052","高松市瓦町２−１−７",,"087-897-3177","株式会社ワイ・ワイ・カンパニー","代表取締役","吉原　龍生","香川県","高松市瓦町二丁目１番地７",,"第5220002号","H20.05.12","その他の公衆浴場"
"公衆浴場業","香南楽湯","761-1404","高松市香南町横井９９７番地２",,"087-815-8585","株式会社　創裕","代表取締役","川北　祐一郎","香川県","高松市朝日新町１７番１５号",,"第5220006号","H21.04.01","その他の公衆浴場"
"公衆浴場業","四国高松温泉　ニューグランデみまつ","760-0046","高松市通町２−３",,"087-851-3507","株式会社三松","代表取締役","金井　優典","香川県","高松市通町２番地の３",,"第5221002号","H21.05.26","その他の公衆浴場"
"公衆浴場業","アパホテル＜高松空港＞　空港温泉","761-1402","高松市香南町由佐２４２５−５",,"087-879-1111","アパホテル株式会社","代表取締役","元谷　芙美子","東京都","港区赤坂三丁目２番３号",,"第5221003号","H21.07.08","その他の公衆浴場"
"公衆浴場業","ＢＩＴＥＫＩ　ＬＡＮＤ　ＬＥＧＥＮＤ","760-0036","高松市城東町二丁目６番１号","第２宮本ビル","087-813-0987","株式会社ＳＥＤＯＮＡ企画","代表取締役","壷内　岳人","香川県","高松市城東町二丁目６番１号",,"第5222001号","H22.06.25","その他の公衆浴場"
"公衆浴場業","自然家","761-0442","高松市川島本町４９７−１",,"087-887-6222","林　奈智子",,,,,,"第5222003号","H22.09.01","その他の公衆浴場"
"公衆浴場業","たかの友梨ビューティクリニック高松店","760-0029","高松市丸亀町１３番３号",,"087-851-4107","株式会社不二ビューティ","代表取締役","髙野　友梨","東京都","港区南青山二丁目１２番１２号",,"第5222005号","H23.03.09","その他の公衆浴場"
"公衆浴場業","ファーストイン高松","760-0035","高松市鶴屋町２番３号",,"087-822-1919","株式会社　昌栄","代表取締役","金　昌淑","香川県","高松市鶴屋町２番３号",,"第5222006号","H23.03.17","その他の公衆浴場"
"公衆浴場業","しらゆき姫","760-0036","高松市城東町二丁目９番１３号",,"087-822-5546","有限会社チャレンジ","取締役","𦚰　峻士","香川県","高松市城東町二丁目９番１３号",,"第5222007号","H23.03.18","その他の公衆浴場"
"公衆浴場業","高松市亀水運動センター　亀水荘","761-8001","高松市亀水町４５８番地１",,"087-881-0182","公益財団法人高松市スポーツ協会","代表理事","大西　努","香川県","高松市福岡町四丁目３６番１号",,"第5223002号","H23.05.27","その他の公衆浴場"
"公衆浴場業","高松市かわなべスポーツセンターかわなべ荘","761-8046","高松市川部町９３２番地７",,"087-885-4611","公益財団法人高松市スポーツ協会","代表理事","大西　努","香川県","高松市福岡町四丁目３６番１号",,"第5223003号","H23.05.27","その他の公衆浴場"
"公衆浴場業","はくちょう温泉","769-0104","高松市国分寺町新名２２１３番地１",,"087-874-8900","公益財団法人高松市スポーツ協会","代表理事","大西　努","香川県","高松市福岡町四丁目３６番１号",,"第5223004号","H23.05.30","その他の公衆浴場"
"公衆浴場業","ＲＡＯ","760-0036","高松市城東町二丁目１０番２３号",,"087-821-2311","株式会社天","代表取締役","矢野　孝典","香川県","高松市城東町二丁目１０番２３号",,"第5223005号","H24.01.10","その他の公衆浴場"
"公衆浴場業","ホテル　セカンドステージ","761-1614","高松市塩江町上西乙１１１８−８",,"087-893-1100","株式会社しおのえ","代表取締役","喜多　維昭","香川県","高松市塩江町安原上７６１番地１",,"第5223006号","H24.03.27","その他の公衆浴場"
"公衆浴場業","クア温泉屋島","761-0104","高松市高松町字明神２１８７−１",,"087-814-3378","齋藤　正人",,,,,,"第5224005号","H24.10.15","一般公衆浴場"
"公衆浴場業","ジャパンスイミングスクール","760-0001","高松市新北町２８−１２",,"087-833-2433","株式会社ジャパンスイミングスクール","代表取締役","清水　一伸","香川県","高松市新北町１９番３４号",,"第50001号","H25.03.08","その他の公衆浴場"
"公衆浴場業","花樹海温泉　海と昴の湯","760-0004","高松市西宝町３−５−１０",,"087-861-5580","株式会社喜代美山荘","代表取締役","三矢　昌洋","香川県","高松市西宝町三丁目５番１０号",,"第50003号","H25.04.16","その他の公衆浴場"
"公衆浴場業","ラ・プラージュ","760-0036","高松市城東町二丁目１０番２５号",,"087-822-5656","有限会社モリコ","取締役","泉谷　あおい","香川県","高松市城東町二丁目１０番２５号",,"第50005号","H26.03.11","その他の公衆浴場"
"公衆浴場業","トレビの泉は城東町１番の高級ソープ","760-0036","高松市城東町二丁目１０番１号","１階、３階、４階","087-811-7260","株式会社泉州商会","代表取締役","上田　幸大","香川県","高松市城東町二丁目１０番１号",,"第50007号","H26.08.26","その他の公衆浴場"
"公衆浴場業","クラブＪ１","760-0036","高松市城東町２−１０−２６",,"087-821-3024","ライズ株式会社","代表取締役","山方　真一","香川県","高松市城東町二丁目１０番２６号",,"第50008号","H27.02.13","その他の公衆浴場"
"公衆浴場業","ブルーム館　高松","760-0052","高松市瓦町２−２−２７",,"087-834-5151","株式会社　彩さ美","代表取締役","篠森　京子","愛媛県","松山市南江戸三丁目３番１６号",,"第50009号","H27.07.06","その他の公衆浴場"
"公衆浴場業","貝温泉　実の里","761-1613","高松市塩江町上西甲１２７−１",,"087-893-1877","有限会社完土","代表取締役","完土　勇","香川県","高松市十川東町９３８番地１",,"第50012号","H27.10.15","その他の公衆浴場"
"公衆浴場業","金瓶梅　城東町で一番人気のあるお店","760-0036","高松市城東町二丁目８番９号",,"087-821-4617","株式会社ＰＬＵＭ","代表取締役","弓山　秀和","香川県","高松市城東町二丁目８番９号",,"第50013号","H27.10.28","その他の公衆浴場"
"公衆浴場業","ページボーイ","760-0050","高松市亀井町３−３","谷原不動産ビル２Ｆ","087-813-1710","株式会社ページボーイ","代表取締役","後藤　美佳","香川県","高松市亀井町３−３","谷原不動産ビル２階","第50014号","H27.12.28","その他の公衆浴場"
"公衆浴場業","Ｔｉ　Ａｍｏ（ティアモ）","760-0036","高松市城東町２−７−７",,"087-811-2266","株式会社オフィスパラダイス","代表取締役","谷本　哲夫","香川県","高松市城東町二丁目７番７号",,"第50015号","H28.03.22","その他の公衆浴場"
"公衆浴場業","和楽","760-0036","高松市城東町２−８−１４",,"087-811-0855","株式会社　すえひろ","代表取締役","本村　剛","香川県","高松市松福町二丁目１３番７−７０１号","ラ・パルフェ・ド・コゼット","第50018号","H29.08.08","その他の公衆浴場"
"公衆浴場業","高松センチュリーホテル","760-0020","高松市錦町１−４−１９",,"087-851-0558","有限会社高松センチュリーホテル","代表取締役","十川　好信","香川県","高松市錦町一丁目４番１９号",,"第50020号","H30.06.28","その他の公衆浴場"
"公衆浴場業","ＴＨＥ　ＣＡＬＭ（ザ・カーム）","761-1705","高松市香川町川東下１８７８番地",,"087-879-3411","高松パレス株式会社","代表取締役","住田　浩","香川県","高松市香川町川東下１８７８番地",,"第50022号","R01.07.08","その他の公衆浴場"
"公衆浴場業","多恋人","760-0036","高松市城東町二丁目９番１５号",,"087-822-7081","名城観光株式会社","代表取締役","當野　真利","香川県","高松市城東町二丁目９番１５号",,"第50023号","R01.07.24","その他の公衆浴場"
"公衆浴場業","健康増進温浴施設","761-1503","高松市塩江町安原下第３号２０７４番地２",,"087-897-0781","シンコースポーツ四国株式会社","代表取締役","石崎　健太","香川県","高松市寿町一丁目１番１２号",,"第50025号","R02.07.06","その他の公衆浴場"
"公衆浴場業","高松ぽかぽか温泉","761-8076","高松市多肥上町１５１５番地",,"087-888-1126","株式会社創裕","代表取締役","川北　祐一郎","香川県","高松市朝日新町１７番１５号",,"第50027号","R02.07.31","その他の公衆浴場"
"公衆浴場業","ｃｌｕｂ　ＩＳＭ","760-0036","高松市城東町２−１０−２０","Ｋ２ビル西側４階","087-811-7126","株式会社ＦＲＥＥＤＯＭ","代表取締役","利岡　竜也","香川県","高松市城東町二丁目１０番２０号",,"第50029号","R03.04.12","その他の公衆浴場"
"公衆浴場業","ＣＵＯＲＥ（クオレ）","760-0036","高松市城東町２丁目７番２１号",,"087-822-1107","株式会社エナジーシステムズ","代表取締役","日下　盛男","香川県","高松市城東町二丁目７番２１号",,"第50032号","R03.09.01","その他の公衆浴場"
"公衆浴場業","庵治ほっとぴあん","761-0130","高松市庵治町９７８",,"087-871-2534","株式会社オクト","代表取締役","増田　伊三雄","香川県","高松市庵治町６３９１番地１６３",,"第50033号","R03.10.01","その他の公衆浴場"
"公衆浴場業","さぬきの湯　ドーミーイン高松","760-0052","高松市瓦町１丁目１０−１０",,"087-832-5489","株式会社共立メンテナンス","代表取締役","中村　幸治","東京都","千代田区外神田二丁目１８番８号",,"第50034号","R03.11.02","その他の公衆浴場"
"公衆浴場業","ＲＶ　ＰＡＲＫ　ＫＵＭＯＮパーク","761-0450","高松市三谷町１４０４−１",,"087-880-2033","公文　健二",,,,,,"第50035号","R03.12.15","その他の公衆浴場"
"公衆浴場業","天然温泉玉藻の湯　ドーミーイン高松中央公園前","760-0018","高松市天神前１−３",,"087-835-5489","株式会社共立メンテナンス","代表取締役","中村　幸治","東京都","千代田区外神田二丁目１８番８号",,"第50036号","R03.12.17","その他の公衆浴場"
"公衆浴場業","アルファ","760-0036","高松市城東町二丁目６番１号","第２宮本ビル南２階、３階、４階","087-851-1877","株式会社アイエスアイ","代表取締役","藤川　雅靖","香川県","高松市高松町５２８番地１","シャンテル２０１","第50037号","R04.04.04","その他の公衆浴場"
"公衆浴場業","春日なごみの湯　湯楽温泉","760-0080","高松市木太町２７５０−３",,"087-833-2611","春日開発株式会社","代表取締役","遠藤　直樹","香川県","高松市木太町２７５０番地３",,"第50040号","R05.09.01","一般公衆浴場"
"公衆浴場業","Ｈｏｔ　Ｓｔｏｎｅ　Ｓｐａ　ＳＩＮ−ＯＮ","761-0441","高松市由良町４１番地",,"087-899-5787","三木　守",,,,,,"第50041号","R05.10.11","その他の公衆浴場"
"公衆浴場業","萌えラブスクール","760-0036","高松市城東町二丁目６番３号","ＬＡＶＥＳＳＯビル１階","087-821-3300","株式会社ワン","代表取締役","佐藤　敬太","香川県","高松市城東町二丁目６番３号","ＬＡＶＥＳＳＯビル１Ｆ","第50042号","R05.10.17","その他の公衆浴場"
"公衆浴場業","萌えラブスクール２","760-0036","高松市城東町二丁目６番３号","ＬＡＶＥＳＳＯビル２階","087-821-4400","株式会社ツー","代表取締役","佐藤　敬太","香川県","高松市城東町二丁目６番３号","ＬＡＶＥＳＳＯビル２Ｆ","第50043号","R05.12.07","その他の公衆浴場"
"公衆浴場業","萌えラブスクール３","760-0036","高松市城東町二丁目６番３号","ＬＡＶＥＳＳＯビル３階","087-821-4424","株式会社スリー","代表取締役","佐藤　敬太","香川県","高松市城東町二丁目６番３号","ＬＡＶＥＳＳＯビル３Ｆ","第50044号","R06.01.05","その他の公衆浴場"
"公衆浴場業","ｃｌｕｂ−１５１Ａ　２ｎｄ","760-0036","高松市城東町二丁目１０−２０","Ｋ２ビル　５Ｆ",,"エンカウンター株式会社","代表取締役","谷本　政樹","香川県","高松市城東町二丁目１０番２０号",,"第50046号","R06.07.16","その他の公衆浴場"
"公衆浴場業","ｃｌｕｂ−１５１Ａ","760-0036","高松市城東町二丁目１０−２０","Ｋ２ビル２・３Ｆ（西側）",,"エンカウンター株式会社","代表取締役","谷本　政樹","香川県","高松市城東町二丁目１０番２０号",,"第50045号","R06.07.16","その他の公衆浴場"
"公衆浴場業","ＷＡＭ　ＡＬＬ　ＡＴＨＬＥＴＥ　ＳＴＡＴＩＯＮ","761-1703","高松市香川町浅野９９８番地",,"087-879-1126","株式会社浅野企業","代表取締役","眞鍋　章司","香川県","高松市香川町浅野６２５番地１",,"第50047号","R06.07.29","その他の公衆浴場"
"公衆浴場業","ＴＨＥ・ＢＵＮＮＹ　高松店","760-0036","高松市城東町二丁目８番１６号","高松パラダイスビル１階，２階","087-821-5838","株式会社マルボロ","代表取締役","加古山　春佳","香川県","高松市城東町二丁目８番１６号",,"第50048号","R06.08.28","その他の公衆浴場"
