"#property","prefCode","no","pref","cityName","townName","address","buildingName","venue","eventName","overview","organizer","startDate","startTime","endDate","endTime"
"11","372013","0011","香川県","高松市","松島町一丁目","15-1",,"高松市夢みらい図書館　対面朗読室（たかまつミライエ 2階）","高松市夢みらい図書館「おはなし会」","　夢みらい図書館では、わらべうたや絵本・紙芝居の読み聞かせなどの「おはなし会」を定期的に開催しています。「おはなしの世界」でたくさん遊んでみませんか。
●ゆめみ・あかちゃんおはなし会（9か月～３歳未満児向け）
　5月1日（金）午前10時30分～11時
●アクセントのおはなし会（幼児～小学生向け）
　5月2日（土）午後2時～2時30分","高松市教育委員会","5/1/2020","00:00","5/25/2020","00:00"
"12","372013","0012","香川県","高松市","牟礼町牟礼","１３０-２",,"高松市牟礼図書館　１階児童室","高松市牟礼図書館「おはなし会」","　牟礼図書館では、わらべうたや絵本・紙芝居の読み聞かせなどの「おはなし会」を定期的に開催しています。「おはなしの世界」でたくさん遊んでみませんか。
●えほんのとびら＆えいごであそぼう（幼児～小学校低学年向け）
　5月９日（土）午後2時～2時30分
●おはなしひろば「なかよし」（幼児～小学校低学年向け）
　5月16日（土）午後2時～2時30分","高松市教育委員会","5/9/2020","00:00","5/23/2020","00:00"
"13","372013","0013","香川県","高松市","番町一丁目","10-35",,"香川県社会福祉総合センター","かがわ縁結び支援センター「お友達割引キャンペーン」","令和２年４月から６月までの３か月間、２人以上で縁結びマッチング本登録（更新を含む）を行った方の入会登録料をそれぞれ２千円割引く、「お友達割引キャンペーン」を行います。
　ぜひこの機会に「EN−MUSUかがわ」にご登録ください。
","かがわ縁結び支援センター（公益財団法人かがわ健康福祉機構）","4/1/2020","00:00","6/30/2020","00:00"
"14","372013","0014","香川県","高松市","番町一丁目","8-15",,"高松市役所　子育て支援課","第２期高松市子ども・子育て支援推進計画を策定しました","本市では、子どもを社会全体で健やかにはぐくむための施策を総合的かつ計画的に推進するために定めている「高松市子ども・子育て支援推進計画」の計画期間が令和元年度末で終了することから、この度、第２期計画を策定しました。

","高松市役所　子育て支援課","4/1/2020","00:00","3/31/2021","00:00"
"15","372013","0015","香川県","高松市","番町一丁目","8-15",,"高松市役所　子育て支援課","こども食堂等を開設・運営する団体に対する補助金交付","市では、子どもが安心できる居場所づくりを推進するため、子どもに食事や地域住民との交流の場、学習機会等を提供する「こども食堂」等を、開設及び運営する団体に、補助金を交付します。
【対象団体】
概ね１５歳以下の子どもに無料又は低額で食事の提供などを行う「こども食堂」等を、本市内において開設及び運営する団体　※その他、要件があります。
","高松市役所　子育て支援課","4/1/2020","00:00","3/31/2021","00:00"
"16","372013","0016","香川県","高松市","番町１丁目",,,"高松市市役所本庁９階　建築指導課","危険ブロック塀等撤去補助申請　受付のお知らせ","　危険なブロック塀等の撤去費用の一部を補助しています。
【補助対象】一般の通行の用に供する道路等に面する高さが１．２ｍを超える危険なブロック塀等の撤去工事
【補助金額】撤去工事に要する費用の４／５（上限１６万円）
※　申請件数が予算に達した場合は、受付を終了します。
※　今年度限りで補助制度は終了予定です。
補助制度の利用をご検討されている方は、お早めにご申請ください。","高松市建築指導課","4/1/2020","08:30","7/31/2020","17:15"
"17","372013","0017","香川県","高松市","番町１丁目",,,"高松市役所　本庁９階　建築指導課","令和２年度　住宅耐震補助金申請　受付のお知らせ","地震に対する住宅の安全性を向上させるため、住宅の耐震診断・耐震改修工事にかかった費用の一部を補助しています。
【対象住宅】昭和５６年５月３１日以前に着工された戸建て住宅　等
【補助金額】耐震診断に要する費用の１０分の９（上限９万円）
　　　　　　耐震改修に要する費用の全額（上限９０万円）　等
※申請件数が予算に達した場合は、受付を終了いたします。
","高松市建築指導課","4/1/2020","08:30","12/18/2020","17:15"
"18","372013","0018","香川県","高松市","牟礼町牟礼","1810",,"高松市石の民俗資料館","「うどんの国の金色毛鞠」篠丸のどか原画展","　香川県が舞台の篠丸のどか氏の代表作、『うどんの国の金色毛鞠』の原画やカラーイラスト、その他作品に関連する資料を展示します。また、関連行事として5月3日（日）午後２時より、石の民俗資料館において「篠丸のどかスペシャルトーク」を開催します。
開館時間：午前９時～午後５時（展示室への入室は午後4時30分まで）
休館日：月曜日（休日の場合は翌平日）
観覧料：一般２００円、大学生１５０円、高校生以下無料","高松市石の民俗資料館","4/25/2020","09:00","5/31/2020","17:00"
"19","372013","0019","香川県","高松市","庵治町",,,"高松市庵治太鼓の鼻オートキャンプ場","高松市庵治太鼓の鼻オートキャンプ場のバンガローサイト営業再開のお知らせ","　高松市庵治太鼓の鼻オートキャンプ場は、大規模な改修工事のため、令和元年１１月１１日（月）からバンガローサイトを休業しておりましたが、令和２年４月１日（水）から営業を再開いたしました。
　休業中は、利用者の皆様に多大なる御迷惑・御不便をおかけいたしましたが、今後とも変わらぬ御愛顧を賜りますよう、よろしくお願い申しあげます。","高松市観光交流課観光エリア振興室","4/1/2020","00:00","3/31/2021","00:00"
"20","372013","0020","香川県","高松市","国分寺町、中山町、坂出市他五色台周辺",,,"第80番霊場國分寺、第81番霊場白峯寺、第82番霊場根香寺","霊峰五色台三霊場参り","古刹の魅力と自然の景観に恵まれた霊峰五色台の三霊場参りは、お遍路の醍醐味を徒歩で一日、車で半日という短期間で気軽に体験できます。また、お遍路という伝統文化だけでなく、この五色台山域には小原紅早生や盆栽等の特産品、有名うどん店や海の幸、瀬戸内の絶景スポット等の魅力が満載です。専用のガイドマップと納経台紙で、３霊場全てお参りすると特製缶バッチが授与されます。これから四国遍路を考えている方には最適です。","第80番霊場國分寺、第81番霊場白峯寺、第82番霊場根香寺","4/15/2020","08:30","3/31/2021","17:15"
"21","372013","0021","香川県","高松市","東ハゼ町","4-6",,"東ハゼ南部集会場","ぴっぴ子育てセミナー","テーマ：「ママパパカフェ☆何でも話そうよ！」
内容：参加者同士グループトーク、
講師から子育てのヒントやアドバイス
悩みや喜びを共有する 
講師：萩原　良子（一般社団法人　倫理研究所講師）
※託児あり（無料・要予約）
　　　　
","家庭倫理の会香川","5/28/2020","10:00","5/28/2020","11:30"
"22","372013","0022","香川県","高松市","林町","2217-19",,"香川県立文書館　他","令和２年度　高松市発達障がい児・者サポーター養成講座","発達障がいの基本的理解と支援の方法について全５回の講座で学んでいきます。
申し込みは5/1（金）～5/29（金）に申込書をFAXまたは直接、高松市発達障がい者サポート事業・こだま学園へ
香川こだま学園：高松市木太町1997−3、TEL　861-7621、FAX　861-7368
申込書は、案内所（市役所1階）、香川こだま学園にて5/1（金）から配布。同園HP、市障がい福祉課HPでダウンロード可能。","香川こだま学園","6/13/2020","09:30","6/13/2020","12:00"
"23","372013","0023","香川県","高松市","多肥上町","433-5　他",,"詳細のとおり","廃食油収集事業（廃食油収集ステーション）","　省資源意識を高めるとともに、環境汚染防止のため、地域コミュニティ協議会・消費者団体等と連携して、廃食油収集ステーションを開設しています。
　河川などの水質を汚染しないためにも、ご家庭で使えなくなった廃食油の収集にご協力ください。
　5月の開設予定は別表のとおりです。
","高松市","5/9/2020","10:00","5/28/2020","14:00"
"24","372013","0024","香川県","高松市","番町一丁目","8-15",,"高松市くらし安全安心課（市役所１１階）","空き家に対する補助制度の案内","●老朽危険空き家除却支援事業補助金：老朽化した危険な空き家の所有者等が、その空き家を除却する場合に、費用の一部を補助します。（申込期間：５月１３日～６月１２日）
●空き家改修補助金：香川県空き家バンクに登録された空き家の所有者等が、その空き家の改修を行う場合に、費用の一部を補助します。（申込期間：７月１日～７月１５日）
※いずれの補助制度も一定の要件があります。希望する場合は事前にご相談ください。","高松市","5/13/2020","08:30","7/15/2020","17:00"
"25","372013","0025","香川県","高松市","番町１丁目",,,"ー","令和2年度高松市職員採用試験等の日程","本年度の採用試験実施日及び「募集要項」の配布開始日などは、次のとおりです。
【試験区分：事務職（大学卒）・技術職（大学卒・短大卒）など】
募集要項配布開始日：５月２０日（水）
申込受付期間：５月２５日（月）から６月８日（月）まで 
第１次試験日：６月２８日（日）
【試験区分：事務職（短大卒・高校卒）・保育教育士など】
募集要項配布開始日：８月１９日（水）
申込受付期間：８月２４日（月）から９月７日（月）まで 
第１次試験日：９月２７日（日）

なお、募集要項の取得方法などについては、高松市ホームページなどでご確認ください。
お問合せ　人事課人事係（TEL:８３９−２１４４）","高松市人事課","5/20/2020","08:30","6/8/2020","17:00"
"26","372013","0026","香川県","高松市","桜町",,,"保健所","もの忘れ・認知症相談","内容：専門医による個別相談
申込方法：電話又は来所による申し込みで、予約制","地域包括支援センター","5/27/2020","14:00","5/27/2020","16:00"
"27","372013","0027","香川県","高松市","桜町",,,"保健所","認知症の人を支える家族のつどい「ひだまり」","内容：・講話(テーマ)認知症の理解と対応について
　　　・グループワーク  ※５月は認知症専門医による講話
申込方法：電話又は来所により申し込み","地域包括支援センター","5/15/2020","10:00","5/15/2020","12:00"
"28","372013","0028","香川県","高松市","桜町一丁目","9-12",,"高松市地域包括支援センター","認知症カフェ実施団体等の募集","認知症カフェを実施する団体等を募集しています。詳しくはホームページをご覧ください。http://www.city.takamatsu.kagawa.jp/kurashi/kenkou/koreisha_shien/ninchisho.html","地域包括支援センター","4/15/2020",,"5/15/2020",
"29","372013","0029","香川県","高松市","福岡町2丁目",,,"各開催場所","たかまつ「ひだまり」カフェ（認知症カフェ）","市では、認知症の人やそのご家族、認知症に関心のある人が認知症について相談できる専門職を交えて、気軽にお茶を飲みながらおしゃべりしたり、楽しく過ごすことのできる認知症カフェを開いています。ぜひお立ち寄りください。
たかまつ「ひだまり」カフェの場所・日程など、詳しくは市のホームページへ
","地域包括支援センター","5/1/2020",,"5/31/2020",
"30","372013","0030","香川県","高松市","桜町",,,"—","認知症簡易チェックサイト","認知症初期症状を気軽にチェックできるサイトです。市のホームページからもアクセスできます。ぜひご活用ください。","地域包括支援センター","5/1/2020",,"5/31/2020",
"31","372013","0031","香川県","高松市","サンポート",,,"ー","「デリバリーアーツ」協力団体募集","応募資格／無料の「出前公演」を行う市内の会場を準備し、一緒に出前公演の運営を行っていただける団体
申込締切／5月22日（金）
その他／サンポートホール高松ホームページで公演メニューや申込方法など、詳細の閲覧や申込書のダウンロード可","高松市","5/1/2020",,"5/22/2020",
"32","372013","0032","香川県","高松市","常磐町1丁目",,,"瓦町フラッグ　8階","国風香川玉藻小品盆栽会　春の作品展","小さな器の中に四季折々の自然の風景を作るのが盆栽であり、その魅力を初心者の方にも気軽に観賞していただく。
日時／5月30日（土）10:00~16:00
　　　5月31日（日）10:00~16:00","国風香川玉藻小品盆栽会","5/30/2020","10:00","5/31/2020","16:00"
"33","372013","0033","香川県","高松市","香南町由佐","253-1",,"高松市香南歴史民俗郷土館","共催展「香南さつき展」開催","香南さつき会会員が丹精込めて育てたさつき盆栽を展示します。色あざやかな花をどうぞ御覧ください。
開催期間：令和2年5月29日（金）～5月31日（日）
開催時間：9：00～17：00（入館は16：30まで）※最終日は15：00までの開催
観覧料：無料
※コロナウイルス感染拡大の状況によっては中止の場合もあります。
","香南さつき会","5/29/2020","09:00","5/31/2020","15:00"
"34","372013","0034","香川県","高松市","香南町由佐","253-1",,"高松市香南歴史民俗郷土館","令和2年度　講座「古文書を読む」受講生募集","香南町に残る古文書を読みます。
日時：令和2年6月から12月までの毎月第2日曜日（全7回）10：00～12：00
講師：山下隆章氏（白山小学校元校長）
申込：高松市香南歴史民俗郷土館（電話：087-879-0717）まで
※コロナウイルス感染拡大の状況によっては中止の場合もあります。","高松市香南歴史民俗郷土館","5/1/2020",,"6/13/2020",
"35","372013","0035","香川県","高松市","玉藻町","2-1",,"玉藻公園　披雲閣「杉の間」","第１回 菊作り講習会","　あなたも菊を栽培してみませんか！
　初心者から技術者まで菊栽培について学べる講習会を開催します。
　菊に興味をお持ちの方は、どなたでもお気軽にご参加ください。
　※ 参加者には優良苗を分譲いたします！

【講師】溝渕 芳市 氏（香川県菊友会副会長）　","香川県菊友会","5/22/2020","09:30","5/22/2020","11:30"
"36","372013","0036","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","かかりつけ薬剤師・薬局をもちましょう","【内容】かかりつけの薬剤師、薬局をもちましょう。薬と正しくつき合うには。【日時】６月４日（木）午後１時３０分～２時３０分【講師】高島　望さん（香川県薬剤師会理事・薬剤師）【定員】申込先着６０人【受講料】無料【持参物】筆記用具【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/4/2020","13:30","6/4/2020","14:30"
"37","372013","0037","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","セルフエステ&顔ヨガで美しく！（全２回）","【内容】効果的に自分のお顔を創っていく技を学べる綺麗レッスンです。【日時】５月２６日、６月２日いずれも火曜日の午後２時～３時３０分【講師】岡田典子さん（エステティシャン、顔ヨガインストラクター）【定員】申込先着12人【受講料】１，０００円【材料費】６００円【持参物】飲料水、鎖骨周りが空いた服装でおいでください。【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","5/26/2020","14:00","5/26/2020","15:30"
"38","372013","0038","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","　姿勢改善！ピラティストレーニング講座(全４回）","【内容】ピラティスで、正しい姿勢と筋力を効果的につけましょう。
【日時】6月5日・12日・19日・26日　いずれも金曜日の午後1時～2時30分
【講師】大和京子さん（ピラティスインストラクター）【定員】申込先着30人【受講料】2,000円【持参物】ヨガマット（又はバスタオル）、小タオル（60㎝以上）、飲み物
【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/5/2020","13:00","6/5/2020","14:30"
"39","372013","0039","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","　ＩＴ講座　初心者のためのワード＆エクセル（全８回）","【内容】各ソフトを使用して、便利で役に立つ『コツ』を説明。【日時】6月17日・24日、7月1日・8日・15日・22日・29日、8月5日いずれも水曜日の午後１時30分～３時30分【講師】山下　卷太さん（㈲デジタル・メディア・プランニング代表取締役）【定員】申込先着２０人【受講料】4,000円【資料代】2,000円【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/17/2020","13:30","6/17/2020","15:30"
"40","372013","0040","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","ＣＳＲ教室　外貨活用講座～なぜ外貨を持つの？～","【内容】社会環境が目まぐるしく変わる現代において、大切な資産を防衛する為の手段としての外貨活用法をわかりやすくお伝えします。【日時】６月３日(水）午後７時～８時【講師】垣内　洋介さん（ジブラルタ生命認定セミナーインストラクター）【定員】申込先着４０人【持参物】筆記用具【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/3/2020","19:00","6/3/2020","20:00"
"41","372013","0041","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","CSR教室　心と身体を整えるツボ講座","【内容】健康維持や認知症予防に役立つツボの見つけ方、押し方をレクチャーします。【日時】６月２０日(土）午後１時３０分～３時【講師】松本　武司さん（日本セルフお灸協会鍼灸師）【定員】申込先着２０人【受講料】無料【資料代】５００円【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/20/2020","13:30","6/20/2020","15:00"
"42","372013","0042","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","CSR教室　終活セミナー（全３回）","【内容】終活セミナー　第１回　おひとり様・成年後見人制度　第２回　ACP人生会議　第３回　生前整理・遺品整理【日時】６月１６日・３０日・７月７日いずれも火曜日の午後１時３０分から３時３０分【講師】一般社団法人　わライフネット会員【持参物】筆記用具【定員】申込先着８０人【受講料】無料【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/16/2020","13:30","6/16/2020","15:30"
"43","372013","0043","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","【老後の資金を守ろう】（全２回）","【内容】【老後の資金を守ろう】悪質商法の手口と対策−あの人はこうしてだまされた！！−①悪質商法の撃退法②振り込め詐欺と投資被害等について【日時】①６月２日②９日いずれも火曜日の午後１時30分～３時【講師】①田中　一司さん②秋友　茂さん（ともに消費生活アドバイザー）【定員】申込先着３０人（６０歳以上）【受講料】無料【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/2/2020","13:30","6/2/2020","15:00"
"44","372013","0044","香川県","高松市","片原町","11-1",,"高松市生涯学習センター　大研修室","やさしい３Ｂ体操（ロコモ予防）(全３回）","【内容】楽しみながら健やかな明日のための体づくりをしましょう。【日時】５月２６日、６月９日・２３日（全３回）いずれも火曜日の午後１時３０分～３時【講師】多田桂子さん（日本３Ｂ体操協会公認指導士）【定員】申込先着２５人【受講料】１，５００円（全３回）【持参物】ヨガマット(又はバスタオル)、運動ができる上履き、飲み物【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","5/26/2020","13:30","5/26/2020","15:00"
"45","372013","0045","香川県","高松市","片原町","11-1",,"高松市生涯学習センター３階　多目的ホール","まなび映画CAN②「花の誇り」","【内容】藤沢周平原作「花の誇り」を上映。女の戦いと愛、敵討ちます！藤沢修平作品には稀な女性が主人公の物語。出演：瀬戸朝香、酒井美紀、田辺誠一ほか　【日時】５月２８日（木）午後１時３０分～３時１０分（開場：午後１時）【定員】当日先着２２０人（観覧希望者は直接会場へ）【入場料】無料","高松市教育委員会","5/28/2020","13:30","5/28/2020","15:10"
"46","372013","0046","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","捨てることから始めよう！整理収納の工夫術","【内容】①捨てることから快適収納が始まる ②あなたは何派？ ③整理・収納による3つのメリット ④収納を持続するポイント ⑤ワンアドバイス
【講師】鉄尾　憲治さん（パナソニック株式会社ライフソリューションズ社）
【定員】申込先着６０人
【持参物】筆記用具
【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/5/2020","13:30","6/5/2020","15:00"
"47","372013","0047","香川県","高松市","片原町","11-1",,"高松市生涯学習センター","楽しいキッズ体力アップ教室（全２回）","【内容】運動苦手な子でも取り組めるストレッチやリズム遊びなどをします。【日時】①６月６日②１３日いずれも土曜日の午後２時～３時【定員】申込先着各１５人（①小学1～３年生※保護者同伴、②4～６年生）【講師】井原　愛さん【持参物】汗ふき用タオル、飲み物、ぞうきん※Tシャツや短パンなどの動きやすい服装で来てね！【申込方法】高松市生涯学習センターに電話（８１１−６２２２）又は御来館にて※月曜日休館","高松市教育委員会","6/6/2020","14:00","6/6/2020","15:00"
"48","372013","0048","香川県","高松市","片原町","11-1",,"高松市生涯学習センター３階　市民ギャラリー","第１０回緑のカーテンコンテスト受賞作品展","令和元年度に実施された第１０回たかまつ「緑のカーテンコンテスト」で入賞した作品を展示 　【期間】令和２年５月１３日（水）～２６日（火）【会場】高松市生涯学習センター３階市民ギャラリー【入場料】無料　【共催】高松市環境局環境保全推進課","高松市教育委員会","5/13/2020","09:00","5/26/2020","22:00"
"49","372013","0049","香川県","高松市","番丁1丁目",,,"ー","2021年高松市成人式運営スタッフの募集について","【募集人数】20人
【応募資格・対象】①～④を満たす人
　①市内に在住か通勤・通学している人又は帰省先のある人
　②成人式運営会議（月1回程度）に出席できる人
　③成人式当日（令和3年1月10日）の運営に協力できる人
　④新成人又は20歳前後の人
【応募方法】
　申込書（市役所、市生涯学習センターに設置、市ホームページ掲載）を
　郵便、持参、FAX又はメールで生涯学習課まで提出してください。","高松市・高松市教育委員会","5/1/2020","08:30","5/29/2020","17:15"
"50","372013","0050","香川県","高松市","松島町",,,"高松市男女共同参画センター","5月さんかく交流サロン「防災備蓄品を試食しよう！」","　男女共同参画センターを一人でも多くの人に知ってもらい来てもらうために、わかりやすく親しみやすいもので、自分で作品を作ったり習ったりする企画を毎月開催します。今月は、いろいろな防災備蓄品を知ってもらい、試食して自分に合ったものを選んでもらう企画です。","高松市男女共同参画センター","5/21/2020","13:30","5/21/2020","15:00"
"51","372013","0051","香川県","高松市","屋島中町",,,"琴電屋島駅","転勤者とさぬき人のはじめまして講座「屋島周辺を巡ってみよう！」","　高松市に転勤して来た方が地元の人と交流して、情報を得たり、語り合う場を提供しています。今回は、屋島周辺を散策して、転勤者と地元の方との交流を深める企画です。","高松市男女共同参画センター","5/14/2020","10:00","5/14/2020","14:00"
"52","372013","0052","香川県","高松市","松島町",,,"高松市男女共同参画センター","女性のための就労支援講座「応募書類の書き方・面接のポイント」","　★託児付き（無料・6ヶ月～就学前の子ども、1週間前までに要予約）　　　　　　　　　　　　　　女性のための就職・再就職のための支援講座です。人事担当者の目を引く履歴書・職務経歴書の書き方、面接のポイントなどのアドバイスを受けることができます。子育て中の方も託児が付いているので、この機会に参加してみませんか。","高松市男女共同参画センター","5/25/2020","13:30","5/25/2020","15:00"
"53","372013","0053","香川県","高松市","番丁1丁目",,,"全国の発行可能なコンビニエンスストア（高松市に住民票がある方）","税関係証明書などのコンビニ交付の停止について","新年度分の所得課税証明書等の発行開始（6月1日から）に係るシステム切替えに伴い、５月３１日（日）午後６時３０分～６月３日（水）午前６時３０分は、コンビニで税関係証明書の交付ができません。
また、６月２日（火）午後６時３０分～３日（水）午前６時３０分は、保守作業のため、コンビニで住民票など全ての証明書の発行を停止します。
","高松市","5/31/2020","18:30","6/3/2020","06:30"
"54","372013","0054","香川県","高松市","亀井町",,,"−","①自衛隊技術海上・技術航空幹部、②技術海曹・技術空曹の募集","＜応募資格＞
①大卒以上の人で、応募資格に定められた学部・専攻学科等を卒業後、
　２年以上の業務経験のある人
②２０歳以上の人で、国家免許資格取得者等
＜試験日＞　　
①令和２年６月２２日（月）②令和２年６月１９日（金）

試験会場等その他詳細は、自衛隊高松募集案内所までお問合せ下さい。
","自衛隊高松募集案内所","4/17/2020",,"5/22/2020",
"55","372013","0055","香川県","高松市","紺屋町",,,"高松市美術館　常設展示室","第１期常設展「美術にみる動物たち」「工芸にみる鳥と蝶」","常設展示１では、現代美術のコレクションから、動物の中でも特に人気者の「犬」や動物園での人気者「象」「ライオン」など動物たちを絵画・彫刻・陶芸などで紹介。また、常設展示２では、讃岐漆芸の３技法「彫漆」「蒟醤」「存清」などを駆使して、飛翔するものとしての「鳥」と「蝶」が豊かに表現されている漆芸作品を紹介。
","高松市美術館","4/7/2020","09:30","6/21/2020","17:00"
