#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note
18,34.29189472,134.05255444,高松市立多肥小学校,高松市多肥上町902-2,087-889-0537,http://www.edu-tens.net/syoHP/tahiHP/,
19,34.26757083,134.00696833,高松市立川岡小学校,高松市川部町1552,087-885-1253,http://www.edu-tens.net/syoHP/kawaokaHP/,
20,34.28502417,134.00385528,高松市立円座小学校,高松市円座町1630-2,087-885-2542,http://www.edu-tens.net/syoHP/enzaHP/,
21,34.30020194,133.99380833,高松市立檀紙小学校,高松市御厩町816,087-885-1715,http://www.edu-tens.net/syoHP/dansiHP/,
22,34.32838611,134.00453028,高松市立弦打小学校,高松市鶴市町374-1,087-881-3523,http://www.edu-tens.net/syoHP/turuutiHP/,
23,34.32709917,133.98845278,高松市立鬼無小学校,高松市鬼無町佐藤607-1,087-881-2413,http://www.edu-tens.net/syoHP/kinasiHP/,
24,34.35836639,133.96796806,高松市立下笠居小学校,高松市生島町345,087-881-3011,http://www.edu-tens.net/syoHP/simokasaiHP/,
25,34.39204167,134.05340083,高松市立女木小学校（休校中）,高松市女木町236-2,,,
26,34.42254417,134.05409972,高松市立男木小学校,高松市男木町165,087-873-0506,http://www.edu-tens.net/syoHP/ogisyouHP/,
27,34.27564972,134.08904583,高松市立川島小学校,高松市川島東町864-1,087-848-0050,http://www.edu-tens.net/syoHP/kawasimaHP/,
28,34.27469306,134.10221333,高松市立十河小学校,高松市十川西町366-5,087-848-0319,http://www.edu-tens.net/syoHP/sogawaHP/,
29,34.23893833,134.09787639,高松市立東植田小学校,高松市東植田町2008,087-849-0062,http://www.edu-tens.net/syoHP/sugehoHP/,
30,34.19354583,134.09821417,高松市立東植田小学校菅沢分校（休校中）,高松市菅沢町339,,,
31,34.23893944,134.07873944,高松市立植田小学校,高松市西植田町2337,087-849-0103,http://www.edu-tens.net/syoHP/uetaHP/,
32,34.31186111,134.06280833,高松市立中央小学校,高松市松縄町1138,087-866-2938,http://www.edu-tens.net/syoHP/chuuouHP/,
33,34.30570667,134.04440444,高松市立太田南小学校,高松市太田下町1823-1,087-865-9395,http://www.edu-tens.net/syoHP/ootaminamiHP/,
34,34.32082194,134.07551944,高松市立木太南小学校,高松市木太町1530-1,087-866-7295,http://www.edu-tens.net/syoHP/kitaminamiHP/,
35,34.32696639,134.09883056,高松市立古高松南小学校,高松市新田町甲2605,087-843-2467,http://www.edu-tens.net/syoHP/hurutakaminamiHP/,
36,34.35418972,134.11658611,高松市立屋島東小学校,高松市屋島東町942-1,087-843-8402,http://www.edu-tens.net/syoHP/yasimahigasiHP/,
37,34.35170639,134.09045111,高松市立屋島西小学校,高松市屋島西町2469,087-841-1063,http://www.edu-tens.net/syoHP/yasimanisiHP/,
38,34.33582889,134.07988694,高松市立木太北部小学校,高松市木太町2613,087-831-4150,http://www.edu-tens.net/syoHP/kitahokubuHP/,
39,34.18109111,134.07378417,高松市立塩江小学校,高松市塩江町安原上231-1,087-893-0171,http://www.edu-tens.net/syoHP/sionoeHP/,
40,34.33652472,134.14152222,高松市立牟礼小学校,高松市牟礼町大町1560,087-845-9239,http://www.edu-tens.net/syoHP/mureHP/,
41,34.35076389,134.1257825,高松市立牟礼北小学校,高松市牟礼町牟礼2900-1,087-845-5742,http://www.edu-tens.net/syoHP/murekitaHP/,
42,34.33373694,134.15278111,高松市立牟礼南小学校,高松市牟礼町大町1115-1,087-845-9324,http://www.edu-tens.net/syoHP/mureminamiHP/,
43,34.38482083,134.13088917,高松市立庵治小学校,高松市庵治町790-1,087-871-2581,http://www.edu-tens.net/syoHP/ajiHP/,
44,34.40448389,134.10576278,高松市立庵治第二小学校　（休校中）,高松市庵治町6034-1,,,
45,34.26700222,134.02620333,高松市立大野小学校,高松市香川町大野1045-1,087-885-2165,http://www.edu-tens.net/syoHP/oonoHP/,
46,34.25897139,134.04122806,高松市立浅野小学校,高松市香川町浅野3088,087-889-0215,http://www.edu-tens.net/syoHP/asanoHP/,
47,34.24143083,134.03514833,高松市立川東小学校,高松市香川町川東上1865-8,087-879-2012,http://www.edu-tens.net/syoHP/kawahigasiHP/,
48,34.24180278,134.00913944,高松市立香南小学校,高松市香南町横井1008,087-879-2269,http://www.edu-tens.net/syoHP/kounanHP/,
49,34.30609361,133.96276139,高松市立国分寺北部小学校,高松市国分寺町新居1880,087-874-1154,http://www.edu-tens.net/syoHP/kokuhokuHP/,
50,34.28393972,133.96125083,高松市立国分寺南部小学校,高松市国分寺町福家甲3005,087-874-1160,http://www.edu-tens.net/syoHP/kokunanHP/,
51,34.33924583,134.04186611,香川大学教育学部附属高松小学校,高松市番町五丁目1-55,087-861-7108,,
52,34.339945,134.030323,高松市立亀阜小学校みねやま分校,高松市西宝町2-6-9,087-861-4837,,
