,"属性","属性","属性","幸福度・満足度","幸福度・満足度","幸福度・満足度","幸福度・満足度","幸福度・満足度","医療・福祉","医療・福祉","買物・飲食","買物・飲食","住宅環境","住宅環境","住宅環境","移動・交通","遊び・娯楽","子育て","子育て","初等・中等教育","初等・中等教育","地域行政","地域行政","デジタル生活","デジタル生活","公共空間","公共空間","都市景観","自然景観","自然の恵み","自然の恵み","環境共生","自然災害","事故・犯罪","事故・犯罪","地域とのつながり","地域とのつながり","地域とのつながり","地域とのつながり","地域とのつながり","多様性と寛容性","多様性と寛容性","多様性と寛容性","多様性と寛容性","多様性と寛容性","自己効力感","健康状態","健康状態","文化・芸術","文化・芸術","教育機会の豊かさ","雇用・所得","雇用・所得","事業創造","独自設問"
"10010",,,,"8",,"9","8","4","4","4","4","4","4","2","4","4","2","3","4","4","4","4","4","3","3","4","4","4","4","4","4","3","3","4","4","4","3","4","4","4","3","1","4","4","4","4","4","4","4","4","4","3","4","3",
"10011",,,,"8",,"8","8","4","4","4","5","5","5","2","4","5","4","4","5","4","4","4","5","5","5","5","4","4","4","4","4","4","4","4","4","5","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",
"10012",,,,"7",,"6","7","4","4","3","3","3","4","2","3","4","3","3","4","4","4","4","4","4","3","4","3","4","3","3","3","3","3","3","4","3","4","4","3","3","3","1","2","3","4","3","4","4","4","4","4","3","3","3",
"10013",,,,"8",,"8","8","3","4","4","5","4","5","1","3","3","3","3","4","4","4","4","3","4","3","4","4","3","3","4","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","4","4","4","3","3","3","3","3","3",
"10014",,,,"8",,"8","8","4","4","4","4","4","4","4","4","4","2","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",
"10015",,,,"5",,"5","5","3","4","4","5","5","5","2","4","4","3","3","3","3","4","3","4","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3",
"10016",,,,"8",,"9","8","4","4","3","5","4","4","1","4","3","3","3","4","4","5","3","4","3","4","5","4","5","5","4","5","3","3","3","3","4","4","4","4","4","4","4","3","3","3","4","4","4","3","4","3","2","2","3",
"10017",,,,"7",,"7","7","3","4","4","4","4","4","2","2","4","3","3","4","4","3","4","4","3","3","4","4","3","2","3","3","2","3","2","4","4","3","3","4","3","3","2","2","3","3","3","3","4","3","4","3","3","3","3",
"20001",,,,"8",,"8","9","4","5","3","5","5","5","2","2","3","4","4","4","4","4","5","3","4","2","4","3","5","5","2","2","2","4","3","4","4","2","2","2","3","2","1","3","3","3","4","4","4","5","5","4","4","4","3",
"20002",,,,"6",,"6","6","4","4","3","4","4","4","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","4","4","3","2","4","4","3","2","3","3","3","3","4","4","4","5","3","3","4","4",
"20003",,,,"5",,"8","8","4","3","3","4","2","4","4","2","4","2","3","4","5","5","4","3","3","3","3","2","2","3","3","3","3","3","4","4","2","2","2","2","3","2","1","1","3","3","1","3","4","3","4","4","3","4","3",
"20004",,,,"8",,"8","8","4","3","3","5","4","5","1","3","4","2","2","3","4","4","3","4","3","3","4","4","2","2","4","3","3","3","4","4","4","4","5","5","5","3","4","3","4","4","3","5","4","4","5","4","3","3","4",
"20005",,,,"10",,"10","10","4","4","3","5","4","5","1","3","2","2","5","4","5","4","4","4","2","2","4","5","2","2","4","4","4","2","3","4","4","5","4","5","5","4","2","3","3","4","4","4","4","4","5","3","3","3","3",
"20006",,,,"5",,"5","5","3","3","3","2","2","4","1","2","2","3","2","3","4","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","3","2","3","3","3","2","1","1","1","1","1","3","3","3","4","2","2","1","1",
"20007",,,,"9",,"7","8","4","4","4","5","5","5","2","2","4","4","3","2","4","4","4","3","4","4","4","4","4","3","4","2","2","3","4","4","4","2","4","4","3","2","2","2","3","2","3","3","3","4","5","3","2","3","3",
"20008",,,,"9",,"8","7","3","4","4","5","5","4","2","2","4","4","4","4","5","5","4","5","4","4","4","4","4","2","2","1","2","3","2","5","4","2","4","4","4","2","2","2","3","2","4","4","5","2","4","3","3","3","3",
"20009",,,,"8",,"8","8","4","5","3","5","4","4","2","4","4","3","3","4","5","5","4","3","3","4","4","5","4","5","5","5","2","3","4","5","4","3","4","4","3","3","2","1","3","3","4","3","4","3","5","3","3","3","2",
"20010",,,,"8",,"8","8","4","4","4","5","4","4","1","4","4","3","3","4","5","5","4","4","3","5","4","5","4","5","4","4","3","3","4","5","4","3","4","5","3","3","2","1","3","3","4","3","4","3","5","3","3","3","4",
"20011",,,,"6",,"8","7","4","4","4","4","4","4","1","4","2","2","3","4","4","4","4","4","3","3","4","4","3","3","4","3","3","3","3","4","4","3","3","3","4","4","2","4","3","3","3","4","4","3","4","4","4","4","4",
"20012",,,,"8",,"5","5","4","4","4","4","2","5","2","5","1","1","3","3","3","4","3","3","2","4","4","4","3","5","5","5","3","4","2","4","3","3","2","4","2","2","1","1","3","2","2","4","3","2","4","4","1","4","4",
"20013",,,,"10",,"8","8","5","5","5","5","5","5","2","4","5","4","3","4","4","4","4","4","3","3","5","5","5","5","5","3","3","3","3","4","1","3","3","1","2","3","1","1","3","4","5","5","5","5","3","5","3","3","3",
"30001","男性","50代","1850012","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30002","女性","40代","7611707","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30003","男性","60代","7600005","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30004","男性","70代","7600074","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30005","男性","50代","1060031","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30006","男性","70代","7618014","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30007","男性","50代","7600000","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30008","男性","40代","7611705","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30009","男性","60代","7610702","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30010","男性","40代","7618084","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30011","女性","70代","7618051","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30012","男性","40代","7600080","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30013","男性","70代","7600013","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30014","女性","70代","7618077","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30015","男性","60代","7600011","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30016","女性","50代","7600004","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30017","女性","70代","7610301","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30018","女性","70代","7618053","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"30019","男性","70代","7618062","#REF!",,"#REF!","#REF!",,,,,,,,,"#REF!",,,,,,"#REF!","#REF!","#REF!","#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31001",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31002",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31003",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31004",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31005",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31006",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31007",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31008",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31009",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31010",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31011",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31012",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31013",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31014",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31015",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31016",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31017",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31018",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31019",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31020",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31021",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31022",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31023",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31024",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"31025",,,,,,,,,,,,,,,,"#REF!",,,,,,,,"#REF!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#REF!"
"40001",,,,"6",,"6","6","3","3","3","4","4","3","3","3","3","3","3","3","3","4","4","4","3","3","3","4","3","4","4","4","3","3","3","4","3","4","3","3","3","3","2","3","2","2","3","3","3","4","3","3","3","3","3",
"40002",,,,"7",,"8","8","4","5","5","5","4","4","1","4","1","2","4","3","4","3","4","3","3","4","4","4","4","4","4","3","3","3","3","4","2","2","3","4","4","3","2","1","2","1","3","4","4","3","4","3","2","2","2",
"40003",,,,"7",,"5","7","4","2","3","2","2","4","1","3","1","2","3","3","2","1","4","2","3","3","4","2","3","4","5","5","3","2","2","2","4","3","3","4","4","3","2","3","3","3","4","4","5","3","4","3","1","3","3",
"40004",,,,"8",,"7","6","3","3","3","4","4","5","1","3","4","2","4","2","3","4","4","2","2","2","3","4","4","4","4","4","3","2","2","3","2","2","2","3","3","3","3","2","3","2","3","4","4","4","4","4","2","2","2",
"50001",,,,"6",,"6","6","4","3","3","2","2","4","1","5","2","1","3","3","4","4","3","3","2","3","3","4","2","5","5","5","3","3","3","4","3","3","4","4","3","2","2","2","2","3","4","4","4","2","4","2","2","2","2",
"50002",,,,"8",,"8","9","4","4","3","5","4","5","1","5","4","5","3","5","5","4","3","4","3","3","5","5","4","4","5","4","4","2","4","5","4","1","3","2","5","5","1","1","4","4","4","5","5","4","5","4","4","4","4",
"50003",,,,"7",,"8","5","4","3","3","5","4","4","2","4","2","4","4","4","4","1","3","2","3","2","3","4","3","4","2","4","3","3","4","4","3","2","2","3","2","3","2","1","3","3","3","4","3","4","4","3","3","2","3",
"50004",,,,"7",,"8","7","4","4","3","5","4","5","2","4","2","2","3","3","4","4","3","3","3","2","4","5","3","5","5","5","2","2","3","5","5","3","2","4","2","3","2","2","3","3","5","2","5","3","5","3","2","2","2",
"50005",,,,"6",,"7","6","3","4","2","5","4","4","2","2","1","2","4","4","4","4","3","2","3","3","4","4","5","5","4","4","2","2","4","4","4","2","4","4","4","3","3","2","3","3","4","4","5","3","5","4","3","2","2",
"50006",,,,"9",,"9","8","4","5","4","4","4","4","2","4","4","4","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","4","4","4","4","4","4","5","4","4","4","4",
"50007",,,,"7",,"6","5","3","4","3","5","4","3","1","3","4","2","3","3","5","5","3","3","3","3","3","4","4","4","4","3","3","3","3","4","3","2","2","3","3","3","3","3","3","2","3","4","4","3","4","3","3","3","3",
"50008",,,,"5",,"7","5","4","4","3","4","4","5","2","4","4","2","3","4","4","4","4","2","4","3","4","2","2","4","2","2","3","3","3","4","4","4","3","4","4","3","4","2","3","3","4","4","5","3","3","4","2","2","3",
"50009",,,,"0",,"2","5","3","2","3","4","3","1","2","3","2","2","2","2","2","4","3","2","1","2","3","2","1","1","3","3","2","2","2","2","3","1","1","3","2","2","2","4","1","1","1","2","1","1","3","1","1","1","1",
"50010",,,,"8",,"6","5","1","2","2","3","1","4","4","3","2","1","3","3","3","3","2","2","1","2","3","2","2","2","4","4","1","2","2","1","2","2","3","3","3","2","1","1","1","3","4","4","4","3","2","2","2","2","2",
"50011",,,,"8",,"8","7","4","2","3","2","2","4","2","3","1","2","3","4","3","2","3","4","2","2","4","4","4","4","4","4","3","3","2","3","4","4","4","4","4","3","3","4","3","3","3","4","4","2","4","2","3","3","2",
"50012",,,,"7",,"7","7","3","4","4","5","4","5","4","3","2","2","3","4","4","5","4","3","3","2","3","5","4","4","4","3","3","3","3","4","4","3","4","4","3","3","2","1","3","2","3","3","3","3","5","2","2","2","2",
"50013",,,,"8",,"8","7","4","5","3","5","5","5","1","5","3","3","3","3","3","3","4","3","4","4","4","5","3","5","4","4","3","3","3","3","3","3","3","3","3","3","2","4","3","3","3","4","5","4","4","4","4","4","3",
"50014",,,,"7",,"7","7","4","4","3","3","4","4","2","4","2","3","3","4","3","4","3","3","2","2","4","4","3","3","4","3","3","3","3","2","2","2","4","4","2","3","3","2","3","3","4","4","4","3","4","2","3","3","3",
"50015",,,,"8",,"8","5","4","3","3","4","4","4","2","4","4","3","3","3","3","3","3","4","3","3","5","5","5","5","5","5","3","3","3","4","4","3","2","4","4","4","3","3","3","3","4","5","4","3","4","3","3","3","3",
"50016",,,,"8",,"5","4","3","2","2","4","2","3","4","4","2","1","2","2","2","4","3","3","3","3","4","2","5","5","4","5","2","3","2","4","3","3","1","3","4","3","4","2","3","3","4","4","4","4","4","4","3","3","3",
"50017",,,,"5",,"5","5","3","4","4","4","2","2","1","5","1","2","3","3","3","3","3","2","2","2","4","3","1","1","2","2","3","3","3","3","4","2","2","3","3","2","1","3","3","1","3","3","3","2","3","2","2","3","3",
"50018",,,,"5",,"7","5","3","4","4","4","4","4","1","3","4","3","3","3","3","3","3","3","3","3","4","4","3","4","4","4","3","3","3","3","3","3","3","4","4","3","2","2","3","3","3","4","4","3","4","3","3","3","3",
"50019",,,,"7",,"7","7","4","4","3","5","4","4","2","4","3","4","4","4","4","5","4","4","3","3","4","2","3","4","4","4","3","3","3","2","4","4","4","4","4","4","3","3","4","3","4","4","4","5","4","4","3","3","4",
"50020",,,,"9",,"6","5","3","4","2","4","3","5","3","4","3","2","4","2","3","4","2","2","1","1","3","2","2","3","4","3","3","3","2","2","3","3","2","4","3","2","3","3","1","2","4","4","4","3","4","2","2","3","2",
"50021",,,,"6",,"6","6","4","4","3","4","3","4","2","4","2","4","3","4","3","4","4","4","3","4","4","2","4","4","4","4","3","3","4","4","4","4","3","4","3","3","3","3","3","3","3","4","4","3","4","4","3","2","4",
"50022",,,,"10",,"10","8","4","4","3","3","4","5","3","4","2","2","3","4","3","2","4","3","4","2","4","2","3","3","2","3","4","3","3","3","3","4","3","3","4","3","2","2","3","2","4","4","4","3","5","3","3","3","3",
