"#property","latitude","longitude","name","address","telephoneNumber","Establisher","fiscalYearStartDay","startTimeWeekDays","startTimeSaturday","startTimeSundays","capacity","targetAge","serviceContents","Equipment"
"12","34.326263","134.045882","トモニスマイル保育園","761-8063 高松市花ノ宮町一丁目12-24 香川銀行栗林支店2F","087-831-5570","株式会社　香川銀行　取締役頭取　山田　径男","H30.4.1","7：30～18：30（18：30～19：30）","7：30～18：30（18：30～19：30）","休","12","2ヶ月～2歳児","月極め、一時預かり、体調不良児保育","構造：鉄筋コンクリート造2階建ての2階（業務用建物）、保育室：96.913㎡、屋外：なし"
"13","34.258387","134.025443","くじらの杜保育園","761-1701 高松市香川町大野587-1","087-802-8790","株式会社　中央　代表取締役　桑嶋　貴史","H30.4.1","7：30～18：30（18：30～19：00）","7：30～18：30（18：30～19：00）","祝：7：30～18：30（18：30～19：00）
日：休","12","6ヶ月～2歳児","月極め、一時預かり","構造：木造1階建て（専用建物）、保育室：58.87㎡、屋外：41.32㎡"
"14","34.268997","134.006688","企業主導型事業所内保育所　和光保育園","761-8046 高松市川部町1577-21","087-885-2502","社会福祉法人　和光保育園　理事長　田村　正教","H30.4.1","7：00～18：00（18：00～19：00）","7：00～18：00","休","12","10ヶ月～5歳児","月極め、一時預かり","構造：鉄骨造2階建て（専用建物）、保育室：157.76㎡、屋外：859.56㎡"
"15","34.341362","134.048606","百十四ももっこらんど","760-0050 高松市亀井町3-4","087-833-7010","株式会社　百十四銀行　代表取締役頭取　綾田　裕次郎","H30.4.1","7：30～20：30","休","休","45","0～5歳児（地域枠：0～２歳児）","月極め、一時預かり","構造：鉄骨鉄筋コンクリート造4階建ての2階（専用建物）、保育室：108.3㎡、屋外：125.6㎡"
"16","34.345786","134.050221","壱番街ドーム保育園","760-0029 高松市丸亀町1番地1 高松丸亀町壱番街東館3階","087-813-2700","高松ライフシステム株式会社　代表取締役　小原　正義","H30.5.1","7：00～20：00","7：00～20：00","7：00～20：00","60","3ヶ月～5歳児","月極め","構造：鉄骨鉄筋コンクリート造4階建ての3階（業務用建物）、保育室：227.3㎡、屋外：70.64㎡"
"17","34.379538","134.143875","あじの里保育園","761-0130 高松市庵治町4151-7","087-870-3510","社会福祉法人　洋々会　理事長　森野　幸子","H30.6.1","7：30～18：30","7：30～18：30","休","10","6ヶ月～5歳児","月極め、一時預かり","構造：鉄骨造１階建て（専用建物）、保育室：46.34㎡、屋外：30㎡"
"18","34.349894","134.064269","あいあい保育園　朝日町","760-0065 高松市朝日町二丁目9-1","087-813-2285","愛染興業株式会社　代表取締役　文　秀吉","H31.2.18","8：00～19：00（7：30～8：00,19：00～20：00）","8：00～19：00（7：30～8：00,19：00～20：00）","8：00～19：00（7：30～8：00,19：00～20：00）","12","6ヶ月～2歳児","月極め、一時預かり","構造：鉄骨造１階建て（専用建物）、保育室：99.76㎡、屋外：16㎡"
"19","34.321606","134.029307","あいあい保育園　西春日町","761-8051 高松市西春日町1092-3","087-814-7702","愛染興業株式会社　代表取締役　文　秀吉","H31.3.18","8：00～19：00（7：30～8：00,19：00～20：00）","8：00～19：00（7：30～8：00,19：00～20：00）","8：00～19：00（7：30～8：00,19：00～20：00）","12","6ヶ月～2歳児","月極め、一時預かり","構造：木造１階建て（専用建物）、保育室：82.9㎡、屋外：16㎡"
"20","34.316432","134.067108","カールズキッズ保育園","760-0080 高松市木太町5024-3","087-880-8202","有限会社カールズジャパン　代表取締役社長　高畑　佳周","H31.3.20","7：30～18：30（18：30～19：30）","7：30～18：30（18：30～19：30）","7：30～18：30（18：30～19：30）","19","4ヶ月～5歳児","月極め、一時預かり","構造：鉄骨造１階建て（専用建物）、保育室：89.58㎡、屋外：46㎡"
"21","34.322847","134.029085","キッズハウス　クローバー","761-8051 高松市西春日町1111番地1","090-3188-6409","ケアドゥ株式会社　代表取締役　田中　理","H31.4.1","7：30～18：30（18：30～19：00）","休","休","7","6ヶ月～2歳児","月極め、一時預かり","構造：鉄骨造2階建ての1階（その他：複合施設）、保育室：25.9㎡、屋外：37.4㎡"
"22","34.343672","134.128825","いちばん星保育園　高松牟礼","761-0121 高松市牟礼町牟礼2083-1","087-880-8150","一般社団法人　いちばん星プロジェクト　代表理事　秋山　達郎","H31.4.15","7：00～20：00","7：00～20：00","休","50","0～5歳児","月極め、一時預かり、体調不良児保育","構造：鉄骨造1階建て（専用建物）、保育室：115.84㎡、屋外：246㎡"
"23","34.326995","134.045179","みどり栗林公園保育園","760-0073 高松市栗林町一丁目18番30号","087-813-3011","株式会社　みどり合同ホールディングス　代表取締役　三好　貴志男","H31.4.25","7：00～20：00","7：00～20：00","休","19","6ヶ月～2歳児","月極め、一時預かり、体調不良児保育、病後児保育","構造：鉄骨造3階建ての1～3階（専用建物）、保育室：71.09㎡、屋外：37.71㎡"
"24","34.294506","134.05895","レインボー恵保育園","761-8076 高松市多肥上町1411-1","087-813-5515","株式会社　リンクスケア　代表取締役　田村　禎啓","R1.7.1","7：00～20：00（6：30～7：00）","7：00～20：00（6：30～7：00）","7：00～20：00（6：30～7：00）","12","0～2歳児","月極め、一時預かり、病児保育","構造：木造1階建て（専用建物）、保育室：93.2㎡、屋外：なし"
"25","34.330302","134.157231","しんじ保育園","761-0123 高松市牟礼町原585-5","087-845-8989","医療法人社団　しん治歯科医院　理事長　髙橋　伸治","R1.7.1","7：00～20：00（20：00～22：00）","7：00～20：00（20：00～22：00）","休","12","6ヶ月～2歳児","月極め、一時預かり","構造：木造1階建て（専用建物）、保育室：94.77㎡、屋外：82.00㎡"
"26","34.331303","134.060643","キッズルーム愛の里","760-0077 高松市上福岡町2002-16","087-802-2211","有限会社　國村不動産　代表取締役　國村　茂樹","R1.10.1","7：30～18：30（7：00～7：30,18：30～19：00）","8：30～17：30","祝：8：30～17：30
日：休","12","4ヶ月～3歳児","月極め、一時預かり","構造：鉄筋造2階建ての1～2階（専用建物）、保育室：46.4㎡、屋外：なし"
"27","34.291152","134.089285","下田井つつじこども園","761-0313 高松市下田井町字神子630番地2","087-847-3577","マックスバリュ西日本株式会社　代表取締役　平尾　健一","R1.11.17","7：30～20:30","7：30～20:30","7：30～20:30","30","2ヶ月～5歳児","月極め","構造：木造1階建て（専用建物）、保育室：121.50㎡、屋外：80.00㎡"
"28","34.349781","134.025254","保育所 Mon Petit","761-0002 高松市茜町28-31","087-802-0032","株式会社　ベルビー　代表取締役社長　鈴木　喜弘","R3.4.1","8：30～17:30（7：15～8：30,17：30～19：15）","8：30～17:30（7：15～8：30,17：30～19：15）","休","12","3ヶ月～2歳児","月極め","構造：鉄筋コンクリート造6階建ての1階（業務用建物）、保育室：35.554㎡、屋外：32.78㎡"
"29","0","0","あじさい保育園","761-0130 高松市庵治町4171-1","087-880-0361","社会福祉法人　洋々会　理事長　森野　幸子","9/1/2021","8：00～19：00","8：00～19：00","休","10","3ヶ月～5歳児","月極め、一時預かり","構造：木造2階建ての1階（専用建物）、保育室：37.7㎡、屋外：80㎡"
